Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,Inventories,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2011,43211,0,0,,10025,3466,457,,457,13948,14771,23156,-8385,10306,10306.0,4186,4064,3332,732,122,29263,,11569,10007,1087,,475,30,0,0.0,0.0,,30.0,785,,,785,12384,361,361,0.0,0.0,,7173,,117,5803,1253,7534,19918,,0.0,0.0,0.0,0,0.0,23264,23264,29,23293,43211,
03/31/2012,52998,0,0,0.0,11320,5040,6768,,6768,23128,14854,23456,-8602,10795,,4221,4059,3329,730,162,29870,,13476,11785,1195,,496,207,207,,,,,1029,,,1029,14712,5971,5971,,,,7372,,119,6008,1245,13343,28055,0.0,,,,0,,24912,24912,31,24943,52998,
06/30/2012,48575,3104,3104,0.0,7876,5496,2050,,2050,18526,15169,23144,-7975,10640,10640.0,4240,4072,3344,728,168,30049,,12769,10462,1091,,1216,590,0,,,,590.0,1012,,,1012,14371,7396,7396,,,,7829,,1057,5497,1275,15225,29596,0.0,18614.0,6.0,18608.0,0,692.0,-358,18948,31,18979,48575,
09/30/2012,52230,4430,4430,0.0,10793,5743,907,,907,21873,15311,23567,-8256,10800,,4246,4070,3344,726,176,30357,,14616,12267,1392,,957,585,585,,,,,1185,,,1185,16386,7393,7393,,,,7845,,1081,5436,1328,15238,31624,0.0,18649.0,6.0,18643.0,-111,2164.0,-129,20573,33,20606,52230,
12/31/2012,48073,3474,3474,0.0,10403,3430,655,,655,17962,15407,23829,-8422,10471,,4233,4068,3344,724,165,30111,,11490,9731,901,0.0,858,13,0,,,,13.0,979,0.0,,979,12482,6961,6961,,,,7824,0.0,1325,5444,1055,14785,27267,0.0,18732.0,6.0,18726.0,-356,2713.0,-314,20775,31,20806,48073,
03/31/2013,51151,4753,4753,0.0,9910,5811,696,,696,21170,15257,23785,-8528,10498,10498.0,4226,4071,3344,727,155,29981,,13720,11920,1010,,790,13,13,,,,,1218,,,1218,14951,6958,6958,,,,7864,,1339,5507,1018,14822,29773,0.0,18781.0,6.0,18775.0,-738,3923.0,-622,21344,34,21378,51151,
06/30/2013,49929,4220,4220,0.0,9793,5033,1483,,1483,20529,14679,23246,-8567,10624,,4097,3944,3228,716,153,29400,,12724,11061,825,,838,14,0,,,,14.0,1267,,,1267,14005,6455,6455,,,,7779,,1328,5480,971,14234,28239,0.0,18818.0,6.0,18812.0,-1284,4687.0,-566,21655,35,21690,49929,
09/30/2013,50983,5942,5942,0.0,9744,4737,662,,662,21085,15077,23891,-8814,10728,10728.0,4093,3941,3228,713,152,29898,,13148,11236,889,,1023,24,0,,,,24.0,1508,,,1508,14680,6132,6132,,,,8177,,1286,5633,1258,14309,28989,0.0,18845.0,6.0,18839.0,-1958,5030.0,-367,21550,444,21994,50983,
12/31/2013,49798,5400,5400,0.0,9632,3354,851,,851,19237,15398,24426,-9028,11220,11220.0,3943,3794,3096,698,149,30561,,11765,9948,872,0.0,945,24,0,12.0,12.0,,12.0,1142,0.0,,1142,12931,6131,5944,187.0,187.0,,8344,0.0,921,6125,1298,14475,27406,0.0,18893.0,6.0,18887.0,-2602,5622.0,37,21950,442,22392,49798,
03/31/2014,50847,5326,5326,0.0,9120,5908,705,,705,21059,15751,24978,-9227,10001,10001.0,4036,3878,3141,737,158,29788,,13891,11390,1591,,910,40,40,,,,,1233,,,1233,15164,6177,6177,,,,7677,,793,5692,1192,13854,29018,0.0,18938.0,6.0,18932.0,-4592,6962.0,77,21385,444,21829,50847,
