Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Interest,Source: Bloomberg
03/31/1995,5.019,1.154,0.365,0.0,,,0.0,3.5,,,,3.5,,,-0.16,,,,-0.16,,,,,,,,,,0.16,,,,,,,,,,,,,,
06/30/1995,2.066,2.872,0.379,0.0,,,0.0,-1.185,,,,-1.185,,-0.733,-0.733,,,,-0.733,,,,,,,,,,0.0,,,,,,,,,,,,1.333,,
09/30/1995,0.318,2.297,0.421,0.446,,,0.446,-2.846,,,,-2.846,,,-2.107,,,,-2.107,,,,,,,,,,2.107,,,,,,,,,,,,,,
12/31/1995,5.027,2.742,0.46,5.483,,,5.483,-3.658,,,,-3.658,,-0.791,-0.791,,,,-0.791,,,,,,,,,,0.0,,,,,,,,,,,,4.236,,
03/31/1996,-3.34,3.054,0.484,0.0,,,0.0,-6.878,,,,-6.878,,,-1.134,,,,-1.134,,,,,,,,,,1.134,,,,,,,,,,,,,,
06/30/1996,5.778,3.405,0.541,0.0,,,0.0,1.832,,,,1.832,,,-2.868,,,,-2.868,,,,,,,,,,2.868,,,,,,,,,,,,,,
09/30/1996,9.701,3.643,0.616,0.0,,,0.0,5.442,,,,5.442,,,-2.023,,,,-2.023,,,,,,,,,,2.023,,,,,,,,,,,,,,
12/29/1996,1.286,4.383,0.706,-1.524,,,-1.524,-2.279,,,,-2.279,,-2.353,-2.353,,,,-2.353,,,,,,,,,,0.0,,,,,,,,,,,,-1.067,,
03/31/1997,-4.368,2.125,0.812,0.0,,,0.0,-7.305,,,,-7.305,,-1.706,-1.184,0.0,,,-1.184,,,0.0,0.0,0.0,,,,,-0.522,0.626,0.0,0.0,,,,0.626,0.626,0.0,0.0,,-5.448,,
06/30/1997,3.766,3.69,0.999,0.0,,,0.0,-0.923,,,,-0.923,,3.457,-1.752,0.0,,,-1.752,,,0.0,0.0,0.0,,,,,5.209,0.02,0.0,0.0,,,,0.02,0.02,0.0,0.0,,7.243,,
09/30/1997,31.107,6.802,1.028,0.0,,,0.0,23.277,,,,23.277,,-34.846001,-2.902,0.0,,,-2.902,,,0.0,0.0,0.0,,,,,-31.944001,0.958,0.0,0.0,,,,0.958,0.958,0.0,0.0,,-2.781,,
12/31/1997,-3.717,7.222,1.146,-16.063999,,,-16.063999,3.979,,,,3.979,,-75.816002,-3.754,0.0,,,-3.754,,,-40.284,0.0,-40.284,,,,,-31.778002,82.084,0.0,0.0,,,,82.084,82.084,0.0,0.0,,2.551,,
03/31/1998,-6.841,4.703,1.351,0.0,,,0.0,-12.895,,,,-12.895,,-4.525,-1.825,0.0,,,-1.825,,,0.0,0.0,0.0,,,,,-2.7,1.12,0.0,0.0,,,,1.12,1.12,0.0,0.0,,-10.246,,
06/30/1998,5.114,1.053,1.815,0.0,,,0.0,2.246,,,,2.246,,-2.362,-1.04,0.0,,,-1.04,,,0.0,0.0,0.0,,,,,-1.322,0.073,0.0,0.0,,,,0.073,0.073,0.0,0.0,,2.825,,
09/30/1998,6.743,2.506,1.508,0.0,,,0.0,2.729,,,,2.729,,-7.426,-1.935,0.0,,,-1.935,,,0.0,0.0,0.0,,,,,-5.491,1.096,0.0,0.0,,,,1.096,1.096,0.0,0.0,,0.413,,
12/31/1998,8.334,3.574,1.165,1.193,,,1.193,2.402,,,,2.402,,-8.707,-2.689,0.0,,,-2.689,,,0.0,0.0,0.0,,,,,-6.018,1.877,0.0,0.0,,,,1.877,1.877,0.0,0.0,,1.504,,
06/30/1999,4.746,5.694,2.093,0.0,,,0.0,-3.041,,,,-3.041,,-8.753,-5.583,0.0,,,-5.583,,,0.0,0.0,0.0,,,,,-3.17,1.343,0.0,0.0,,,,1.343,1.343,0.0,0.0,,-2.664,,
12/31/1999,1.262,10.028,1.214,-1.1,,,-1.1,-8.88,,,,-8.88,,-198.792999,-4.133,0.0,,,-4.133,,,0.0,0.0,0.0,,,,,-194.659999,321.231995,0.0,0.0,,,,321.231995,321.231995,0.0,0.0,,123.700996,,
03/31/2000,0.169,219.270996,3.546,-205.731003,,,-205.731003,-16.917,,,,-16.917,,-44.854,-3.676,0.0,,,-3.676,,,0.0,0.0,0.0,,,,,-41.178,6.073,0.0,0.0,,,,6.073,6.073,0.0,0.0,,-38.612,,
06/30/2000,40.724998,24.268,3.513,0.858,,,0.858,12.086,,,,12.086,,25.407,-7.246,0.0,,,-7.246,,,0.0,0.0,0.0,,,,,32.653,2.139,0.0,0.0,,,,2.139,2.139,0.0,0.0,,68.271004,,
09/30/2000,-2.655,25.603001,4.632,1.857,,,1.857,-34.747002,,,,-34.747002,,-3.615,-8.104,0.0,,,-8.104,,,0.0,0.0,0.0,,,,,4.489,2.702,0.0,0.0,,,,2.702,2.702,0.0,0.0,,-3.568,,
12/31/2000,46.613002,29.530003,4.237,-21.727997,,,-21.727997,34.574002,,,,34.574002,,-114.87,-7.56,0.0,,,-7.56,,,0.0,0.0,0.0,,,,,-107.31,2.273,0.0,0.0,,,,2.273,2.273,0.0,0.0,,-65.984004,,
03/31/2001,-24.825,-143.102,4.489,99.873,,-83.526,183.399,13.915,32.777,12.918,-8.115,-23.665,,-8.119,-9.075,0.0,,,-9.075,,,0.0,0.0,0.0,,,,,0.956,4.154,0.0,0.0,,,,4.154,4.154,0.0,0.0,,-28.79,,
06/30/2001,9.686,-9.994,4.808,-11.523,,-21.581,10.058,26.395,11.159,27.795,-5.146,-7.413,,-3.618,-6.464,0.0,,,-6.464,,,0.0,0.0,0.0,,,,,2.846,1.354,0.0,0.0,,,,1.354,1.354,0.0,0.0,,7.422,,
09/30/2001,-42.028,-170.476,6.797,97.392,,-8.317,105.709,24.259,19.923,16.041,-5.501,-6.204,,0.388,-2.612,0.0,,,-2.612,,,0.0,0.0,0.0,,,,,3.0,2.606,0.0,0.0,,,,2.606,2.606,0.0,0.0,,-39.034,,
12/31/2001,-24.792999,25.628,4.453,-3.691,,,-3.691,-51.182999,,,,-51.182999,,46.368999,-8.072,0.0,,,-8.072,,,0.0,0.0,0.0,,,,,54.440999,122.046998,0.0,121.530998,,,,0.516,0.516,0.0,0.0,,143.623001,,
03/31/2002,-3.629,-3.734,4.795,-6.663,,,-6.663,1.973,,,,1.973,,-47.818001,-6.429,0.0,,,-6.429,,,0.0,0.0,0.0,,,,,-41.389001,26.345,0.0,24.375,,,,1.97,1.97,0.0,0.0,,-25.101999,,
06/30/2002,22.718,9.04,4.906,4.388,,,4.388,4.384,,,,4.384,,68.391998,-1.902,0.0,,,-1.902,,,0.0,0.0,0.0,,,,,70.293998,0.307,0.0,0.0,,,,0.307,0.307,0.0,0.0,,91.417,,
09/30/2002,45.699,11.324,6.411,13.629,,-11.151,24.78,14.335,-4.982,-14.786,11.197,22.906,,-60.038999,-5.107,0.0,,,-5.107,,,0.0,0.0,0.0,,,,,-54.931999,1.963001,0.0,-0.009,,,,1.972,1.972,0.0,1e-06,,-12.377001,,
