Date,Total Assets,Cash & Cash Equivalents,ST And LT Investments,Available for Sales/FVTOCI,Real Estate Investments,Other Investments,Net Receivables,Total Commercial Loans,Total Consumer Loans,Credit Card Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Discontinued Operations,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,127156,7669,,,0.0,,47580,,,,,,15176,-628,14548,3180,,,,,,,0.0,68727.0,,,,,,,25953,41383,,,,13262,,,,,,,,,,41461.0,122059.0,500.0,1833,,,,,2764.0,5097.0,0,5097.0,127156.0,
06/30/1990,137407,7126,,,0.0,,51353,,,,,,15568,-575,14993,3297,,,,,,,0.0,75631.0,,,,,,,26332,49727,,,,12522,,,,,,,,,,42909.0,131490.0,500.0,2438,,,,,2979.0,5917.0,0,5917.0,137407.0,
09/30/1990,140578,9126,,,0.0,,53447,,,,,,15975,-555,15420,3313,,,,,,,0.0,74692.0,,,,,,,27648,50816,,,,12765,,,,,,,,,,42754.0,133983.0,500.0,3132,,,,,2963.0,6595.0,0,6595.0,140578.0,
12/31/1990,137682,6400,,,0.0,,47918,,,,,,15973,-530,15443,3466,,,,,,,0.0,79898.0,,,,,,,27843,49879,,,,10077,,,,,,,,,,43248.0,131047.0,500.0,3172,,,,,2963.0,6635.0,0,6635.0,137682.0,
03/31/1991,141136,8638,,,0.0,,50479,,,,,,16284,-580,15704,3561,,,,,,,0.0,78458.0,,,,,,,27112,48778,,,,12618,,,,,,,,,,45709.0,134217.0,500.0,3283,,,,,3136.0,6919.0,0,6919.0,141136.0,
06/30/1991,143253,8040,,,0.0,,49938,,,,,,15680,-347,15333,3558,,,,,,,0.0,81717.0,,,,,,,25568,51219,,,,12572,,,,,,,,,,46725.0,136084.0,500.0,3309,,,,,3360.0,7169.0,0,7169.0,143253.0,
09/30/1991,153456,7261,,,0.0,,53243,,,,,,15542,-366,15176,3640,,,,,,,0.0,89312.0,,,,,,,26567,58584,,,,13078,,,,,,,,,,47813.0,146042.0,501.0,3620,,,,,3293.0,7414.0,0,7414.0,153456.0,
12/31/1991,146441,4876,,,0.0,,45568,,,,,,21593,-945,20648,3688,,,,,,,0.0,92309.0,,,,,,,24778,53901,,,,10379,,,,,,,,,,49918.0,138976.0,351.0,3653,,,,,3461.0,7465.0,0,7465.0,146441.0,
03/31/1992,158097,5407,,,0.0,,50527,,,,,,20638,-931,19707,3589,,,,,,,0.0,98574.0,,,,,,,22518,62821,,,,14633,,,,,,,,,,50385.0,150357.0,201.0,3701,,,,,3838.0,7740.0,0,7740.0,158097.0,
06/30/1992,163672,6955,,,0.0,,50706,,,,,,20551,-869,19682,3656,,,,,,,0.0,102355.0,,,,,,,23163,62647,,,,15169,,,,,,,,,,54720.0,155699.0,201.0,3739,,,,,4033.0,7973.0,0,7973.0,163672.0,
09/30/1992,172819,7281,,,0.0,,51896,,,,,,20328,-834,19494,3573,,,,,,,0.0,110069.0,,,,,,,23480,66870,,,,15452,,,,,,,,,,59529.0,165331.0,201.0,3773,,,,,3514.0,7488.0,0,7488.0,172819.0,
12/31/1992,90112,3408,,,0.0,,15293,,,,,,15661,-911,14750,2318,,,,,,,,69093.0,,,,,,,11637,11163,,,,8614,,,,,,,,,,51199.0,82613.0,201.0,3822,,,0.0,,3476.0,7499.0,0,7499.0,90112.0,
03/31/1993,170460,7573,,,0.0,,54485,,,,,,15168,-731,14437,2602,,,,,,,0.0,105800.0,,,,,,,15203,77887,,,,14451,,,,,,,,,,55243.0,162784.0,201.0,3869,,,,,3606.0,7676.0,0,7676.0,170460.0,
06/30/1993,169261,6167,,,0.0,,54322,,,,,,15126,-658,14468,2594,,,,,,,0.0,106178.0,,,,,,,16071,72137,,,,15789,,,,,,,,,,57221.0,161218.0,201.0,3935,,,,,3907.0,8043.0,0,8043.0,169261.0,
09/30/1993,172417,8245,,,0.0,,53967,,,,,,14945,-609,14336,2585,,,,,,,0.0,107620.0,,,,,,,15964,75605,,,,16231,,,,,,,,,,56209.0,164009.0,201.0,4022,,,,,4185.0,8408.0,0,8408.0,172417.0,
12/31/1993,94132,3312,,,0.0,,16142,,,,,,15451,-655,14796,1976,,,,,,,,72702.0,,,,,,,11131,14861,,,,6189,,,,,,,,,,53217.0,85398.0,201.0,4078,,,0.0,,4455.0,8734.0,0,8734.0,94132.0,
03/31/1994,97002,6832,,,0.0,,15228,,,,,,15146,-585,14561,1982,,,,,,,0.0,72960.0,,,,,,,11140,13455,,,,8468,,,,,,,,,,54786.0,87849.0,201.0,4196,,,0.0,,4756.0,9153.0,0,9153.0,97002.0,
06/30/1994,95499,4633,,,0.0,,16087,,,,,,17560,-530,17030,1959,,,,,,,0.0,72820.0,,,,,,,11292,12864,,,,8565,,,,,,,,,,56021.0,88742.0,201.0,4235,,,0.0,,2321.0,6757.0,0,6757.0,95499.0,
09/30/1994,98195,6959,,,0.0,,15743,,,,,,15180,-515,14665,1905,,,,,,,0.0,73588.0,,,,,,,11226,14338,,,,7986,,,,,,,,,,57784.0,91334.0,200.0,4253,,,0.0,,2408.0,6861.0,0,6861.0,98195.0,
12/31/1994,97006,3433,,,0.0,,17147,,,,,,15267,-545,14722,1840,,,,,,,,74586.0,,,,,,,10013,16015,,,,5957,,,,,,,,,,58588.0,90573.0,200.0,4052,,,0.0,,2181.0,6433.0,0,6433.0,97006.0,
03/31/1995,99737,4340,,,0.0,,16182,,,,,,15532,-530,15002,1842,,,,,,,0.0,77373.0,,,,,,,9946,14623,,,,6985,,,,,,,,,,61200.0,92754.0,200.0,4142,,,0.0,,2641.0,6983.0,0,6983.0,99737.0,
06/30/1995,104178,4754,,,0.0,,17482,,,,,,15804,-559,15245,1843,,,,,,,0.0,80099.0,,,,,,,9867,16201,,,,6491,,,,,,,,,,64465.0,97024.0,200.0,3963,,,0.0,,2991.0,7154.0,0,7154.0,104178.0,
09/30/1995,106312,4577,,,0.0,,18480,,,,,,16067,-569,15498,1827,,,,,,,0.0,81428.0,,,,,,,9556,17163,,,,6284,,,,,,,,,,65867.0,98870.0,200.0,4056,,,0.0,,3186.0,7442.0,0,7442.0,106312.0,
12/31/1995,107405,3200,,,0.0,,19914,,,,,,16691,-600,16091,1783,,,,,,,,82508.0,,,,,,,9889,20766,,,,4458,,,,,,,,,,64072.0,99185.0,200.0,4071,,,0.0,,3949.0,8220.0,0,8220.0,107405.0,
03/31/1996,107910,5629,,,0.0,,17763,,,,,,16779,-620,16159,1782,,,,,,,0.0,82736.0,,,,,,,9335,18306,,,,7793,,,,,,,,,,64484.0,99918.0,200.0,4073,,,0.0,,3719.0,7992.0,0,7992.0,107910.0,
06/30/1996,107647,4970,,,0.0,,19377,,,,,,16254,-568,15686,1766,,,,,,,0.0,81534.0,,,,,,,8570,16593,,,,8391,,,,,,,,,,66138.0,99692.0,0.0,4166,,,0.0,,3789.0,7955.0,0,7955.0,107647.0,
09/30/1996,106667,4884,,,0.0,,18460,,,,,,17169,-536,16633,1666,,,,,,,0.0,81657.0,,,,,,,9550,16901,,,,8233,,,,,,,,,,63740.0,98424.0,0.0,4191,,,0.0,,4052.0,8243.0,0,8243.0,106667.0,
12/31/1996,108512,2677,,,0.0,,20491,,,,,,19119,-601,18518,1675,,,,,,,,83669.0,,,,,,,9555,19838,,,,5116,,,,,,,,,,65475.0,99984.0,0.0,4475,,,0.0,,4053.0,8528.0,0,8528.0,108512.0,
03/31/1997,108105,3170,,,0.0,,19164,,,,,,19858,-676,19182,1568,,,,,,,0.0,84203.0,,,,,,,10603,17324,,,,6331,,,,,,,,,,65465.0,99723.0,0.0,4502,,,0.0,,3880.0,8382.0,0,8382.0,108105.0,
06/30/1997,113927,3472,,,0.0,,19965,,,,,,20542,-684,19858,1595,,,,,,,0.0,88895.0,,,,,,,10390,17971,,,,7571,,,,,,,,,,69171.0,105103.0,0.0,4552,,,0.0,,4272.0,8824.0,0,8824.0,113927.0,
09/30/1997,117642,4614,,,0.0,,20503,,,,,,19968,-674,19294,1584,,,,,,,0.0,90941.0,,,,,,,9724,18511,,,,8080,,,,,,,,,,72209.0,108524.0,0.0,4565,,,0.0,,4553.0,9118.0,0,9118.0,117642.0,
12/31/1997,120003,4179,,,0.0,,21774,,,,,,20816,-707,20109,1533,,,,,,,,92517.0,,,,,,,9444,22250,,,,6193,,,,,,,,,,72542.0,110429.0,0.0,4904,,,0.0,,4670.0,9574.0,0,9574.0,120003.0,
03/31/1998,120303,4342,,,0.0,,20094,,,,,,20290,-874,19416,1522,,,,,,,0.0,94345.0,,,,,,,9724,18151,,,,8140,,,,,,,,,,74863.0,110878.0,0.0,4893,,,0.0,,4532.0,9425.0,0,9425.0,120303.0,
06/30/1998,120986,3501,,,0.0,,20546,,,,,,20122,-787,19335,1517,,,,,,,0.0,95422.0,,,,,,,9318,18009,,,,7832,,,,,,,,,,76530.0,111689.0,0.0,4902,,,0.0,,4395.0,9297.0,0,9297.0,120986.0,
09/30/1998,120914,6594,,,0.0,,20841,,,,,,20786,-820,19966,1541,,,,,,,0.0,91938.0,,,,,,,10032,21047,,,,7324,,,,,,,,,,72608.0,111011.0,0.0,4875,,,0.0,,4528.0,9403.0,500,9903.0,120914.0,
12/31/1998,126933,4092,,,0.0,,22224,,,,,,21866,-812,21054,1637,,,,,,,0.0,98980.0,,,,,,,10398,24731,,,,4893,,,,,,,,,,76713.0,116735.0,0.0,5079,,,0.0,,4619.0,9698.0,500,10198.0,126933.0,
03/31/1999,128297,5438,,,0.0,,22005,,,,,,21543,-811,20732,1732,,,,,,,,99122.0,,,,,,,9998,22242,,,,7176,,,,,,,,,,78596.0,118012.0,0.0,5200,,,0.0,4312.0,273.0,9785.0,500,10285.0,128297.0,
06/30/1999,132452,6096,,,0.0,,22944,,,,,,20636,-747,19889,1795,,,,,,,,101617.0,,,,,,,9062,24785,,,,6505,,,,,,,,,,81838.0,122190.0,0.0,5313,,,0.0,4559.0,-110.0,9762.0,500,10262.0,132452.0,
09/30/1999,132616,5102,,,0.0,,24403,,,,,,21208,-710,20498,1908,,,,,,,,101203.0,,,,,,,10124,24683,,,,6220,,,,,,,,,,81345.0,122372.0,0.0,5363,,,0.0,4777.0,-396.0,9744.0,500,10244.0,132616.0,
12/31/1999,148517,7471,,,0.0,,26467,,,,,,24332,-750,23582,1996,,,,,,,,112583.0,,,,,,,12197,32437,,,,4185,,,,,,,,,,89103.0,137922.0,0.0,5464,,,0.0,5033.0,-402.0,10095.0,500,10595.0,148517.0,
03/31/2000,150662,7425,,,0.0,,26202,,,,,,24209,-714,23495,2084,,,,,,,,114951.0,,,,,,,11936,29342,,,,5170,,,,,,,,,,93461.0,139909.0,0.0,5558,,,0.0,5160.0,-465.0,10253.0,500,10753.0,150662.0,
06/30/2000,148553,6841,,,0.0,,26995,,,,,,23988,-676,23312,2190,,,,,,,,112527.0,,,,,,,13533,26170,,,,4836,,,,,,,,,,93005.0,137544.0,0.0,5576,,,0.0,5535.0,-602.0,10509.0,500,11009.0,148553.0,
09/30/2000,153626,8959,,,0.0,,28749,,,,,,24673,-729,23944,2327,,,,,,,,113591.0,,,,,,,13116,31034,,,,4589,,,,,,,,,,93174.0,141913.0,0.0,5699,,,0.0,5916.0,-402.0,11213.0,500,11713.0,153626.0,
12/31/2000,154423,8487,,,0.0,,30543,,,,,,26884,-796,26088,2506,,,,,,,0.0,112887.0,,,,,,,13870,37733,,,,3008,,,,,,,,,,87628.0,142239.0,0.0,5704,,,0.0,6198.0,-218.0,11684.0,500,12184.0,154423.0,
03/31/2001,146218,8064,,,0.0,,28526,,,,,,26128,-835,25293,2569,,,,,,,,107059.0,,,,,,,13348,31170,,,,4911,,,,,,,,,,84325.0,133754.0,0.0,5742,,,0.0,6172.0,50.0,11964.0,500,12464.0,146218.0,
06/30/2001,152190,8481,,,0.0,,29612,,,,,,26964,-874,26090,2635,,,,,,,,111462.0,,,,,,,14554,30564,,,,7705,,,,,,,,,,87106.0,139929.0,0.0,5729,,,0.0,6043.0,-11.0,11761.0,500,12261.0,152190.0,
09/30/2001,145557,9860,,,0.0,,28273,,,,,,26473,-915,25558,2716,,,,,,,,104708.0,,,,,,,13075,30808,,,,7158,,,,,,,,,,81788.0,132829.0,0.0,5740,,,0.0,6230.0,258.0,12228.0,500,12728.0,145557.0,
12/31/2001,151100,7222,,,0.0,,29498,,,,,,27401,-961,26440,2811,,,,,,,0.0,111569.0,,,,,,,14557,32763,,,,6594,,,,,,,,,,84649.0,138563.0,0.0,5793,,,0.0,6421.0,-177.0,12037.0,500,12537.0,151100.0,
03/31/2002,146783,7503,,,0.0,,27228,,,,,,25936,-972,24964,2796,,1328.0,1200.0,,,,0.0,107928.0,,,,,,,13784,24889,,,,10822,,,,,,,,,,84293.0,133788.0,0.0,5877,,,0.0,6906.0,-288.0,12495.0,500,12995.0,146783.0,
06/30/2002,145897,8903,,,0.0,,27396,,,,,,25064,-975,24089,2848,,1342.0,1200.0,,,,,105408.0,,,,,,,13699,18741,,,,15469,,,,,,,,,,84198.0,132107.0,0.0,5945,,,0.0,7381.0,-36.0,13290.0,500,13790.0,145897.0,
09/30/2002,145333,7993,,,0.0,,27730,,,,,,26031,-1017,25014,2870,,1335.0,1200.0,,,,,105405.0,,,,,,,14135,19173,,,,14722,,,,,,,,,,82825.0,130855.0,0.0,5932,,,0.0,7571.0,475.0,13978.0,500,14478.0,145333.0,
12/31/2002,157253,10288,,,0.0,,29087,,,,,,29003,-1181,27822,2979,,1538.0,1300.0,,,,0.0,113361.0,,,,,,,18317,29541,,,,7870,,,,,,,,,,87153.0,142881.0,0.0,5936,,,0.0,7606.0,319.0,13861.0,511,14372.0,157253.0,
03/31/2003,153471,8405,,,0.0,,27843,,,,,,28061,-790,27271,3004,,,,,,,0.0,114219.0,,,,,,,17702,17689,,,,17317,,,,,,,,,,86187.0,138895.0,0.0,5941,,,0.0,7809.0,319.0,14069.0,507,14576.0,153471.0,
06/30/2003,159043,6689,,,0.0,,29313,,,,,,29079,-1158,27921,3036,,,,,,,,120005.0,,,,,,,19153,16626,,,,17736,,,,,,,,,,90534.0,144049.0,0.0,6031,,,0.0,7920.0,541.0,14492.0,502,14994.0,159043.0,
09/30/2003,163963,6028,,,0.0,,29807,,,,,,29526,-1055,28471,3082,,,,,,,,125046.0,,,,,,,19492,15592,,,,18596,,,,,,,,,,95448.0,149128.0,0.0,6199,,,0.0,8325.0,311.0,14835.0,0,14835.0,163963.0,
12/31/2003,175001,5726,,,0.0,,31269,,,,,,33411,-1111,32300,3184,,2622.0,2100.0,,,,,132200.0,,,,,,,21250,22498,,,,17202,,,,,,,,,,98728.0,159678.0,0.0,6338,,,0.0,8793.0,192.0,15323.0,0,15323.0,175001.0,
03/31/2004,178096,4817,,,0.0,,31115,,,,,,32103,-1099,31004,3156,,,,,,,,139008.0,,,,,,,21480,15855,,,,23738,,,,,,,,,,101289.99,162362.99,0.0,6813,,,0.0,8435.0,485.001,15733.001,0,15733.001,178095.991,
06/30/2004,179185,6071,,,0.0,,31603,,,,,,34762,-1133,33629,3149,,,,,,,,138362.0,,,,,,,22320,16706,,,,23624,,,,,,,,,,101377.0,164027.0,0.0,7054,,,0.0,8309.0,-205.0,15158.0,0,15158.0,179185.0,
09/30/2004,179273,7621,,,0.0,,31917,,,,,,33510,-1104,32406,3123,,,,,,,,136612.0,,,,,,,19828,10506,,,,30630,,,,,,,,,,102469.0,163433.0,0.0,7195,,,0.0,8322.0,323.0,15840.0,0,15840.0,179273.0,
12/31/2004,194216,7808,,,0.0,,32398,,,,,,35340,-1084,34256,2380,,1509.0,1509.0,,,,,150121.0,,,,,,,20107,14316,,,,32676,,,,,,,,,,111097.0,178196.0,0.0,7566,,,0.0,8196.0,258.0,16020.0,0,16020.0,194216.0,
03/31/2005,189572,9279,,,0.0,,33668,,,,,,35385,-1061,34324,2989,,,,,,,,143636.0,,,,,,,20218,13393,,,,31240,,,,,,,,,,108588.0,173439.0,0.0,7923,,,0.0,8325.0,-115.0,16133.0,0,16133.0,189572.0,
06/30/2005,195739,9280,,,0.0,,35130,,,,,,37699,-992,36707,2965,,,,,,,,148364.0,,,,,,,23510,13369,,,,29901,,,,,,,,,,111795.0,178575.0,0.0,8163,,,0.0,8697.0,304.0,17164.0,0,17164.0,195739.0,
09/30/2005,108824,7623,,,0.0,,33060,,,,,,38553,-1053,37500,2217,,,,,,,,65924.0,,,,,,,22194,15014,,,,29110,,,,,,,,,,32604.0,98922.0,0.0,8630,,,0.0,1353.0,-81.0,9902.0,0,9902.0,108824.0,
12/31/2005,113960,7126,,,0.0,,35497,,,,,,41898,-1097,40801,2230,,1489.0,1489.0,,,,,67618.0,,,,,,,24579,15633,,,,30781,,,,,,,,,,32418.0,103411.0,0.0,8900,,,0.0,1788.0,-139.0,10549.0,0,10549.0,113960.0,
03/31/2006,110065,5393,,,0.0,,34175,,,,,,41507,-1162,40345,2220,,,,,,,,68277.0,,,,,,,20068,15177,,,,30932,,,,,,,,,,33283.0,99460.0,0.0,9146,,,0.0,1629.0,-170.0,10605.0,0,10605.0,110065.0,
06/30/2006,117281,6798,,,0.0,,35795,,,,,,45215,-1199,44016,2215,,,,,,,,72473.0,,,,,,,22056,15035,,,,36173,,,,,,,,,,33542.0,106806.0,0.0,9224,,,0.0,1349.0,-98.0,10475.0,0,10475.0,117281.0,
09/30/2006,120931,7978,,,0.0,,36456,,,,,,47144,-1236,45908,2261,,,,,,,,74236.0,,,,,,,21861,15220,,,,39407,,,,,,,,,,33687.0,110175.0,0.0,9381,,,0.0,1408.0,-33.0,10756.0,0,10756.0,120931.0,
12/31/2006,128329,5306,,,0.0,,38665,,,,,,44323,-1207,43116,2350,,1625.0,1469.0,,,,,80383.0,,,,,,,12010,15236,,,,42747,,,,,,,,,,47825.0,117818.0,0.0,9878,,,0.0,1153.0,-520.0,10511.0,0,10511.0,128329.0,
03/31/2007,126361,7979,,,0.0,,37513,,,,,,50601,-1374,49227,2502,,,,,,,,78367.0,,,,,,,22523,15029,,,,43729,,,,,,,,,,34585.0,115866.0,0.0,10036,,,0.0,959.0,-500.0,10495.0,0,10495.0,126361.0,
06/30/2007,134372,7371,,,0.0,,39501,,,,,,56975,-1528,55447,2575,,,,,,,,84925.0,,,,,,,22625,15802,,,,49873,,,,,,,,,,35437.0,123737.0,0.0,10234,,,0.0,1024.0,-623.0,10635.0,0,10635.0,134372.0,
09/30/2007,140927,8410,,,0.0,,40230,,,,,,51421,-1516,49905,2589,,,,,,,,89698.0,,,,,,,9036,15442,,,,54060,,,,,,,,,,51491.0,130029.0,0.0,10333,,,0.0,1126.0,-561.0,10898.0,0,10898.0,140927.0,
12/31/2007,149743,8878,,,0.0,,41994,,,,,,55215,-1876,53339,2692,,1712.0,1508.0,,,,,94467.0,,,,,,,15397,17761,,,,55285,,,,,,,,,,50271.0,138714.0,0.0,10396,,,0.0,1075.0,-442.0,11029.0,0,11029.0,149743.0,
03/31/2008,135288,19489,,,0.0,,41087,,,,,,50420,-1966,48454,2740,,,,,,,,71972.0,,,,,,,13995,18994,,,,55534,,,,,,,,,,35254.0,123777.0,0.0,10518,,,0.0,1654.0,-661.0,11511.0,0,11511.0,135288.0,
06/30/2008,137330,20091,,,0.0,,42666,,,,,,50470,-2641,47829,2791,,,,,,,,71782.0,,,,,,,14846,17519,,,,57035,,,,,,,,,,35661.0,125061.0,0.0,10626,,,0.0,2094.0,-451.0,12269.0,0,12269.0,137330.0,
09/30/2008,127218,15556,,,0.0,,40707,,,,,,46755,-2684,44071,2839,,2300.0,,,,,,65816.0,,,,,,,11866,13902,,,,57797,,,,,,,,,,31134.0,114699.0,0.0,10691,,,0.0,2694.0,-866.0,12519.0,0,12519.0,127218.0,
12/31/2008,126074,20547,,,0.0,,36571,,,,,,43268,-2609,40659,2948,,3018.0,2301.0,,,,,62990.0,,,,,,,15486,8993,,,,60041,,,,,,,,,,29713.0,114233.0,0.0,10728,,,0.0,2719.0,-1606.0,11841.0,0,11841.0,126074.0,
03/31/2009,121183,20797,18204.0,18204.0,,0.0,32341,,37371.0,37371.0,0.0,0.0,37371,-3054,34317,2854,2854.0,3000.0,,,,1313.0,,8357.0,,,16747.0,7497.0,9250.0,1354.0,18101,2867,,,2867.0,57620,,,57620.0,,,,,483.0,19.0,26313.0,105403.0,3389.0,10600,235.0,10365.0,0.0,3044.0,-1253.0,15780.0,0,15780.0,121183.0,
06/30/2009,117035,15615,22319.0,22319.0,,0.0,34641,,33037.0,33037.0,0.0,0.0,33037,-3250,29787,2763,2763.0,3000.0,,,,832.0,,8078.0,,,19105.0,7120.0,11985.0,1023.0,20128,2198,,,2198.0,53516,,,53516.0,,,,,596.0,,27177.0,103615.0,,11394,239.0,11155.0,0.0,2931.0,-905.0,13420.0,0,13420.0,117035.0,
09/30/2009,120445,18648,23798.0,23798.0,,0.0,34795,,32016.0,32016.0,0.0,0.0,32016,-3389,28627,2759,2759.0,3000.0,,,,1078.0,,7740.0,,,23152.0,9583.0,13569.0,711.0,23863,2202,,,2202.0,52850,,,52850.0,,,,,427.0,,27160.0,106502.0,0.0,11252,237.0,11015.0,0.0,3247.0,-556.0,13943.0,0,13943.0,120445.0,
12/31/2009,125145,16599,24337.0,24337.0,,0.0,38204,,33278.0,33278.0,0.0,0.0,33278,-3268,30010,2782,2782.0,3045.0,2328.0,717.0,4266.0,833.0,,5069.0,,,25579.0,10498.0,15081.0,710.0,26289,2344,,,2344.0,52338,,,52338.0,406.0,406.0,,1287.0,283.0,,27792.0,110739.0,0.0,11381,237.0,11144.0,0.0,3737.0,-712.0,14406.0,0,14406.0,125145.0,
03/31/2010,143314,21098,18341.0,18341.0,,0.0,35924,,58035.0,58035.0,0.0,0.0,58035,-5314,52721,2731,2731.0,3300.0,,,,922.0,,8277.0,,,27381.0,11837.0,15544.0,739.0,28120,1931,,,1931.0,72293,,,72293.0,,,,,241.0,,27304.0,129889.0,0.0,11540,238.0,11302.0,0.0,2925.0,-1040.0,13425.0,0,13425.0,143314.0,
06/30/2010,143763,20687,17328.0,17328.0,,0.0,37046,,57681.0,57681.0,0.0,0.0,57681,-4866,52815,2714,2714.0,3300.0,,,,1218.0,,8655.0,,,27634.0,12753.0,14881.0,718.0,28352,2609,,,2609.0,69345,,,69345.0,,,,,240.0,,28704.0,129250.0,0.0,11825,239.0,11586.0,0.0,3724.0,-1036.0,14513.0,0,14513.0,143763.0,
09/30/2010,146056,21341,17170.0,17170.0,,0.0,38032,,57600.0,57600.0,0.0,0.0,57600,-4318,53282,2799,2799.0,3300.0,,,,0.001414,,10131.998586,,,27675.0,13797.0,13878.0,690.0,28365,1919,,,1919.0,68828,,,68828.0,,,,,581.0,,30443.0,130136.0,0.0,11955,240.0,11715.0,0.0,4582.0,-617.0,15920.0,0,15920.0,146056.0,
12/31/2010,146689,16356,14010.0,14010.0,,0.0,40434,,61286.0,61286.0,0.0,0.0,61286,-3670,57616,2905,2905.0,3611.0,2639.0,972.0,4716.0,1089.0,,5952.0,,,29053.0,16590.0,12463.0,674.0,29727,3414,0.0,0.0,3414.0,66416,0.0,0.0,66416.0,,,,1319.0,419.0,,29164.0,130459.0,0.0,12175,238.0,11937.0,0.0,4972.0,-917.0,16230.0,0,16230.0,146689.0,
03/31/2011,143979,22027,9572.0,,,,40786,,58153.0,,0.0,0.0,58153,-2921,55232,2987,,4500.0,,,,,,64107.0,,,31054.0,20521.0,10533.0,702.0,31756,3375,,,,60730,,,,,,,,,,30636.0,126497.0,0.0,12429,,,0.0,5902.0,,18331.0,0,18331.0,144828.0,
06/30/2011,147796,23082,9429.0,9429.0,,0.0,43383,,59126.0,59126.0,0.0,0.0,59126,-2560,56566,3062,3062.0,4400.0,,,,1071.0,,6803.0,,,31580.0,22014.0,9566.0,711.0,32291,3702,,,3702.0,61395,,,61395.0,,,,,204.0,,31999.0,129591.0,0.0,12519,238.0,12281.0,0.0,6437.0,-751.0,18205.0,0,18205.0,147796.0,
09/30/2011,148693,24945,9269.0,9269.0,,0.0,42888,,58566.0,58566.0,0.0,0.0,58566,-2139,56427,3187,3187.0,4400.0,,,,1064.0,,6513.0,,,32510.0,22430.0,10080.0,632.0,33142,3649,,,3649.0,61767,,,61767.0,,,,,208.0,,31827.0,130593.0,0.0,12383,233.0,12150.0,0.0,6520.0,-803.0,18100.0,0,18100.0,148693.0,
12/31/2011,153337,24893,7147.0,7147.0,,0.0,44109,,63058.0,63058.0,0.0,0.0,63058,-1892,61166,3367,3367.0,4321.0,3172.0,1149.0,4709.0,1516.0,,2109.0,,,37271.0,25597.0,11674.0,627.0,37898,3424,0.0,0.0,3424.0,59570,0.0,0.0,59570.0,311.0,311.0,0.0,1834.0,108.0,,31398.0,134543.0,0.0,12449,232.0,12217.0,0.0,7221.0,-876.0,18794.0,0,18794.0,153337.0,
