Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Increase(Decrease) in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
05/31/1989,-145.048004,2.497,5.529,-2.022,-151.052002,,,,,,,,,,,,,,,,,,,
08/31/1989,-15.039,3.409,5.88,5.958,-30.285999,,,,,,,,,,,,,,,,,,,
11/30/1989,206.059998,3.729,5.277,2.486,194.567993,,,,,,,,,,,,,,,,,,,
02/28/1990,80.569,3.45,7.103,-3.927,73.943001,,,,,,,,,,,,,,,,,,,
05/31/1990,-100.780998,4.313,7.557,2.875,-115.526001,,,,,,,,,,,,,,,,,,,
08/31/1990,-137.871002,5.134,7.225,3.423,-153.653,,,,,,,,,,,,,,,,,,,
11/30/1990,-8.591,6.084,7.364,4.056,-26.094999,,,,,,,,,,,,,,,,,,,
02/28/1991,122.697998,6.78,7.826,4.898,103.194,,,,,,,,,,,,,,,,,,,
05/31/1991,-219.684006,9.074,8.118,6.049,-242.925003,,,,,,,,,,,,,,,,,,,
08/31/1991,-95.527,11.916,11.164,7.944,-126.551003,,,,,,,,,,,,,,,,,,,
11/30/1991,-290.59201,17.212,14.671,11.475,-333.950012,,,,,,,,,,,,,,,,,,,
02/29/1992,-363.993988,21.993999,26.077999,13.494,-425.559998,,,,,,,,,,,,,,,,,,,
05/31/1992,-725.866028,28.971001,24.236,19.313999,-798.387024,,,,,,,,,,,,,,,,,,,
08/31/1992,-392.588989,34.223999,25.341,22.816,-474.970001,,,,,,,,,,,,,,,,,,,
11/30/1992,293.68399,37.785999,26.223,54.529999,175.145004,,,,,,,,,,,,,,,,,,,
02/28/1993,544.275024,39.091,52.824001,28.206998,424.153015,,,,,,,,,,,,,,,,,544.275024,,
05/31/1993,-1370.553955,43.297001,30.004999,59.298,-1503.154053,,,,,,,,,,,,,,,,,,,
08/31/1993,-123.944,46.058998,45.912998,68.274002,-284.190002,,,,,,,,,,,,,,,,,,,
11/30/1993,49.562,42.960999,48.108002,50.640999,-92.148003,,,,,,,,,,,,,,,,,,,
02/28/1994,227.126999,47.143002,33.032001,42.283001,104.668999,,,,,,,,,,,,,,,,,227.126999,,
05/31/1994,-54.993,33.729,6.366,45.486,-140.574005,,,,,,,,,,,,,,,,,,,
08/31/1994,457.138,19.110001,6.281,-355.562012,787.309021,,,,,,,,,,,,,,,,,,,
11/30/1994,-439.313995,16.158001,6.63,557.666016,-1019.768005,,,,,,,,,,,,,,,,,,,
02/28/1995,939.926025,19.41,6.773,-149.764008,1063.506958,,,,,,,,,,,,,,,,,939.926025,,
05/31/1995,-738.896973,36.175999,6.917,63.040001,-845.030029,,,,,,,,,,,,,,,,,,,
08/31/1995,-489.437012,48.952,7.258,193.132996,-738.780029,,,-3.901,,,,,,,,,,,,,,,,
11/30/1995,-195.153,52.953999,7.911,-107.103996,-148.914001,,,-7.264,,,,,,,,,,,,,,,,
02/29/1996,-40.852001,57.638,8.459,215.421997,-322.371002,-7.838,,-7.838,,,,,,,,,,,,,,-48.690001,,
05/31/1996,-133.427994,60.624001,9.036,-209.360001,6.272,,,-13.138,,,,,,,,,,,,,,,,
08/31/1996,1210.775024,62.497002,9.706,362.714996,775.856995,,,-10.21,,,,,,,,,,,,,,,,
11/30/1996,-373.487,65.934998,10.506,76.748001,-526.676025,,,-46.417,,,,,,,,,,,,,,,,
02/28/1997,1282.786011,68.302002,11.13,92.720001,1110.634033,-7.529,,-7.529,,,,,,,,,,,,,,1275.257011,,
05/31/1997,-1863.453979,69.969002,11.224,110.154999,-2054.802002,,,-13.497,,,,,,,,,,,,,,,,
08/31/1997,796.651978,109.728996,11.545,78.378998,596.999023,,,-18.792999,,,,,,,,,,,,,,,,
11/30/1997,-1014.987,80.182999,9.79,-881.02002,-223.940002,,,-20.632,,,,,,,,,,,,,,,,
02/28/1998,-373.979004,85.101997,12.371,1400.723022,-1872.175049,,,-17.974001,,,,,,,,,,,,,,,,
05/31/1998,-528.161987,90.753998,12.996,-180.134995,-451.777008,,,-23.021999,,,,,,,,,,,,,,,,
08/31/1998,610.317993,95.077003,13.838,-632.455017,1133.858032,,,-30.014,,,,,,,,,,,,,,,,
11/30/1998,-1700.93103,97.971001,14.584,681.965027,-2495.450928,,,-32.446999,,,,,,,,,,,,,,,,
02/28/1999,615.309998,101.598999,7.792,-403.681,909.599976,,,-34.023998,,,,,,,,,,,,,,,,
05/31/1999,-1000.51001,103.378998,15.752,-795.19397,-324.446991,,,-27.042999,,,,,,,,,,,,,,,,
08/31/1999,1521.947021,106.502998,15.236,322.901001,1077.307007,,,-32.509998,,,,,,,,,,,,,,,,
11/30/1999,4693.640137,100.564003,14.951,-104.772003,4682.896973,,,-18.405001,,,,,,,,,,,,,,,,
02/29/2000,-2770.067148,99.797001,20.008,878.662972,-3768.534989,,77.957998,,,,,,0.0,,,,,,,,,,,
05/31/2001,-2560.855957,123.050003,17.500999,33.514999,-2734.922119,,,-15.331,,,,,,,,,,,,,,,,
08/31/2001,-1895.503052,149.233994,16.118999,-657.379028,-1403.477051,,,-45.977001,,,,,,,,,,,,,,,,
11/30/2001,-3044.412109,161.011002,-2.164,-325.493988,-2877.764893,,,-19.000999,,,,,,,,,,,,,,,,
12/31/2001,-1448.770996,52.710999,12.922,261.527008,-1775.93103,,,-15.497,,,,,,,,,,,,,,,,
03/31/2002,5196.845215,167.559006,19.622,-166.048996,5175.712891,,,-25.42,,,,,,,,,,,,,,,,
06/30/2002,-888.984009,190.856003,20.007,819.177002,-1919.024048,,,-59.314999,,,,,,,,,,,,,,,,
09/30/2002,-1549.292969,228.487,2.739,474.821014,-2255.340088,,,-41.129002,,,,,,,,,,,,,,,,
12/31/2002,-6430.667969,254.876999,13.746,719.786987,-7419.078125,,,-44.969002,,,,,,,,,,,,,,,,
03/31/2003,-6055.76,326.291,25.862,1899.233,-8307.146,-7061.241,0.0,-70.554,-4471.589,445.497,-1704.418,-1260.177,12865.85,-16.004,9395.469,2118.786,-1274.0,116.217,0.0,2525.382,0.0,-251.151,,
06/30/2003,-10444.459961,267.921997,41.207001,-335.679993,-10417.910156,,,-47.144001,,,,,,,,,,,,,,,,
09/30/2003,7990.166016,1215.005981,35.755001,-433.141998,7172.546875,,,-82.074997,,,,,,,,,,,,,,,,
