Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,771.038025,,,-698.684021,72.353996,-27.49,,25.993,70.856997,-26.120001,44.737,,,44.737,-3.371,41.365999,,41.365996,,0.64,0.64,64.943001,,,,,
06/30/1990,608.090027,,,-591.26001,16.83,-27.813,,12.656,1.673,3.991,5.664,9.367,,15.031,-3.575,11.456,,2.089,,0.04,0.18,65.008003,,,,,
09/30/1990,641.739014,,,-629.507019,12.232,-30.167,,5.486,-12.448999,9.16,3.289,,,3.289,-3.604,-0.315,,-6.893,,-0.11,-0.11,64.647003,,,,,
12/31/1990,794.213989,,,-739.703003,54.511002,-30.832001,0.388,28.65,52.717001,-18.459,34.257999,12.059001,,46.317001,-3.794,42.523001,,30.464001,0.47,0.47,0.66,65.038002,0.47,0.47,0.66,65.038002,
03/31/1991,807.468994,,,-713.955017,93.514,-28.528999,,-1.286,63.699001,-22.601999,41.097,,,41.097,-3.56,37.537,,37.537001,,0.58,0.58,64.947998,,,,,
06/30/1991,609.65802,,,-607.054993,2.603,-27.711,,6.766,-18.342001,5.682,-12.66,,,-12.66,-3.444,-16.104,,-16.104001,,-0.25,-0.25,64.962997,,,,,
09/30/1991,621.978027,,,-619.901001,2.077,-26.375999,,0.936,-23.363,10.077,-13.286,,,-13.286,-3.889,-17.175,,-17.175,,-0.26,-0.26,65.063004,,,,,
12/31/1991,795.567993,,,-760.708008,34.860001,-29.361,-0.101,2.692,8.090001,-4.176,3.914,,,3.914,-3.276,0.638,,0.638001,0.01,0.01,0.01,65.223,0.01,0.01,0.01,65.223,
03/31/1992,489.832001,,,-423.436005,66.396004,-27.164,,12.3,51.532004,-19.540001,31.992001,2.365,,34.356998,-3.246,31.110998,,28.746003,,0.44,0.48,65.412003,,,,,
06/30/1992,341.428986,,,-335.458008,5.971,-28.056999,,0.656,-21.429999,8.89,-12.54,-4.731,0.0,-17.271,-3.264,-20.535,,-15.803999,,-0.24,-0.31,65.612999,,,,,
09/30/1992,332.127014,,,-328.015991,4.111,-27.733999,,1.146,-22.476999,9.162,-13.315,-2.325,0.0,-15.64,-3.245,-18.885,,-16.559999,,-0.25,-0.29,65.791,,,,,
12/31/1992,551.172974,,,-504.442993,46.73,-14.095,0.0,-37.554001,-4.919001,2.296,-2.623,-26.829,0.0,-29.4519,-3.197,-32.6489,,-5.820001,-0.08,-0.08,-0.49,65.975998,-0.08,-0.08,-0.49,65.975998,
03/31/1993,552.512024,,,-474.050995,78.460999,-20.784,0.0,0.097,57.773998,-19.785,37.988998,0.221,0.0,38.209999,-3.184,35.025999,,34.804998,,0.53,0.53,66.250999,,,,,
06/30/1993,353.190002,,,-327.634003,25.556,-17.686001,0.0,0.681,8.550999,-3.484,5.067,-0.012,0.0,5.055,-3.166,1.889,,1.900999,,0.03,0.03,66.553001,,,,,
09/30/1993,331.101013,,,-330.912994,0.188,-18.565001,0.0,-5.935,-24.312,-3.353,-27.665001,4.851,0.0,-22.813999,-3.156,-25.969999,,-30.821,,-0.46,-0.39,66.453003,,,,,
12/31/1993,496.39801,,,-533.471008,-37.073002,-19.969,0.0,5.354,-51.688002,20.139,-31.549,70.334999,0.0,38.785999,-3.157,35.628999,,-34.706002,-0.52,-0.52,0.53,66.832001,-0.52,-0.52,0.53,66.832001,
03/31/1994,636.18103,,,-564.945007,71.236,-16.6,0.0,-1.366,53.27,-17.819,35.451,0.562,-0.121,35.891998,-2.844,33.047998,,32.485999,,0.48,0.49,68.014,,,,,
06/30/1994,409.962006,,,-410.770996,-0.809,-16.683001,0.0,-0.688,-18.180001,6.057,-12.123,0.743,-0.119,-11.499,-2.772,-14.271,,-15.014001,,-0.22,-0.21,67.968002,,,,,
09/30/1994,493.618988,,,-497.302002,-3.683,-17.962,0.0,-0.837,-22.482,7.661,-14.821,0.399,-0.104,-14.526,-2.98,-17.506,,-17.905,,-0.27,-0.26,68.011002,,,,,
12/31/1994,555.745972,,,-533.843994,21.902,-18.065001,0.0,-3.157,0.679999,72.837997,73.517998,18.938,-0.229,92.226997,-3.023,89.203997,,70.265996,1.03,1.03,1.31,66.886002,1.03,1.03,1.31,66.886002,
03/31/1995,612.640991,,,-545.109009,67.531998,-17.586,0.0,-0.882,49.063997,-18.121,30.943001,0.0,-0.127,30.816,-3.036,27.78,,27.779997,,0.41,0.41,68.233002,,,,,
06/30/1995,396.160004,,,-400.097992,-3.938,-18.919001,0.0,0.114,-22.743001,8.231,-14.512,0.0,-0.12,-14.632,-2.981,-17.613,,-17.613001,,-0.26,-0.26,68.197998,,,,,
09/30/1995,414.546997,,,-410.433014,4.114,-26.018,0.0,-0.536,-22.44,8.857,-13.583,0.0,-0.188,-13.771,-2.866,-16.637,,-16.636999,,-0.24,-0.24,68.271004,,,,,
12/31/1995,507.891998,,,-477.871002,30.021,-20.801001,0.0,0.278,9.497999,0.112,9.61,0.0,1.03,10.64,-2.807,7.833,,7.832999,0.11,0.11,0.11,68.426003,0.11,0.11,0.11,68.426003,
03/31/1996,678.643005,-468.718994,209.924011,-139.531998,70.391998,-22.656,0.0,-0.782,46.953998,-17.17,29.784,0.0,-0.007,29.777,-2.759,27.018,,27.017998,0.39,0.39,0.39,68.474998,,,,,
06/30/1996,415.154999,-260.299988,154.855011,-139.779999,15.075,-23.605,0.0,-1.868,-10.398,4.58,-5.818,0.0,-0.883,-6.701,-2.817,-9.518,,-9.518,-0.14,-0.14,-0.14,68.886002,,,,,
09/30/1996,385.515015,-245.240005,140.275009,-135.578995,4.696,-24.375999,0.0,-3.324,-23.003999,8.068,-14.936,-2.096,-0.345,-17.377001,-2.886,-20.263001,,-18.166999,-0.26,-0.26,-0.29,69.413002,,,,,
12/31/1996,663.312012,-458.502014,204.809998,-148.653,56.157001,-24.233,0.0,-5.248,26.676002,-11.216,15.46,-1.56,-0.557,13.343,-2.877,10.466,,12.026002,0.17,0.17,0.15,70.254997,,,,,
03/31/1997,867.96698,-643.224976,224.742004,-142.632996,82.109001,-24.809,0.0,-428.315002,-371.015001,130.641006,-240.373993,0.0,39.449001,-200.925003,-2.862,-203.787003,426.229004,222.44201,0.56,-2.89,-2.89,70.448997,,,,,
