Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,Earnings Per Share,EPS Surprise %,EBIT,EBITDA,EBITDA Surprise %,Gross Margin %,Pretax Income (Loss),Pretax Income (Loss) Surprise %,Net Income,Net Income Surprise %,Source: Bloomberg
03/31/2011,,,,,676.0,1138.8,,,,,,,,,,,
06/30/2011,,,,,1039.0,871.3,,,,,,,,,,,
09/30/2011,,,,,1049.0,1299.45,,,,,,,,,,,
12/31/2011,,,,,2011.0,560.35,,,,,,,,,,,
03/31/2012,,592.5,636.0,29.9472070844687,636.0,852.4,,,,,,,,,,7.34177215189873,
06/30/2012,,1139.5,1417.0,-6.40691962975284,1181.0,1124.5,,25.3513209668353,,,,,,,,24.352786309785,
09/30/2012,,1488.167,1894.0,-16.987446116615,1599.0,2103.95,,26.0076368264743,,,,,,,,27.2706624995716,
12/31/2012,,1065.286,1312.0,-10.2709869227215,708.0,708.0,,22.1826809015421,,,,,,,,23.1594144671008,
03/31/2013,,1102.25,1381.0,1.70851856301814,1407.0,1350.75,,16.118769883351,,,,,,,,25.2891812202313,
06/30/2013,,1189.125,958.0,3.5806468999467,958.0,776.05,,-17.172832689122,,,,,,,,-19.4365604961631,
09/30/2013,,629.0,535.0,22.0051456968077,535.0,619.15,,-6.85224839400429,,,,,,,,-14.9443561208267,
12/31/2013,,628.857,808.0,1.77870516369528,826.0,844.4,,21.9290263876251,,,,,,,,28.4870805286417,
03/31/2014,,861.143,866.0,-4.20706694014544,1572.0,814.65,,9.29368029739777,,,,,,,,0.564017822823848,
06/30/2014,,1127.286,863.0,-2.39078232295572,863.0,907.2,,-10.3857566765579,,,,,,,,-23.4444497669624,
09/30/2014,,917.143,1140.0,,1180.0,975.55,,15.6930126002291,,,,,,,,24.2990460593386,
12/31/2014,,783.2,913.0,-14.4582680719801,1147.0,474.8,,15.8493248045487,,,,,,,,16.5730337078652,
03/31/2015,,777.5,834.0,-19.4364527167702,987.0,813.2,,5.44692737430168,,,,,,,,7.26688102893891,
06/30/2015,,1023.0,1002.0,6.37694569224111,1012.0,1013.8,,0.937672366243802,,,,,,,,-2.05278592375367,
09/30/2015,,1159.125,1647.0,-15.4371868947966,1578.0,1442.25,,34.1625944024878,,,,,,,,42.0899385312197,
12/31/2015,,688.4,710.0,-5.21573756948867,650.0,671.35,,4.21638822593478,,,,,,,,3.13771063335271,
03/31/2016,,532.75,360.0,-20.3667791366342,385.0,434.1,,-24.1223103057758,,,,,,,,-32.4260910370718,
06/30/2016,,713.667,499.0,-9.91496160387569,496.0,668.0,,0.64239828693789,,,,,,,,-30.0794348064293,
09/30/2016,,470.778,556.0,-15.3104285588399,511.0,530.65,,19.0476190476191,,,,,,,,18.1023752171937,
12/31/2016,,199.714,83.0,1.78734238186165,163.0,581.45,,-59.5959595959596,,,,,,,,-58.4405700151216,
03/31/2017,,29.443,294.0,-13.2625326074826,535.0,322.6,,1202.32558139535,,,,,,,,898.539550996841,
06/30/2017,,612.7,569.0,-10.9698566629542,550.0,423.490328,,8.02775024777009,,,,,,,,-7.13236494205974,
09/30/2017,,822.556,858.0,-5.96382948184297,823.0,1062.10002,,5.79987253027406,,,,,,,,4.30900753261783,
12/31/2017,,454.714,548.0,1.11375171191493,3198.0,664.859668,,22.0068415051311,,,,,,,,20.5153129219685,
03/31/2018,,448.571,512.0,-21.4250079739599,524.0,514.48,,13.7855579868709,,,,,,,,14.1402364397163,
06/30/2018,,1028.667,1322.0,0.0656488292625448,1339.0,1575.21,,28.0878316559927,,,,,,,,28.515836514635,
09/30/2018,,1140.4,1456.0,-0.270578647106764,1492.0,1634.98301,,25.6586947709769,,,,,,,,27.674500175377,
12/31/2018,,1197.0,2260.0,-5.62344250060086,2240.0,1720.49,,61.9554373129365,,,,,,,,88.8053467000835,
03/31/2019,,260.625,187.0,-4.22540913093202,204.0,422.009996,,17.6470588235294,,,1.50451311948456,,,-50.9719222462203,,-28.2494004796163,
06/30/2019,,1171.125,1379.0,-2.16406850367768,1424.0,1324.49,,10.2592186929536,,,9.882115502974,,,,,17.7500266837443,
09/30/2019,,1185.0,1402.0,0.020168987300736,712.0,1247.920856,,20.0772200772201,,,17.1070809563496,,,,,18.3122362869198,
12/31/2019,,825.111,689.0,8.22901628259718,736.0,795.15,,-1.21872995509942,,,2.31425394198919,,,,,-16.4960835572426,
03/31/2020,,288.571,450.0,-12.667492751816,-2496.0,53.271606,,63.9871382636656,,,20.4851482501933,,,5.51351351351351,,55.9408256546916,
06/30/2020,,-423.667,-324.0,-23.2878588102993,-141.0,-511.761818,,20.0863930885529,,,-7.94964407195708,,,,,23.5248438042142,
09/30/2020,,17.429,,,,,,,,,,,,,,,
12/31/2020,,213.143,,,,,,,,,,,,,,,
