Date,Revenue,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Purchased Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,928.900024,562.200012,0.0,0.0,366.700012,-373.600006,373.600006,373.600006,,0.0,,,,555.300018,-264.799988,,114.599998,46.099998,104.099998,290.5,-87.600002,,,4.2,,87.400002,92.0,-4.6,0.0,4.4,202.899998,-63.599998,,,,139.300003,0.0,,,139.3,-8.5,130.800003,-4.8,,126.000003,126.000003,,242.606995,0.52,0.52,0.52,242.606995,0.52,0.52,0.52,
06/30/1990,892.099976,498.299988,0.0,0.0,393.799988,-396.0,396.0,396.0,,0.0,,,,496.099976,-268.899994,,119.199997,47.400002,102.300003,227.199997,-86.300002,,,4.1,,86.900002,92.099998,-5.2,0.0,3.5,140.899995,-44.5,,,,96.400002,0.0,,,96.399995,-0.3,96.099998,-5.3,,90.799998,90.799998,,238.908005,0.38,0.38,0.38,238.908005,0.38,0.38,0.38,
09/30/1990,964.900024,539.200012,0.0,0.0,425.700012,-427.399994,427.399994,427.399994,,0.0,,,,537.500031,-276.899994,,125.5,49.0,102.400002,260.600006,-92.099997,,,1.5,,86.699997,92.699997,-6.0,0.0,6.9,168.500009,-53.099998,,,,115.400002,0.0,,,115.400011,-6.0,109.400002,-5.2,,104.200002,104.200002,,243.925003,0.43,0.43,0.43,243.925003,0.43,0.43,0.43,
12/31/1990,997.299988,584.799988,0.0,0.0,412.5,-525.599976,525.599976,525.599976,,0.0,,,,471.700012,-161.699997,,117.699997,44.0,,310.0,-106.899997,,,2.3,,94.699997,100.099998,-5.4,0.0,14.5,203.100003,-48.5,,,,154.600006,0.0,,,154.600003,-17.0,137.600006,-5.8,,131.800006,131.800006,,252.427994,0.52,0.52,0.52,252.427994,0.52,0.52,0.52,
03/31/1991,789.5,789.5,0.0,0.0,,-542.700012,542.700012,542.700012,,0.0,,,,246.799988,0.0,,,,,246.800003,-128.399999,,,2.4,,88.0,92.400002,-4.4,0.0,42.799999,118.400004,,,,,118.400002,-17.6,,,,,136.0,-6.7,,129.3,129.3,,253.880005,0.51,0.44,0.44,253.880005,0.51,0.44,0.44,
06/30/1991,735.900024,735.900024,0.0,0.0,,-531.200012,531.200012,531.200012,,0.0,,,,204.700012,0.0,,,,,204.699997,-123.999999,,,2.8,,99.099998,105.5,-6.4,0.0,27.700001,80.699998,,,,,80.699997,-5.4,,,,,86.099998,-6.2,,79.899999,79.899999,,258.920013,0.31,0.29,0.29,258.920013,0.31,0.29,0.29,
09/30/1991,790.200012,790.200012,0.0,0.0,,-553.799988,553.799988,553.799988,,0.0,,,,236.400024,0.0,,,,,236.399994,-116.099999,,,1.7,,101.099998,106.5,-5.4,0.0,16.700001,120.299995,,,,,120.300003,-0.2,,,,,120.5,-5.9,,114.6,114.6,,259.725006,0.44,0.44,0.44,259.725006,0.44,0.44,0.44,
01/01/1992,852.700012,852.700012,0.0,0.0,,-599.299988,599.299988,599.299988,,0.0,,,,253.400024,0.0,,,,,253.399994,-126.000001,,,4.4,,37.599998,31.6,6.0,0.0,92.800003,127.399992,,,,,127.400002,-37.200001,,,,,164.600006,-9.2,,155.400006,155.400006,,260.875,0.6,0.46,0.46,260.875,0.6,0.46,0.46,
03/31/1992,780.0,780.0,0.0,0.0,0.0,-366.5,366.5,366.5,,0.0,,,,413.5,-331.799988,58.700001,138.899994,30.0,104.199997,81.699997,-77.2,,,2.8,,80.0,81.900002,-1.9,0.0,0.0,4.499997,1.1,,,,5.6,145.800003,,,-140.200006,-39.299999,-179.5,-7.2,,-186.7,-186.7,,263.035004,-0.71,-0.16,-0.16,263.035004,-0.71,-0.16,-0.16,
06/30/1992,773.299988,773.299988,0.0,0.0,0.0,-294.0,294.0,294.0,,0.0,,,,479.299988,-293.100006,71.5,103.099998,30.9,87.599998,186.199997,-83.699998,,,0.9,,84.599998,86.599998,-2.0,0.0,0.0,102.499998,-27.6,,,,74.900002,-1.4,,,76.299998,-8.9,67.400002,-9.2,,58.200002,58.200002,,264.824005,0.22,0.21,0.21,264.824005,0.22,0.21,0.21,
09/30/1992,821.0,599.900024,0.0,0.0,221.100006,-314.100006,314.100006,314.100006,,0.0,,,,506.899994,-278.299988,65.699997,102.900002,30.799999,0.0,228.600006,-88.800003,,,2.4,,87.800003,85.400002,2.4,0.0,3.4,139.800003,-46.599998,,,,93.199997,26.700001,,,66.500004,,66.5,-11.9,,54.6,54.6,,268.265991,0.22,0.32,0.32,268.265991,0.22,0.32,0.32,
12/31/1992,867.700012,209.199997,0.0,0.0,658.5,-300.0,300.0,300.0,,0.0,,,,567.700012,-431.200012,92.0,107.599998,31.6,200.0,136.5,-75.499998,,,1.2,,80.099998,87.5,-7.4,0.0,-3.4,61.000002,-17.700001,,,,43.299999,319.5,,,-276.199999,-18.6,-294.799988,-10.7,,-305.499988,-305.499988,,269.983002,-1.42,-0.24,-0.24,266.527008,-1.42,-0.24,-0.24,
03/31/1993,862.299988,648.700012,0.0,0.0,213.600006,-344.399994,344.399994,344.399994,,0.0,,,,517.899994,-272.0,67.599998,97.699997,33.099998,73.599998,245.899994,-79.899998,,,1.2,,81.099998,83.599998,-2.5,0.0,0.0,165.999995,-60.099998,,,,105.900002,-4.0,,,109.899997,6.6,116.5,-10.2,,106.3,106.3,,271.152008,0.39,0.38,0.38,271.152008,0.39,0.38,0.38,
06/30/1993,809.200012,577.200012,0.0,0.0,232.0,-313.399994,313.399994,313.399994,,0.0,,,,495.800018,-296.600006,79.099998,101.199997,31.6,84.699997,199.199997,-85.699997,,,2.0,,87.699997,88.300003,-0.6,0.0,0.0,113.5,-28.799999,,,,84.699997,0.0,,,84.700001,7.2,91.900002,-9.8,,82.100001,82.100001,,272.541992,0.3,0.3,0.3,272.541992,0.3,0.3,0.3,
09/30/1993,861.700012,621.5,0.0,0.0,240.199997,-336.600006,336.600006,336.600006,,0.0,,,,525.100006,-286.700012,72.900002,103.199997,31.799999,78.800003,238.399994,-78.600003,,,0.5,,77.300003,79.5,-2.2,0.0,1.8,159.799991,-54.599998,,,,105.199997,-52.400002,,,157.599994,0.0,157.600006,-9.7,,147.900006,147.900006,,273.817993,0.54,0.35,0.35,273.817993,0.54,0.35,0.35,
12/31/1993,879.200012,659.599976,0.0,0.0,219.600006,-345.200012,345.200012,345.200012,,0.0,,,,534.0,-302.0,77.599998,102.699997,23.4,98.300003,232.0,-65.1,,,0.6,,67.5,71.800003,-4.3,0.0,-1.8,166.9,-43.900002,,,,123.0,0.0,,,122.999998,-9.9,113.099998,-9.8,,103.299998,103.299998,,280.690002,0.37,0.37,0.37,280.690002,0.37,0.37,0.37,
03/31/1994,865.299988,653.799988,0.0,0.0,211.5,-342.5,342.5,342.5,,0.0,,,,522.799988,-272.700012,65.599998,105.699997,31.799999,69.599998,250.100006,-70.500003,,,1.3,,71.800003,75.099998,-3.3,0.0,0.0,179.600003,-63.299999,,,,116.300003,0.0,,,116.300004,4.2,120.5,-9.9,,110.6,110.6,,281.449005,0.39,0.39,0.39,281.449005,0.39,0.39,0.39,
06/30/1994,836.099976,612.900024,0.0,0.0,223.199997,-336.100006,336.100006,336.100006,,0.0,,,,499.999969,-289.700012,83.699997,112.0,31.799999,62.200001,210.300003,-80.3,,,0.2,,80.5,83.300003,-2.8,0.0,0.0,130.000003,-48.099998,,,,81.900002,0.0,,,81.900005,7.4,89.300003,-9.9,,79.400003,79.400003,,282.445007,0.28,0.28,0.28,282.445007,0.28,0.28,0.28,
09/30/1994,915.0,679.900024,0.0,0.0,235.100006,-363.100006,363.100006,363.100006,,0.0,,,,551.899994,-286.5,70.099998,105.300003,31.9,79.199997,265.399994,-72.800003,,,0.0,,72.800003,76.099998,-3.3,0.0,0.0,192.599991,-72.0,,,,120.599998,0.0,,,120.599991,11.2,131.800003,-9.8,,122.000003,122.000003,,283.502991,0.43,0.43,0.43,283.502991,0.43,0.43,0.43,
12/31/1994,890.099976,701.400024,0.0,0.0,188.699997,-358.600006,358.600006,358.600006,,0.0,,,,531.49997,-263.0,72.900002,101.300003,27.200001,61.599998,268.5,-68.400002,,,0.0,,66.900002,72.0,-5.1,0.0,1.5,200.099998,-66.400002,,,,133.699997,0.0,,,133.699996,-7.3,126.400002,-10.0,,116.400002,116.400002,,284.214996,0.41,0.41,0.41,284.214996,0.41,0.41,0.41,
03/31/1995,854.200012,648.5,0.0,0.0,205.699997,-321.600006,321.600006,321.600006,,0.0,,,,532.600006,-268.200012,67.099998,110.199997,31.6,59.299999,264.399994,-79.900002,,,0.0,,79.900002,83.300003,-3.4,0.0,0.0,184.499992,-67.400002,,,,117.099998,0.0,,,117.099991,-2.3,114.800003,-10.3,,104.500003,104.500003,,284.26001,0.37,0.37,0.37,284.26001,0.37,0.37,0.37,
06/30/1995,807.900024,592.900024,0.0,0.0,215.0,-298.600006,298.600006,298.600006,,0.0,,,,509.300018,-291.700012,83.5,113.0,32.0,63.200001,217.600006,-111.700002,,,0.2,,111.900002,115.699997,-3.8,0.0,0.0,105.900005,-25.6,,,,80.300003,0.0,,,80.300004,13.2,93.5,-9.9,,83.6,83.6,,284.277008,0.29,0.29,0.29,284.277008,0.29,0.29,0.29,
09/30/1995,849.700012,668.099976,0.0,0.0,181.600006,-302.200012,302.200012,302.200012,,0.0,,,,547.5,-263.100006,67.699997,107.900002,30.1,57.400002,284.399994,-79.199997,,,0.0,,79.199997,83.199997,-4.0,0.0,0.0,205.199997,-82.099998,,,,123.099998,0.0,,,123.099998,45.900002,169.0,-10.2,,158.8,158.8,,284.277008,0.56,0.56,0.56,284.277008,0.56,0.56,0.56,
12/31/1995,889.099976,732.599976,0.0,0.0,156.5,0.0,,,,0.0,,,,889.099976,-607.700012,62.700001,112.900002,26.5,405.600006,281.399994,-92.800003,,,0.0,,92.800003,96.699997,-3.9,0.0,0.0,188.599991,-63.700001,,,,124.900002,0.0,,,124.89999,2.8,127.699997,-8.0,,119.699997,119.699997,,284.277008,0.42,0.42,0.42,284.277008,0.42,0.42,0.42,
03/31/1996,1004.700012,705.099976,0.0,0.0,299.600006,-385.600006,385.600006,385.600006,,0.0,,,,619.100006,-306.799988,62.299999,128.600006,32.299999,83.599998,312.299988,-107.500001,,,0.0,,114.400002,117.599998,-3.2,0.0,-6.9,204.799986,-74.900002,,,,129.899994,0.0,,,129.899985,0.0,129.899994,-9.1,,120.799994,120.799994,,286.48999,0.42,0.42,0.42,286.48999,0.42,0.42,0.42,
06/30/1996,856.599976,665.400024,0.0,0.0,191.199997,-378.700012,378.700012,378.700012,,0.0,,,,477.899963,-259.399994,59.900002,105.0,27.4,67.099998,218.5,-98.2,,,0.0,,95.0,98.400002,-3.4,0.0,3.2,120.3,-39.0,,,,81.300003,-17.899998,,,99.199998,0.0,99.199997,-8.7,,90.499997,90.499997,,293.864014,0.31,0.249,0.31,293.864014,0.31,0.249,0.31,
09/30/1996,1011.900024,789.0,0.0,0.0,222.899994,-464.200012,464.200012,464.200012,,0.0,,,,547.700012,-250.399994,49.200001,106.099998,25.799999,69.300003,297.299988,-104.299997,,,0.0,,100.699997,103.099998,-2.4,0.0,3.6,192.999991,-70.400002,,,,122.599998,-20.299999,,,142.899989,0.0,142.899994,-5.7,,137.199994,137.199994,,294.395996,0.46,0.391,0.39,294.395996,0.46,0.391,0.39,
12/31/1996,1173.699951,1173.699951,0.0,0.0,,-281.399994,281.399994,281.399994,,0.0,,,,892.299957,-554.700012,89.599998,137.399994,23.6,304.100006,337.600006,-127.099997,,,0.0,,118.199997,120.699997,-2.5,0.0,8.9,210.50001,-75.099998,,,,135.399994,0.0,,,135.400011,-2.5,132.899994,,,132.899994,132.899994,,294.946014,0.43,0.43,0.43,294.946014,0.43,0.43,0.43,
