Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2001,2066.878,1043.226,69.101,974.125,40.986,40.986,,0.0,0.0,0.0,0.0,0.0,861.898,,,,1946.11,100.991,297.862,-196.871,0.0,,19.777,0.0,0.0,0.0,,,19.777,120.768,,23.834,23.834,,,,0.0,,,,,,1778.011,,,1778.011,1801.845,6.65,,,,,10.017,,,,,,10.017,16.667,1818.512,0.0,59.517,,,0.0,190.033,-1.184,248.366,0.0,248.366,2066.878,
03/31/2002,2090.024,902.981,65.902,837.079,43.395,43.395,,0.0,0.0,0.0,0.0,0.0,1012.018,,,,1958.394,76.451,,,0.0,,55.179,0.0,0.0,0.0,,,55.179,131.63,,16.022,16.022,,,,0.0,,,,,,1786.312,,,1786.312,1802.334,5.741,,,,,10.735,,,,,,10.735,16.476,1818.81,0.0,67.499,,,0.0,204.923,-1.208,271.214,0.0,271.214,2090.024,
06/30/2002,3094.362,999.305,48.106,951.199,48.601,48.601,,0.0,0.0,0.0,0.0,0.0,1907.313,,,,2955.219,111.33,,,0.0,,27.813,0.0,0.0,0.0,,,27.813,139.143,,18.448,18.448,,,,0.0,,,,,,2783.388,,,2783.388,2801.836,4.558,,,,,11.349,,,,,,11.349,15.907,2817.743,0.0,67.115,,,0.0,209.292,0.212,276.619,0.0,276.619,3094.362,
09/30/2002,2863.83,2117.297,197.164,1920.133,46.691,46.691,,0.0,0.0,0.0,0.0,0.0,559.759,,,,2723.747,108.839,,,0.0,,31.244,0.0,0.0,0.0,,,31.244,140.083,,16.218,16.218,,,,0.0,,,,,,2527.775,,,2527.775,2543.993,3.232,,,,,17.035,,,,,,17.035,20.267,2564.26,0.0,68.803,,,0.0,231.542,-0.775,299.57,0.0,299.57,2863.83,
12/31/2002,3355.016,1324.76,339.26,985.5,50.865,50.865,,0.0,0.0,0.0,0.0,0.0,1839.506,,,,3215.131,109.563,333.764,-224.201,0.0,,30.322,0.0,0.0,0.0,,,30.322,139.885,,27.607,27.607,,,,0.0,,,,,,2861.887,,,2861.887,2889.494,2.328,,,,,17.055,,,,,,17.055,19.383,2908.877,0.0,179.994,,,0.0,266.81,-0.665,446.139,0.0,446.139,3355.016,
03/31/2003,2386.685,356.954,356.954,0.0,63.708,63.708,,0.0,0.0,0.0,0.0,0.0,1825.394,,,,2246.056,107.438,,,0.0,,33.191,0.0,0.0,0.0,,,33.191,140.629,,27.222,27.222,,,,0.0,,,,,,1871.238,,,1871.238,1898.46,1.469,,,,,18.405,,,,,,18.405,19.874,1918.334,0.0,180.548,,,0.0,288.368,-0.565,468.351,0.0,468.351,2386.685,
06/30/2003,3640.25,1450.811,392.835,1057.976,69.316,69.316,,0.0,0.0,0.0,0.0,0.0,1976.667,,,,3496.794,107.096,,,0.0,,36.36,0.0,0.0,0.0,,,36.36,143.456,,29.173,29.173,,,,0.0,,,,,,3085.985,,,3085.985,3115.158,0.648,,,,,19.411,,,,,,19.411,20.059,3135.217,0.0,187.445,,,0.0,318.822,-1.234,505.033,0.0,505.033,3640.25,
09/30/2003,3795.607,1560.814,391.534,1169.28,58.195,58.195,,0.0,0.0,0.0,0.0,0.0,2035.608,,,,3654.617,106.909,,,0.0,,34.081,0.0,0.0,0.0,,,34.081,140.99,,17.821,17.821,,,,0.0,,,,,,3222.481,,,3222.481,3240.302,0.165,,,,,18.074,,,,,,18.074,18.239,3258.541,0.0,192.538,,,0.0,345.625,-1.097,537.066,0.0,537.066,3795.607,
12/31/2003,4872.636,1816.566,185.124,1631.442,52.972,52.972,,0.0,0.0,0.0,0.0,0.0,2853.841,,,,4723.379,118.203,344.228,-226.025,0.0,,31.054,0.0,0.0,0.0,,,31.054,149.257,,24.69,24.69,,,,0.0,,,,,,4263.285,,,4263.285,4287.975,0.0,,,,,21.666,,,,,,21.666,21.666,4309.641,0.0,195.551,,,0.0,368.312,-0.868,562.995,0.0,562.995,4872.636,
03/31/2004,4983.191,634.252,187.986,446.266,78.336,78.336,,0.0,0.0,0.0,0.0,0.0,4121.383,,,,4833.971,114.428,,,0.0,,34.792,0.0,0.0,0.0,,,34.792,149.22,,13.394,13.394,,,,0.0,,,,,,4345.604,,,4345.604,4358.998,0.0,,,,,21.152,,,,,,21.152,21.152,4380.15,0.0,196.917,,,0.0,405.794,0.33,603.041,0.0,603.041,4983.191,
