Date,Assets,Total Investments,Fixed Income-Trading/AFS & ST Inv,Loans & Mortgages,Fixed Income Securities-HTM,Equity Securities,Other Investments,Cash & Near Cash Items,Accounts & Notes Receivable,Net Fixed Assets,Deferred Policy Acquisition Costs,Other Assets,Total Assets,Liabilities & Shareholders' Equity,Reserve for Outstanding Claim & Loss,Premium Reserve (Unearned),Life Policy Benefits,Other Insurance Reserves,Total Insurance Reserves,Short-Term Borrowings,Other Short-Term Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Policyholders' Equity,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,,23764.310547,563.421021,8136.22998,14658.59668,406.062012,0,41.139999,1542.801025,1237.401001,1615.223999,2122.272949,30323.148438,,2086.458008,682.541992,13792.623047,666.424011,17228.046875,876.895996,2199.174072,7057.526855,,27361.643799,225.0,0,0,634.140015,2102.36499,2961.505005,30323.148804,
06/30/1990,,24306.927734,519.481018,7960.76123,15342.539062,484.145996,0,36.021,1535.176025,1251.623047,1650.385986,2112.39209,30892.525391,,2141.903076,645.632019,14359.574219,706.174988,17853.283203,1165.60498,2200.573975,6655.508789,,27874.970947,225.0,0,0,636.663025,2155.889893,3017.552917,30892.523865,
09/30/1990,,24692.412109,628.421021,7809.657227,15824.655273,429.678986,0,38.936001,1592.967041,1257.467041,1668.44104,2188.4729,31438.695312,,2189.11499,656.684021,14783.279297,660.421997,18289.5,1175.572021,2318.125977,6647.308105,,28430.506104,225.0,0,0,633.276978,2149.913086,3008.190063,31438.696167,
12/31/1990,,24913.857422,639.679993,7439.803223,16432.900391,401.475006,0,39.553001,1535.213989,1284.379028,1723.842041,2286.665039,31783.511719,,2272.11499,644.333984,15308.990234,729.109985,18954.548828,887.625977,1874.769043,6640.629883,409.231995,28766.805725,225.0,0,0,634.91803,2156.787109,3016.705139,31783.510864,
03/31/1991,,25266.068359,510.246002,7301.458008,16995.779297,458.584991,0,174.222,1773.897949,1279.260986,1705.849976,2070.672119,32269.970703,,2365.794922,635.369019,15671.834961,722.916992,19395.916016,934.919983,2480.899902,6383.716797,,29195.452698,225.0,0,0,637.138977,2212.378906,3074.517883,32269.970581,
06/30/1991,,25103.621094,362.52301,7047.196777,17200.359375,493.541992,0,89.102997,1724.66394,1294.744995,1745.192993,2089.207031,32046.533203,,2409.551025,632.872986,15894.286133,744.219971,19680.929688,648.434998,2148.462891,6464.478027,,28942.305603,225.0,0,0,642.932007,2236.295898,3104.227905,32046.533508,
09/30/1991,,26202.814453,722.856995,7356.847168,17575.759766,547.351013,0,70.007004,1572.802002,1307.774048,1723.064941,2144.041992,33020.503906,,2529.236084,622.487976,16291.628906,797.179016,20240.53125,437.187988,2402.197021,6779.097168,,29859.013428,225.0,0,0,651.343994,2285.145996,3161.48999,33020.503418,
12/31/1991,,22957.699219,262.100006,7213.700195,15141.0,340.899994,0,42.5,1050.699951,1314.0,1601.300049,3551.199951,30517.400391,,,,16843.099609,866.900024,17710.0,715.400024,1713.400024,6975.600098,377.200012,27491.600159,225.0,0,0,662.200012,2138.600098,3025.80011,30517.400269,
03/31/1992,,26610.699219,278.700012,7337.5,18375.300781,619.200012,0,51.599998,1546.5,1360.699951,1766.199951,2603.5,33939.199219,,2580.5,580.599976,16849.400391,941.299988,20951.800781,929.400024,2193.800049,6605.299805,,30680.300659,425.0,0,0,673.0,2160.899902,3258.899902,33939.200562,
06/30/1992,,23722.900391,177.699997,7237.600098,15980.200195,327.399994,0,54.700001,1892.800049,1391.199951,1633.900024,2512.199951,31207.699219,,,,17263.699219,949.400024,18213.099609,1017.400024,2241.100098,6467.799805,,27939.399536,425.0,0,0,684.200012,2159.100098,3268.30011,31207.699646,
09/30/1992,,23943.400391,134.699997,7176.700195,16315.0,317.0,0,26.299999,970.200012,1465.900024,1657.400024,3688.600098,31751.800781,,,,17794.900391,1018.400024,18813.300781,1215.400024,2168.100098,6261.899902,,28458.700806,425.0,0,0,696.799988,2171.300049,3293.100037,31751.800842,
12/31/1992,,24636.699219,892.700012,7290.899902,16111.099609,342.0,0,22.0,1771.900024,1387.5,1812.0,3660.800049,33290.898438,,,,19255.300781,984.400024,20239.699219,1062.599976,1823.900024,6510.5,354.100006,29990.799225,425.0,0,0,725.700012,2149.399902,3300.099914,33290.899139,
03/31/1993,,26032.599609,1095.699951,7451.700195,17115.199219,370.0,0,36.299999,1829.300049,1427.800049,1767.599976,3843.199951,34936.800781,,,,20121.599609,1096.699951,21218.300781,911.599976,2412.0,6999.299805,,31541.200562,425.0,0,0,740.799988,2229.800049,3395.600037,34936.800598,
07/01/1993,,26463.5,1027.900024,7299.600098,17733.800781,402.200012,0,24.6,1904.300049,1501.699951,1804.900024,3316.199951,35015.199219,,,,20731.400391,1185.199951,21916.599609,1277.599976,2112.0,6293.100098,,31599.299683,425.0,0,0,691.700012,2299.199951,3415.899963,35015.199646,
09/30/1993,,26946.300781,1293.0,7291.200195,17914.199219,447.899994,0,17.6,2257.699951,1600.300049,1825.800049,3343.199951,35990.898438,,,,21463.300781,1319.599976,22782.900391,1668.5,2156.199951,5933.799805,,32541.400146,425.0,0,0,625.099976,2399.399902,3449.499878,35990.900024,
12/31/1993,,27454.300781,1063.199951,7372.0,18553.0,466.100006,0,92.699997,2015.400024,1652.199951,1929.300049,2906.600098,36050.5,,,7.3,21944.5,1366.5,23318.300781,2023.0,1363.300049,5681.0,301.399994,32687.000824,425.0,0,0,755.5,2183.0,3363.5,36050.500824,
03/31/1994,,28821.0,20815.0,7556.799805,0.0,449.200012,0,100.800003,2339.699951,2825.100098,1664.400024,2948.5,38699.5,,,,22452.599609,1398.199951,23850.800781,2414.0,1965.5,6519.799805,433.299988,35183.400574,425.0,0,0,478.899994,2612.199951,3516.099945,38699.500519,
06/30/1994,,28776.599609,20918.5,7452.5,0.0,405.600006,0,125.099998,2479.600098,2883.899902,2011.5,2679.800049,38956.5,,,,23410.300781,1424.400024,24834.699219,1647.0,1916.400024,7111.299805,341.0,35850.399048,425.0,0,0,222.5,2458.600098,3106.100098,38956.499146,
09/30/1994,,29498.5,21314.699219,7758.100098,0.0,425.700012,0,131.0,2629.600098,2953.300049,2234.899902,2730.0,40177.300781,,,,24348.599609,1525.099976,25873.699219,1640.199951,1939.0,7396.600098,332.899994,37182.399261,425.0,0,0,219.800003,2350.100098,2994.900101,40177.299362,
12/31/1994,,29467.199219,21200.699219,7839.299805,0.0,427.200012,0,64.300003,2610.300049,2967.300049,2480.5,2804.199951,40393.800781,,,14.43,24717.269531,1666.5,26398.199219,1684.0,1880.099976,7489.100098,6.6,37457.999293,315.799988,200,0,165.899994,2254.100098,2935.80008,40393.799373,
03/31/1995,,32126.400391,22824.5,8813.200195,0.0,488.700012,0,85.099998,2695.300049,3077.899902,2222.899902,3001.800049,43209.398438,,,,25448.0,1710.599976,27158.599609,2260.199951,1955.699951,8138.299805,361.399994,39874.19931,315.299988,200,0,155.800003,2664.100098,3335.200089,43209.399399,
06/30/1995,,34033.898438,24766.900391,8667.599609,0.0,599.400024,0,119.300003,2848.300049,3156.399902,2024.300049,3166.199951,45348.398438,,,,26176.900391,1960.0,28136.900391,1104.0,1991.199951,9149.0,829.599976,41210.700317,315.100006,200,0,117.400002,3505.199951,4137.699959,45348.400276,
09/30/1995,,34359.300781,25079.599609,8572.400391,0.0,707.299988,0,84.599998,3177.0,3251.600098,2039.300049,3437.300049,46349.101562,,,,26910.599609,2282.300049,29192.900391,1092.099976,1785.900024,9081.200195,903.700012,42055.800598,315.0,200,0,82.5,3695.800049,4293.300049,46349.100647,
12/31/1995,,35784.800781,26302.599609,8779.0,0.0,703.200012,0,67.599998,3130.100098,3273.5,1974.199951,3714.300049,47944.5,,,14.43,27878.970703,2533.399902,30426.800781,996.299988,1788.5,9341.5,891.5,43444.600769,315.0,200,0,68.0,3916.899902,4499.899902,47944.500671,
03/31/1996,,35721.199219,25887.400391,9060.200195,0.0,773.599976,0,108.599998,3398.5,3268.0,2161.0,3771.899902,48429.199219,,,,28563.5,2544.899902,31108.400391,1382.699951,1870.199951,9257.599609,770.900024,44389.799927,315.0,200,0,67.699997,3456.699951,4039.399948,48429.199875,
06/30/1996,,35538.0,25792.099609,8916.299805,0.0,829.599976,0,92.099998,2016.0,3318.100098,2214.5,4045.399902,47224.101562,,,,27823.5,2836.800049,30660.300781,1492.300049,1624.699951,8896.599609,713.099976,43387.000366,315.0,200,0,66.400002,3255.699951,3837.099953,47224.100319,
09/30/1996,,36225.699219,26588.900391,8727.200195,0.0,909.599976,0,97.099998,2145.699951,3324.0,2200.100098,4515.600098,48508.199219,,,,28426.800781,3349.399902,31776.199219,1793.699951,1651.199951,8748.400391,669.400024,44638.899536,315.0,200,0,64.699997,3289.600098,3869.300095,48508.199631,
12/31/1996,,33277.300781,27024.800781,5206.5,0.0,1046.0,0,440.899994,1929.699951,3511.100098,2138.199951,8634.0,49931.199219,,,17.9,28542.800781,3527.899902,32088.599609,1241.300049,1826.0,9087.0,1022.700012,45265.59967,315.0,525,0,149.0,3676.600098,4665.600098,49931.199768,
