Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/25/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/30/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2001,478.88501,253.018997,253.018997,0.0,48.575001,,,85.755997,37.716999,12.143,35.896,0.0,15.496,,,,402.846008,68.083,,,0.0,,7.956,,,,7.956,76.039,,15.209,15.209,,,,0.0,0.0,0.0,0.0,,21.077999,,,,21.077999,36.286999,43.983002,43.983002,0.0,0.0,,8.637,,,,,8.637,52.620002,88.907001,0.0,135.007004,,,0.0,,254.970993,389.977997,0.0,389.977997,478.884997,
06/30/2001,498.503998,278.777008,278.777008,0.0,54.444,,,73.347,35.296001,4.097,37.165001,0.0,16.781,,,,423.348999,68.541,,,0.0,,6.614,,,,6.614,75.155,,13.466,13.466,,,,0.0,0.0,0.0,0.0,,24.375999,,,,24.375999,37.841999,37.867001,37.867001,0.0,0.0,,8.796,,,,,8.796,46.663,84.504999,0.0,135.007004,,,0.0,,278.992004,413.999008,0.0,413.999008,498.504007,
09/29/2001,523.299011,313.269012,313.269012,0.0,43.189999,,,65.839996,28.997999,7.325,29.517,0.0,17.166,,,,439.464996,68.790001,,,0.0,,15.044,,,,15.044,83.834001,,14.662,14.662,,,,0.0,0.0,0.0,0.0,,22.579001,,,,22.579001,37.241001,35.543999,35.543999,0.0,0.0,,9.237,,,,,9.237,44.780999,82.022,0.0,135.007004,,,0.0,,306.269989,441.276993,0.0,441.276993,523.298993,
12/29/2001,532.155,233.677,192.842,40.835,47.998,47.998,,61.132,26.381,9.582,34.723,-9.554,9.928,,,,352.735,70.086,95.267,-25.181,,,109.334,16.985,,,92.349,179.42,,18.837,18.837,,,,4.177,,,,,26.014,,,,26.014,49.028,28.011,,,,,1.147,,,,,1.147,29.158,78.186,0.0,128.209,,,0.0,365.087,-39.327,453.969,0.0,453.969,532.155,
03/30/2002,569.479004,254.094997,225.878998,28.216,48.296001,,,53.724998,21.096001,7.254,25.375,0.0,10.949,,,,367.065002,72.106003,,,112.32,,17.988001,16.388,,,1.6,202.414003,,19.225,19.225,,,,1.334,1.334,0.0,0.0,,37.623998,,,,37.623998,58.182999,28.011,28.011,0.0,0.0,,1.63,,,,,1.63,29.641,87.823998,0.0,128.209,,,0.0,,353.446014,481.655014,0.0,481.655014,569.479012,
06/29/2002,596.708008,303.326996,146.574997,156.751999,53.168999,,,46.370998,23.844999,9.256,18.788,0.0,13.278,,,,416.144989,73.101997,,,77.413002,,30.048,28.448,,,1.6,180.563,,18.0,18.0,,,,1.334,1.334,0.0,0.0,,28.939998,,,,28.939998,48.273998,18.666,18.666,0.0,0.0,,1.7,,,,,1.7,20.366,68.639999,0.0,128.371994,,,0.0,,399.696014,528.068008,0.0,528.068008,596.708007,
09/28/2002,628.838013,271.999001,194.444,77.555,44.916,,,50.109001,24.551001,10.139,20.905001,0.0,12.098,,,,379.122009,71.643997,,,151.020004,,27.052,25.594,,,1.458,249.716002,,22.069,22.069,,,,1.334,1.334,0.0,0.0,,24.694,,,,24.694,48.097,18.666,18.666,0.0,0.0,,1.075,,,,,1.075,19.741,67.838001,0.0,128.427002,,,0.0,,432.572998,561.0,0.0,561.0,628.838001,
12/28/2002,705.888,330.104004,216.768005,113.335999,58.278,58.278,,57.507,24.177,10.936,31.818001,0.0,27.110001,,,,472.998993,74.440002,106.490997,-32.050999,132.371994,,26.077,24.479,,,1.598,232.888996,,32.445999,32.445999,,,,0.0,0.0,0.0,0.0,,48.732002,,,,48.732002,81.178001,20.0,20.0,0.0,0.0,,2.211,,,,,2.211,22.211,103.389001,0.0,130.511002,,,0.0,507.884003,-35.895996,602.499008,0.0,602.499008,705.88801,
