Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,28.969999,,,,,,,,,,,,,,,,,,,,,,,,,,,0.742,,,0.742,0.742,,11.6835,0.066667,0.066667,,11.6835,0.066667,0.066667,0.066667,
03/31/1990,22.009998,,,-17.552,,4.457998,,-4.568,,,,,-0.11,0.134,,0.218,,0.0,-0.352,0.024,-0.008,0.016,0.0,,,0.016,0.0,0.016,0.0,,0.016,0.016,,11.623499,0.0,0.0,,11.623499,0.0,0.0,0.0,
06/30/1990,21.512999,,,-17.431,,4.081999,,-4.33,,,,,-0.248,0.333,,0.249,,0.0,-0.582,0.085,-0.035,0.05,0.0,,,0.05,0.0,0.05,0.0,,0.05,0.05,,11.330999,0.006667,0.006667,,11.330999,0.006667,0.006667,0.006667,
09/30/1990,20.232998,,,-26.488001,,-6.255003,,-5.827,,,,,-12.082,-0.261,,0.255,,0.0,0.006,-12.343,3.543,-8.8,0.0,,,-8.8,0.0,-8.799999,0.0,,-8.799999,-8.799999,,11.258999,-0.78,-0.78,,11.258999,-0.78,-0.78,-0.78,
12/31/1990,24.666,,,-20.025,,4.641001,,-3.884,,,,,0.757,-0.193,,0.266,,0.0,-0.073,0.564,-0.21,0.354,0.0,,,0.354,0.0,0.354,0.0,,0.354,0.354,,11.109,0.033333,0.033333,,11.109,0.033333,0.033333,0.033333,
03/31/1991,17.59,,,-13.759,,3.831,,-3.418,,,,,0.413,-0.135,,0.196,,0.0,-0.061,0.278,-0.111,0.167,0.0,,,0.167,0.0,0.167,0.0,,0.167,0.167,,11.1075,0.013333,0.013333,,11.1075,0.013333,0.013333,0.013333,
06/30/1991,18.563,,,-14.667,,3.896,,-3.525,,,,,0.371,0.052,,0.122,,0.0,-0.174,0.423,-0.138,0.285,0.0,,,0.285,0.0,0.285,0.0,,0.285,0.285,,11.1075,0.026667,0.026667,,11.1075,0.026667,0.026667,0.026667,
09/30/1991,20.417999,,,-15.247,,5.171,,-4.133,,,,,1.038,-0.068,,0.036,,0.0,0.032,0.97,-0.351,0.619,0.0,,,0.619,0.0,0.619,0.0,,0.619,0.619,,11.1075,0.04,0.04,,11.1075,0.04,0.04,0.04,
12/31/1991,22.326,,,-17.528,,4.798,,-4.09,,,,,0.708,0.06,,0.064,,0.0,-0.124,0.768,-0.378,0.39,0.0,,,0.39,0.0,0.39,0.0,,0.39,0.39,,11.1075,0.053333,0.053333,,11.1075,0.053333,0.053333,0.053333,
03/31/1992,16.252001,,,-12.113,,4.139001,,-3.749,,,,,0.39,0.088,,0.004,,0.0,-0.092,0.478,-0.175,0.303,0.0,,,0.303,0.0,0.303,0.0,,0.303,0.303,,11.5425,0.026667,0.026667,,11.5425,0.026667,0.026667,0.026667,
06/30/1992,17.646,,,-12.493,,5.153,,-4.188,,,,,0.965,0.006,,0.022,,0.0,-0.028,0.971,-0.35,0.621,0.0,,,0.621,0.0,0.621,0.0,,0.621,0.621,,11.955,0.053333,0.053333,,11.955,0.053333,0.053333,0.053333,
09/30/1992,18.579,,,-13.22,,5.359,,-4.227,,,,,1.132,0.124,,0.002,,0.0,-0.126,1.256,-0.467,0.789,0.0,,,0.789,0.0,0.789,0.0,,0.789,0.789,,11.853,0.066667,0.066667,,11.853,0.066667,0.066667,0.066667,
