Date,P/Book,Average,High,Low,P/Sales,P/Free Cash Flow,EV/Total Revenues,Price/Share,Enterprise Value,Source: Bloomberg
09/30/1980,,,,,,,,9.5,,
12/31/1980,,,,,,,,10.833333,,
03/31/1981,,,,,,,,14.444444,,
06/30/1981,,,,,,,,12.333333,,
09/30/1981,,,,,,,,9.5,,
12/31/1981,,,,,,,,10.222222,,
03/31/1982,,,,,,,,9.444444,,
06/30/1982,,,,,,,,7.5,,
09/30/1982,,,,,,,,8.722222,,
12/31/1982,,,,,,,,10.222222,,
03/31/1983,,,,,,,,11.055556,,
06/30/1983,,,,,,,,10.666667,,
09/30/1983,,,,,,,,11.888889,,
12/31/1983,,,,,,,,12.833333,,
03/31/1984,,,,,,,,12.0,,
06/30/1984,,,,,,,,11.222222,,
09/30/1984,,,,,,,,13.777778,,
12/31/1984,,,,,,,,15.055556,,
03/31/1985,,,,,,,,18.888889,,
06/30/1985,,,,,,,,16.0,,
09/30/1985,,,,,,,,15.666667,,
12/31/1985,,,,,,,,16.777778,,
03/31/1986,,,,,,,,20.444444,,
06/30/1986,,,,,,,,21.444444,,
09/30/1986,,,,,,,,20.0,,
12/31/1986,,,,,,,,19.333333,,
03/31/1987,,,,,,,,18.277778,,
06/30/1987,,,,,,,,16.555556,,
09/30/1987,,,,,,,,17.222222,,
12/31/1987,,,,,,,,12.666667,,
03/31/1988,,,,,,,,16.555556,,
06/30/1988,,,,,,,,16.777778,,
09/30/1988,,,,,,,,16.777778,,
12/31/1988,,,,,,,,15.5,,
03/31/1989,,,,,,,,18.111111,,
06/30/1989,,,,,,,,19.555556,,
09/30/1989,,,,,,,,20.111111,,
12/31/1989,,,,,,,,20.0,,
03/31/1990,0.668052,,,,,,,16.833333,1041.030248,
06/30/1990,0.666915,1042.989356,1071.266497,1000.71525,,,,17.111111,1006.264011,
09/30/1990,0.454695,954.924637,1062.726974,835.167007,,,,11.944444,859.173872,
12/31/1990,0.463539,887.12128,927.148246,819.622014,0.365318,,0.676848,12.444444,836.29698,
03/31/1991,0.662754,918.64708,1063.725745,823.829852,0.5127,,0.845665,18.055556,1062.872624,
06/30/1991,0.661751,1047.008725,1089.712374,1019.571496,0.500359,,0.82744,18.277778,1066.236241,
09/30/1991,0.658243,1070.150342,1106.786008,1048.989991,0.483966,,0.827783,18.444444,1103.549005,
12/31/1991,0.813579,1124.783018,1187.435004,1065.419005,0.533609,,0.831098,21.277778,1149.329897,
03/31/1992,0.691724,1118.1928,1147.235006,1078.601007,0.484323,,0.789668,20.055556,1128.762135,
06/30/1992,0.765473,1150.896565,1236.435758,1092.013752,0.526997,,0.835038,22.555556,1230.853227,
09/30/1992,0.721852,1214.068829,1258.997258,1172.995603,0.48848,,0.779315,21.555556,1176.35002,
12/31/1992,0.916797,1192.431283,1283.831863,1111.777736,0.540227,,0.829823,24.166667,1269.174742,
03/31/1993,0.95561,1330.793005,1406.758482,1274.976358,0.564255,,0.85736,25.583333,1330.009266,
06/30/1993,1.011818,1333.622026,1402.923271,1278.187885,0.602963,,0.895686,27.583333,1404.950637,
09/30/1993,1.015356,1411.147078,1452.939512,1374.75577,0.615969,,0.913282,28.25,1442.009638,
12/31/1993,0.900662,1392.331674,1516.193249,1309.05251,0.548783,,0.827167,25.583333,1323.49811,
03/31/1994,0.866371,1338.985232,1381.830006,1302.621504,0.55038,,0.841097,25.75,1352.439979,
06/30/1994,0.86967,1325.711965,1368.314131,1284.37598,0.499119,,0.806753,23.666667,1314.768494,
09/30/1994,0.844094,1317.497796,1354.99298,1263.214244,0.461711,,0.776959,22.083333,1278.910098,
12/31/1994,0.907012,1272.347948,1324.816097,1230.134975,0.485833,,0.780431,23.25,1288.636827,
03/31/1995,0.885707,1332.066806,1383.715091,1284.772456,0.522909,,0.82217,25.416667,1380.665094,
06/30/1995,0.797277,1395.841238,1449.284091,1355.713104,0.547799,,0.854594,26.833333,1447.349197,
09/30/1995,0.840632,1500.574776,1581.892566,1431.926577,0.591586,,0.901047,29.25,1542.935305,
12/31/1995,0.787498,1540.717235,1628.987809,1480.787304,0.596583,5.913995,0.884619,29.875,1538.841159,
03/31/1996,0.855277,1578.436532,1649.215677,1507.229046,0.582472,5.362529,0.88855,29.375,1560.404329,
06/30/1996,0.996212,1571.398615,1688.207824,1498.297522,0.644314,5.114543,0.950807,32.875,1685.873727,
09/30/1996,0.893323,1598.798903,1671.015324,1552.90698,0.581715,4.231643,0.897337,30.0,1608.070972,
12/31/1996,0.935395,1639.461237,1715.45222,1599.480472,0.639446,5.08386,0.934711,33.25,1688.189762,
03/31/1997,1.390509,2018.053085,2206.551742,1661.055,0.890461,5.793935,1.189689,46.625,2166.127058,
