Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2000,331.979004,193.619995,187.675995,5.944,0.285,,,0.0,0.0,0.0,0.0,0.0,28.787001,,,,,,,222.692001,85.486,87.735001,-2.25,0.0,,23.802,0.0,0.0,0.0,,,23.802,109.288,,5.096,5.096,,,,4.144,-0.251,4.395,4.395,,,33.052,,,,33.052,42.292,192.304001,183.496001,8.808,8.808,,1.16,,,,,1.16,193.464001,235.756001,97.226997,53.962002,,,0.0,,-54.965,96.223999,0.0,96.223999,331.98,
06/30/2000,450.471985,159.313003,148.940002,10.373,2.327,,,0.0,0.0,0.0,0.0,0.0,28.457001,,,,,,,190.097,237.740997,241.964996,-4.224,0.0,,22.634001,0.0,0.0,0.0,,,22.634001,260.374998,,8.838,8.838,,,,4.687,0.0,4.687,4.687,,,52.795999,,,,52.795999,66.320999,193.011002,184.929002,8.082,8.082,,2.532,,,,,2.532,195.543002,261.864001,191.580002,113.976997,,,0.0,,-116.946999,188.610001,0.0,188.610001,450.474001,
09/30/2000,700.708008,310.577988,273.868988,36.709,5.42,,,0.0,0.0,0.0,0.0,0.0,30.257999,,,,,,,346.256012,326.606995,333.972992,-7.366,0.0,,27.844999,0.0,0.0,0.0,,,27.844999,354.451994,,10.287,10.287,,,,6.535,0.0,6.535,6.535,,,73.451003,,,,73.451003,90.273003,194.815994,185.417994,9.398,9.398,,2.916,,,,,2.916,197.731994,288.004997,0.0,561.705994,,,0.0,,-149.003006,412.702988,0.0,412.702988,700.707984,
12/31/2000,683.484985,207.209995,174.772995,32.437,4.925,4.925,,0.0,0.0,0.0,0.0,0.0,25.841,,,,,,,237.975998,410.273987,425.688995,-15.415,0.0,,35.235001,0.0,0.0,0.0,,,35.235001,445.508987,,13.717,13.717,,,,4.426,0.0,4.426,4.426,,,93.156003,,,,93.156003,111.299004,192.414001,185.908001,6.506,6.506,,4.656,,,,,4.656,197.070002,308.369005,0.0,553.146973,,,0.0,-141.600006,-36.431,375.115967,0.0,375.115967,683.484972,
03/31/2001,747.833984,246.308006,165.869003,80.439003,6.378,6.378,,0.0,0.0,0.0,0.0,0.0,28.663,,,,,,,281.348999,431.257996,457.197998,-25.940001,0.0,,35.227001,0.0,0.0,0.0,,,35.227001,466.484997,,12.451,12.451,,,,5.415,0.0,5.415,5.415,,,66.538999,,,,66.538999,84.404999,318.980011,311.399011,7.581,7.581,,7.229,,,,,7.229,326.209011,410.61401,0.0,549.76001,,,0.0,,-212.539993,337.220016,0.0,337.220016,747.834026,
06/30/2001,708.788025,230.673996,124.002998,106.670998,6.305,6.305,,0.0,0.0,0.0,0.0,0.0,9.449,,,,,,,246.427994,425.243011,462.96701,-37.723999,0.0,,37.117001,0.0,0.0,0.0,,,37.117001,462.360012,,16.236,16.236,,,,7.0,0.0,7.0,7.0,,,27.729,,,,27.729,50.965,346.667999,336.891999,9.776,9.776,,6.773,,,,,6.773,353.440999,404.405999,0.0,546.330017,,,0.0,,-241.947998,304.382019,0.0,304.382019,708.788018,
09/30/2001,648.739014,165.842003,84.651001,81.191002,8.25,8.25,,0.0,0.0,0.0,0.0,0.0,12.911,,,,,,,187.003006,327.278015,377.216003,-49.938,0.0,,134.457993,0.0,0.0,0.0,,,134.457993,461.736008,,20.813999,20.813999,,,,52.025002,45.000001,7.025,7.025,,,40.089001,,,,40.089001,112.928001,300.468994,292.386994,8.082,8.082,,7.617,,,,,7.617,308.085994,421.013996,0.0,543.916992,,,0.0,,-316.191986,227.725006,0.0,227.725006,648.739002,
12/31/2001,575.054016,87.721001,58.831001,28.889999,6.909,6.909,,0.0,0.0,0.0,0.0,0.0,8.588,,,,,,,103.218002,428.916992,485.518005,-56.601002,0.0,,42.918999,0.0,0.0,0.0,,,42.918999,471.835991,,17.499001,17.499001,,,,7.206,5.462,1.744,1.744,,,38.623998,,,,38.623998,63.328999,299.226013,297.596013,1.63,1.63,,8.978,,,,,8.978,308.204013,371.533011,0.0,544.422974,,,0.0,-330.015015,-10.886993,203.520966,0.0,203.520966,575.053977,
03/31/2002,531.687012,55.119999,33.752998,21.367001,8.067,8.067,,0.0,0.0,0.0,0.0,0.0,11.172,,,,,,,74.359001,417.608002,486.265991,-68.657997,0.0,,39.720001,0.0,0.0,0.0,,,39.720001,457.328003,,18.868999,18.868999,,,,8.64,1.25,7.39,7.39,,,15.340999,,,,15.340999,42.849998,272.996002,268.420002,4.576,4.576,,10.273,,,,,10.273,283.269002,326.119,0.0,557.624023,,,0.0,,-352.056,205.568024,0.0,205.568024,531.687024,
06/30/2002,470.355988,23.263999,16.775,6.489,6.409,6.409,,0.0,0.0,0.0,0.0,0.0,3.468,,,,,,,33.140999,399.712006,480.880005,-81.167999,0.0,,37.502998,0.0,0.0,0.0,,,37.502998,437.215004,,11.247,11.247,,,,112.755997,104.999997,7.756,7.756,,,2.993006,,,,2.993006,126.996002,141.494995,138.929995,2.565,2.565,,11.586,,,,,11.586,153.080996,280.076998,0.0,563.947998,,,0.0,,-373.669006,190.278992,0.0,190.278992,470.355989,
