Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2004,389,441,342,-212,,,-212,-182,-173,,-9,,-1245,-91,0,,,-91,,,0,0,0,,,,,-1154,642,-72,1138,,,,-405,207,-612,-19,,-214,,,
06/30/2004,683,691,340,-698,,,-698,350,108,,242,,-1194,-89,0,,,-89,,,0,0,0,,,,,-1105,430,-72,645,,,,-161,189,-350,18,,-81,,,
09/30/2004,2060,593,375,1012,,,1012,145,78,,67,,1055,-100,0,,,-100,,,0,0,0,,,,,1155,-2011,-93,-2641,,,,760,951,-191,-37,,1104,,,
12/31/2004,2259,357,910,1379,,535.0,844,-452,-1,,-451,,-3125,-148,0,,,-148,,,0,0,0,,,,,-2977,-222,-96,-164,,,,-87,83,-170,125,,-1088,,,
03/31/2005,730,-82,390,533,,,533,-111,-225,,114,,-1356,-78,0,,,-78,,,0,0,0,,,,,-1278,1500,-96,1953,,,,-111,120,-231,-246,,874,0.0,0.0,
06/30/2005,1028,387,422,-32,,,-32,251,151,,100,,-2368,-55,0,,,-55,,,0,0,0,,,,,-2313,405,-96,883,,,,-158,71,-229,-224,,-935,,,
09/30/2005,1015,499,138,838,,,838,-460,54,,-514,,-19,3,68,,,-65,,,0,0,0,,,,,-22,-1060,-117,-1027,,,,-521,37,-558,605,,-64,,,
12/31/2005,951,537,576,46,,-170.0,216,-208,80,,-288,,807,-237,0,,,-237,,,0,0,0,,,,,1044,-1309,-144,-906,,,,-270,61,-331,11,,479,,,
03/31/2006,124,70,344,-159,,,-159,-131,6,,-137,,-907,-3949,0,,,-3949,,,0,0,0,,,,,3042,463,-113,803,,,,-221,22,-243,-6,,-320,,,
06/30/2006,-204,-1054,374,691,,,691,-215,-6,,-209,,-647,-3033,0,,,-3033,,,0,0,0,,,,,2386,675,0,487,,,,14,14,0,174,,-176,0.0,0.0,
09/30/2006,-131,-1013,390,697,,,697,-205,-36,,-169,,4606,-2331,0,,,-2331,,,0,0,0,,,,,6937,-4836,0,-4828,,,,7,7,0,-15,,-361,,,
12/31/2006,696,3,359,204,,,204,130,3,,127,,-297,-2130,0,,,-2130,,,0,0,0,,,,,1833,264,0,-803,,,,3,3,0,1064,,663,275.0,996.0,
03/31/2007,355,13,376,5,,,5,-39,-2,,-37,,-1391,-3496,0,,,-3496,,,0,0,0,,,,,2105,1118,0,1106,,,,13,13,0,-1,,82,,,
06/30/2007,416,24,426,-18,,,-18,-16,-12,,-4,,-1376,-3035,0,,,-3035,,,0,0,0,,,,,1659,933,0,909,,,,26,26,0,-2,,-27,0.0,0.0,
09/30/2007,601,103,467,-17,,,-17,48,-27,,75,,-68,-2061,0,,,-2061,,,0,0,0,,,,,1993,-458,0,-472,,,,10,10,0,4,,75,,,
12/31/2007,342,-1056,380,1099,,-57.0,1156,-81,35,,-116,,918,-701,0,,,-701,,,0,0,0,,,,,1619,-1348,0,-1345,,,,1,1,0,-4,,-88,-26.0,461.0,
03/31/2008,395,-12,397,7,,,7,3,-16,,19,,-1979,-3705,0,,,-3705,,,0,0,0,,,,,1726,1589,0,1626,,,,-33,0,-33,-4,,5,,,
06/30/2008,445,15,462,-25,,,-25,-7,-8,,1,,-655,-2544,0,,,-2544,,,0,0,0,,,,,1889,253,0,258,,,,0,0,0,-5,,43,,,
09/30/2008,578,-1006,470,1292,,,1292,-178,48,,-226,,139,-839,0,,,-839,,,0,0,0,,,,,978,-605,0,-594,,,,0,0,0,-11,,112,,,
12/31/2008,286,-121,398,-190,,-241.0,51,199,26,,173,,399,-1603,0,,,-1603,,,0,0,0,,,,,2002,-801,0,-732,,,,0,0,0,-69,,-116,,,
03/31/2009,328,-49,368,20,,,20,-11,13,,-24,0.0,775,662,2229,2229.0,0.0,-1567,-1567.0,0.0,0,0,0,0.0,0.0,0.0,0.0,113,-1016,0,-1016,-16.0,1674.0,-2674.0,0,0,0,0,0.0,87,,,
06/30/2009,360,-6,410,-9,,,-9,-35,3,,-38,0.0,-706,-659,1737,1737.0,0.0,-2396,-2396.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-47,416,0,418,160.0,2687.0,-2429.0,0,0,0,-2,19.0,89,,,
09/30/2009,562,57,389,23,,,23,93,9,,84,0.0,351,383,1458,1458.0,0.0,-1075,-1075.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-32,-887,0,-881,-108.0,1467.0,-2240.0,0,0,0,-6,10.0,36,,,
12/31/2009,241,-49,320,34,,,34,-64,27,,-91,0.0,-254,-56,1720,1720.0,0.0,-1776,-1776.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-198,22,0,86,-143.0,2144.0,-1915.0,0,0,0,-64,3.0,12,,,
03/31/2010,280,-38,313,-1,,,-1,6,-5,,11,0.0,-495,-662,1832,1832.0,0.0,-2494,-2494.0,0.0,0,0,0,0.0,0.0,0.0,0.0,167,200,0,238,-47.0,3177.0,-2892.0,0,0,0,-38,3.0,-12,,,
06/30/2010,380,26,359,-41,,,-41,36,-21,,57,0.0,-1732,-1682,1295,1295.0,0.0,-2977,-2977.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-50,1348,0,1348,249.0,2893.0,-1794.0,0,0,0,0,-8.0,-12,,,
09/30/2010,678,90,379,271,,,271,-62,-8,,-54,0.0,211,201,1318,1318.0,0.0,-1117,-1117.0,0.0,0,0,0,-2.0,0.0,-2.0,0.0,12,-735,0,-728,-135.0,1570.0,-2163.0,0,0,0,-7,11.0,165,,,
12/31/2010,302,-24,316,26,,,26,-16,14,,-30,0.0,413,370,1874,1874.0,0.0,-1504,-1504.0,0.0,0,0,0,0.0,0.0,0.0,0.0,43,-433,0,-407,-177.0,2761.0,-2991.0,0,0,0,-26,6.0,288,,,
03/31/2011,277,7,328,-27,,,-27,-31,-1,,-30,0.0,-860,-860,1674,1674.0,0.0,-2534,-2534.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,586,0,589,0.0,2957.0,-2368.0,0,0,0,-3,-1.0,2,,,
06/30/2011,425,52,379,-97,,,-97,91,-23,,114,0.0,-1829,-1360,1365,1365.0,0.0,-2725,-2725.0,0.0,0,0,0,-401.0,0.0,-401.0,0.0,-68,1130,0,1167,0.0,3017.0,-1850.0,0,0,0,-37,6.0,-268,,,
09/30/2011,570,82,392,51,,,51,45,-12,,57,0.0,-85,-132,1340,1340.0,0.0,-1472,-1472.0,0.0,0,0,0,0.0,0.0,0.0,0.0,47,-107,0,-95,0.0,2261.0,-2356.0,0,0,0,-12,-21.0,357,,,
12/31/2011,306,-170,391,10,,,10,75,65,,10,0.0,401,824,2817,2817.0,0.0,-1993,-1993.0,0.0,0,0,0,-440.0,0.0,-440.0,0.0,17,-1185,0,-1127,-97.0,2981.0,-4011.0,0,0,0,-58,10.0,-468,,,
03/31/2012,253,-23,363,6,,,6,-93,-28,,-65,0.0,-967,-930,2143,2143.0,0.0,-3073,-3073.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-37,783,0,792,-12.0,3764.0,-2960.0,6,19,-13,-15,3.0,72,,,
06/30/2012,469,79,393,-22,,,-22,19,-55,,74,0.0,-1998,-1980,1934,1934.0,0.0,-3914,-3914.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-18,1379,0,1378,11.0,4062.0,-2695.0,6,19,-13,-5,-2.0,-152,,,
09/30/2012,802,280,436,142,,,142,-56,-63,,7,0.0,-47,2,2059,2059.0,0.0,-2057,-2057.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-49,-659,0,-651,2.0,2066.0,-2719.0,0,0,0,-8,4.0,100,,,
12/31/2012,365,-46,371,58,,,58,-18,81,,-99,0.0,939,905,3060,3060.0,0.0,-2155,-2155.0,0.0,0,0,0,-69.0,0.0,-69.0,0.0,103,-1253,0,-1240,9.0,3368.0,-4617.0,-41,0,-41,28,1.0,52,,,
03/31/2013,300,-46,387,72,,,72,-113,-57,,-56,0.0,-1208,-738,2394,2394.0,0.0,-3132,-3132.0,0.0,0,0,0,-476.0,0.0,-476.0,0.0,6,873,0,889,-31.0,4987.0,-4067.0,-28,0,-28,12,-2.0,-37,,,
06/30/2013,574,-28,492,123,,,123,-13,-56,,43,0.0,-2250,-2190,2040,2040.0,0.0,-4230,-4230.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-60,1625,0,1644,41.0,5929.0,-4326.0,-1,0,-1,-18,-15.0,-66,,,
09/30/2013,869,118,525,167,,,167,59,-37,,96,0.0,240,364,1959,1959.0,0.0,-1595,-1595.0,0.0,0,0,0,-55.0,0.0,-55.0,0.0,-69,-1032,0,-997,-42.0,2075.0,-3030.0,-22,0,-22,-13,9.0,86,,,
12/31/2013,510,-28,426,116,,,116,-4,84,,-88,0.0,984,922,3016,3016.0,0.0,-2094,-2094.0,0.0,0,0,0,-6.0,0.0,-6.0,0.0,68,-1390,0,-1370,-4.0,2934.0,-4300.0,3,3,0,-23,,104,,,
03/31/2014,390,4,448,35,,,35,-97,-27,,-70,0.0,-957,-841,2470,2470.0,0.0,-3311,-3311.0,0.0,0,0,0,-124.0,0.0,-124.0,0.0,8,716,0,796,11.0,4070.0,-3285.0,-67,0,-67,-13,-1.0,148,,,
06/30/2014,621,26,536,68,,,68,-9,-104,,95,0.0,-3111,-3071,1912,1912.0,0.0,-4983,-4983.0,0.0,0,0,0,-1.0,0.0,-1.0,0.0,-39,2183,0,2271,-11.0,6161.0,-3879.0,-79,0,-79,-9,3.0,-304,,,
09/30/2014,1056,192,565,134,,,134,165,29,,136,0.0,515,485,2153,2153.0,0.0,-1668,-1668.0,0.0,0,0,0,-24.0,0.0,-24.0,0.0,54,-1379,0,-1313,-3.0,2327.0,-3637.0,-58,0,-58,-8,-16.0,176,,,
12/31/2014,512,23,471,92,,65.0,27,-85,42,,-127,0.0,746,1036,3131,3131.0,0.0,-2095,-2095.0,0.0,0,0,0,-267.0,0.0,-267.0,0.0,-23,-1338,0,-1230,8.0,2686.0,-3924.0,-93,0,-93,-15,-9.0,-89,,,
03/31/2015,503,-9,472,75,,,75,-35,0,,-35,0.0,-774,-792,2444,2444.0,0.0,-3236,-3236.0,0.0,0,0,0,-36.0,0.0,-36.0,0.0,54,527,0,572,-7.0,4043.0,-3464.0,-33,0,-33,-12,-26.0,230,,,
06/30/2015,524,143,546,12,,,12,-177,-68,0.0,-109,0.0,-2943,-2678,2105,2105.0,0.0,-4783,-4783.0,0.0,0,0,0,-186.0,0.0,-186.0,0.0,-79,2088,0,2181,-6.0,5351.0,-3164.0,-81,0,-81,-12,6.0,-325,,,
09/30/2015,1011,184,566,165,,,165,96,-63,0.0,159,0.0,300,338,2207,2207.0,0.0,-1869,-1869.0,0.0,0,0,0,-3.0,0.0,-3.0,0.0,-35,-1246,0,-1090,-10.0,2515.0,-3595.0,-156,0,-156,0,-9.0,56,,,
12/31/2015,546,-5,471,17,28.0,58.0,-69,-23,89,0.0,-112,0.0,587,685,2924,2924.0,0.0,-2239,-2239.0,0.0,0,0,0,-31.0,0.0,-31.0,0.0,-67,-1254,0,-1119,1.0,2606.0,-3726.0,-123,0,-123,-12,-12.0,-133,,,
03/31/2016,472,-51,493,72,7.0,,65,-42,-11,0.0,-31,0.0,-1204,-1401,2779,2779.0,0.0,-4180,-4180.0,0.0,0,0,0,-1.0,0.0,-1.0,0.0,198,1138,0,1244,1.0,5044.0,-3801.0,-95,0,-95,-11,18.0,424,,,
06/30/2016,607,36,564,63,7.0,,56,-56,-95,0.0,39,0.0,-1877,-1763,2646,2646.0,0.0,-4409,-4409.0,0.0,0,0,0,-2.0,0.0,-2.0,0.0,-112,926,0,1030,-1.0,5364.0,-4333.0,-88,0,-88,-16,-5.0,-349,,,
09/30/2016,1032,209,585,166,7.0,,159,72,-43,0.0,115,0.0,326,261,1948,1948.0,0.0,-1687,-1687.0,0.0,0,0,0,-1.0,0.0,-1.0,0.0,66,-901,0,-777,1.0,2367.0,-3145.0,-116,0,-116,-8,1.0,458,,,
