Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,188.768982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.023998,,,20.023998,20.023998,,125.789989,0.158333,0.158333,,125.789989,0.158333,0.158333,0.158333,
03/31/1990,205.093994,,,-93.422997,,,111.670998,,-67.549004,,,,,44.122002,-7.033,,6.988,,,,0.045,37.089002,-11.551,25.538,,,,25.538002,,25.538,,,25.538,25.538,,125.598003,0.203333,0.203333,,125.598003,0.203333,0.203333,0.203333,
06/30/1990,126.991997,,,-54.698002,,,72.293995,,-59.949001,,,,,12.345,-6.56,,6.542,,,,0.018,5.785,-0.345,5.44,,,,5.44,,5.44,,,5.44,5.44,,125.538002,0.043333,0.043333,,125.538002,0.043333,0.043333,0.043333,
09/30/1990,107.165001,,,-42.23,,,64.935001,,-63.344002,,,,,1.591,-6.006,,6.806,,,,-0.8,-4.415,2.723,-1.692,,,,-1.692,,-1.692,,,-1.692,-1.692,,126.899998,-0.013333,-0.013333,,126.899998,-0.013333,-0.013333,-0.013333,
12/31/1990,219.964996,,,-97.883003,,,122.081993,,-75.098,,,,,46.984001,-7.384,,7.637,,0.0,,-0.253,39.600001,-9.937,29.663,0.0,,,29.663001,0.0,29.663,0.0,,29.663,29.663,,125.115006,0.236667,0.236667,0.236667,125.115006,0.236667,0.236667,0.236667,
03/31/1991,226.651001,,,-98.292999,,,128.358002,,-80.862,,,,,47.495998,-7.268,,7.114,,,,0.154,40.227999,-12.564,27.664,,,,27.663998,,27.664,,,27.664,27.664,,124.799995,0.221667,0.221667,,124.799995,0.221667,0.221667,0.221667,
06/30/1991,119.036003,,,-49.02,,,70.016003,,-65.773003,,,,,4.243,-8.192,,7.86,,,,0.332,-3.949,3.553,-0.396,,,,-0.396,,-0.396,,,-0.396,-0.396,,118.799995,-0.003333,-0.003333,,118.799995,-0.003333,-0.003333,-0.003333,
09/30/1991,115.199997,,,-25.087,,,90.112997,,-59.139,,,,,30.974001,-6.418,,6.724,,,,-0.306,24.556001,-7.897,16.659,,,,16.659001,,16.659,,,16.659,16.659,,124.943996,0.133333,0.133333,,124.943996,0.133333,0.133333,0.133333,
12/31/1991,218.744003,,,-109.725998,,,109.018005,,-75.153999,,,,,33.863998,-10.141,,10.247,,0.0,,-0.106,23.722998,-3.482,20.240999,0.0,,,20.240998,0.0,20.240999,0.0,,20.240999,20.240999,,123.762006,0.161667,0.161667,0.161667,123.762006,0.161667,0.161667,0.161667,
03/31/1992,245.207993,,,-135.884995,,,109.322998,,-58.972,,,,,50.351002,-10.783,,11.383,,0.0,,-0.6,39.568001,-13.463,26.105,0.0,,,26.105001,0.0,26.105,0.0,,26.105,26.105,,125.255997,0.208333,0.208333,,125.255997,0.208333,0.208333,0.208333,
06/30/1992,161.352005,,,-98.941002,,,62.411003,,-53.733002,,,,,8.678,-8.756,,8.842,,0.0,,-0.086,-0.078,3.704,3.626,0.0,,,3.626,0.0,3.626,0.0,,3.626,3.626,,125.304005,0.028333,0.028333,,125.304005,0.028333,0.028333,0.028333,
09/30/1992,144.429001,,,-78.818001,,,65.611,,-51.252998,,,,,14.358,-7.834,,8.246,,0.0,,-0.412,6.524,0.637,7.161,0.0,,,7.161,0.0,7.161,0.0,,7.161,7.161,,125.399998,0.056667,0.056667,,125.399998,0.056667,0.056667,0.056667,
12/31/1992,261.38501,,,-159.350998,,,102.034012,,-60.994999,,,,,41.039001,-8.257,,8.94,,0.0,,-0.683,32.782001,-9.648,23.134001,0.0,,,23.134001,0.0,23.134001,0.0,,23.134001,23.134001,,125.491974,0.185,0.185,0.185,125.491974,0.185,0.185,0.185,
03/31/1993,269.819,,,-155.014999,,,114.804001,,-59.455002,,,,,55.348999,-8.781,,9.064,,0.0,,-0.283,46.567999,-15.773,30.795,0.0,,,30.794999,0.0,30.795,0.0,,30.795,30.795,,125.636002,0.245,0.245,,125.636002,0.245,0.245,0.245,
06/30/1993,207.781998,,,-138.705994,,,69.076004,,-55.098,,,,,13.978,-8.778,,8.633,,0.0,,0.145,5.199999,3.631,8.831,0.0,,,8.830999,0.0,8.831,0.0,,8.831,8.831,,125.716003,0.07,0.07,,125.716003,0.07,0.07,0.07,
09/30/1993,272.744995,,,-188.485992,,,84.259003,,-59.472,,,,,24.787001,-10.686,,10.811,,0.0,,-0.125,14.101001,-5.489,8.612,0.0,,,8.612001,0.0,8.612,0.0,,8.612,8.612,,128.779999,0.0675,0.0675,,128.779999,0.0675,0.0675,0.0675,
