Date,Returns,Return on Common Equity,Return on Assets,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Source: Bloomberg
03/31/1999,,,,,34.375906,4.651502,-18.175854,,-58.267719,-52.537185,-60.928847,-66.119865,,
06/30/1999,,,,,34.104616,9.080134,-9.15228,,-43.931975,-45.009017,-45.009018,-52.460705,,
09/30/1999,,,,,31.21775,11.795539,-5.733209,,-31.745967,-32.444842,-32.448905,-32.448905,,
12/31/1999,,,,,32.685142,13.564129,-5.485117,,-31.895697,-32.517685,-32.514268,-32.514268,,
03/31/2000,,,-8.619216,,35.660066,16.024187,-6.421506,3.225034,-31.216931,-31.95307,-31.953069,-31.953069,,
06/30/2000,,-21.481791,-7.530825,,34.787802,18.326322,-2.275207,4.712783,-19.622358,-20.539193,-20.539193,-20.539193,,
09/30/2000,,-11.463951,-5.405511,,36.479791,20.978082,0.013217,6.817744,-12.270073,-13.00804,-13.008041,-13.008041,,
12/31/2000,,-9.856099,-4.19471,,34.912281,19.145203,-0.548712,5.390846,-9.438223,-10.037327,-10.039193,-10.039193,,
03/31/2001,,-10.506066,-4.322147,,39.296776,32.360828,-9.135886,,-33.184151,-33.852631,-43.424729,-43.424729,,
06/30/2001,,-14.436486,-5.606821,,40.569646,9.8762,-9.86235,,-39.551554,-40.379188,-40.379186,-40.379186,,
09/30/2001,,-20.166086,-8.934445,,41.127663,25.248679,-6.71077,,-77.276982,-77.924262,-77.924261,-77.924261,,
12/31/2001,,-25.312391,-10.525988,,40.600145,26.235718,-12.730297,,-42.36587,-42.964569,-42.964568,-42.964568,,
03/31/2002,,-58.960839,-19.188225,,43.825851,41.68022,-11.577318,,-129.253719,-130.159199,-256.194481,-256.194481,,
06/30/2002,,-76.217376,-21.191011,,40.165083,20.446504,-5.010612,42.888898,-72.359093,-73.112178,-74.421821,-74.421821,,
09/30/2002,,-79.504312,-20.150198,,39.284774,11.450521,-11.4571,-122.043676,-49.314054,-50.203974,-52.100605,-52.100605,,
12/31/2002,,-76.129971,-18.225603,,37.747421,38.966044,-10.671867,,-49.522039,-47.030777,-11.907852,-11.907852,,
03/31/2003,,-45.239626,-8.851688,,43.092306,34.755107,-14.774838,-1.91868,-62.393612,-63.360805,-65.29519,-65.29519,,
06/30/2003,,-81.324092,-11.563291,,48.717837,24.751506,-11.070753,-10.795326,-97.798899,-98.745025,-146.990887,-146.990887,,
09/30/2003,,-82.84113,-10.773998,,47.195025,116.922301,-15.384292,-2.704955,-67.07148,-67.981258,-41.320334,-41.320334,,
12/31/2003,,-139.202891,-15.060794,,42.555741,28.839342,-7.466833,21.112411,-91.506911,-92.291797,-88.851844,-88.851844,,
03/31/2004,,-245.823738,-17.111688,,44.918305,30.798877,-14.060441,,-100.802214,-101.260343,-101.112877,-101.112877,,
06/30/2004,,,-14.413728,,47.03001,34.321258,-2.049799,37.945998,-39.918718,-40.404991,-41.25508,-41.25508,,
09/30/2004,,,-15.696465,,45.457331,75.877977,-5.638119,35.967351,-41.870521,-42.268866,-46.59619,-46.59619,,
