Date,Revenue,Net Premiums Earned,Net Premiums Earned (NL),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (NL),Underwriting Cost (NL),Amort Def Acq Cost (NL),Other Operating Expense,Operating Income (Loss),(Income) Loss from Affiliates,Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1991,58.568001,42.676998,,,12.41,3.481,,,-21.974001,21.974001,0.0,0.0,-15.577,,,,,20.388,,-0.974,0.0,19.414001,-5.862,13.552,0.0,,,13.552001,0.0,13.552,0.0,,13.552,13.552,,107.519997,0.125,0.125,,107.519997,0.125,0.125,0.125,
06/30/1991,61.889,44.813,,,12.561,4.515,,,-18.500999,18.500999,0.0,0.0,-9.948,,,,,27.35,,-0.995,0.0,26.355,-7.944,18.410999,0.0,,,18.411001,0.0,18.410999,0.0,,18.410999,18.410999,,107.307999,0.1725,0.1725,,107.307999,0.1725,0.1725,0.1725,
09/30/1991,66.800003,47.027,,,15.042,4.731,,,-20.058001,20.058001,0.0,0.0,-8.841,,,,,30.184,,-0.968,0.0,29.216,-8.648,20.568001,0.0,,,20.568,0.0,20.568001,0.0,,20.568001,20.568001,,114.300003,0.18,0.18,,114.300003,0.18,0.18,0.18,
12/31/1991,70.728996,48.43,,,17.201,5.098,,,-20.613001,20.613001,0.0,0.0,-9.541,,,,,33.054001,,-1.004,0.0,32.050001,-9.575,22.475,0.0,,,22.475001,0.0,22.475,0.0,,22.475,22.475,,117.879996,0.19,0.19,0.19,117.879996,0.19,0.19,0.19,
03/31/1992,73.792,50.426998,,,16.357,7.008,,,-22.540001,22.540001,0.0,0.0,-18.759001,,,,,27.395,,-0.974,0.0,26.421,-7.812,18.608999,0.0,,,18.609001,0.0,18.608999,0.0,,18.608999,18.608999,,117.339996,0.1575,0.1575,,117.339996,0.1575,0.1575,0.1575,
06/30/1992,77.031998,54.965,,,15.8,6.267,,,-19.042,19.042,0.0,0.0,-12.312,,,,,36.77,,-0.982,0.0,35.788,-10.48,25.308001,0.0,,,25.308001,0.0,25.308001,0.0,,25.308001,25.308001,,117.328003,0.215,0.215,,117.328003,0.215,0.215,0.215,
09/30/1992,83.672997,58.117001,,,16.504,9.052,,,-21.035,21.035,0.0,0.0,-12.321,,,,,40.785999,,-0.986,0.0,39.799999,-10.952,28.848,0.0,,,28.848,0.0,28.848,0.0,,28.848,28.848,,117.419998,0.245,0.245,,117.419998,0.245,0.245,0.245,
12/31/1992,87.213997,62.556,,,15.595,9.063,,,-24.219,24.219,0.0,0.0,-12.22,,,,,40.624001,,-0.985,0.0,39.639001,-10.142,29.497,0.0,,,29.497001,0.0,29.497,0.0,,29.497,29.497,,117.704004,0.25,0.25,0.25,117.704004,0.25,0.25,0.25,
03/31/1993,90.696999,65.471001,,,16.077,9.149,,,-26.666,26.666,0.0,0.0,-21.212999,,,,,34.188999,,-0.962,0.0,33.226999,-7.791,25.436001,0.0,,,25.435999,0.0,25.436001,0.0,,25.436001,25.436001,,117.792,0.215,0.215,,117.792,0.215,0.215,0.215,
06/30/1993,98.049004,71.884003,,,17.018,9.147,,,-25.618,25.618,0.0,0.0,-18.115,,,,,43.693001,,-0.97,0.0,42.723001,-10.809,31.914,0.0,,,31.914001,0.0,31.914,0.0,,31.914,31.914,,117.832001,0.27,0.27,,117.832001,0.27,0.27,0.27,
09/30/1993,105.097,77.821999,,,19.150999,8.124,,,-26.040001,26.040001,0.0,0.0,-17.431999,,,,,50.374001,,-0.979,0.0,49.395001,-15.642,33.752998,0.0,,,33.753,0.0,33.752998,0.0,,33.752998,33.752998,,117.867996,0.285,0.285,,117.867996,0.285,0.285,0.285,
