Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 2 Liabilities,Level 3 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
12/31/2010,91.183,91.43,44.201,329.064,369.567,2.876,,44.601568,44.722387,21.62063,160.959504,11.664541,11.696138,5.654391,42.095352,
12/31/2011,70.808,2.409,0.48,,373.791,,,49.816376,1.694832,0.3377,,9.488891,0.322827,0.064324,,
06/30/2012,50.75,2.882,,,361.498,,,38.86804,2.207245,,,7.338004,0.416712,,,
12/31/2012,80.062,2.952,,,379.048,,,57.746875,2.12921,,,11.136783,0.410629,,,
03/31/2013,59.717,2.706,,62.423,362.577,,362.577,41.525506,1.881676,,43.407182,8.528137,0.386442,,8.914579,
06/30/2013,50.451,2.012,,52.463,354.445,,354.445,32.590875,1.299733,,33.890608,7.237217,0.288622,,7.525839,
09/30/2013,62.799,2.039,,64.838,345.142,,345.142,37.445664,1.215811,,38.661475,8.857542,0.287593,,9.145135,
12/31/2013,57.837,1.83,,59.667,347.869,,347.869,28.330917,0.896408,,29.227325,8.498817,0.268908,,8.767725,
03/31/2014,76.314,1.679,,77.993,352.515,,352.515,36.116764,0.794612,,36.911376,11.158975,0.245511,,11.404486,
06/30/2014,83.168,1.597,,84.765,351.712,,351.712,37.072962,0.711879,,37.784841,12.059888,0.231575,,12.291463,
09/30/2014,73.343,1.271,,74.614,349.682,,349.682,29.842857,0.517163,,30.36002,10.312889,0.178718,,10.491607,
12/31/2014,31.012,0.793,,31.805,657.943,,657.943,13.779069,0.352341,,14.13141,3.005779,0.07686,,3.082639,
03/31/2015,28.029,1.378,1.059,30.466,,,629.648,12.917126,0.635049,0.488039,14.040214,2.718238,0.133638,0.102701,2.954577,
06/30/2015,10.614,0.799,1.454,12.867,,,629.259,5.170197,0.389202,0.708259,6.267658,1.02033,0.076808,0.139774,1.236912,
09/30/2015,1.346,1.522,1.906,4.774,,,653.029,0.625933,0.707779,0.886351,2.220062,0.129476,0.146406,0.183344,0.459226,
12/31/2015,7.925,0.581,0.687,9.193,625.44,,625.44,3.889838,0.285173,0.337201,4.512212,0.77955,0.057151,0.067577,0.904278,
03/31/2016,7.824,1.523,1.122,10.469,647.856,,647.856,4.107604,0.799576,0.589051,5.49623,0.781341,0.152094,0.112048,1.045483,
06/30/2016,65.378,1.692,1.683,68.753,610.178,,610.178,46.518147,1.203902,1.197498,48.919548,7.151819,0.185091,0.184106,7.521017,
09/30/2016,72.855,1.106,1.793,75.754,608.528,,608.528,46.772982,0.710053,1.151108,48.634143,7.807636,0.118526,0.19215,8.118312,
12/31/2016,82.584,1.395,0.07,84.049,601.381,,601.381,52.845643,0.892663,0.044793,53.783099,8.902198,0.150375,0.007546,9.060119,
03/31/2017,101.664,1.385,0.649,103.698,-602.255,,-602.255,63.834436,0.869636,0.407505,65.111577,10.900307,0.148498,0.069585,11.11839,
06/30/2017,110.324,4.288,1.114,115.726,600.519,,600.519,64.771119,2.517481,0.654028,67.942629,11.652622,0.452906,0.117663,12.223192,
09/30/2017,116.803,1.178,1.642,119.623,598.972,,598.972,61.09263,0.616141,0.858832,62.567603,12.029232,0.121319,0.169105,12.319656,
12/31/2017,120.457,1.169,1.996,123.622,588.479,,588.479,60.065722,0.58292,0.995303,61.643945,12.638721,0.122655,0.209427,12.970803,
03/31/2018,102.34,1.869,2.241,106.45,-796.637,,-796.637,7.66338,0.139954,0.16781,7.971144,4.313861,0.078783,0.094463,4.487106,
06/30/2018,125.719,,2.424,128.143,-790.33,,-790.33,9.237754,,0.178114,9.415868,5.244522,,0.10112,5.345642,
09/30/2018,141.243,3.392,2.741,147.376,-786.136,,-786.136,11.979197,0.287685,0.232472,12.499353,5.853247,0.140568,0.11359,6.107404,
12/31/2018,79.441,1.51,3.104,84.055,,,792.816,6.042156,0.114848,0.236085,6.39309,3.415566,0.064922,0.133456,3.613944,
03/31/2019,,0.955,3.493,4.448,,,-1521.366,,0.074704,0.273235,0.347939,,0.042011,0.153659,0.19567,
06/30/2019,,0.113,3.671,3.784,,,-1525.113,0.0,0.009069,0.294611,0.30368,0.0,0.005002,0.16251,0.167512,
09/30/2019,,0.736,4.073,4.809,,,-1523.41,0.0,0.05956,0.329603,0.389163,0.0,0.032609,0.180456,0.213065,
12/31/2019,84.254,1.601,4.157,90.012,,,797.515,6.867613,0.130499,0.33884,7.336952,3.769654,0.071631,0.185991,4.027276,
03/31/2020,,0.0,3.014,3.014,,,782.672,,0.0,0.262175,0.262175,,0.0,0.136202,0.136202,
06/30/2020,,0.0,2.967,2.967,,,850.713,0.0,0.0,0.263622,0.263622,0.0,0.0,0.134547,0.134547,
