Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/30/1990,520.103027,5.225,5.225,,94.633003,,,72.427002,,,,,9.637,,,,,181.921997,126.736,163.589996,-36.854,,211.445007,,,,,,211.445007,338.181007,,44.672001,44.672001,,,,0.739,,,,,,91.540003,,,91.540003,136.951004,151.778,,,,,28.327,,,,,28.327,180.105,317.056004,0.0,184.934998,,,-22.704,,40.816,203.046997,0.0,203.046997,520.103001,
06/29/1990,750.072998,2.724,2.724,,121.679001,,,118.922997,,,,,16.714001,,,,,260.040009,174.296005,215.192993,-40.896999,,315.737,,,,,,315.737,490.033005,,59.388,59.388,,,,0.951,,,,,,127.565998,,,127.565998,187.904999,204.248993,,,,,55.402,,,,,55.402,259.650993,447.555992,0.0,272.591003,,,-22.704,,52.630001,302.517004,0.0,302.517004,750.072996,
09/28/1990,770.458008,3.644,3.644,,130.057007,,,124.315002,,,,,16.190001,,,,,274.205994,182.365997,228.811005,-46.445,,313.885986,,,,,,313.885986,496.251984,,57.292999,57.292999,,,,0.953,,,,,,103.845996,,,103.845996,162.091995,219.444,,,,,73.512001,,,,,73.512001,292.956001,455.047997,0.0,273.088989,,,-24.386999,,66.707998,315.409988,0.0,315.409988,770.457985,
12/31/1990,744.502014,0.585,0.585,,97.470001,,,125.119003,,,,,14.21,,,,,237.384003,195.820999,246.934998,-51.113998,,311.296997,,,,,,311.296997,507.117996,,72.375999,72.375999,,,,0.946,,,,,,108.060997,,,108.060997,181.382996,186.104996,,,,,72.014999,,,,,72.014999,258.119995,439.502991,0.0,273.606995,,,-37.488998,,68.880998,304.998995,0.0,304.998995,744.501986,
03/29/1991,763.065002,8.972,8.972,,102.863998,,,128.686005,,,,,13.913,,,,,254.434998,199.473007,256.431,-56.958,,309.157013,,,,,,309.157013,508.63002,,59.675999,59.675999,,,,0.854,,,,,,94.203995,,,94.203995,154.733994,220.403,,,,,79.545998,,,,,79.545998,299.948997,454.682991,0.0,274.048004,,,-37.488998,,71.822998,308.382004,0.0,308.382004,763.064995,
06/28/1991,761.661011,9.977,9.977,,100.0,,,122.311996,,,,,14.985,,,,,247.274002,197.296005,259.662994,-62.367001,,317.091003,,,,,,317.091003,514.387009,,54.575001,54.575001,,,,0.846,,,,,,108.366994,,,108.366994,163.787994,219.182007,,,,,67.746002,,,,,67.746002,286.928009,450.716003,0.0,274.475006,,,-37.488998,,73.959,310.945007,0.0,310.945007,761.661011,
09/27/1991,765.531982,16.089001,16.089001,,105.061996,,,114.779999,,,,,15.137,,,,,251.067993,199.718002,267.63501,-67.917,,314.746002,,,,,,314.746002,514.464005,,60.037998,60.037998,,,,0.846,,,,,,116.644002,,,116.644002,177.528,212.632004,,,,,59.132999,,,,,59.132999,271.765003,449.293003,0.0,275.212006,,,-37.488998,,78.515999,316.239006,0.0,316.239006,765.532009,
12/31/1991,734.955017,0.004,0.004,,92.600998,,,109.622002,,,,,13.922,,,,,216.149002,206.854996,280.492004,-73.637001,,311.950989,,,,,,311.950989,518.805985,,66.110001,66.110001,,,,2.294,,,,,,105.478003,,,105.478003,173.882004,182.212006,,,,,59.609001,,,,,59.609001,241.821007,415.703011,0.0,275.678986,,,-37.488998,,81.062,319.251988,0.0,319.251988,734.954999,
03/27/1992,773.879028,9.808,9.808,,112.691002,,,111.754997,,,,,12.112,,,,,246.365997,205.059998,284.868011,-79.807999,,322.453003,,,,,,322.453003,527.513,,66.831001,66.831001,,,,2.112,,,,,,102.918998,,,102.918998,171.862,221.462006,,,,,57.291,,,,,57.291,278.753006,450.615005,0.0,276.752991,,,-37.488998,,84.0,323.263992,0.0,323.263992,773.878998,
06/26/1992,796.940002,10.635,10.635,,124.849998,,,118.863998,,,,,10.631,,,,,264.980011,211.468994,298.794006,-87.324997,,320.490997,,,,,,320.490997,531.959991,,67.120003,67.120003,,,,0.858,,,,,,120.023004,,,120.023004,188.001007,218.141006,,,,,57.384998,,,,,57.384998,275.526005,463.527012,0.0,277.298004,,,-37.488998,,93.604,333.413006,0.0,333.413006,796.940018,
