Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Source: Bloomberg
09/30/1989,-284.428986,93.773003,83.425003,5.404,,,5.404,-467.031006,,,,-467.031006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/30/1989,334.501007,149.339005,89.042,-28.184999,,,-28.184999,124.305,,,,124.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1990,164.210999,108.871002,85.723,-70.661003,,,-70.661003,40.278,,,,40.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,364.302002,118.358002,93.192001,-18.985001,,,-18.985001,171.737,,,,171.737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.302002,,
09/29/1990,-136.473007,106.313004,97.806,4.876,,,4.876,-345.467987,,,,-345.467987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-136.473007,,
12/29/1990,490.795013,166.807999,100.505997,12.014,,,12.014,211.466995,,,,211.466995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.795013,,
03/30/1991,183.647003,120.822998,102.591003,-40.700001,,,-40.700001,0.933,,,,0.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.647003,,
06/29/1991,329.623993,141.093002,92.877998,-13.313,,,-13.313,108.966003,,,,108.966003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.623993,,
09/28/1991,-29.466999,263.364014,112.566002,-224.391006,,,-224.391006,-181.005997,,,,-181.005997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.466999,,
12/28/1991,484.25,189.453003,113.661003,6.706,,,6.706,174.429993,,,,174.429993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.25,,
03/28/1992,83.554001,137.615005,127.766998,-50.537998,,,-50.537998,-131.289993,,,,-131.289993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.554001,,
06/27/1992,437.662994,170.567993,118.005997,1.223,,,1.223,147.865997,,,,147.865997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.662994,,
09/26/1992,-67.0,142.0,129.0,-40.0,,,-40.0,-298.0,,,,-298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67.0,,
12/26/1992,435.0,220.0,121.0,7.0,,,7.0,87.0,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.0,,
03/27/1993,121.0,152.0,133.0,-10.0,,,-10.0,-154.0,,,,-154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0,,
07/03/1993,361.0,190.0,139.0,-47.0,,,-47.0,79.0,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.0,,
10/02/1993,-235.0,120.0,144.0,-3.0,,,-3.0,-496.0,,,,-496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-235.0,,
01/01/1994,522.0,236.0,137.0,-45.0,,,-45.0,194.0,,,,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.0,,
04/02/1994,23.0,152.0,159.0,-15.0,,,-15.0,-273.0,,,,-273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,
07/02/1994,529.0,-309.0,128.0,499.0,,,499.0,211.0,,,,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.0,,
10/01/1994,-48.0,165.0,149.0,18.0,,,18.0,-380.0,,,,-380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-48.0,,
12/31/1994,577.0,252.0,150.0,-33.0,,,-33.0,208.0,,,,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.0,,
04/01/1995,190.0,166.0,153.0,-44.0,,,-44.0,-85.0,,,,-85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,
07/01/1995,654.0,221.0,154.0,29.0,,,29.0,250.0,,,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.0,,
09/30/1995,-224.0,186.0,159.0,5.0,,,5.0,-574.0,,,,-574.0,,-83.0,-83.0,,,,-83.0,,,,,,,,,,0.0,,,,,,,,,,,,-307.0,,
