Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2002,31.678,,,-14.173,,,17.505,,-4.432,,,,,13.073,0.881,-0.012,,-0.012,0.0,-0.869,13.954,-4.024,,,9.93,0.0,,,9.93,0.0,9.93,0.0,0.0,9.93,9.93,,26.745,0.37,0.37,0.37,26.749,0.37,0.37,0.37,
12/31/2002,77.053,,,-43.628,,,33.425,,-8.619,,,,,24.806,-0.418,0.295,0.344,-0.049,0.0,0.123,24.388,-8.601,,,15.787,0.0,,,15.787,0.0,15.787,0.0,0.0,15.787,15.787,,40.908,0.39,0.39,0.39,41.217,0.38,0.38,0.38,
03/31/2003,136.565,,,-74.354,,,62.211,,-11.945,,,,,50.266,-0.137,0.128,0.157,-0.029,0.0,0.009,50.129,-18.986,,,31.143,-1.605,,,32.748,0.0,32.748,0.0,0.0,32.748,32.748,,41.479,0.79,0.75,0.75,42.027,0.78,0.74,0.74,
06/30/2003,99.327,,,-54.043,,,45.284,,-10.91,,,,,34.374,-0.239,0.182,0.235,-0.053,0.0,0.057,34.135,-13.095,,,21.04,0.0,,,21.04,0.0,21.04,0.0,0.0,21.04,21.04,,41.545,0.51,0.51,0.51,42.246,0.5,0.5,0.5,
09/30/2003,112.594,,,-65.877,,,46.717,,-11.001,,,,,35.716,-0.011,0.179,0.302,-0.123,0.0,-0.168,35.705,-13.164,,,22.541,0.0,,,22.541,0.0,22.541,0.0,0.0,22.541,22.541,,41.612,0.54,0.54,0.54,42.297,0.53,0.53,0.53,
12/31/2003,105.786,,,-63.273,,,42.513,,-13.716,,,,,28.797,-0.597,0.16,0.287,-0.127,0.0,0.437,28.2,-9.896,,,18.304,0.0,,,18.304,0.0,18.304,0.0,0.0,18.304,18.304,,41.441,0.44,0.44,0.44,42.668,0.43,0.43,0.43,
03/31/2004,132.271,,,-74.752,,,57.519,,-13.342,,,,,44.177,3.439,0.209,0.296,-0.087,0.0,-3.648,47.616,-17.751,,,29.865,0.0,,,29.865,0.0,29.865,0.0,0.0,29.865,29.865,,41.305,0.72,0.72,0.72,42.615,0.7,0.7,0.7,
06/30/2004,169.145,,,-96.336,,,72.809,,-15.081,,,,,57.728,0.87,0.178,0.28,-0.102,0.0,-1.048,58.598,-22.128,,,36.47,0.0,,,36.47,0.0,36.47,0.0,0.0,36.47,36.47,,41.379,0.88,0.88,0.88,42.704,0.85,0.85,0.85,
09/30/2004,168.961,,,-92.206,,,76.755,,-15.636,,,,,61.119,1.254,,0.29,-0.232,0.0,-1.312,62.373,-23.191,,,39.182,0.0,,,39.182,0.0,39.182,0.0,0.0,39.182,39.182,,41.511,0.94,0.94,0.94,42.885,0.91,0.91,0.91,
12/31/2004,142.647,,,-58.017,,,84.63,,-7.946,,,,,76.684,1.047,,0.209,,0.0,-1.256,77.731,-29.656,,,48.075,0.0,,,48.075,0.0,48.075,0.0,0.0,48.075,48.075,,41.669,1.15,1.15,1.15,42.848,1.12,1.12,1.12,
03/31/2005,137.944,,,-62.063,,,75.881,,-9.117,,,,,66.764,1.053,0.188,0.188,,0.0,-1.241,67.817,-24.452,,,43.365,0.0,,,43.365,0.0,43.365,0.0,0.0,43.365,43.365,,41.749,1.04,1.04,1.04,43.218,1.0,1.0,1.0,
06/30/2005,188.058,,,-88.561,,,99.497,,-8.87,,,,,90.627,-7.976,2.592,2.592,,0.0,5.384,82.651,-30.174,,,52.477,0.0,,,52.477,0.0,52.477,0.0,0.0,52.477,52.477,5.534,51.967,1.01,1.01,1.12,53.655,0.98,0.98,1.08,
09/30/2005,363.094,,,-164.035,,,199.059,,-9.643,,,,,189.416,-89.335,3.302,3.302,,0.0,86.033,100.081,-36.006,,,64.075,0.0,,,64.075,0.0,64.075,0.0,0.0,64.075,64.075,57.498,82.284,0.78,0.78,1.48,84.84,0.76,0.76,1.44,
12/31/2005,429.526,,,-172.102,,,257.424,,-10.826,,,,,246.598,19.308,1.839,1.839,,0.0,-21.147,265.906,-97.498,,,168.408,0.0,,,168.408,0.0,168.408,0.0,0.0,168.408,168.408,1.335,82.404,2.04,2.04,2.04,85.145,1.98,1.98,1.98,
03/31/2006,335.25,,,-168.255,,,166.995,,-12.853,,,,,154.142,19.552,0.271,0.271,,0.0,-19.823,173.694,-63.543,,,110.151,0.0,,,110.151,0.0,110.151,0.0,0.0,110.151,110.151,-9.85,82.633,1.33,1.33,1.21,85.242,1.29,1.29,1.17,
06/30/2006,313.381,,,-173.873,,,139.508,,-12.086,,,,,127.422,4.536,1.787,1.787,,0.0,-6.323,131.958,-49.092,,,82.866,0.0,,,82.866,0.0,82.866,0.0,0.0,82.866,82.866,-2.101,82.046,1.01,1.01,0.98,84.861,0.98,0.98,0.96,
09/30/2006,322.882,,,-185.587,,,137.295,,-13.069,,,,,124.226,24.478,1.388,1.388,,0.0,-25.866,148.704,-54.747,,,93.957,0.0,,,93.957,0.0,93.957,0.0,0.0,93.957,93.957,-21.322,82.052,1.15,1.15,0.89,84.311,1.11,1.11,0.86,
12/31/2006,295.631,,,-192.163,,,103.468,,-12.523,,,,,90.945,-0.977,2.246,2.246,,0.0,-1.269,89.968,-31.223,,,58.745,0.0,,,58.745,0.0,58.745,0.0,0.0,58.745,58.745,0.408,82.077,0.72,0.72,0.72,84.102,0.7,0.7,0.7,
03/31/2007,306.875,,,-190.352,,,116.523,,-15.05,,,,,101.473,0.322,4.074,4.074,,0.0,-4.396,101.795,-37.167,,,64.628,0.0,,,64.628,0.0,64.628,0.0,0.0,64.628,64.628,,82.222,0.79,0.79,0.79,84.393,0.77,0.77,0.77,
06/30/2007,342.084,,,-204.033,,,138.051,,-17.142,,,,,120.909,3.737,0.501,0.501,,0.0,-4.238,124.646,-45.939,,,78.707,0.0,,,78.707,0.0,78.707,0.0,0.0,78.707,78.707,-3.209,82.282,0.96,0.96,0.92,84.836,0.93,0.93,0.89,
09/30/2007,343.753,,,-211.841,,,131.912,,-17.589,,,,,114.323,1.223,4.284,4.284,,0.0,-5.507,115.546,-42.39,,,73.156,0.0,,,73.156,0.0,73.156,0.0,0.0,73.156,73.156,1.5,81.568,0.9,0.9,0.92,84.025,0.87,0.87,0.89,
12/31/2007,438.683,,,-216.747,,,221.936,,-16.888,,,,,205.048,-2.41,4.529,4.529,,0.0,-2.119,202.638,-72.66,,,129.978,0.0,,,129.978,0.0,129.978,0.0,0.0,129.978,129.978,,81.218,1.6,1.6,1.6,84.188,1.54,1.54,1.54,
03/31/2008,477.21,,,-228.293,,,248.917,0.0,-14.895,,,,,234.022,-1.074,,4.091,,,-3.017,232.948,-83.41,,,149.538,0.0,,,149.538,0.0,149.538,0.0,-5.013,144.525,144.525,0.0,81.333,1.79,1.79,1.79,84.087,1.73,1.73,1.73,
06/30/2008,617.043,,,-247.546,,,369.497,0.0,-16.327,,,,,353.17,2.138,,3.369,,,-5.507,355.308,-126.295,,,229.013,0.0,,,229.013,0.0,229.013,0.0,0.0,229.013,229.013,,83.738,2.73,2.73,2.73,86.568,2.65,2.65,2.65,
09/30/2008,577.258,,,-267.081,,,310.177,0.0,-27.039,,,,,283.138,-651.455,,2.395,,,649.06,-368.317,135.894,,,-232.423,0.0,,,-232.423,0.0,-232.423,0.0,0.0,-232.423,-232.423,,83.927,-2.85,-2.85,2.239481,83.927,-2.85,-2.85,2.239481,
12/31/2008,298.836,,,-244.451,,,54.385,0.0,-122.762,,,,,-68.377,-1603.211,,0.842,,0.0,1602.369,-1671.588,610.215,,,-1061.373,0.0,,,-1061.373,0.0,-1061.373,0.0,0.0,-1061.373,-1061.373,,81.587,-13.01,-13.01,-13.01,81.587,-13.01,-13.01,-13.01,
03/31/2009,209.179,209.179,,-171.985,82.319,89.666,37.194,0.0,-811.146,7.762,7.762,,803.384,-773.952,-5.109,,2.754,,,2.355,-779.061,284.961,-15.209,-269.752,-494.1,0.0,0.0,0.0,-494.1,0.0,-494.1,0.0,0.0,-494.1,7.6167,501.7167,81.684,-6.05,-6.05,0.093246,81.684,-6.05,-6.05,0.092166,
06/30/2009,226.054,222.685,3.369,-132.439,75.554,56.885,93.615,0.0,-21.434,9.519,9.519,,11.915,72.181,-11.367,,5.832,,,5.535,60.814,-22.007,-13.625,35.632,38.807,0.0,0.0,0.0,38.807,0.0,38.807,0.0,0.0,38.807,43.407,4.6,84.053,0.46,0.46,0.516424,84.399,0.46,0.46,0.514503,
09/30/2009,249.31,249.134,0.176,-139.264,80.024,59.24,110.046,0.0,-35.443,12.522,12.522,,22.921,74.603,-9.065,,5.328,,,3.737,65.538,-26.833,13.305,13.528,38.705,0.0,0.0,0.0,38.705,0.0,38.705,0.0,0.0,38.705,49.005,10.3,84.162,0.46,0.46,0.58227,84.547,0.46,0.46,0.581826,
12/31/2009,326.645,328.796,-2.151,-142.491,78.935,63.556,184.154,0.0,-12.808,11.921,11.921,,0.887,171.346,-7.118,,2.455,,,4.663,164.228,-59.583,3.751,55.832,104.645,0.0,0.0,0.0,104.645,0.0,104.645,0.0,0.0,104.645,100.28675,-4.35825,81.815,1.24,1.24,1.225775,82.562,1.23,1.23,1.177212,
03/31/2010,449.111,448.57,0.541,-164.367,94.657,69.71,284.744,0.0,38.079,13.045,13.045,,-51.124,322.823,-0.108,,2.038,,,-1.93,322.715,-118.354,33.364,84.99,204.361,0.0,0.0,0.0,204.361,0.0,204.361,0.0,0.0,204.361,170.5246,-33.8364,84.531,2.42,2.42,2.017303,85.378,2.39,2.39,1.993687,
06/30/2010,395.071,378.501,16.57,-165.478,92.332,73.146,229.593,0.0,-29.967,11.817,11.817,,18.15,199.626,-3.667,,1.816,,,1.851,195.959,-71.339,31.026,40.313,124.62,0.0,0.0,0.0,124.62,0.0,124.62,0.0,0.0,124.62,133.25265,8.63265,84.742,1.47,1.47,1.572451,85.641,1.46,1.46,1.5608,
09/30/2010,392.73,378.583,14.147,-177.671,98.966,78.705,215.059,0.0,-15.925,11.274,11.274,,4.651,199.134,4.687,,1.8,,,-6.487,203.821,-75.605,-12.77,88.375,128.216,0.0,0.0,0.0,128.216,0.0,128.216,0.0,0.0,128.216,125.18895,-3.02705,85.348,1.5,1.5,1.466806,85.759,1.5,1.5,1.464703,
12/31/2010,428.869,408.029,20.84,-191.954,107.457,84.497,236.915,0.0,-47.137,12.484,12.484,,34.653,189.778,1.458,,1.744,,,-3.202,191.236,-73.651,-5.283,78.934,117.585,0.0,0.0,0.0,117.585,0.0,117.585,0.0,0.0,117.585,136.4727,18.8877,85.33,1.38,1.38,1.599352,85.752,1.37,1.37,1.59026,
03/31/2011,428.63,426.596,2.034,-197.038,112.012,85.026,231.592,0.0,-43.129,14.727,14.727,,28.402,188.463,-1.151,,1.755,,,-0.604,187.312,-69.15,-0.548,69.698,118.162,0.0,0.0,0.0,118.162,0.0,118.162,0.0,0.0,118.162,130.962,12.8,85.626,1.38,1.38,1.529465,86.064,1.37,1.37,1.518727,
06/30/2011,467.249,467.213,0.036,-208.811,118.964,89.847,258.438,0.0,4.865,10.617,10.617,,-15.482,263.303,1.03,,1.988,,,-3.018,264.333,-97.584,-0.774,98.358,166.749,0.0,0.0,0.0,166.749,0.0,166.749,0.0,0.0,166.749,152.549,-14.2,85.655,1.95,1.95,1.78097,86.083,1.94,1.94,1.775043,
09/30/2011,435.556,433.809,1.747,-221.142,116.461,104.681,214.414,0.0,-10.991,9.39,9.39,,1.601,203.423,1.578,,2.026,,,-3.604,205.001,-76.849,-44.081,120.93,128.152,0.0,0.0,0.0,128.152,0.0,128.152,0.0,0.0,128.152,131.552,3.4,85.806,1.49,1.49,1.533133,86.185,1.49,1.49,1.52945,
12/31/2011,433.165,430.271,2.894,-228.475,114.34,114.135,204.69,0.0,-21.602,10.522,10.522,,11.08,183.088,1.747,,0.785,,,-2.532,184.835,-67.966,-0.67,68.636,116.869,0.0,0.0,0.0,116.869,0.0,116.869,0.0,0.0,116.869,119.42025,2.55125,85.834,1.36,1.36,1.391293,86.185,1.36,1.36,1.389602,
03/31/2012,423.036,423.036,,-232.739,114.477,118.262,190.297,0.0,-25.109,14.147,14.147,,10.962,165.188,3.862,,0.864,,,-4.726,169.05,-62.943,0.0,62.943,106.107,0.0,0.0,0.0,106.107,0.0,106.107,0.0,0.0,106.107,108.707,2.6,85.777,1.24,1.24,1.267321,86.147,1.23,1.23,1.260181,
06/30/2012,353.122,353.122,0.0,-227.779,106.542,121.237,125.343,0.0,-9.959,12.634,12.634,,-2.675,115.384,-12.945,,4.56,,,8.385,102.439,-38.137,0.0,38.137,64.302,0.0,0.0,0.0,64.302,0.0,64.302,0.0,-1.293,63.009,67.22495,4.21595,83.984,0.75,0.75,0.800449,84.319,0.74,0.74,0.79,
09/30/2012,406.912,406.912,0.0,-246.27,110.283,135.987,160.642,0.0,-30.608,14.742,14.742,,15.866,130.034,2.167,,3.992,,,-6.159,132.201,-47.939,-1.629,49.568,84.262,0.0,0.0,0.0,84.262,0.0,84.262,0.0,0.0,84.262,87.66188,3.39988,84.681,0.995052,0.995052,1.035201,84.997,0.991353,0.991353,1.031353,
12/31/2012,440.868,440.868,0.0,-245.044,103.073,141.971,195.824,0.0,-35.387,12.905,12.905,,22.482,160.437,-3.577,,4.727,,,-1.15,156.86,-57.708,0.14,57.568,99.152,0.0,0.0,0.0,99.152,0.0,99.152,0.0,0.0,99.152,109.82904,10.67704,86.63,1.14,1.14,1.267795,86.722,1.14,1.14,1.263118,
03/31/2013,427.082,426.356,0.726,-258.141,121.703,136.438,168.941,0.0,-24.443,15.577,15.577,,8.866,144.498,-1.395,,4.011,,,-2.616,143.103,-53.176,0.0,53.176,89.927,0.0,0.0,0.0,89.927,0.0,89.927,0.0,0.0,89.927,91.44085,1.51385,84.92,1.04,1.04,1.076788,85.016,1.04,1.04,1.057807,
06/30/2013,494.796,493.757,1.039,-274.561,127.33,147.231,220.235,0.0,-16.087,22.836,22.836,,-6.749,204.148,2.033,,6.725,,,-8.758,206.181,-76.616,0.0,76.616,129.565,0.0,0.0,0.0,129.565,0.0,129.565,0.0,-2.131,127.434,117.22752,-10.20648,84.942,1.5,1.5,1.380089,85.054,1.49,1.49,1.37,
09/30/2013,555.239,561.336,-6.097,-301.057,141.875,159.182,254.182,0.0,-29.584,19.003,19.003,,10.581,224.598,-4.405,,6.668,,,-2.263,220.193,-81.823,0.0,81.823,138.37,0.0,0.0,0.0,138.37,0.0,138.37,0.0,-2.375,135.995,139.06755,3.07255,85.213,1.59,1.59,1.631999,85.347,1.59,1.59,1.626001,
12/31/2013,516.846,516.602,0.244,-309.034,135.102,173.932,207.812,0.0,116.268,20.05,20.05,,-136.318,324.08,0.143,,5.049,,,-5.192,324.223,-117.396,-0.689,118.085,206.827,0.0,0.0,0.0,206.827,0.0,206.827,0.0,-5.027,201.8,202.8959,1.0959,87.161,2.315256,2.315256,2.327829,87.298,2.311531,2.311531,2.324084,
03/31/2014,594.429,599.216,-4.787,-338.943,165.012,173.931,255.486,0.0,-35.487,20.712,20.712,,14.775,219.999,0.203,,6.752,,,-6.955,220.202,-81.745,0.0,81.745,138.457,0.0,0.0,0.0,138.457,0.0,138.457,0.0,-2.284,136.173,143.2892,7.1162,85.443,1.59,1.59,1.677015,85.579,1.59,1.59,1.673154,
06/30/2014,635.652,636.669,-1.017,-373.566,178.577,194.989,262.086,0.0,-21.668,16.571,16.571,,5.097,240.418,-4.02,,8.149,,,-4.129,236.398,-87.758,0.0,87.758,148.64,0.0,0.0,0.0,148.64,0.0,148.64,0.0,-2.316,146.324,147.25805,0.93405,85.532,1.71,1.71,1.721672,85.689,1.7,1.7,1.7109,
09/30/2014,649.529,649.74,-0.211,-406.534,187.175,219.359,242.995,0.0,-14.222,20.24,20.24,,-6.018,228.773,0.249,,10.874,,,-11.123,229.022,-84.707,0.0,84.707,144.315,0.0,0.0,0.0,144.315,0.0,144.315,0.0,-2.407,141.908,131.57,-10.338,87.257,1.65,1.65,1.507845,87.393,1.65,1.65,1.507845,
12/31/2014,552.207,538.551,13.656,-398.684,179.148,219.536,153.523,0.0,-28.779,23.637,23.637,,5.142,124.744,-4.465,,10.038,,,-5.573,120.279,-44.487,0.404,44.083,75.792,0.0,0.0,0.0,75.792,0.0,75.792,0.0,-2.712,73.08,73.6871,0.6071,87.601,0.834237,0.834237,0.841167,87.695,0.833514,0.833514,0.840437,
03/31/2015,361.002,361.002,,-371.212,154.434,216.778,-10.21,0.0,-625.216,15.938,15.938,,609.278,-635.426,-8.254,,11.839,,,-3.585,-643.68,228.739,0.0,-228.739,-414.941,0.0,0.0,0.0,-414.941,0.0,-414.941,0.0,0.0,-414.941,-31.716,383.225,85.77,-4.84,-4.84,-0.36978,85.77,-4.84,-4.84,-0.371946,
06/30/2015,424.283,424.283,,-371.092,153.641,217.451,53.191,0.0,-986.589,14.054,14.054,,972.535,-933.398,-8.873,,12.727,,,-3.854,-942.271,342.056,0.0,-342.056,-600.215,0.0,0.0,0.0,-600.215,0.0,-600.215,0.0,0.0,-600.215,14.399,614.614,92.831,-6.47,-6.47,0.15511,92.831,-6.47,-6.47,0.150784,
09/30/2015,356.055,356.055,,-332.039,146.385,185.654,24.016,0.0,-1203.891,20.413,20.413,,1183.478,-1179.875,-11.941,,14.316,,,-2.375,-1191.816,428.532,14.937,-443.469,-763.284,0.0,0.0,0.0,-763.284,0.0,-763.284,0.0,0.0,-763.284,-14.358,748.926,92.969,-8.21,-8.21,-0.154439,92.969,-8.21,-8.21,-0.154439,
12/31/2015,311.279,311.279,,-318.339,156.571,161.768,-7.06,0.0,-985.044,24.283,24.283,0.0,960.761,-992.104,-12.513,,14.309,,,-1.796,-1004.617,374.109,-0.227,-373.882,-630.508,0.0,0.0,0.0,-630.508,0.0,-630.508,0.0,0.0,-630.508,-360.9078,269.6002,92.992,-6.78,-6.78,-3.881063,92.992,-6.78,-6.78,-3.881063,
03/31/2016,245.668,240.6,5.068,-251.998,141.362,110.636,-6.33,0.0,-342.941,13.897,13.897,,329.044,-349.271,-14.251,,15.901,,,-1.65,-363.522,132.063,0.0,-132.063,-231.459,0.0,0.0,0.0,-231.459,0.0,-231.459,0.0,0.0,-231.459,-25.946,205.513,93.0,-2.49,-2.49,-0.278989,93.0,-2.49,-2.49,-0.280183,
