Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2012,0,,0,,0,0,0,,0,0,-18,37,-19,-18,7,101,90,0,0,0,90,0,90,0,0,90,90.0,0.0,,,,,,,,,
06/30/2012,0,,0,,0,0,0,,0,0,-19,45,-26,-19,7,73,61,0,0,0,61,0,61,0,0,61,61.0,0.0,,,,,,,,,
09/30/2012,0,,0,,0,0,0,,0,0,-19,47,-28,-19,7,61,49,0,0,0,49,0,49,0,0,49,49.0,0.0,,,,,,,,,
12/31/2012,0,,0,,0,0,0,,0,0,-27,51,-24,-27,10,174,157,0,0,0,157,0,157,0,0,157,157.0,0.0,,,,,,,,,
03/31/2013,0,,0,,0,0,0,,0,0,-68,47,21,-68,25,107,64,0,0,0,64,0,64,0,0,64,64.0,0.0,,,,,,,,,
06/30/2013,0,,0,,0,0,0,,0,0,-32,47,-15,-32,12,71,51,0,0,0,51,0,51,0,0,51,51.0,0.0,,,,,,,,,
09/30/2013,0,,0,,0,0,0,,0,0,-32,47,-15,-32,12,74,54,0,0,0,54,0,54,0,0,54,54.0,0.0,,,,,,,,,
12/31/2013,0,,0,,0,0,0,,0,0,-37,53,-16,-37,13,74,50,0,0,0,50,0,50,0,0,50,50.0,0.0,,,,,,,,,
03/31/2014,0,,0,,0,0,0,,0,0,-66,47,19,-66,24,70,28,0,0,0,28,0,28,0,0,28,28.0,0.0,,,,,,,,,
06/30/2014,0,,0,,0,0,0,,0,0,-29,45,-16,-29,11,72,54,0,0,0,54,0,54,0,0,54,54.0,0.0,,,,,,,,,
06/30/2018,1232,1232.0,-991,991.0,241,0,-119,105.0,14,122,-15,19,-4,107,-20,3,90,0,0,0,90,-4,86,0,0,86,95.48,9.48,88.78,0.97,0.97,1.075467,89.05,0.97,0.97,1.075467,
12/31/2018,1171,1171.0,-959,959.0,212,0,-119,107.0,12,93,-15,20,-5,78,63,1,142,0,0,0,142,-7,135,0,0,135,140.53,5.53,88.49,1.53,1.53,1.588089,88.63,1.52,1.52,1.582394,
