Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1991,1268.662964,48.171001,48.171001,0.0,27.306,,,7.319,7.319,0.0,0.0,0.0,4.0,,,,,,,86.795998,1137.030029,1176.159058,-39.129002,0.0,44.837002,,,,,,44.837002,1181.867031,,21.222,21.222,,,,46.495998,,,,,,24.859005,,,24.859005,92.577003,1106.730957,,,,,7.854,,,,7.854,1114.584957,1207.161961,0.0,12.891,,,0.0,,36.365002,49.256001,12.245,61.501001,1268.662962,
09/30/1991,1408.334961,102.841003,102.841003,0.0,28.063999,,,11.223,11.223,0.0,0.0,0.0,3.997,,,,,,,146.125,1181.740967,1227.928955,-46.188,0.0,80.469002,,,,,,80.469002,1262.209969,,43.380001,43.380001,,,,42.464001,,,,,,25.411995,,,25.411995,111.255997,1146.618042,,,,,10.275,,,,10.275,1156.893042,1268.149038,0.0,86.817001,,,0.0,,41.346001,128.163002,12.023,140.186002,1408.33504,
12/31/1991,1366.468994,62.891998,62.891998,0.0,21.504999,,,11.555,11.555,0.0,0.0,0.0,5.203,,,,,,,101.154999,1165.241943,1219.188965,-53.946999,0.0,100.071999,,,,,,100.071999,1265.313942,,25.035,25.035,,,,58.118999,,,,,,24.592003,,,24.592003,107.746002,1093.612061,,,,,11.74,,,,11.74,1105.35206,1213.098063,0.0,88.906998,,,-0.205,,52.160002,140.862,12.509,153.370999,1366.469062,
03/31/1992,1555.375,113.778,113.778,0.0,21.738001,,,13.47,13.47,0.0,0.0,0.0,8.617,,,,,,,157.602997,1284.718994,1345.384033,-60.665001,0.0,113.053001,,,,,,113.053001,1397.771996,,41.464001,41.464001,,,,48.310001,,,,,,22.912994,,,22.912994,112.686996,1271.727051,,,,,13.769,,,,13.769,1285.496051,1398.183047,0.0,89.398003,,,0.0,,55.285999,144.684002,12.508,157.192002,1555.37505,
06/30/1992,1652.314941,55.409,55.409,0.0,26.841,,,12.012,12.012,0.0,0.0,0.0,13.409,,,,,,,107.670998,1378.07605,1445.698975,-67.623001,0.0,166.567993,,,,,,166.567993,1544.644043,,38.256001,38.256001,,,,52.681999,,,,,,27.029003,,,27.029003,117.967003,1348.43103,,,,,15.606,,,,15.606,1364.03703,1482.004033,0.0,90.471001,,,0.0,,67.212997,157.683998,12.627,170.310998,1652.315031,
09/30/1992,1728.473999,58.436001,58.436001,0.0,44.633999,,,21.426001,21.426001,0.0,0.0,0.0,10.138,,,,,,,134.634003,1438.58606,1514.030029,-75.444,0.0,155.253998,,,,,,155.253998,1593.840057,,21.233999,21.233999,,,,62.328999,,,,,,37.219,,,37.219,120.781998,1412.314941,,,,,17.334999,,,,17.334999,1429.64994,1550.431938,0.0,100.914001,,,0.0,,64.596001,165.510002,12.532,178.042002,1728.47394,
12/31/1992,1551.765015,76.43,76.43,0.0,34.160999,,,19.108,19.108,0.0,0.0,0.0,13.831,,,,,,,143.529999,1250.384033,1335.261963,-84.877998,0.0,157.850998,,,,,,157.850998,1408.235031,,17.865,17.865,,,,70.606003,,,,,,38.787001,,,38.787001,127.258003,1196.422974,,,,,39.043999,,,,39.043999,1235.466972,1362.724976,0.0,103.781998,,,0.0,,73.440002,177.222,11.818,189.04,1551.764976,
03/31/1993,1571.139038,94.038002,94.038002,0.0,33.898998,,,19.256001,19.256001,0.0,0.0,0.0,19.188,,,,,,,166.380997,1244.719971,1339.217041,-94.497002,0.0,160.037994,,,,,,160.037994,1404.757965,,19.291,19.291,,,,70.585999,,,,,,44.940994,,,44.940994,134.817993,1190.64502,,,,,38.348,,,,38.348,1228.993019,1363.811012,0.0,116.638,,,0.0,,79.002998,195.640999,11.687,207.327999,1571.139011,
06/30/1993,1708.707031,167.720993,167.720993,0.0,35.227001,,,20.795,20.795,0.0,0.0,0.0,19.889,,,,,,,243.632004,1239.362061,1342.886963,-103.525002,0.0,225.712997,,,,,,225.712997,1465.075058,,20.598,20.598,,,,79.894997,,,,,,38.646011,,,38.646011,139.139008,1240.359009,,,,,28.465,,,,28.465,1268.824009,1407.963017,0.0,185.669998,,,0.0,,103.285004,288.955002,11.789,300.744001,1708.707018,
09/30/1993,1722.417969,193.600998,193.600998,0.0,35.696999,,,16.85,16.85,0.0,0.0,0.0,18.291,,,,,,,264.438995,1236.537964,1349.858032,-113.32,0.0,221.440994,,,,,,221.440994,1457.978958,,17.094999,17.094999,,,,79.920998,,,,,,39.355005,,,39.355005,136.371002,1234.072998,,,,,34.564999,,,,34.564999,1268.637997,1405.008999,0.0,192.235001,,,0.0,,114.101997,306.336998,11.072,317.408998,1722.417996,
