Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2007,367.0,,,-171.0,,196.0,,-126.0,,,,70.0,0.0,,0.0,0.0,0.0,,0.0,70.0,-27.0,43.0,0.0,,,43.0,0.0,43.0,0.0,,43.0,43.0,,180.7,0.24,0.24,0.24,180.7,0.24,0.24,0.24,
06/30/2007,430.0,,,-200.0,,230.0,,-142.0,,,,88.0,0.0,,0.0,,0.0,,0.0,88.0,-39.0,49.0,0.0,,,49.0,0.0,49.0,,,49.0,49.0,,,,,,,,,,
09/30/2007,439.0,,,-210.0,,229.0,,-163.0,,,,66.0,0.0,,,,0.0,,0.0,66.0,-37.0,29.0,0.0,,,29.0,0.0,29.0,0.0,0.0,29.0,29.0,,180.7,0.16,0.16,0.4,180.7,0.16,0.16,0.4,
12/31/2007,466.0,,,-205.0,,261.0,0.0,-165.0,131.0,,34.0,96.0,2.0,,0.0,,0.0,,-2.0,98.0,-19.0,79.0,0.0,,,79.0,0.0,79.0,0.0,0.0,79.0,79.0,,181.0,0.44,0.44,0.41,183.0,0.43,0.43,0.4,
03/31/2008,375.0,,,-181.0,,194.0,,-141.0,,,,53.0,3.0,-3.0,0.0,-3.0,0.0,,0.0,56.0,-14.0,42.0,0.0,,,42.0,0.0,42.0,0.0,,42.0,42.0,,180.4,0.23,0.23,0.23,182.3,0.23,0.23,0.23,
06/30/2008,455.0,,,-206.0,,249.0,,-157.0,,,,92.0,2.0,,,,0.0,,-2.0,94.0,-25.0,69.0,0.0,,,69.0,0.0,69.0,0.0,0.0,69.0,69.0,,179.3,0.38,0.38,0.38,181.2,0.38,0.38,0.38,
09/30/2008,439.0,,,-202.0,,237.0,,-151.0,,,,86.0,-1.0,,,,0.0,,1.0,85.0,-25.0,60.0,0.0,,,60.0,0.0,60.0,0.0,0.0,60.0,60.0,,177.5,0.34,0.34,0.37,179.4,0.33,0.33,0.36,
12/31/2008,493.0,,,-224.0,,269.0,,-167.0,137.0,,30.0,102.0,1.0,,,,0.0,,-1.0,103.0,-24.0,79.0,0.0,,,79.0,0.0,79.0,0.0,0.0,79.0,79.0,,178.1,0.45,0.45,0.45,179.8,0.45,0.45,0.45,
03/31/2009,367.0,367.0,,-167.0,167.0,200.0,0.0,-140.0,110.0,30.0,0.0,60.0,0.0,,,,,,0.0,60.0,-15.0,45.0,0.0,0.0,0.0,45.0,0.0,45.0,0.0,0.0,45.0,45.0,0.0,173.3,0.26,0.26,0.26,174.3,0.26,0.26,0.26,
06/30/2009,421.0,421.0,,-188.0,188.0,233.0,0.0,-149.0,122.0,27.0,0.0,84.0,0.0,,,,,,0.0,84.0,-22.0,62.0,0.0,0.0,0.0,62.0,0.0,62.0,0.0,0.0,62.0,62.0,0.0,172.3,0.36,0.36,0.36,173.9,0.36,0.36,0.36,
