Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,1279,,,-992,,287,,-150,,,,137,-30,,60,,,,-30,107,-36,71,-27,,,98,-4,94,0.0,,94,94.0,,142.520996,0.66,0.47,,142.520996,0.66,0.47,0.47,
06/30/1990,1275,,,-1012,,263,,-151,,,,112,11,,66,,,,-77,123,-33,90,-29,,,119,-3,116,0.0,,116,116.0,,143.151993,0.81,0.61,,143.151993,0.81,0.61,0.61,
09/30/1990,1336,,,-1065,,271,,-150,,,,121,-24,,71,,,,-47,97,-35,62,-29,,,91,0,91,0.0,,91,91.0,,143.914001,0.63,0.43,,143.914001,0.63,0.43,0.43,
12/31/1990,1348,,,-1081,,267,,-172,,,,95,-99,,72,,,,27,-4,-26,-30,-35,,,5,2,7,0.0,,7,7.0,,134.938004,0.05,-0.21,-0.21,134.938004,0.05,-0.21,-0.21,
03/31/1991,1323,,,-1041,,282,,-147,,,,135,-43,,59,,,,-16,92,-38,54,-27,,,81,2,83,-5.0,,78,78.0,,126.408997,0.62,0.4,,126.408997,0.62,0.4,0.4,
06/30/1991,1212,,,-983,,229,,-147,,,,82,-63,,54,,,,9,19,3,22,-28,,,50,0,50,-4.0,,46,46.0,,126.882004,0.36,0.13,,126.882004,0.36,0.13,0.13,
09/30/1991,1191,,,-1005,,186,,-138,,,,48,-180,,61,,,,119,-132,23,-109,-23,,,-86,2,-84,-5.0,,-89,-89.0,,127.417,-0.7,-0.88,,127.417,-0.7,-0.88,-0.88,
12/31/1991,1151,,,-1028,,123,,-133,,,,-10,-111,,54,,,,57,-121,62,-85,-29,,,-30,-2,-58,-5.0,,-63,-63.0,,127.195999,-0.49,-0.72,-0.72,127.195999,-0.49,-0.72,-0.72,
03/31/1992,1187,,,-951,,236,,-132,,,,104,-37,,51,,,,-14,67,-25,42,328,,,-286,0,-286,-5.0,,-291,-291.0,,127.846001,-2.28,0.27,,127.846001,-2.28,0.27,0.27,
06/30/1992,1257,,,-984,,273,,-208,,,,65,-20,,42,,,,-22,45,-9,36,-34,,,70,0,70,-3.0,,67,67.0,,131.237,0.5,0.24,,131.237,0.5,0.24,0.24,
09/30/1992,1241,,,-1046,,195,,-131,,,,64,-39,,30,,,,9,25,-3,22,0,,,22,0,22,-2.0,,20,20.0,,135.031998,0.14,0.14,,135.031998,0.14,0.14,0.14,
12/31/1992,1187,,,-1062,,125,,-67,,,,58,-31,,23,,0.0,,8,27,-8,19,0,,,19,0,19,-2.0,,17,17.0,,132.065002,0.12,0.12,0.12,132.065002,0.12,0.12,0.12,
03/31/1993,1193,,,-968,,225,,-140,,,,85,-23,,25,,,,-2,62,-20,42,97,,,-55,0,-55,-2.0,,-57,-57.0,,136.962997,-0.41,0.3,,136.962997,-0.41,0.3,0.3,
06/30/1993,1244,,,-961,,283,,-200,,,,83,-24,,16,,,,8,59,-18,41,0,,,41,0,41,-3.0,,38,38.0,,154.951996,0.24,0.24,,154.951996,0.24,0.24,0.24,
09/30/1993,1130,,,-955,,175,,-113,,,,62,-2,,16,,,,-14,60,-22,38,0,,,38,0,38,-2.0,,36,36.0,,154.985001,0.23,0.23,,171.957993,0.22,0.22,0.22,
12/31/1993,1073,,,-981,,92,,-26,,,,66,-4,,13,,,,-9,62,-18,44,0,,,44,0,44,-3.0,,41,41.0,,154.792999,0.26,0.26,0.26,154.792999,0.26,0.26,0.26,
