Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/01/1990,5655.421875,202.080994,202.080994,0.0,754.197998,,,,2356.761963,,,,,72.866997,,,,3385.907959,1459.209961,3227.646973,-1768.437012,,,810.304016,,,,,810.304016,2269.513977,,1853.438965,1853.438965,,,0.0,,,,,1202.687988,,,1202.687988,3056.126953,45.957001,,,,,44.118,,,,44.118,90.075001,3146.201954,0.0,266.988007,,,,,2242.231934,2509.21994,0.0,2509.21994,5655.421894,
07/01/1990,5831.124023,210.574005,210.574005,0.0,783.630981,,,,2415.761963,,,,,72.273003,,,,3482.23999,1477.880981,3314.426025,-1836.545044,,,871.002991,,,,,871.002991,2348.883972,,1955.546021,1955.546021,,,0.0,,,,,1169.975952,,,1169.975952,3125.521973,44.939999,,,,,44.118,,,,44.118,89.057999,3214.579971,0.0,269.045013,,,,,2347.499023,2616.544037,0.0,2616.544037,5831.124008,
09/30/1990,5937.632812,154.740005,154.740005,0.0,747.263,,,,2527.922119,,,,,96.643997,,,,3526.569092,1509.237061,3406.158936,-1896.921997,,,901.827026,,,,,901.827026,2411.064087,,1989.994019,1989.994019,,,0.0,,,,,1121.659058,,,1121.659058,3111.653076,45.882,,,,,44.118,,,,44.118,90.0,3201.653076,0.0,271.382996,,,,,2464.596924,2735.979919,0.0,2735.979919,5937.632996,
12/31/1990,6119.419922,137.629999,125.403999,12.226,782.481018,,,,2594.98291,,,,,88.372002,,,,3603.466064,1532.081055,3484.863037,-1952.781982,761.810974,,222.061996,,,,,222.061996,2515.954025,,612.146973,612.146973,,,1425.186035,,,,,1108.296875,,,1108.296875,3145.629883,46.366001,,,,,80.914001,,,,80.914001,127.280002,3272.909885,0.0,273.925995,,,0.0,,2572.583984,2846.509979,0.0,2846.509979,6119.419864,
03/31/1991,6282.227051,92.019997,92.019997,0.0,833.504028,,,,2766.248047,,,,,60.612999,,,,3752.38501,1531.689941,3543.643066,-2011.953003,,,998.151978,,,,,998.151978,2529.841919,,2012.407959,2012.407959,,,0.0,,,,,1177.220947,,,1177.220947,3189.628906,44.592999,,,,,80.914001,,,,80.914001,125.507,3315.135906,0.0,300.31601,,,,,2666.774902,2967.090912,0.0,2967.090912,6282.226818,
06/30/1991,6309.561035,158.488007,158.488007,0.0,809.231018,,,,2764.349121,,,,,54.252998,,,,3786.321045,1500.869019,3512.648926,-2011.780029,,,1022.370972,,,,,1022.370972,2523.23999,,2069.297119,2069.297119,,,0.0,,,,,1041.977783,,,1041.977783,3111.274902,42.301998,,,,,80.914001,,,,80.914001,123.216,3234.490902,0.0,323.951996,,,,,2751.11792,3075.069916,0.0,3075.069916,6309.560818,
09/29/1991,6206.201172,125.040001,105.844002,19.195999,759.166016,,,,2756.009033,,,,,63.130001,,,,3703.344971,1506.213013,3556.804932,-2050.592041,,,996.643005,,,,,996.643005,2502.856018,,1874.338989,1874.338989,,,0.0,,,,,1014.81189,,,1014.81189,2889.150879,41.692001,,,,,80.914001,,,,80.914001,122.606003,3011.756882,0.0,339.122986,,,,,2855.321045,3194.444031,0.0,3194.444031,6206.200912,
12/31/1991,6087.083008,138.036005,136.130005,1.906,740.184021,,,,2770.809082,,,,,98.555,,,,3747.583984,1516.518066,3599.35498,-2082.836914,665.169006,,157.811996,,,,,157.811996,2339.499068,,611.604004,611.604004,,,1104.467041,,,,,1000.024902,,,1000.024902,2716.095947,39.25,,,,,8.333,,,,8.333,47.583,2763.678947,0.0,345.592987,,,0.0,,2977.811035,3323.404022,0.0,3323.404022,6087.082969,
03/31/1992,6202.000977,95.803999,95.556999,0.247,803.135986,,,,2885.843994,,,,,81.958,,,,3866.741943,1514.343018,3642.845947,-2128.50293,,,820.916016,,,,,820.916016,2335.259033,,1738.80603,1738.80603,,,0.0,,,,,974.754028,,,974.754028,2713.560059,26.448,,,,,8.333,,,,8.333,34.781,2748.341059,0.0,376.091003,,,,,3077.569092,3453.660095,0.0,3453.660095,6202.001154,
06/28/1992,6350.225098,126.722997,126.240997,0.482,884.958008,,,,2902.623047,,,,,84.287003,,,,3998.591064,1504.677979,3674.339111,-2169.660889,,,846.955994,,,,,846.955994,2351.633972,,1894.828979,1894.828979,,,0.0,,,,,832.196899,,,832.196899,2727.025879,26.318001,,,,,8.333,,,,8.333,34.651001,2761.67688,0.0,385.950989,,,,,3202.596924,3588.547913,0.0,3588.547913,6350.224792,
09/27/1992,6169.813965,113.482998,113.363998,0.119,745.054016,,,,2933.949951,,,,,83.017998,,,,3875.504883,1487.655029,3683.843994,-2196.188965,,,806.653992,,,,,806.653992,2294.309021,,1594.753052,1594.753052,,,0.0,,,,,812.596069,,,812.596069,2407.349121,25.972,,,,,8.333,,,,8.333,34.305,2441.654121,0.0,394.404999,,,,,3333.754883,3728.159882,0.0,3728.159882,6169.814003,
12/31/1992,6015.120117,88.825003,88.730003,0.095,660.434998,,,,2914.025879,,,,,112.511002,,,,3775.797119,1420.044922,3478.157959,-2058.113037,682.479004,,136.798996,,,,,136.798996,2239.322922,,588.861023,588.861023,,,706.762024,,,,,841.156982,,,841.156982,2136.780029,25.27,,,,,9.836,,,,9.836,35.106,2171.886029,0.0,409.218994,,,0.0,,3434.014893,3843.233887,0.0,3843.233887,6015.119916,
04/04/1993,6188.373047,118.546996,118.450996,0.096,656.372009,,,,3044.858887,,,,,98.945,,,,3918.7229,1392.968994,3455.308105,-2062.339111,0.0,,876.68103,,,,,876.68103,2269.650024,,1283.442017,1283.442017,,,0.0,,,,,917.598022,,,917.598022,2201.040039,25.179001,,,,,9.836,,,,9.836,35.015001,2236.05504,0.0,432.243988,,,0.0,,3520.073975,3952.317963,0.0,3952.317963,6188.373003,
07/04/1993,6262.713867,131.867996,131.867996,0.0,659.190002,,,,3130.038086,,,,,95.529999,,,,4016.625977,1377.151001,3482.208008,-2105.056885,0.0,,868.937012,,,,,868.937012,2246.088013,,1332.313965,1332.313965,,,0.0,,,,,826.509033,,,826.509033,2158.822998,25.025999,,,,,9.836,,,,9.836,34.862,2193.684998,0.0,446.574005,,,0.0,,3622.455078,4069.029083,0.0,4069.029083,6262.714081,
09/27/1993,6834.78418,83.870997,83.755997,0.115,719.310974,,,,3374.274902,,,,,123.702003,,,,4301.15918,1419.921021,3567.462891,-2147.541992,0.0,,1113.703979,,,,,1113.703979,2533.625,,1572.844971,1572.844971,,,0.0,,,,,1033.448975,,,1033.448975,2606.293945,24.657,,,,,9.836,,,,9.836,34.493,2640.786945,0.0,455.105011,,,0.0,,3738.89209,4193.997101,0.0,4193.997101,6834.784046,
12/31/1993,7257.711914,190.231002,190.121002,0.11,727.713013,,,,3524.538086,,,,,166.761002,,,,4609.243164,1422.085938,3590.333008,-2168.24707,622.611023,,603.771973,,,,,603.771973,2648.468934,,815.19397,815.19397,,,873.169006,,,,,1221.417053,,,1221.417053,2909.780029,24.375999,,,,,25.695999,,,,25.695999,50.071998,2959.852027,0.0,463.703003,,,0.0,,3834.156982,4297.859985,0.0,4297.859985,7257.712012,
04/03/1994,7263.577148,146.738998,146.738998,0.0,672.228027,,,,3628.5979,,,,,178.345001,,,,4625.910156,1404.677979,,,0.0,,1232.989014,,,,,1232.989014,2637.666992,,1504.404053,1504.404053,,,0.0,,,,,1477.593018,,,1477.593018,2981.99707,22.568001,,,,,25.695999,,,,25.695999,48.264,3030.26107,0.0,477.213013,,,0.0,,3756.103027,4233.31604,0.0,4233.31604,7263.57711,
07/03/1994,7166.279785,188.626007,188.626007,0.0,897.14502,,,,1535.855957,,,,,2223.394043,,,,4845.020996,1400.635986,,,0.0,,920.622986,,,,,920.622986,2321.258972,,1511.890015,1511.890015,,,0.0,,,,,1356.359985,,,1356.359985,2868.25,22.489,,,,,25.695999,,,,25.695999,48.184999,2916.434999,0.0,477.332001,,,0.0,,3772.512939,4249.84494,0.0,4249.84494,7166.27994,
