Date,P/Free Cash Flow,Average,High,Low,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
08/27/1980,,,,,,,,6.5625,,
11/27/1980,,,,,,,,8.333333,,
02/27/1981,,,,,,,,5.020833,,
05/27/1981,,,,,,,,5.895833,,
08/27/1981,,,,,,,,3.5,,
11/27/1981,,,,,,,,3.270833,,
02/27/1982,,,,,,,,3.4375,,
05/27/1982,,,,,,,,3.4375,,
08/27/1982,,,,,,,,3.083333,,
11/27/1982,,,,,,,,3.666667,,
02/27/1983,,,,,,,,5.520833,,
05/27/1983,,,,,,,,6.520833,,
08/27/1983,,,,,,,,8.208333,,
11/27/1983,,,,,,,,8.083333,,
02/27/1984,,,,,,,,7.0,,
05/27/1984,,,,,,,,6.5,,
08/27/1984,,,,,,,,7.625,,
11/27/1984,,,,,,,,6.0,,
02/27/1985,,,,,,,,5.75,,
05/27/1985,,,,,,,,5.5,,
08/27/1985,,,,,,,,6.0625,,
11/27/1985,,,,,,,,6.375,,
02/27/1986,,,,,,,,7.125,,
05/27/1986,,,,,,,,6.875,,
08/27/1986,,,,,,,,5.25,,
11/27/1986,,,,,,,,5.6875,,
02/27/1987,,,,,,,,7.875,,
05/27/1987,,,,,,,,6.9375,,
08/27/1987,,,,,,,,7.625,,
11/27/1987,,,,,,,,6.0625,,
02/27/1988,,,,,,,,5.6875,,
05/27/1988,,,,,,,,6.3125,,
08/27/1988,,,,,,,,4.625,,
11/27/1988,,,,,,,,4.1875,,
02/27/1989,,,,,,,,4.125,,
05/27/1989,,,,,,,,3.75,,
08/27/1989,,683.538766,683.538766,683.538766,,,,3.8125,683.744644,
11/26/1989,,682.16696,786.048768,568.215013,,,,3.5625,661.454473,
02/25/1990,,599.387189,674.193266,520.387763,,,,3.125,597.656262,
05/27/1990,,727.23043,837.27647,644.998976,0.461612,6.083399,,4.0,773.199976,
08/26/1990,,621.421902,806.439471,399.099987,0.273616,3.321436,,2.25,470.647485,
11/25/1990,,420.325383,522.274984,328.671864,0.231668,2.723832,,2.0,400.948009,
02/24/1991,,513.735726,736.549512,388.013119,0.354699,4.092054,,3.5,607.669994,
05/26/1991,,653.425659,737.307493,568.778744,0.340904,3.896246,,3.5,580.150993,
08/25/1991,,477.132857,618.461243,424.461496,0.280099,3.169336,,2.75,467.793991,
11/24/1991,,414.674867,506.75949,311.931995,0.288521,3.176612,,2.8125,477.762514,
02/23/1992,,674.929964,1034.54752,451.605485,0.631418,5.943864,458.711347,5.4375,1055.035966,
05/31/1992,,953.883372,1086.517521,816.931972,0.595813,5.277504,38.041189,5.25,1023.307978,
08/30/1992,,986.638021,1129.603972,837.289978,0.564186,4.249069,14.135634,5.0,1003.630022,
11/29/1992,,1228.87073,1429.722032,1001.359972,0.621104,4.335821,10.752675,6.4375,1153.761996,
02/28/1993,,981.944805,1216.360522,859.973994,0.496334,3.475412,7.915741,5.5,966.511976,
05/30/1993,690.876884,1200.093101,1400.079969,922.644003,0.656163,4.241784,8.710058,7.3125,1321.315781,
08/29/1993,33.681783,1543.728191,1828.852665,1288.083978,0.837565,5.025867,9.180864,9.25,1759.053558,
11/28/1993,13.923757,1714.66795,2119.514318,1440.184424,0.709128,4.007963,6.913603,8.625,1553.486532,
