Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1989,2316.396973,108.585999,60.412998,48.173,324.859985,,,381.498993,,,,,60.269001,,,,875.213989,1132.848022,1723.05896,-590.210999,17.291,291.044006,,,,,291.044006,1441.183029,,,,,,,203.891006,,,,,,365.848984,,,365.848984,569.73999,516.47699,,,,,118.577003,,,,118.577003,635.053993,1204.793983,0.0,189.328003,,,-224.013,,1146.288025,1111.603027,,1111.603027,2316.397011,
03/31/1990,2405.938965,109.696999,76.432999,33.264,363.652008,,,382.411011,,,,,68.196999,,,,923.95697,1171.05896,1771.925049,-600.866028,17.650999,293.272003,,,,,293.272003,1481.981962,,,,,,,237.503006,,,,,,361.445969,,,361.445969,598.948975,597.594971,,,,,116.915001,,,,116.915001,714.509972,1313.458946,48.0,142.100006,,,-279.855988,,1182.235992,1092.480011,,1092.480011,2405.938957,
06/30/1990,2468.375977,66.243998,48.745998,17.497999,366.444,,,404.638,,,,,74.071999,,,,911.39801,1208.267944,1822.219971,-613.952026,43.126999,305.583008,,,,,305.583008,1556.977951,,,,,,,217.358002,,,,,,381.748016,,,381.748016,599.106018,607.507019,,,,,115.708,,,,115.708,723.215019,1322.321037,47.992001,143.046997,,,-273.480988,,1228.496979,1146.054989,,1146.054989,2468.376026,
09/30/1990,2593.512939,72.876999,41.662998,31.214001,422.205994,,,397.639008,,,,,69.152,,,,961.874023,1276.113037,1924.032959,-647.919983,52.463001,303.062988,,,,,303.062988,1631.639026,,,,,,,167.020996,,,,,,406.780029,,,406.780029,573.801025,649.286987,,,,,136.869995,,,,136.869995,786.156982,1359.958007,53.470001,140.207001,,,-269.593994,,1309.472046,1233.555054,,1233.555054,2593.513061,
12/31/1990,2615.211914,95.776001,47.595001,48.181,379.921997,,,421.203003,,,,,73.832001,,,,970.732971,1290.588989,1971.137939,-680.549011,52.451,301.438995,,,,,301.438995,1644.478985,,,,,,,180.727005,,,,,,384.416,,,384.416,565.143005,655.349976,,,,,137.447998,,,,137.447998,792.797974,1357.940979,53.435001,139.574997,,,-265.037994,,1329.298981,1257.270985,,1257.270985,2615.211964,
03/31/1991,2685.698975,110.913002,64.485001,46.428001,431.136993,,,417.960999,,,,,72.286003,,,,1032.296997,1300.032959,1995.312012,-695.278992,52.452999,300.915985,,,,,300.915985,1653.401943,,,,,,,149.302994,,,,,,380.921005,,,380.921005,530.223999,749.905029,,,,,138.330994,,,,138.330994,888.236023,1418.460022,53.426998,140.921997,,,-270.902008,,1343.792023,1267.23901,,1267.23901,2685.699032,
06/30/1991,2645.387939,93.761999,71.529999,22.232,427.237,,,401.346008,,,,,70.733002,,,,993.078003,1298.469971,2006.584961,-708.11499,52.448002,301.391998,,,,,301.391998,1652.309971,,,,,,,120.549004,,,,,,366.733009,,,366.733009,487.282013,744.567993,,,,,137.645996,,,,137.645996,882.213989,1369.496002,53.317001,141.393005,,,-267.876007,,1349.058014,1275.892014,,1275.892014,2645.388016,
09/30/1991,2779.975098,84.315998,30.285999,54.029999,468.037994,,,406.25,,,,,72.976997,,,,1031.581055,1351.386963,2097.229004,-745.84198,79.566002,317.44101,,,,,317.44101,1748.393975,,,,,,,141.709,,,,,,389.567978,,,389.567978,531.276978,739.075989,,,,,145.835999,,,,145.835999,884.911988,1416.188966,55.032001,141.983002,,,-266.941986,,1433.712982,1363.785999,,1363.785999,2779.974965,
12/31/1991,2859.706055,102.802998,60.134998,42.667999,444.162994,,,437.365997,,,,,85.946999,,,,1070.279053,1373.208008,2162.958008,-789.75,79.566002,336.653015,,,,,336.653015,1789.427025,,,,,,,226.953003,,,,,,391.853027,,,391.853027,618.80603,682.573975,,,,,149.792999,,,,149.792999,832.366974,1451.173004,55.032001,142.419006,,,-268.566986,,1479.649017,1408.533039,,1408.533039,2859.706043,
03/31/1992,2888.371094,118.279998,103.489998,14.79,478.389008,,,422.388,,,,,71.528,,,,1090.584961,1361.833008,2165.531982,-803.698975,79.566002,356.386993,,,,,356.386993,1797.786003,,,,,,,276.838989,,,,,,370.927002,,,370.927002,647.765991,673.973999,,,,,151.962006,,,,151.962006,825.936005,1473.701996,55.032001,142.613998,,,-264.09201,,1481.11496,1414.668949,,1414.668949,2888.370945,
