Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Periodic EV to Shares Outstanding,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/1990,196.153129,-10.109,0.0,0,1.122,187.166128,119.599001,0.938135,0.005995,,,,,,8.766563,,
06/30/1990,210.238759,-8.762,0.0,0,1.151,202.627759,125.487003,0.917226,0.00568,,,,,,9.517508,,
09/30/1990,146.5475,-10.814,0.0,0,0.0,135.7335,129.460003,0.0,0.0,0.581417,,,,,6.367682,,
12/31/1990,189.232754,-23.818001,0.0,0,0.0,165.414754,134.503002,0.0,0.0,0.680826,5.485665,7.01445,,,7.757938,,
03/31/1991,233.449998,-20.563,0.0,0,0.0,212.886999,137.583,0.0,0.0,0.874491,6.861789,8.732034,,,9.974091,,
06/30/1991,241.453998,-19.475,0.0,0,0.0,221.978998,142.126999,0.0,0.0,0.888705,6.889479,8.701646,,,10.400066,,
09/30/1991,303.271992,-10.766,0.0,0,0.0,292.505992,148.709995,0.0,0.0,1.11851,8.785019,11.046716,,,13.683851,,
12/31/1991,397.757255,-12.066,57.5,0,71.983,515.174255,344.177999,20.914469,0.139726,1.577342,13.485884,16.756904,,,19.589864,,
03/29/1992,545.766501,-13.989,57.5,0,82.284,671.561501,357.276005,23.030934,0.122526,1.638299,14.792429,18.62603,,,25.532716,,
06/28/1992,676.957498,-39.444,0.0,0,87.939001,725.452498,395.749002,22.220903,0.12122,1.470593,14.182013,18.091536,,,24.111826,,
09/27/1992,617.193507,-15.304,0.0,0,79.591996,681.481503,396.837991,20.056547,0.116793,1.179034,11.592582,14.891539,,,22.635317,,
12/31/1992,774.307494,-8.501,0.0,0,86.842997,852.64949,412.767,21.03923,0.101851,1.368764,12.906221,16.452157,,,28.08001,,
04/04/1993,881.426025,-10.337,0.0,0,18.638,889.727026,421.754013,4.419164,0.020948,1.429581,12.089011,14.982857,,,26.24486,,
07/04/1993,722.22374,-39.036999,0.0,0,0.0,683.186741,412.805008,0.0,0.0,1.122809,8.337545,10.117838,,,20.101414,,
09/30/1993,820.559967,-32.651001,0.0,0,0.0,787.908966,426.204987,0.0,0.0,1.372315,9.284044,11.140459,,,23.045013,,
12/31/1993,882.040542,-53.876999,0.0,0,0.0,828.163543,436.010002,0.0,0.0,1.600434,9.248677,11.075259,,,24.177133,,
03/31/1994,874.343954,-76.892998,0.0,0,0.0,797.450956,443.769012,0.0,0.0,1.594134,9.73534,11.926819,,,23.257437,,
07/03/1994,527.054981,-73.579002,0.0,0,0.0,453.475979,452.354988,0.0,0.0,0.890539,6.155838,7.771254,,,13.228588,,
10/02/1994,610.986539,-35.422001,0.0,0,0.0,575.564538,463.265991,0.0,0.0,1.040217,7.942984,10.137997,,,16.779819,,
12/31/1994,505.836481,-24.072001,0.0,0,0.0,481.764481,485.298004,0.0,0.0,0.777703,6.972292,8.97174,,,14.04807,,
04/02/1995,584.850998,-10.195,0.0,0,36.0,610.655998,532.242996,6.763828,0.058953,0.938003,8.733389,11.220138,,,17.75008,,
06/30/1995,614.917892,-4.95,0.0,0,183.938004,793.905896,688.443008,26.717971,0.231687,1.172099,10.267795,13.068625,,,23.077988,,
10/01/1995,600.23364,-6.855,0.0,0,187.769997,781.148637,699.582985,26.840275,0.240377,1.104631,9.54028,12.338276,,,22.693295,,
12/31/1995,567.963015,-14.216,0.0,0,136.763,690.510015,629.303986,21.732422,0.198061,0.945189,7.867984,10.087212,12.623761,17.887826,20.060136,,
03/31/1996,657.077003,-7.091,0.0,0,135.23,785.216003,636.737995,21.237935,0.17222,1.02189,8.360299,10.710022,7.584459,9.213381,22.70526,,
06/30/1996,562.77,-19.379,0.0,0,115.46,658.851,625.752999,18.45137,0.175244,0.82675,7.066639,9.121822,6.091531,7.319711,19.024342,,
09/29/1996,387.183481,-20.761,0.0,0,137.43,503.852481,634.039009,21.675323,0.272758,0.64039,5.86059,7.720102,4.627435,5.736042,15.209264,,
12/31/1996,426.522979,-71.657997,0.0,0,134.226002,489.090983,595.049,22.557134,0.27444,0.641016,8.140933,12.293352,,,14.763674,,
03/30/1997,471.380503,-81.292,0.0,0,116.27,506.358503,562.854015,20.657221,0.22962,0.705048,8.828652,13.772842,,,15.844499,,
06/29/1997,644.536506,-82.318001,0.0,0,116.66,678.878505,560.609997,20.809475,0.171842,1.00538,11.382749,17.456378,,,21.855595,,
09/06/2020,,-82.318000793457,0.0,0,116.659999847412,,560.609996795654,20.8094754846006,,,,,,,21.8555952208581,,
