Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Capital Expenditures,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,22.101999,10.24,19.155001,-20.082001,31.415001,,,,,,
06/30/1990,,22.302999,11.773,-39.932999,9.034,3.177,,,,,,
09/30/1990,,22.493,11.048,1.455,3.22,38.216,,,,,,
12/31/1990,,20.577999,13.535,-3.411,-3.367,27.334999,,,,27.334999,,
03/31/1991,,22.415001,11.181,14.888,4.217,52.701,,,,,,
06/30/1991,,23.211,10.212,-20.700001,3.031,15.754,,,,,,
09/30/1991,,23.525999,12.575,-6.714,-59.623001,-30.236,,,,,,
12/31/1991,,23.829,19.364,-6.172,5.015,42.035999,,,,42.035999,,
03/31/1992,,24.58,19.843,0.671,5.215,50.308998,,,,,,
06/30/1992,,28.325001,16.379,-27.802999,1.718,18.618999,,,,,,
09/30/1992,,28.815001,19.813,-7.618,45.485001,86.495003,,,,,,
12/31/1992,,29.371,18.562,-22.656,-51.868,-26.591,,,,-26.591,,
03/31/1993,,30.104,15.215,2.885,-39.534,8.67,,,,,,
06/30/1993,,33.421001,15.316,-33.308998,87.674004,103.101997,,,,,,
09/30/1993,,33.893002,14.741,-6.321,-48.462002,-6.149,,,,,,
12/31/1993,,30.483999,15.899,-0.369,25.569,71.583,,,,71.583,,
03/31/1994,,32.890999,13.526,-51.201,190.970001,186.186005,,,,,,
06/30/1994,,36.853001,16.363001,-17.056,175.136002,211.296005,,,,,,
09/30/1994,,36.956001,15.983,11.962,22.464001,87.364998,,,,,,
12/31/1994,,30.384001,16.922001,-1.026,-15.034,31.246,,,,31.246,,
03/31/1995,,34.702999,13.934,22.889999,5.182,76.709,,-6.871,,,,
06/30/1995,,37.393002,16.129999,12.881,-128.417999,-62.014,,-5.907,,,,
09/30/1995,,38.316002,18.642,-31.301001,-19.233999,6.423,,-8.621,,,,
12/31/1995,,31.402,22.488001,-48.487999,77.084999,82.487,-3.743,-3.743,,78.744,,
03/31/1996,,39.234001,20.427,19.146,-99.213997,-20.407,,-3.706,,,,
06/30/1996,,37.561001,25.059999,-43.092999,53.720001,73.248001,,-3.002,,,,
09/30/1996,,40.297001,23.787001,-4.628,64.866997,124.322998,,-7.59,,,,
12/31/1996,,41.609001,25.323,-148.934998,-106.848,-188.850998,-5.515,-5.515,,-194.365998,,
03/31/1997,,45.530998,,,,27.229,,-6.135,,,,
06/30/1997,,57.431999,,,,-149.475006,,-6.116,,,,
09/30/1997,,48.125999,,,,-279.834015,,-8.367,,,,
12/31/1997,,47.328999,,,,-25.177,-37.064999,-37.064999,,-62.241999,,
03/31/1998,,51.522999,28.106001,-37.341999,-470.470001,-428.183014,,-4.286,,,,
06/30/1998,,54.834,23.820999,-41.507,223.311005,260.459015,,-8.122,,,,
09/30/1998,,61.883999,25.966999,-8.628,-15.543,63.68,,-11.49,,,,
12/31/1998,,57.082001,,,,-1030.125977,,-9.787,,,,
03/31/1999,,74.478996,,,,1289.581055,,,,,,
06/30/1999,,72.416,,,,123.917,,,,,,
09/30/1999,,58.985001,,,,23.434999,,,,,,
12/31/1999,,79.109001,,,,462.39801,,-6.658,,,,
03/31/2000,,58.101002,,,,45.424,,,,,,
06/30/2000,,55.685001,,,,-290.316986,,,,,,
09/30/2000,,81.653999,,,,411.811005,,,,,,
