Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,1573.300049,,-995.599976,,577.700073,,-386.600006,,,,191.100006,-4.2,,20.0,,0.0,,-15.8,186.900006,-67.699997,119.199997,0.0,,,119.200009,-2.0,117.199997,0.0,,117.199997,117.199997,,322.0,0.365,0.365,,322.0,0.365,0.365,0.365,
06/30/1990,1612.699951,,-1014.099976,,598.599976,,-403.100006,,,,195.5,-27.000001,,23.700001,,0.0,,3.3,168.499999,-86.300003,82.199997,0.0,,,82.199996,-1.8,80.400002,0.0,,80.400002,80.400002,,318.399994,0.2525,0.2525,,318.399994,0.2525,0.2525,0.2525,
09/30/1990,1575.099976,,-963.900024,,611.199951,,-414.700012,,,,196.5,-1.0,,22.700001,,0.0,,-21.700001,195.5,-70.199997,125.300003,0.0,,,125.300003,-2.0,123.300003,0.0,,123.300003,123.300003,,320.399994,0.385,0.385,,320.399994,0.385,0.385,0.385,
12/31/1990,1646.199951,,-1016.5,,629.699951,,-459.200012,,,,170.5,-2.400002,,21.700001,,0.0,,-19.299999,168.099998,-53.0,115.099998,0.0,,,115.099998,-3.9,111.199997,0.0,,111.199997,111.199997,,319.634004,0.3475,0.3475,0.3475,319.634004,0.3475,0.3475,0.3475,
03/31/1991,1667.599976,,-1000.099976,,667.5,,-476.200012,,,,191.300003,-2.300001,,24.200001,,0.0,,-21.9,189.000002,-65.599998,123.400002,0.0,,,123.400003,-3.1,120.300003,0.0,,120.300003,120.300003,,319.799988,0.375,0.375,,319.799988,0.375,0.375,0.375,
06/30/1991,1687.800049,,-1011.5,,676.300049,,-492.200012,,,,184.100006,2.1,,24.5,,0.0,,-26.6,186.200006,-61.0,125.199997,0.0,,,125.200006,-2.0,123.199997,0.0,,123.199997,123.199997,,320.0,0.385,0.385,,320.0,0.385,0.385,0.385,
09/30/1991,1694.599976,,-1009.5,,685.099976,,-493.899994,,,,191.199997,-0.6,,26.4,,0.0,,-25.799999,190.599997,-62.099998,128.5,0.0,,,128.499998,-2.4,126.099998,0.0,,126.099998,126.099998,,319.23999,0.395,0.395,,319.23999,0.395,0.395,0.395,
12/31/1991,1726.900024,,-1311.300049,,415.599975,,-240.399994,,,,175.199997,16.099998,,27.0,,0.0,,-43.099998,191.299995,-47.400002,143.899994,0.0,,,143.899993,-5.2,138.699997,0.0,,138.699997,138.699997,,320.075988,0.435,0.435,0.435,320.075988,0.435,0.435,0.435,
03/31/1992,1739.699951,,-1097.699951,,642.0,,-435.399994,,,,206.600006,-0.700001,,25.700001,,0.0,,-25.0,205.900005,-69.800003,136.100006,210.0,,,-73.899998,-4.0,-77.900002,0.0,,-77.900002,-77.900002,,320.399994,-0.245,0.41,,320.399994,-0.245,0.41,0.41,
06/30/1992,1748.599976,,-1112.400024,,636.199951,,-435.299988,,,,200.899994,4.300001,,24.299999,,0.0,,-28.6,205.199995,-68.300003,136.899994,0.0,,,136.899992,-3.0,133.899994,0.0,,133.899994,133.899994,,320.399994,0.42,0.42,,320.399994,0.42,0.42,0.42,
09/30/1992,1793.5,,-1151.300049,,642.199951,,-434.700012,,,,207.5,0.4,,24.6,,0.0,,-25.0,207.9,-70.300003,137.600006,0.0,,,137.599997,-2.8,134.800003,0.0,,134.800003,134.800003,,319.540009,0.42,0.42,,319.540009,0.42,0.42,0.42,
