Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,39.407001,17.648001,17.648001,0.0,10.845,,,3.75,,,,,3.209,,,,,,35.452,2.855,,,,1.1,,,,1.1,3.955,,8.548,8.548,,,,0.0,,,,,3.851999,,,3.851999,12.4,0.0,,,,0.0,,,,,,0.0,0.0,12.4,0.0,24.768,,,0.0,,2.239,27.007,0.0,27.007,39.406999,
09/30/1992,39.248001,15.828,6.825,9.003,12.046,,,3.343,,,,,3.962,,,,,,35.179001,2.712,,,,1.357,,,,1.357,4.069,,9.224,9.224,,,,0.0,,,,,1.704,,,1.704,10.928,0.0,,,,0.0,,,,,,0.0,0.0,10.928,0.0,24.768,,,0.0,,3.552,28.32,0.0,28.32,39.248,
12/31/1992,45.370998,11.775,2.772,9.003,14.797,,,5.669,,,,,7.819,,,,,,40.060001,4.288,5.574,-1.286,,1.023,,,,1.023,5.311,,13.749,13.749,,,,0.0,,,,,1.932,,,1.932,15.681,0.0,,,,0.0,,,,,,0.0,0.0,15.681,0.0,24.768,,,0.0,,4.922,29.69,0.0,29.69,45.371,
03/31/1993,54.755001,3.056,3.056,0.0,30.254999,,,6.308,,,,,7.41,,,,,,47.028999,5.067,,,,2.659,,,,2.659,7.726,,18.955,18.955,,,,0.0,,,,,2.842001,,,2.842001,21.797001,0.0,,,,0.0,,,,,,0.0,0.0,21.797001,0.0,26.417999,,,0.0,,6.54,32.957999,0.0,32.957999,54.755,
06/30/1993,55.537998,2.392,2.392,0.0,32.123001,,,4.726,,,,,8.066,,,,,,47.306999,5.446,,,0.0,2.785,,,,2.785,8.231,,5.096,5.096,,,,0.0,,,,,15.573,,,15.573,20.669001,0.0,,,,0.0,,,,,,0.0,0.0,20.669001,0.0,26.417999,,,0.0,,8.451,34.868999,0.0,34.868999,55.538,
09/30/1993,63.286999,4.565,4.565,0.0,35.228001,,,5.106,,,,,9.166,,,,,,54.064999,6.239,,,0.0,2.983,,,,2.983,9.222,,7.62,7.62,,,,0.0,,,,,18.551,,,18.551,26.171,0.0,,,,0.0,,,,,,0.0,0.0,26.171,0.0,26.427,,,0.0,,10.689,37.116,0.0,37.116,63.287,
12/31/1993,75.370003,2.035,2.035,0.0,44.881001,,,8.29,,,,,8.083,,,,,,63.289001,9.692,12.415,-2.723,0.0,2.389,,,,2.389,12.081,,6.865,6.865,,,,0.0,,,,,30.232,,,30.232,37.097,0.0,,,,0.0,,,,,,0.0,0.0,37.097,0.0,26.014999,,,0.0,,12.258,38.272999,0.0,38.272999,75.369999,
03/31/1994,76.444,2.304,2.304,0.0,47.970001,,,6.873,,,,,5.453,,,,,,62.599998,11.198,,,0.0,2.646,,,,2.646,13.844,,9.259,9.259,,,,0.0,,,,,27.460002,,,27.460002,36.719002,0.0,,,,0.0,,,,,,0.0,0.0,36.719002,0.0,25.798,,,0.0,,13.927,39.725,0.0,39.725,76.444002,
06/30/1994,83.689003,3.884,3.884,0.0,59.464001,,,6.094,,,,,0.363,,,,,,69.805,11.798,,,0.0,2.086,,,,2.086,13.884,,9.664,9.664,,,,0.0,,,,,31.191,,,31.191,40.855,0.0,,,,0.0,,,,,,0.0,0.0,40.855,0.0,25.877001,,,0.0,,16.957001,42.834002,0.0,42.834002,83.689001,
09/30/1994,91.100998,0.518,0.518,0.0,61.810001,,,5.943,,,,,8.327,,,,,,76.598,12.051,,,0.0,2.452,,,,2.452,14.503,,10.188,10.188,,,,0.0,,,,,37.223999,,,37.223999,47.411999,0.0,,,,0.0,,,,,,0.0,0.0,47.411999,0.0,25.493999,,,0.0,,18.195,43.688999,0.0,43.688999,91.100998,
12/31/1994,108.356003,5.742,5.742,0.0,66.400002,,,8.949,,,,,11.744,,,,,,92.834999,12.923,18.320999,-5.398,0.0,2.598,,,,2.598,15.521,,9.94,9.94,,,,0.0,,,,,45.930998,,,45.930998,55.870998,0.0,,,,0.0,,,,,,0.0,0.0,55.870998,0.0,26.740999,,,0.0,,25.743999,52.484998,0.0,52.484998,108.355996,
03/31/1995,130.723999,8.584,8.584,0.0,81.596001,,,10.598,,,,,12.991,,,,,,113.768997,13.916,,,0.0,3.039,,,,3.039,16.955,,62.591,62.591,,,,3.0,,,,,7.348003,,,7.348003,72.939003,0.0,,,,0.0,,,,,,0.0,0.0,72.939003,0.0,27.775999,,,0.0,,30.009001,57.785,0.0,57.785,130.724003,
06/30/1995,133.057007,7.4,7.4,0.0,88.911003,,,11.611,,,,,7.162,,,,,,115.084,15.049,,,0.0,2.924,,,,2.924,17.973,,11.739,11.739,,,,0.0,,,,,59.000998,,,59.000998,70.739998,0.0,,,,0.0,,,,,,0.0,0.0,70.739998,0.0,27.782,,,0.0,,34.535,62.316999,0.0,62.316999,133.056997,
