Date,Revenue,Net Premiums Earned,Net Premiums Earned (NL),Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Oth Claims & Losses (NL & L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (NL),Underwriting Cost (NL),Underwriting & Acq Cost (L),Underwriting Cost (L),Other Cost (NL & L),Other Operating Expense,Operating Income (Loss),Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2000,7607.0,3860.0,645.0,3215.0,0.0,2672.0,1075.0,,,-5212.0,479.0,4036.0,697.0,,-1920.0,,,,,,,475,,-55.0,420.0,-184.0,236.0,0.0,,,236.0,0.0,236.0,0.0,0.0,236.0,236.0,,,0.3,0.6,0.48,786.8,0.3,0.6,0.48,
06/30/2000,8011.0,4118.0,656.0,3462.0,0.0,2869.0,1024.0,,,-5471.0,531.0,4216.0,724.0,,-2021.0,,,,,,,519,,-502.0,17.0,-132.0,-115.0,,,,-115.0,,-115.0,0.0,456.0,341.0,341.0,,778.447249,0.44,0.44,0.48,780.703265,0.44,0.44,0.48,
09/30/2000,7674.0,3971.0,664.0,3307.0,0.0,2672.0,1031.0,,,-5340.0,485.0,4101.0,754.0,,-2022.0,,,,,,,312,,,,-71.0,241.0,0.0,,,,0.0,241.0,0.0,0.0,241.0,241.0,,773.302147,0.31,0.31,0.31,789.259988,0.31,0.31,0.31,
12/31/2000,8426.0,4406.0,,,,3166.0,854.0,,,-5747.0,,4522.0,1225.0,,-2072.0,,,,,,,607,,0.0,607.0,-16.0,591.0,0.0,,,591.0,0.0,591.0,0.0,0.0,591.0,591.0,,765.461,0.77,0.77,0.528,789.7,0.74,0.74,0.51,
03/31/2001,7790.0,4234.0,673.0,3561.0,0.0,2671.0,885.0,,,-5709.0,563.0,4386.0,760.0,,-1654.0,,,,,,,427,,,,-140.0,287.0,0.0,,,,0.0,287.0,0.0,0.0,287.0,287.0,,757.568016,0.38,0.38,0.38,785.265735,0.37,0.37,0.37,
06/30/2001,7663.0,4119.0,682.0,3437.0,0.0,2698.0,846.0,,,-5516.0,530.0,4263.0,723.0,,-1654.0,,,,,,,493,,,,-173.0,320.0,0.0,,,,0.0,320.0,0.0,0.0,320.0,320.0,,748.31349,0.43,0.43,0.55,774.903478,0.41,0.41,0.52,
09/30/2001,7818.0,4283.0,692.0,3591.0,0.0,2723.0,812.0,,,-6015.0,512.0,4758.0,745.0,,-1589.0,,,,,,,214,,,,-69.0,145.0,-17.0,,,,0.0,162.0,0.0,0.0,162.0,162.0,,735.662,0.22,0.2,0.31,761.216,0.21,0.19,0.3,
12/31/2001,7989.0,4576.0,708.0,3870.0,-2.0,2560.0,853.0,,,-6384.0,516.0,2926.0,2942.0,,-2068.0,,,,,,,131,,,,155.0,-308.0,-69.0,,,,-57.0,-296.0,0.0,0.0,-296.0,-296.0,,722.0,-0.41,-0.44,-0.55,722.0,-0.41,-0.44,-0.55,
03/31/2002,7975.0,4486.0,692.0,3794.0,0.0,2670.0,824.0,,,-5829.0,495.0,4620.0,714.0,,-1653.0,,,,,,,493,,,,-186.0,307.0,-22.0,,,,0.0,329.0,0.0,0.0,329.0,329.0,,712.065,0.46,0.43,0.63,739.466,0.44,0.42,0.61,
06/30/2002,8204.0,4704.0,702.0,4002.0,0.0,2643.0,857.0,,,-6096.0,517.0,4852.0,727.0,,-1576.0,,,,,,,532,,,,-161.0,371.0,-16.0,,,,0.0,387.0,0.0,0.0,387.0,387.0,,704.674529,0.55,0.53,0.53,733.93577,0.53,0.51,0.51,
