Date,Revenue,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,D&A from Disc Ops,Disposal of Con Assets,Disposal of Uncon Assets,Disposal of Assets from Disc Ops,Deficit/Distributions to Partners,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Stock-Based Compensation,Recurring Capital Expenditure,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1994,32.949001,31.299,,0.0,1.65,0.0,-20.595,13.045,0.739,6.811,0.0,,0.0,12.353999,-1.558,1.558,,0.0,10.796,0.0,,,,0.0,,,10.796,,8.746,,,5.097,5.097,,21.166,0.24,0.34,0.34,21.166,0.24,0.34,0.34,,,,,,,,,,,7.607,,7.607,,,7.607,0.359397,0.359397,0.22,61.213621,61.213621,65.084794,
06/30/1994,35.591,33.948002,,0.0,1.643,0.0,-21.369,13.998,0.641,6.73,0.0,,0.0,14.222,-1.286,1.286,,0.0,12.936,0.0,,,,0.0,,,12.936,,10.194,,,6.545,6.545,,23.886999,0.28,0.39,0.39,23.886999,0.28,0.39,0.39,,,,,,,,,,,9.777,,9.777,,,9.777,0.409302,0.409302,0.22,53.750021,53.750021,50.935868,
09/30/1994,37.549,36.661999,,0.0,0.887,0.0,-21.991,14.278,0.722,6.991,0.0,,0.0,15.557999,-1.611,1.611,,0.0,13.947,0.0,,,,0.0,,,13.947,,10.943,,,6.439,6.439,,23.827,0.27,0.39,0.39,23.827,0.27,0.39,0.39,,,,,,,,,,,10.26,,10.26,,,10.26,0.430604,0.430604,0.22,51.091031,51.091031,48.547757,
12/31/1994,41.106998,39.936001,,0.0,1.171,0.0,-24.749001,16.478001,0.529,7.742,0.0,,0.0,16.358,-2.438,2.438,,0.0,13.92,0.0,,,,0.0,,,13.92,,12.234,,,7.19,7.19,,27.658001,0.26,0.32,0.32,27.658001,0.26,0.32,0.32,,,,,,,,,,,11.653,,11.653,,,11.653,0.421325,0.421325,0.22,52.216255,52.216255,54.380846,
03/31/1995,43.198002,41.973999,,0.0,0.0,1.224,-26.655,17.417,1.091,8.147,0.0,,0.0,16.543,-1.52,1.52,,0.0,15.023,0.0,,,,0.0,,,15.023,,13.2,,,7.224,7.224,,30.566999,0.24,0.3,0.3,30.566999,0.24,0.3,0.3,,,,,,,,,,,12.558,,12.558,,,12.558,0.410835,0.410835,0.22,53.549451,53.549451,51.425389,
06/30/1995,47.911999,46.094002,,0.0,0.0,1.818,-27.775,18.351,0.645,8.779,0.0,,0.0,20.137001,-1.694,1.694,,0.0,18.443001,0.0,,,,0.0,,,18.443001,,16.551001,,,9.219001,9.219001,,34.792,0.26,0.26,0.26,34.792,0.26,0.26,0.26,,,,,,,,,,,15.352,,15.352,,,15.352,0.441251,0.441251,0.22,49.858258,49.858258,54.898387,
09/30/1995,56.938,55.519001,,0.0,0.0,1.419,-33.699001,21.863001,0.875,10.961,0.0,,0.0,23.239001,-2.035,2.035,,0.0,21.204,0.0,,,,0.0,,,21.204,,19.469999,,,10.874,10.874,,42.216999,0.26,0.26,0.26,42.216999,0.26,0.26,0.26,,,,,,,,,,,19.011,,19.011,,,19.011,0.450316,0.450316,0.22,48.854557,48.854557,48.666562,
12/31/1995,64.601997,58.547001,,2.144,0.0,3.911,-38.489999,21.504999,1.371,12.873,0.0,,2.741,26.112001,-3.259,3.259,,0.0,22.853001,0.0,,,,0.0,,,22.853001,,21.165001,,,11.945001,11.945001,,60.289001,0.19,0.19,0.19,60.289001,0.19,0.19,0.19,,,,,,,,,,,27.041,,27.041,,,27.041,0.448523,0.448523,0.22,49.049887,49.049887,75.492768,
03/31/1996,74.967003,63.709,,3.76,0.0,7.498,-37.706,21.753,1.361,14.592,0.0,,0.0,37.261,-2.581,2.581,,0.0,34.68,0.0,,,,0.0,,,34.68,,32.341,,,17.174999,17.174999,,71.666,0.24,0.24,0.24,71.666,0.24,0.24,0.24,,,,,,,,,,,34.521999,,34.521999,,,34.521999,0.481707,0.481707,0.22,45.670935,45.670935,50.993571,
06/30/1996,82.710999,71.820999,,3.549,0.0,7.341,-40.264,22.424,1.698,16.142,0.0,,0.0,42.447,-2.232,2.232,,0.0,40.215,0.0,,,,0.0,,,40.215,,37.738998,,,19.842999,19.842999,,73.537003,0.27,0.27,0.27,73.537003,0.27,0.27,0.27,,,,,,,,,,,38.657001,,38.657001,,,38.657001,0.525681,0.525681,0.22,41.850479,41.850479,47.805052,
