Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/2019,2.594,-14.247,33.481,54.344,34.675,-29.945,49.614,-70.984,-40.27,-30.714,,5.66,-15.924,0,,,-15.924,-15.924,0,25,25,,-21.555,0,-21.555,0,18.139,-63.947,0,-5.938,,,-5.938,-15.971,0.573,-16.544,-42.038,0.325,-55.368,
03/31/2020,39.171,-328.199,61.251,339.742,37.181,-13.759,316.32,-33.623,-27.216,-6.407,,-518.61,-14.81,0,,,-14.81,-14.81,0,0,0,,-532.857,0,-532.857,0,29.057,1671.816,0,-3.438,,,-3.438,-41.734,0.0,-41.734,1716.988,-2.897,1189.48,
06/30/2020,35.712,-96.117,42.907,106.607,79.697,-36.386,63.296,-17.685,-20.564,2.879,0.0,-415.003,-12.618,0,0.0,0.0,-12.618,-12.618,0,50,50,0.0,3.683,0,3.683,0,-456.068,796.176,0,-3.437,0.0,0.0,-3.437,-24.16,0.0,-24.16,823.773,1.652,418.537,
