Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2010,1164.0,587.0,577.0,-178.0,178.0,216.0,986.0,0.0,-843.0,61.0,61.0,,566.0,143.0,-16.0,21.0,-5.0,,,0.0,127.0,-44.0,,,83.0,0.0,0.0,0.0,83.0,-2.0,81.0,,0.0,81.0,81.0,0.0,,,,,,,,,
06/30/2010,904.0,,,,,217.0,,0.0,,,,,,65.0,-25.0,25.0,,,,0.0,50.0,-18.0,,,32.0,,,,32.0,,29.0,,0.0,29.0,29.0,,,,,,,,,,
09/30/2010,1006.0,,,,,222.0,,0.0,,,,,,-1609.0,-38.0,38.0,,,,,-1639.0,229.0,,,-1410.0,,,,-1410.0,,-1413.0,,,-1413.0,-1413.0,,,,,,,,,,
12/31/2010,960.0,,,,,220.0,,0.0,,,,,,64.0,-36.0,36.0,,,,0.0,38.0,-18.0,,,20.0,,,,20.0,,12.0,,0.0,12.0,12.0,,,0.06,0.09,,,,,,
03/31/2011,958.0,545.0,413.0,-412.0,205.0,,546.0,0.0,-497.0,67.0,67.0,,430.0,49.0,-39.0,49.0,-6.0,,,-4.0,10.0,-3.0,9.0,-6.0,7.0,8.0,8.0,0.0,-1.0,-2.0,-3.0,0.0,0.0,-3.0,5.0,0.0,197.1,-0.02,0.03,0.03,197.1,-0.02,0.03,0.03,
06/30/2011,956.0,613.0,343.0,-449.0,225.0,,507.0,0.0,-422.0,63.0,63.0,,359.0,85.0,-38.0,48.0,-6.0,,,-4.0,47.0,-17.0,30.0,-13.0,30.0,2.0,2.0,0.0,28.0,-3.0,25.0,0.0,0.0,25.0,25.05,-1.95,197.1,0.126839,0.136986,0.127093,197.1,0.126839,0.136986,0.127093,
09/30/2011,995.0,634.0,361.0,-471.0,232.0,,524.0,0.0,-502.0,70.0,70.0,,432.0,22.0,7.0,0.0,-7.0,,,0.0,29.0,-10.0,,,19.0,3.0,3.0,0.0,16.0,-2.0,14.0,,0.0,14.0,17.0,0.0,197.1,0.07,0.09,0.09,197.1,0.07,0.09,0.09,
12/31/2011,971.0,622.0,349.0,-453.0,221.0,,518.0,0.0,-816.0,75.0,75.0,,741.0,-298.0,-12.0,20.0,-8.0,,,0.0,-310.0,104.0,,,-206.0,129.0,129.0,0.0,-335.0,-3.0,-338.0,0.0,0.0,-338.0,29.55,238.55,197.1,-1.71,-1.06,0.149924,197.1,-1.71,-1.06,0.149924,
03/31/2012,910.0,556.0,354.0,-460.0,232.0,,450.0,0.0,-499.0,68.0,68.0,,431.0,-49.0,-14.0,26.0,-12.0,,,0.0,-63.0,25.0,13.0,-38.0,-38.0,2.0,2.0,0.0,-40.0,-3.0,-43.0,0.0,0.0,-43.0,-7.2,33.8,198.1,-0.22,-0.21,-0.036345,198.1,-0.22,-0.21,-0.039379,
06/30/2012,715.0,512.0,203.0,-460.0,212.0,,255.0,0.0,-287.0,71.0,71.0,,216.0,-32.0,-15.0,26.0,-8.0,,,-3.0,-47.0,18.0,14.0,-32.0,-29.0,-23.0,-23.0,0.0,-6.0,-4.0,-10.0,0.0,0.0,-10.0,-29.75,3.25,198.9,-0.05,-0.17,-0.149573,198.9,-0.05,-0.17,-0.15366,
