Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Real Estate Investments,Other Investments,Net Receivables,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Credit Card Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,Trading Account Liabilities,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,ST Borrowings,Payables Broker Dealers,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
02/26/1999,230624.0,3345.0,,,,,,,0.0,,0.0,,,,,,,,,23935.0,0.0,23935.0,,,,,,,,0.0,227279.0,,,,,,32143.0,168063.0,,,,,,,,,20405.0,,,,,,,,,,3022.0,223633.0,0.0,0.0,,,,,6991.0,6991.0,0.0,6991.0,230624.0,
05/28/1999,244632.0,3542.0,,,,,,,0.0,,0.0,,,,,,,,,26734.0,0.0,26734.0,,,,,,,,,241090.0,,,,,,34062.0,176032.0,,,,,,,,,21851.0,,,,,,,,,,4831.0,236776.0,0.0,10565.0,,,0.0,-917.0,-1792.0,7856.0,0.0,7856.0,244632.0,
08/27/1999,236273.0,1900.0,,,,,,,0.0,,0.0,,,,,,,,,29419.0,0.0,29419.0,,,,,,,,,234373.0,,,,,,37862.0,164066.0,,,,,,,,,20340.0,,,,,,,,,,5408.0,227676.0,0.0,10512.0,,,0.0,-279.0,-1636.0,8597.0,0.0,8597.0,236273.0,
11/26/1999,250491.0,3055.0,,,,,,,0.0,,0.0,,,,,,,,,34630.0,0.0,34630.0,0.0,,,,,,,,247436.0,,,,,,57405.0,155720.0,,,,,,,,,20952.0,,,,,,,,,,6269.0,240346.0,0.0,11702.0,,,0.0,444.0,-2001.0,10145.0,0.0,10145.0,250491.0,
02/25/2000,276894.0,2832.0,,,,,,,0.0,,0.0,,,,,,,,,34171.0,0.0,34171.0,,,,,,,,,274062.0,,,,,,58552.0,179764.0,,,,,,,,,22670.0,,,,,,,,,,4812.0,265798.0,0.0,11730.0,,,0.0,1277.0,-1911.0,11096.0,0.0,11096.0,276894.0,
05/26/2000,278319.0,3982.0,,,,,,,0.0,,0.0,,,,,,,,,30575.0,0.0,30575.0,,,,,,,,,274337.0,,,,,,61329.0,174448.0,,,,,,,,,24734.0,,,,,,,,,,5903.0,266414.0,0.0,11946.0,,,-55.0,1978.0,-1964.0,11905.0,0.0,11905.0,278319.0,
08/25/2000,275004.0,3036.0,,,,,,,0.0,,0.0,,,,,,,,,29162.0,0.0,29162.0,,,,,,,,,271968.0,,,,,,57879.0,168745.0,,,,,,,,,28528.0,,,,,,,,,,7159.0,262311.0,0.0,11781.0,,,-65.0,2747.0,-1770.0,12693.0,0.0,12693.0,275004.0,
11/24/2000,284410.0,3870.0,,,,,,,0.0,,0.0,,,,,,,,,39286.0,0.0,39286.0,,,,,,,,,280540.0,,,,,,78277.0,112260.0,,,,,,,,,31395.0,,,,,,,,,,45948.0,267880.0,0.0,15892.0,,,-648.0,3294.0,-2008.0,16530.0,0.0,16530.0,284410.0,
02/23/2001,304812.0,4784.0,,,,250523.0,,,0.0,,0.0,,,,,,,,,38451.0,0.0,38451.0,,,,,,,,0.0,49505.0,,,,,,85745.0,130087.0,,,,,,,,,30784.0,,,,,,,,,,40758.0,287374.0,0.0,16486.0,,,-1021.0,4004.0,-2031.0,17438.0,0.0,17438.0,304812.0,
05/25/2001,297038.0,3606.0,,,,249864.0,,,0.0,,0.0,,,,,,,,,31968.0,0.0,31968.0,,,,,,,,0.0,43568.0,,,,,,86311.0,126454.0,,,,,,,,,30536.0,,,,,,,,,,35721.0,279022.0,0.0,16623.0,,,-1282.0,4523.0,-1848.0,18016.0,0.0,18016.0,297038.0,
