Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Discontinued Operations,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2007,19050,1915,1915,,878,878,,114,2124,,,,5031,12292,14874,-2582,260.0,,1467,,,,,1467,14019,,642,642,,,,1710,,,,,,1752,,,,1752,4104,9946,,,,,9649,,,,9649,19595,23699,,3264,,,,-7685,-231,-4652,3,-4649,19050,
03/31/2008,18991,281,281,,945,945,,100,3599,,,,4925,12205,14889,-2684,350.0,,1511,,,,,1511,14066,,794,794,,,,360,,,,,,3388,,,,3388,4542,9723,,,,,1102,,,,1102,10825,15367,0.0,12173,,,0.0,-7921,-631,3621,3,3624,18991,
06/30/2008,22621,370,370,,1443,1443,,152,6360,,,,8325,12131,14917,-2786,386.0,,1779,,,,,1779,14296,,1190,1190,,,,308,,,,,,5954,,,,5954,7452,10104,,,,,1391,,,,1391,11495,18947,0.0,12186,,,,-7724,-791,3671,3,3674,22621,
09/30/2008,18989,851,851,0.0,1067,1067,,147,3259,,,,5324,11923,14771,-2848,373.0,,1369,,,,,1369,13665,,760,760,,,,662,,,,,,2993,,,,2993,4415,9133,,,,,850,,,,850,9983,14398,0.0,12204,,,-1.0,-7588,-27,4588,3,4591,18989,
12/31/2008,20738,1657,1657,0.0,846,846,,163,4834,,,,7500,11908,14840,-2932,144.0,,1186,0.0,,,,1186,13238,,574,574,,,,716,,,,,,4326,,,,4326,5616,9756,,,,,994,,,,994,10750,16366,0.0,12218,,,-1.0,-7689,-158,4370,2,4372,20738,
03/31/2009,21289,1626,1626,0.0,656,656,0.0,166,5574,602.0,,960.0,8022,11849,14883,-3034,163.0,163.0,1255,,,,,653,13267,,499,442,9.0,48.0,,740,0.0,,,,740.0,4695,,766.0,,259,5934,9735,9735.0,,,,1061,,,89.0,206,10796,16730,0.0,12230,1.0,12229.0,-3.0,-7657,-12,4558,1,4559,21289,
06/30/2009,19975,1482,1482,0.0,822,822,0.0,171,4493,387.0,,1132.0,6968,11760,14894,-3134,204.0,204.0,1043,,,,,656,13007,,653,588,6.0,59.0,,634,0.0,,,,634.0,3454,,479.0,,223,4741,9955,9955.0,,,,781,,,93.0,209,10736,15477,0.0,12241,1.0,12240.0,-3.0,-7735,-5,4498,0,4498,19975,
09/30/2009,17701,913,913,0.0,880,880,0.0,164,2948,288.0,,916.0,4905,11683,14881,-3198,210.0,210.0,903,,,,,615,12796,,683,605,7.0,71.0,,421,0.0,,,,421.0,2342,,421.0,,245,3446,9064,9064.0,,,,692,,,64.0,207,9756,13202,0.0,12250,1.0,12249.0,-3.0,-7497,-250,4500,-1,4499,17701,
12/31/2009,16650,989,989,0.0,747,747,0.0,209,2154,127.0,,1035.0,4099,11583,14905,-3322,214.0,214.0,754,0.0,0.0,0.0,,627,12551,,639,578,7.0,54.0,0.0,463,0.0,,,,463.0,1647,0.0,197.0,,287,2749,8996,8996.0,,,,459,0.0,0.0,54.0,208,9455,12204,0.0,12257,1.0,12256.0,-3.0,-7540,-266,4448,-2,4446,16650,
03/31/2010,17479,1117,1117,0.0,594,594,0.0,210,2537,292.0,,594.0,4458,12034,15470,-3436,84.0,84.0,903,,,,,611,13021,,561,462,,99.0,,305,0.0,,,,305.0,2208,,362.0,,237,3074,9239,9239.0,,,,633,,,58.0,213,9872,12946,0.0,12263,1.0,12262.0,-5.0,-7587,-135,4536,-3,4533,17479,
