Date,Revenue,Net Premiums Earned,Net Premiums Earned (NL),Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),Oth Claims & Losses (NL & L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (NL),Underwriting Cost (NL),Amort Def Acq Cost (NL),Underwriting & Acq Cost (L),Underwriting Cost (L),Amort Def Acq Cost (L),Other Cost (NL & L),Other Operating Expense,Operating Income (Loss),Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2004,1859.908,1625.238,623.065,1002.173,0.0,168.048,66.622,,,-968.965,231.576,737.389,,-735.856,,,,,,,,,155.087,-12.326,,142.761,-48.383,94.378,,,,94.378,,94.378,,,94.378,94.378,,129.521599,0.73,0.73,0.68,129.521599,0.73,0.73,0.68,
06/30/2004,1848.395,1615.473,610.63,1004.843,0.0,163.35,69.572,,,-943.049,220.215,722.834,,-736.236,,,,,,,,,169.11,-15.834,-9.232,144.044,-48.834,95.21,,,,95.21,,95.21,,,95.21,95.21,,142.196828,0.67,0.67,0.69,142.220994,0.67,0.67,0.69,
09/30/2004,1833.547,1603.548,602.72,1000.828,0.0,162.535,67.464,,,-976.934,272.088,704.846,,-732.252,,,,,,,,,124.361,-15.107,,109.254,-34.41,74.844,,,,74.844,,74.844,,,74.844,74.844,,141.694172,0.53,0.53,0.52,141.787153,0.53,0.53,0.52,
12/31/2004,,,,,,,,,,,,,,,,,,,,,,,,,,139.869,,,,,,,,,,,,,,,,,,,,,,
03/31/2005,1862.354,1631.894,615.247,1016.647,0.0,164.692,65.768,,,-943.524,203.265,740.259,,-726.793,,,,,,,,,192.037,-15.314,,176.723,-62.325,114.398,,,,114.398,,114.398,,,114.398,114.398,,139.736533,0.82,0.82,0.82,139.833013,0.82,0.82,0.82,
06/30/2005,1874.303,1623.239,207.696,1415.543,0.0,181.097,69.967,,,-924.011,72.294,851.717,,-729.941,,,,,,,,,203.413,-15.314,,188.099,-60.475,127.624,,,,127.624,,127.624,,,127.624,127.624,,137.700163,0.93,0.93,0.95,139.019388,0.92,0.92,0.94,
09/30/2005,1879.441,1621.186,219.374,1401.812,0.0,187.14,71.115,,,-970.596,96.707,873.889,,-752.156,,,,,,,,,156.689,-15.315,,141.374,-41.087,100.287,,,,100.287,,100.287,,,100.287,100.287,,134.706785,0.74,0.74,0.93,136.177498,0.74,0.74,0.92,
12/31/2005,1881.577,1644.477,230.684,1413.793,0.0,162.563,74.537,,,-869.678,77.762,791.916,,-847.172,,,,,,,,,164.727,-15.315,0.0,149.412,-12.366,137.046,,,,137.046,,137.046,,0.0,137.046,137.046,,131.057816,1.05,1.05,1.09,132.816188,1.03,1.03,1.07,
03/31/2006,1929.782,1672.653,252.749,1419.904,0.0,188.11,69.019,,,-889.679,70.459,819.22,,-782.432,,,,,,,,,257.671,-15.315,,242.356,-81.431,160.925,-1.547,,,162.472,,162.472,,,162.472,162.472,,129.998426,1.25,1.24,1.26,132.000306,1.23,1.22,1.24,
06/30/2006,1949.09,1685.322,290.972,1394.35,0.0,182.71,81.058,,,-874.204,110.474,763.73,,-827.408,,,,,,,,,247.478,-15.315,,232.163,-81.027,151.136,,,,151.136,,151.136,,,151.136,151.136,,128.488126,1.18,1.18,1.17,130.327634,1.16,1.16,1.15,
09/30/2006,1984.079,1717.64,313.644,1403.996,0.0,177.997,88.442,,,-888.317,115.379,772.938,,-849.414,,,,,,,,,246.348,-15.307,,231.041,-79.738,151.303,,,,151.303,,151.303,,,151.303,151.303,,125.793731,1.2,1.2,1.22,127.766049,1.18,1.18,1.2,
12/31/2006,2207.633,1768.16,350.946,1417.214,0.0,299.734,139.739,,,-886.747,112.409,774.338,,-915.398,,,,,,,,,405.488,-15.306,,390.182,-137.675,252.507,,,,252.507,,252.507,,,252.507,252.507,,123.107677,2.05,2.05,1.1,125.157263,2.01,2.01,1.08,
03/31/2007,2057.263,1759.509,367.041,1392.468,0.0,222.466,75.288,,,-890.449,116.787,773.662,,-873.999,,,,,,,,,292.815,-15.297,,277.518,-98.061,179.457,,,,179.457,,179.457,,,179.457,179.457,,122.149873,1.47,1.47,1.44,124.111534,1.45,1.45,1.42,
06/30/2007,2064.727,1798.687,393.614,1405.073,0.0,187.216,78.824,,,-903.081,130.866,772.215,,-893.876,,,,,,,,,267.77,-15.296,,252.474,-86.194,166.28,,,,166.28,,166.28,,,166.28,166.28,,120.657052,1.38,1.38,1.39,122.492504,1.36,1.36,1.37,
09/30/2007,2148.192,1893.388,445.211,1448.177,0.0,180.973,73.831,,,-936.286,129.354,806.932,,-912.473,,,,,,,,,299.433,-15.288,,284.145,-96.954,187.191,,,,187.191,,187.191,,,187.191,187.191,,118.447175,1.58,1.58,1.65,119.741434,1.56,1.56,1.63,
12/31/2007,2183.333,1956.146,476.4,1479.746,0.0,146.198,80.989,,,-985.591,171.866,813.725,,-985.543,,,,,,,,,212.199,-15.296,,196.903,-76.085,120.818,,,,120.818,,120.818,,,120.818,120.818,,117.75856,1.03,1.03,1.31,119.386294,1.01,1.01,1.29,
03/31/2008,2177.325,1941.417,481.427,1459.99,0.0,154.631,81.277,,,-935.083,144.813,790.27,,-941.026,,,,,,,,,301.216,-15.288,,285.928,-99.098,186.83,,,,186.83,,186.83,,,186.83,186.83,28.043,117.883761,1.58,1.58,1.82,119.28098,1.57,1.57,1.8,
06/30/2008,2248.76,1995.516,533.914,1461.602,0.0,166.637,86.607,,,-998.208,171.793,826.415,,-985.851,,,,,,,,,264.701,-15.287,0.0,249.414,-59.46,189.954,0.0,,,189.954,0.0,189.954,,,189.954,189.954,,118.059955,1.61,1.61,1.57,119.492837,1.59,1.59,1.55,
09/30/2008,1954.535,1984.136,513.228,1470.908,0.0,-106.891,77.29,,,-1095.048,302.105,792.943,,-1007.817,,,,,,,,,-148.33,-15.19,0.0,-163.52,52.091,-111.429,0.0,,,-111.429,0.0,-111.429,,,-111.429,-111.429,,117.750167,-0.95,-0.95,0.71,117.750167,-0.95,-0.95,0.7,
12/31/2008,2220.608,2004.279,519.669,1484.61,0.0,131.291,85.038,,,-988.432,166.692,821.74,,-1025.532,,,,,,,,,206.644,-15.188,0.0,191.456,-9.015,182.441,0.0,,,182.441,0.0,182.441,,,182.441,182.441,,117.367781,1.55,1.55,1.31,117.751459,1.55,1.55,1.31,
03/31/2009,2087.877,1874.579,493.79,1380.789,0.0,122.79,90.508,83.706,6.802,-960.342,167.8,792.542,0.0,-954.479,209.917,115.784,94.133,744.562,450.901,293.661,0.0,,173.056,-15.189,0.0,157.867,-77.286,80.581,0.0,0.0,0.0,80.581,0.0,80.581,0.0,0.0,80.581,44.383,-36.198,117.891543,0.68,0.68,0.376473,117.967747,0.68,0.68,0.373153,
06/30/2009,2273.609,1875.866,477.838,1398.028,0.0,168.79,228.953,222.203,6.75,-989.402,178.167,811.235,0.0,-987.529,203.416,110.269,93.147,784.113,478.767,305.346,0.0,,296.678,-15.16,0.0,281.518,-88.196,193.322,0.0,0.0,0.0,193.322,0.0,193.322,0.0,0.0,193.322,110.734,-82.588,118.482958,1.63,1.63,0.934599,118.728304,1.63,1.63,0.934395,
09/30/2009,2156.873,1874.398,478.701,1395.697,0.0,192.79,89.685,82.883,6.802,-941.145,156.076,785.069,0.0,-991.502,206.992,118.019,88.973,784.51,483.101,301.409,0.0,,224.226,-15.16,0.0,209.066,-64.336,144.73,0.0,0.0,0.0,144.73,0.0,144.73,0.0,0.0,144.73,159.097,14.367,118.184367,1.22,1.22,1.346176,118.291841,1.22,1.22,1.341454,
12/31/2009,2182.142,1925.492,497.2,1428.292,0.0,160.871,95.779,93.672,2.107,-977.093,162.139,814.954,0.0,-1045.734,212.203,212.203,,833.531,833.531,,0.0,-83.0,76.315,-15.16,0.0,61.155,-49.214,11.941,0.0,0.0,0.0,11.941,0.0,11.941,0.0,0.0,11.941,99.68,87.739,117.589401,0.1,0.1,0.847695,118.23531,0.1,0.1,0.842071,
03/31/2010,2167.856,1906.643,508.822,1397.821,0.0,178.487,82.726,76.645,6.081,-927.996,162.533,765.463,0.0,-976.333,207.017,106.486,100.531,769.316,464.663,304.653,0.0,,263.527,-15.161,0.0,248.366,-91.143,157.223,0.0,0.0,0.0,157.223,0.0,157.223,0.0,0.0,157.223,160.13,2.907,116.817005,1.35,1.35,1.370776,117.194873,1.34,1.34,1.364805,
06/30/2010,2140.294,1849.895,477.122,1372.773,0.0,194.348,96.051,90.027,6.024,-905.316,175.206,730.11,0.0,-966.361,379.692,289.161,90.531,776.515,504.929,271.586,-189.846,,268.617,-15.161,0.0,253.456,-88.781,164.675,0.0,0.0,0.0,164.675,0.0,164.675,0.0,0.0,164.675,167.003,2.328,111.893858,1.47,1.47,1.492513,112.715117,1.46,1.46,1.480654,
09/30/2010,2113.971,1832.514,481.108,1351.406,0.0,182.213,99.244,93.22,6.024,-913.253,165.977,413.06,334.216,-958.824,197.992,107.061,90.931,1095.048,809.129,285.919,-334.216,,241.894,-15.162,0.0,226.732,-85.062,141.67,0.0,0.0,0.0,141.67,0.0,141.67,0.0,0.0,141.67,150.567,8.897,107.806207,1.31,1.31,1.396645,108.584282,1.3,1.3,1.381936,
12/31/2010,2113.324,1813.987,486.171,1327.816,0.0,196.545,102.792,102.792,,-894.413,180.936,713.477,0.0,-1011.755,203.141,203.141,,808.614,808.614,,0.0,-314.104,-106.948,-15.162,0.0,-122.11,-62.281,-184.391,0.0,0.0,0.0,-184.391,0.0,-184.391,0.0,0.0,-184.391,168.938,353.329,106.166609,-1.74,-1.74,1.591254,107.153153,-1.74,-1.74,1.55742,
03/31/2011,2036.671,1762.012,467.658,1294.354,0.0,175.65,99.009,93.875,5.134,-894.51,166.953,727.557,0.0,-912.401,207.885,119.046,88.839,704.516,438.755,265.761,0.0,,229.76,-15.131,0.0,214.629,-72.888,141.741,0.0,0.0,0.0,141.741,0.0,141.741,0.0,0.0,141.741,144.196,2.455,101.194814,1.4,1.4,1.424935,101.974815,1.39,1.39,1.414075,
06/30/2011,2062.887,1768.308,465.095,1303.213,0.0,189.89,104.689,99.584,5.105,-986.844,254.575,732.269,0.0,-930.326,213.79,138.791,74.999,716.536,459.937,256.599,0.0,,145.717,-15.075,0.0,130.642,34.374,165.016,0.0,0.0,0.0,165.016,0.0,165.016,0.0,0.0,165.016,175.446,10.43,97.713045,1.69,1.69,1.795523,98.690114,1.67,1.67,1.775684,
09/30/2011,2061.715,1777.315,476.712,1300.603,0.0,172.708,111.692,106.578,5.114,-997.431,265.072,732.359,0.0,-936.783,222.609,146.351,76.258,714.174,449.759,264.415,0.0,,127.501,-15.078,0.0,112.423,-38.386,74.037,0.0,0.0,0.0,74.037,0.0,74.037,0.0,0.0,74.037,74.383,0.346,95.351601,0.78,0.78,0.780092,96.303012,0.77,0.77,0.773593,
12/31/2011,2111.531,1817.733,495.173,1322.56,0.0,183.864,109.934,104.826,5.108,-872.431,177.097,695.334,0.0,-975.388,228.094,228.094,,747.294,747.294,,0.0,,263.712,-15.076,0.0,248.636,-89.484,159.152,0.0,0.0,0.0,159.152,0.0,159.152,0.0,0.0,159.152,167.098,7.946,92.356898,1.72,1.72,1.809264,93.677417,1.7,1.7,1.784823,
03/31/2012,2072.924,1777.061,484.2,1292.861,0.0,179.839,116.024,111.403,4.621,-856.358,155.71,700.648,0.0,-951.842,228.965,147.236,81.729,722.877,462.848,260.029,0.0,,264.724,-15.076,0.0,249.648,-86.388,163.26,0.0,0.0,0.0,163.26,0.0,163.26,0.0,0.0,163.26,168.164,4.904,88.772845,1.84,1.84,1.894318,90.069097,1.81,1.81,1.864447,
06/30/2012,2129.29,1792.236,491.989,1300.247,0.0,217.489,119.565,114.969,4.596,-872.027,199.887,672.14,0.0,-977.528,227.044,148.993,78.051,750.484,493.674,256.81,0.0,,279.735,-15.074,0.0,264.661,-95.491,169.17,0.0,0.0,0.0,169.17,0.0,169.17,0.0,0.0,169.17,180.984,11.814,86.27967,1.96,1.96,2.097644,87.044581,1.94,1.94,2.075724,
09/30/2012,2145.08,1838.481,518.868,1319.613,0.0,177.893,128.706,124.106,4.6,-895.48,215.656,679.824,0.0,-1025.903,248.063,162.434,85.629,777.84,499.473,278.367,0.0,,223.697,-15.078,0.0,208.619,-82.331,126.288,0.0,0.0,0.0,126.288,0.0,126.288,0.0,0.0,126.288,131.787,5.499,82.156838,1.54,1.54,1.60409,82.959453,1.52,1.52,1.586285,
12/31/2012,2160.976,1829.206,558.984,1270.222,0.0,202.26,129.51,124.914,4.596,-1031.539,376.843,654.696,0.0,-1079.536,251.639,251.639,,827.897,827.897,,0.0,0.0,49.901,-15.078,0.0,34.823,-9.836,24.987,0.0,0.0,0.0,24.987,0.0,24.987,0.0,0.0,24.987,72.697,47.71,79.967001,0.31,0.31,0.909087,81.037457,0.31,0.31,0.89874,
03/31/2013,2150.623,1850.448,529.799,1320.649,0.0,179.023,121.152,117.06,4.092,-857.361,186.723,670.638,0.0,-1071.76,272.369,182.43,89.939,799.391,506.541,292.85,0.0,,221.502,-15.078,0.0,206.424,-88.644,117.78,0.0,0.0,0.0,117.78,0.0,117.78,0.0,0.0,117.78,140.255,22.475,79.984576,1.47,1.47,1.753526,80.946649,1.46,1.46,1.737652,
06/30/2013,2237.766,1916.414,585.76,1330.654,0.0,184.781,136.571,132.499,4.072,-916.95,235.785,681.165,0.0,-1088.529,279.124,218.738,60.386,809.405,523.332,286.073,0.0,,232.287,-21.52,0.0,210.767,-77.244,133.523,0.0,0.0,0.0,133.523,0.0,133.523,0.0,0.0,133.523,147.08,13.557,77.508062,1.72,1.72,1.897609,78.366115,1.7,1.7,1.872996,
09/30/2013,2258.65,1947.431,612.165,1335.266,0.0,155.578,155.641,151.567,4.074,-933.832,228.508,705.324,0.0,-1110.076,296.735,217.374,79.361,813.341,519.952,293.389,0.0,,214.742,-20.771,0.0,193.971,-65.183,128.788,0.0,0.0,0.0,128.788,0.0,128.788,0.0,0.0,128.788,126.428,-2.36,75.544542,1.7,1.7,1.673556,76.459791,1.68,1.68,1.649134,
12/31/2013,2400.618,2045.503,652.32,1393.183,0.0,165.439,189.676,185.604,4.072,-967.389,244.281,723.108,0.0,-1234.326,358.495,358.495,,875.831,875.831,,0.0,0.0,198.903,-20.366,0.0,178.537,-69.721,108.816,0.0,0.0,0.0,108.816,0.0,108.816,0.0,0.0,108.816,128.35,19.534,73.639434,1.48,1.48,1.742952,74.713082,1.46,1.46,1.721454,
03/31/2014,2448.372,2060.462,623.372,1437.09,0.0,187.809,200.101,196.441,3.66,-1008.032,263.118,744.914,0.0,-1188.022,309.39,235.371,74.019,878.632,607.869,270.763,0.0,,252.318,-17.065,0.0,235.253,-98.008,137.245,0.0,0.0,0.0,137.245,0.0,137.245,0.0,0.0,137.245,150.083,12.838,72.848756,1.88,1.88,2.0602,73.873952,1.86,1.86,2.033782,
06/30/2014,2608.101,2171.734,633.328,1538.406,0.0,173.595,262.772,259.128,3.644,-1149.613,308.611,841.002,0.0,-1250.925,354.919,270.105,84.814,896.006,614.231,281.775,0.0,,207.563,-13.776,0.0,193.787,-50.177,143.61,0.0,0.0,0.0,143.61,0.0,143.61,0.0,0.0,143.61,126.814,-16.796,72.65959,1.98,1.98,1.745317,73.544191,1.95,1.95,1.72162,
09/30/2014,2702.488,2257.809,654.889,1602.92,0.0,179.753,264.926,261.281,3.645,-1123.693,258.344,865.349,0.0,-1340.268,386.066,295.71,90.356,954.202,657.849,296.353,0.0,,238.527,-13.776,0.0,224.751,-84.454,140.297,0.0,0.0,0.0,140.297,0.0,140.297,0.0,0.0,140.297,150.624,10.327,72.182547,1.94,1.94,2.086709,73.046704,1.92,1.92,2.061375,
12/31/2014,2635.147,2142.137,594.508,1547.629,0.0,176.055,316.955,316.955,0.0,-1123.995,255.266,868.729,0.0,-1394.573,397.989,397.989,,996.584,996.584,,0.0,-12.455,104.124,-13.778,0.0,90.346,-40.591,49.755,0.0,0.0,0.0,49.755,0.0,49.755,0.0,0.0,49.755,88.77,39.015,71.054598,0.7,0.7,1.249321,72.104349,0.69,0.69,1.231091,
03/31/2015,2598.61,2159.562,528.446,1631.116,0.0,156.228,282.82,279.562,3.258,-1210.727,204.603,1006.124,0.0,-1290.912,334.177,242.108,92.069,956.735,679.801,276.934,0.0,,96.971,-13.778,0.0,83.193,-33.149,50.044,0.0,0.0,0.0,50.044,0.0,50.044,0.0,0.0,50.044,48.443,-1.601,69.770224,0.72,0.72,0.694322,70.757549,0.71,0.71,0.687373,
06/30/2015,2644.894,2138.258,532.022,1606.236,0.0,179.785,326.851,323.609,3.242,-1267.714,214.605,1053.109,0.0,-1323.377,350.839,284.728,66.111,972.538,684.766,287.772,0.0,,53.803,-13.778,0.0,40.025,-7.236,32.789,0.0,0.0,0.0,32.789,0.0,32.789,0.0,0.0,32.789,58.474,25.685,68.558472,0.48,0.48,0.852907,69.244399,0.47,0.47,0.840933,
09/30/2015,2534.156,2058.421,491.836,1566.585,0.0,154.969,320.766,317.523,3.243,-1254.205,172.444,1081.761,0.0,-1298.423,349.272,286.892,62.38,1228.21,949.151,279.059,-279.059,,-18.472,-13.779,0.0,-32.251,25.229,-7.022,0.0,0.0,0.0,-7.022,0.0,-7.022,0.0,0.0,-7.022,-1.132,5.89,67.63292,-0.1,-0.1,-0.016737,67.63292,-0.1,-0.1,-0.016737,
12/31/2015,2547.834,1994.756,492.397,1502.359,0.0,167.061,386.017,382.772,3.245,-1009.889,200.047,812.992,-3.15,-1413.95,383.934,383.934,,1030.016,1030.016,,0.0,,123.995,-13.781,0.0,110.214,-44.47,65.744,0.0,0.0,0.0,65.744,0.0,65.744,0.0,0.0,65.744,73.086,7.342,66.732896,0.99,0.99,1.095202,67.592973,0.97,0.97,1.078621,
03/31/2016,2147.5,1415.2,469.6,945.6,0.0,297.4,434.9,357.7,77.2,-543.8,179.5,364.3,0.0,-1251.6,364.1,304.7,59.4,887.5,612.6,274.9,0.0,,352.1,-14.5,0.0,337.6,-117.2,220.4,0.0,0.0,0.0,220.4,0.0,220.4,0.0,0.0,220.4,305.86,85.46,65.086935,3.38,3.38,4.699253,65.920546,3.34,3.34,4.636409,
06/30/2016,1797.8,1202.3,451.3,751.0,0.0,141.4,454.1,328.3,125.8,-400.8,202.7,198.1,0.0,-1146.3,349.6,289.9,59.7,796.7,454.0,342.7,0.0,,250.7,-15.2,0.0,235.5,-66.2,169.3,0.0,0.0,0.0,169.3,0.0,169.3,0.0,0.0,169.3,188.241,18.941,62.244778,2.72,2.72,3.024206,62.723292,2.7,2.7,3.001977,
09/30/2016,1834.1,1215.1,457.4,757.7,0.0,135.5,483.5,347.7,135.8,-435.2,218.6,192.2,24.4,-1164.0,422.087,370.0,52.087,4290.8,2671.2,1619.6,-3548.887,,234.9,-14.0,0.0,220.9,-76.5,144.4,0.0,0.0,0.0,144.4,0.0,144.4,0.0,0.0,144.4,149.471,5.071,60.262073,2.4,2.4,2.480349,60.828341,2.37,2.37,2.453366,
12/31/2016,1752.292,1174.769,450.739,724.03,0.0,103.488,474.035,388.776,85.259,-428.669,227.771,200.898,0.0,-1232.003,412.626,412.626,,819.377,819.377,,0.0,-23.031,68.589,-13.878,0.0,54.711,-23.395,31.316,0.0,0.0,0.0,31.316,0.0,31.316,0.0,0.0,31.316,29.555,-1.761,57.50364,0.54,0.54,0.513967,58.162397,0.54,0.54,0.509723,
03/31/2017,1551.5,1050.3,436.4,613.9,0.0,124.0,377.2,340.2,37.0,-358.0,163.3,194.7,0.0,-965.8,319.2,268.3,50.9,332.1,383.0,-50.9,314.5,,227.7,-12.6,0.0,215.1,-71.3,143.8,0.0,0.0,0.0,143.8,0.0,143.8,0.0,0.0,143.8,145.7,1.9,56.201342,2.56,2.56,2.592465,56.756641,2.53,2.53,2.563476,
06/30/2017,1600.5,1115.3,442.4,672.9,0.0,134.9,350.3,326.9,23.4,-416.4,188.2,228.2,0.0,-993.0,324.2,277.4,46.8,668.8,322.1,346.7,0.0,,191.1,-12.4,0.0,178.7,-58.5,120.2,0.0,0.0,0.0,120.2,,120.2,0.0,0.0,120.2,130.6,10.4,55.230367,2.18,2.18,2.364641,55.509898,2.16,2.16,2.347354,
09/30/2017,1586.4,1073.1,423.0,650.1,0.0,141.1,372.2,349.1,23.1,-682.2,436.7,237.8,7.7,-999.6,638.7,322.9,315.8,978.1,961.4,16.7,-617.2,,-95.4,-12.2,0.0,-107.6,50.3,-57.3,0.0,0.0,0.0,-57.3,0.0,-57.3,0.0,0.0,-57.3,-61.2,-3.9,54.524874,-1.05,-1.05,-1.122424,54.524874,-1.05,-1.05,-1.122424,
12/31/2017,1676.6,1165.4,459.6,705.8,0.0,123.9,387.3,366.9,20.4,-414.0,170.2,243.8,0.0,-1092.0,347.1,347.1,,744.9,744.9,,0.0,0.0,170.6,-12.3,0.0,158.3,154.6,312.9,0.0,0.0,0.0,312.9,0.0,312.9,0.0,0.0,312.9,312.9,-171.7,54.019089,5.79,5.79,2.613891,54.334415,5.76,5.76,2.59994,
03/31/2018,1638.6,1124.9,436.4,688.5,0.0,130.7,383.0,364.5,18.5,-414.6,169.1,245.5,0.0,-1066.0,335.5,285.9,49.6,384.1,433.7,-49.6,346.4,,158.0,-21.5,0.0,136.5,-30.5,106.0,0.0,0.0,0.0,106.0,,106.0,0.0,0.0,106.0,107.6,1.6,53.169358,1.99,1.99,2.023722,54.189498,1.96,1.96,1.989526,
06/30/2018,1831.7,1338.3,449.7,888.6,0.0,124.2,369.2,354.2,15.0,-490.6,187.2,303.4,0.0,-1236.8,580.9,530.5,50.4,1407.1,943.9,463.2,-751.2,,104.3,-26.0,0.0,78.3,-11.3,67.0,0.0,0.0,0.0,67.0,,67.0,-4.8,0.0,62.2,75.496581,13.296581,57.060313,1.09,1.09,1.323101,57.264408,1.09,1.09,1.322196,
09/30/2018,2270.3,1853.6,463.0,1390.6,0.0,146.1,270.6,257.9,12.7,-680.9,264.8,416.1,0.0,-1487.1,1041.7,309.0,732.7,1769.3,1069.9,699.4,-1323.9,0.0,102.3,-26.5,0.0,75.8,-22.8,53.0,0.0,0.0,0.0,53.0,0.0,53.0,-4.7,0.0,48.3,79.6,31.3,63.621184,0.76,0.76,1.251156,63.800347,0.76,0.76,1.250593,
