Date,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Intracompany Intersegment Revenues,Revenue,Electric Production Fuel Cost,Purchased Power Cost,Purchased Gas/Water Cost,Intracompany Intersegment Cost,Fuel Expense & Purchased Power,Maintenance Expenses,Depreciation Expense,Taxes Other Than Income Taxes,Other Operating Expense,"Depreciation, Operating & Maintenance",Operating Income or Losses,AFUDC - Equity,Net Non-Operating Losses (Gains),Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Total Interest Expense,Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Income Available to Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,380.5,0,0,121.099998,,501.600006,-152.300003,,0,,-152.300003,-31.299999,-47.299999,-31.9,-161.800003,-272.299988,77.0,0.3,5.7,-20.4,0.6,-15.4,-35.200001,47.799999,-14.5,33.299999,0.0,0,33.299999,-4.2,,29.099999,,,29.099999,0.38,0.38,0.38,76.649998,0.38,0.38,0.38,76.649998,
06/30/1990,415.600006,0,0,131.699997,,547.299988,-152.899994,,0,,-152.899994,-39.900002,-48.0,-31.1,-167.800003,-286.799988,107.599998,0.5,-0.1,-20.1,0.6,-15.7,-35.200001,72.799998,-24.9,47.900002,0.0,0,47.900002,-4.2,,43.700002,,,43.699998,0.566667,0.566667,0.566667,76.800001,0.566667,0.566667,0.566667,76.800001,
09/30/1990,511.299988,0,0,80.5,,591.799988,-199.199997,,0,,-199.199997,-30.5,-47.900002,-37.400002,-123.900002,-239.699997,152.899994,0.3,1.1,-19.799999,0.6,-17.6,-36.799999,117.499995,-40.799999,76.699997,-14.4,0,62.299999,-4.2,,58.099999,,,72.499996,0.94,0.94,0.753333,77.100002,0.94,0.94,0.753333,77.100002,
12/31/1990,370.100006,0,0,,,370.100006,-162.199997,,0,,-162.199997,-24.5,-17.9,-19.5,-49.400002,-111.300003,96.599998,-0.4,-1.6,-19.9,1.7,-15.5,-33.700001,60.899998,-22.200001,38.700001,-0.6,0,38.099998,-4.2,,33.899999,,,34.499997,0.446667,0.446667,0.44,77.100002,0.446667,0.446667,0.44,77.100002,
03/31/1991,369.799988,0,0,86.800003,,456.600006,-124.0,,0,,-124.0,-25.9,-50.900002,-32.299999,-136.5,-245.600006,87.0,0.7,6.3,-19.799999,0.9,-19.700001,-38.599998,55.400002,-18.200001,37.200001,0.0,0,37.200001,-4.2,,33.000001,,,33.000001,0.426667,0.426667,0.426667,77.550001,0.426667,0.426667,0.426667,77.550001,
06/30/1991,445.600006,0,0,82.5,,528.099976,-160.5,,0,,-160.5,-37.900002,-51.299999,-33.299999,-139.0,-261.5,106.099998,1.0,-0.5,-19.9,1.1,-17.299999,-36.099998,70.5,-23.200001,47.299999,0.0,0,47.299999,-4.2,,43.099999,,,43.099999,0.533333,0.533333,0.533333,80.399998,0.533333,0.533333,0.533333,80.399998,
09/30/1991,500.600006,0,0,88.800003,,589.400024,-177.5,,0,,-177.5,-32.799999,-51.700001,-33.599998,-145.5,-263.600006,148.300003,1.3,-0.2,-19.6,1.4,-15.7,-33.900002,115.500001,-39.799999,75.699997,0.0,0,75.699997,-4.2,,71.499997,,,71.500002,0.866667,0.866667,0.866667,82.5,0.866667,0.866667,0.866667,82.5,
12/31/1991,402.799988,0,0,97.800003,,500.600006,-144.600006,,0,,-144.600006,-38.200001,-52.400002,-30.1,-161.300003,-282.0,74.0,1.0,-1.1,-19.799999,2.0,-14.3,-32.099998,41.800002,-10.7,31.1,-2.4,0,28.700001,-4.2,,24.500001,,,26.900002,0.32,0.32,0.293333,83.550001,0.32,0.32,0.293333,83.550001,
03/31/1992,383.100006,0,0,80.400002,,463.5,-99.300003,-16.9,0,,-116.199997,-33.299999,-53.400002,-33.900002,-147.199997,-267.799988,79.5,1.9,-0.1,-21.5,2.3,-12.4,-31.6,49.7,-15.4,34.299999,0.0,0,34.299999,-4.2,,30.099999,,,30.1,0.366667,0.366667,0.366667,82.949999,0.366667,0.366667,0.366667,82.949999,
06/30/1992,433.399994,0,0,78.300003,,511.700012,-118.199997,-40.599998,0,,-158.800003,-38.299999,-53.700001,-32.799999,-143.300003,-268.100006,84.800003,2.0,1.0,-20.799999,2.3,-12.3,-30.799999,57.000004,-17.9,39.099998,0.0,0,39.099998,-4.2,,34.899999,,,34.900004,0.413333,0.413333,0.413333,84.75,0.413333,0.413333,0.413333,84.75,
09/30/1992,549.900024,0,0,76.699997,,626.599976,-153.399994,-48.5,0,,-201.899994,-33.0,-54.700001,-39.400002,-148.699997,-275.799988,148.899994,2.4,1.0,-21.5,2.9,-13.6,-32.200001,120.099993,-41.299999,78.800003,0.0,0,78.800003,-4.2,,74.600003,,,74.599994,0.86,0.86,0.86,86.699997,0.86,0.86,0.86,86.699997,
12/31/1992,407.700012,0,0,85.800003,,493.5,-101.0,-30.700001,0,,-131.699997,-35.099998,-47.700001,-32.200001,-155.199997,-270.200012,91.599998,4.1,-10.3,-20.4,0.8,-11.7,-31.299999,54.099999,-13.9,40.200001,0.0,0,40.200001,-4.1,,36.100001,,,36.099999,0.41,0.41,0.41,88.0,0.41,0.41,0.41,88.0,
03/31/1993,407.0,0,0,86.300003,,493.299988,-106.400002,-15.2,0,,-121.599998,-33.099998,-57.599998,-35.599998,-160.600006,-286.899994,84.800003,2.6,0.0,-22.9,2.1,-12.1,-32.900002,54.500001,-17.0,37.5,0.8,0,38.299999,-3.9,,34.399999,,,33.600001,0.38,0.38,0.39,87.670998,0.38,0.38,0.39,87.670998,
06/30/1993,461.899994,0,0,91.400002,,553.299988,-114.599998,-51.099998,0,,-165.699997,-33.299999,-59.200001,-36.700001,-158.899994,-288.100006,99.5,2.2,1.0,-22.4,1.7,-13.5,-34.200001,68.499999,-22.299999,46.200001,0.0,0,46.200001,-3.2,,43.000001,,,43.0,0.49,0.49,0.49,88.120003,0.49,0.49,0.49,88.120003,
09/30/1993,609.0,0,0,159.899994,,768.900024,-149.600006,-68.199997,0,,-217.800003,-29.200001,-61.0,-44.400002,-244.300003,-378.899994,172.199997,2.4,-0.2,-23.299999,1.9,-12.6,-34.0,140.399997,-55.200001,85.199997,0.0,0,85.199997,-3.2,,81.999997,,,81.999996,0.93,0.93,0.93,88.575996,0.93,0.93,0.93,88.575996,
