Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,5159.0,,,-4516.0,,643.0,,-286.0,,,,357.0,-147.0,,235.0,,,,-88.0,210.0,-95.0,115.0,2.0,,,113.0,-5.0,108.0,-2.0,,106.0,106.0,,570.0,0.185,0.185,,570.0,0.185,0.185,0.185,
06/30/1990,5122.0,,,-4592.0,,530.0,,-308.0,,,,222.0,-133.0,,233.0,,,,-100.0,89.0,-10.0,79.0,-20.0,,,99.0,-10.0,89.0,-2.0,,87.0,87.0,,588.0,0.145,0.095,,588.0,0.145,0.095,0.095,
09/30/1990,5350.0,,,-4766.0,,584.0,,-271.0,,,,313.0,-130.0,,240.0,,,,-110.0,183.0,-65.0,118.0,2.0,,,116.0,-7.0,109.0,-2.0,,107.0,107.0,,590.0,0.18,0.165,,590.0,0.18,0.165,0.165,
12/31/1990,-4122.0,,,4540.0,,418.0,,-343.0,,,,75.0,-2309.0,,203.0,,,,2106.0,-2234.0,132.0,-2018.0,-4.0,,,-2098.0,13.0,-2001.0,-1.0,,-2002.0,-2002.0,,592.0,-3.38,-3.35,,592.0,-3.38,-3.35,-3.35,
03/31/1991,2766.0,,,-2153.0,,613.0,,-247.0,,,,366.0,-149.0,,219.0,,,,-70.0,217.0,-127.0,90.0,-48.0,,,138.0,-2.0,136.0,-2.0,,134.0,134.0,,594.599976,0.225,0.13,,594.599976,0.225,0.13,0.13,
06/30/1991,2391.0,,,-1953.0,,438.0,,-242.0,,,,196.0,33.0,,220.0,,,,-253.0,229.0,-88.0,141.0,-7.0,,,148.0,-1.0,147.0,-2.0,,145.0,145.0,,596.400024,0.245,0.23,,596.400024,0.245,0.23,0.23,
09/30/1991,2330.0,,,-1965.0,,365.0,,-233.0,,,,132.0,382.0,,257.0,,,,-639.0,514.0,-364.0,150.0,-23.0,,,173.0,-2.0,171.0,-2.0,,169.0,169.0,,598.0,0.28,0.245,,598.0,0.28,0.245,0.245,
12/31/1991,2609.0,,,-2243.0,,366.0,,-198.0,,,,168.0,-165.0,,174.0,,,,-9.0,3.0,-22.0,4.0,-3.0,,,-16.0,-1.0,6.0,0.0,,6.0,6.0,,599.400024,0.01,0.005,0.005,599.400024,0.01,0.005,0.005,
03/31/1992,2015.0,,,-1655.0,,360.0,,-231.0,,,,129.0,43.0,,159.0,,,,-202.0,172.0,-214.0,-42.0,93.0,,,-135.0,-2.0,-137.0,-1.0,,-138.0,-138.0,,601.799988,-0.23,-0.075,,601.799988,-0.23,-0.075,-0.075,
06/30/1992,2031.0,,,-1735.0,,296.0,,-248.0,,,,48.0,50.0,,157.0,,,,-207.0,98.0,-39.0,59.0,8.0,,,51.0,-1.0,50.0,-1.0,,49.0,49.0,,603.200012,0.08,0.09,,603.200012,0.08,0.09,0.09,
09/30/1992,2133.0,,,-1818.0,,315.0,,-219.0,,,,96.0,-50.0,,161.0,,,,-111.0,46.0,53.0,99.0,14.0,,,85.0,-1.0,84.0,-1.0,,83.0,83.0,,604.799988,0.135,0.16,,604.799988,0.135,0.16,0.16,
