Date,Total Interest Income,Total Interest Expense,Net Interest Income,Trading Account Profit,Commissions & Fees Earned,Other Operating Income,Net Revenue,Provisions for Loan Losses,Net Revenue After Provisions,Non-Interest Expense,Operating Income or Losses,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,845.152008,-544.773987,300.378021,1.776,78.301003,39.716,420.171023,-23.912001,396.259023,-298.002991,98.255997,0.0,98.255997,-20.697001,77.558998,0.0,0.0,77.558998,-6.219,,71.339998,,,71.339996,,0.335,0.335,214.332001,0.335,0.335,0.335,214.332001,
06/30/1990,884.868988,-563.447021,321.421967,3.295,90.328003,50.144001,465.188971,-36.173,429.01597,-316.562012,112.454002,0.0,112.454002,-25.521,86.932999,0.0,0.0,86.932999,-9.028,,77.904999,,,77.905003,,0.36,0.36,214.419998,0.36,0.36,0.36,214.419998,
09/30/1990,884.379028,-557.008972,327.370056,1.61,88.322998,39.383999,456.687053,-35.030998,421.656055,-310.072998,111.583,0.0,111.583,-27.243,84.339996,0.0,0.0,84.339996,-8.859,,75.480996,,,75.481,,0.35,0.35,217.253998,0.35,0.35,0.35,217.253998,
12/31/1990,903.720993,-574.685974,329.035019,11.655,182.061996,-47.477001,475.275014,-82.598999,392.676015,-326.679993,65.996002,11.467,77.463002,-21.985001,55.478001,0.0,0.0,55.478001,-8.396,,47.082001,,,47.082002,,0.215,0.215,218.332001,0.215,0.215,0.215,218.332001,
03/31/1991,856.823013,-521.633972,335.189041,31.521,117.027,35.743,519.480042,-96.898003,422.582039,-322.890991,99.691002,0.0,99.691002,-18.849001,80.842003,0.0,0.0,80.842003,-7.563,,73.279003,,,73.279001,,0.335,0.335,218.412003,0.335,0.335,0.335,218.412003,
06/30/1991,822.826004,-477.507996,345.318008,8.088,124.625,41.803001,519.83401,-113.733002,406.101008,-322.855011,83.246002,0.0,83.246002,-9.624,73.622002,0.0,0.0,73.622002,-7.292,,66.330002,,,66.330003,,0.305,0.305,219.210007,0.305,0.305,0.305,219.210007,
09/30/1991,840.315979,-480.774994,359.540985,55.595001,142.792007,36.244999,594.172993,-145.681,448.491993,-352.596985,95.894997,0.0,95.894997,-20.547001,75.348,0.0,0.0,75.348,-7.693,,67.655,,,67.654996,,0.305,0.305,222.018005,0.305,0.305,0.305,222.018005,
12/31/1991,941.970016,-506.516998,435.453018,33.544998,192.598007,24.187,685.783023,-125.271004,560.512019,-458.550995,101.960999,15.46,117.420999,-28.496,88.925003,0.0,0.0,88.925003,-10.677,,78.248003,,,78.247999,0.33,0.33,0.33,233.082992,0.33,0.33,0.33,233.082992,
03/31/1992,1124.626984,-568.616028,556.010956,12.486,206.311005,55.414001,830.221962,-134.966995,695.254967,-584.015015,111.239998,0.0,111.239998,-27.719999,83.519997,-8.624,0.0,74.896004,-9.994,,64.902003,,,73.525998,,0.245,0.215,298.971985,0.245,0.245,0.215,298.971985,
06/30/1992,1144.748993,-538.070007,606.678986,10.148,201.091003,50.077999,867.995988,-117.139999,750.855989,-565.060974,185.794998,0.0,185.794998,-55.284,130.511002,0.0,0.0,130.511002,-7.776,,122.735002,,,122.734998,,0.39,0.39,318.645996,0.39,0.39,0.39,318.645996,
09/30/1992,1106.728012,-475.960999,630.767014,26.718,204.173996,43.073002,904.732012,-83.296997,821.435015,-594.096985,227.337997,0.0,227.337997,-65.711998,161.626007,0.582,0.0,162.207993,-7.322,,154.885993,,,154.303999,,0.48,0.48,323.727997,0.48,0.48,0.48,323.727997,
12/31/1992,1103.281006,-438.321014,664.959992,5.077,206.466995,43.134998,919.638985,-79.304001,840.334984,-783.505005,56.830002,0.0,56.830002,-47.436001,9.394,8.042,0.0,17.436001,-6.887,,10.549001,,,2.507001,0.005,0.005,0.025,421.799988,0.005,0.005,0.025,421.799988,
03/31/1993,1099.901985,-427.566986,672.334999,22.955,210.800003,37.566002,943.656004,-60.328999,883.327005,-578.294983,305.032013,0.0,305.032013,-105.040001,199.992004,0.0,0.0,199.992004,-7.004,,192.988004,,,192.988012,,0.585,0.585,330.544006,0.585,0.585,0.585,330.544006,
06/30/1993,1113.28299,-428.987,684.29599,15.217,209.914001,85.301003,994.727994,-61.450001,933.277993,-591.041992,342.235992,0.0,342.235992,-115.464996,226.770996,0.0,0.0,226.770996,-6.167,,220.603996,,,220.603996,,0.66,0.66,333.94397,0.66,0.66,0.66,333.94397,
09/30/1993,1171.626022,-470.490997,701.135025,10.771,220.628006,61.556,994.090031,-50.000999,944.089031,-664.388,279.700989,0.0,279.700989,-84.286003,195.414993,0.0,0.0,195.414993,-6.24,,189.174994,,,189.174986,,0.56,0.56,337.082001,0.56,0.56,0.56,337.082001,
12/31/1993,1171.520996,-463.394012,708.126984,27.266001,219.033997,77.279999,1031.706981,-49.973,981.733981,-687.921997,293.812012,0.0,293.812012,-98.469002,195.343002,0.0,0.0,195.343002,-5.489,,189.854002,,,189.85401,0.56,0.56,0.56,339.962006,0.56,0.56,0.56,339.962006,
03/31/1994,1677.224976,-600.422974,1076.802002,8.997,374.90799,0.0,1460.706991,-49.0,1411.706991,-907.244995,504.462006,0.0,504.462006,-173.136993,331.325012,0.0,0.0,331.325012,-10.857,,320.468012,,,320.468012,,0.575,0.575,557.200012,0.575,0.575,0.575,557.200012,
06/30/1994,1757.05603,-654.325989,1102.730042,2.485,372.386993,0.0,1477.602035,-45.0,1432.602035,-917.203003,515.398987,0.0,515.398987,-174.186005,341.213013,0.0,0.0,341.213013,-11.347,,329.866013,,,329.865982,,0.595,0.595,554.400024,0.595,0.595,0.595,554.400024,
09/30/1994,1844.458984,-714.877991,1129.580994,4.243,400.595001,0.0,1534.418995,-45.0,1489.418995,-945.849976,543.56897,0.0,543.56897,-186.798996,356.769989,0.0,0.0,356.769989,-11.347,,345.422989,,,345.422974,,0.605,0.605,570.799988,0.605,0.605,0.605,570.799988,
12/31/1994,1952.072998,-823.35498,1128.718018,-5.506,417.803986,0.0,1541.016004,-40.0,1501.016004,-976.559021,524.45697,0.0,524.45697,-177.322006,347.13501,0.0,0.0,347.13501,-12.039,,335.09601,,,335.095964,0.585,0.585,0.585,570.400024,0.585,0.585,0.585,570.400024,
03/31/1995,2022.997955,-895.549011,1127.448944,15.368,323.626007,75.741997,1542.184948,-42.5,1499.684948,-956.541992,543.143005,0.0,543.143005,-193.298996,349.843994,0.0,0.0,349.843994,-12.237,,337.606994,,,337.607009,,0.595,0.595,565.132019,0.595,0.595,0.595,565.132019,
06/30/1995,2132.530029,-976.328003,1156.202026,21.868999,337.147003,81.872002,1597.090031,-54.0,1543.090031,-979.992004,563.098022,0.0,563.098022,-198.703995,364.394012,0.0,0.0,364.394012,-5.113,,359.281013,,,359.281028,,0.65,0.65,556.237976,0.65,0.65,0.65,556.237976,
09/30/1995,2252.434967,-1068.366943,1184.068024,30.313,351.083008,97.667,1663.131031,-59.0,1604.131031,-1018.640991,585.48999,0.0,585.48999,-204.908997,380.580994,0.0,0.0,380.580994,-4.956,,375.624994,,,375.624994,,0.68,0.68,550.968018,0.68,0.68,0.68,550.968018,
12/31/1995,2278.414063,-1111.571045,1166.843018,51.014999,464.466003,46.34,1728.66402,-64.5,1664.16402,-1042.848022,621.315979,-94.445999,526.86998,-191.507996,335.362,0.0,0.0,335.362,-4.084,,331.278,,,331.277984,0.595,0.595,0.595,557.054016,0.595,0.595,0.595,557.054016,
03/31/1996,2541.0,-1212.0,1329.0,16.0,567.0,0.0,1912.0,-81.0,1831.0,-1127.0,704.0,-281.0,423.0,-149.0,274.0,0.0,0.0,274.0,-4.0,,270.0,281.0,-100.0,451.0,0.7185,0.43,0.43,627.906006,0.7185,0.43,0.43,627.906006,
