Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,ST And LT Investments,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Home Equity Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,455.856995,29.374001,91.179001,,24.15,,,,274.993988,,,37.181,,,,0.0,312.174988,-5.8,306.375,1.197,,,,,,,0.0,3.581994,,100.474998,320.578003,178.352997,142.225006,0.0,421.053009,0.0,,,,,0.0,,,,,,,,,,2.99,424.043009,0.0,23.455,,,0.0,,8.359,31.814,0.0,31.814,455.857009,
06/30/1990,573.359009,38.229,137.983994,,22.818001,,,,325.571991,,,45.473999,,,,0.0,371.04599,-6.5,364.54599,1.35,,,,,,,0.0,8.432024,,140.041,391.194992,219.845993,171.348999,0.0,531.236023,0.0,,,,,0.0,,,,,,,,,,7.73,538.966023,0.0,23.559,,,0.0,,10.834,34.393,0.0,34.393,573.359023,
09/30/1990,622.708008,70.571999,111.691002,,25.798,,,,360.02301,,,51.640999,,,,0.0,411.664001,-7.2,404.463989,1.414,,,,,,,0.0,8.769018,,140.173996,441.749008,251.320007,190.429001,0.0,581.922974,0.0,,,,,0.0,,,,,,,,,,3.823,585.745974,0.0,23.700001,,,0.0,,13.262,36.962001,0.0,36.962001,622.707974,
12/31/1990,672.994995,37.675999,120.0,,27.259001,,,,242.188995,,,243.220993,,,,0.0,485.410004,-8.55,476.859985,1.509,,,,,,,0.0,9.69101,,169.878006,457.599991,251.011993,206.587997,0.0,627.478027,0.0,,,,,0.0,,,,,,,,,,5.457,632.935027,0.0,24.039,,,0.0,,16.021,40.059999,0.0,40.059999,672.995027,
03/31/1991,776.237976,77.139,180.199005,,37.43,,,,421.773987,,,56.449001,,,,0.0,478.222992,-8.6,469.622986,1.439,,,,,,,0.0,10.407985,,189.692993,536.030991,328.296997,207.733994,0.0,725.723999,0.0,,,,,0.0,,,,,,,,,,7.649,733.372999,0.0,24.159,,,0.0,,18.705999,42.865,0.0,42.865,776.237999,
06/30/1991,837.836975,63.262001,91.246002,,149.809998,,,,312.997986,,,214.223999,,,,0.0,527.221985,-9.375,517.846985,1.369,,,,,,,0.0,14.302989,,196.436996,585.394989,370.90799,214.487,0.0,781.83197,0.0,,,,,0.0,,,,,,,,,,9.734,791.56597,0.0,28.728001,,,0.0,,17.542999,46.271,0.0,46.271,837.83697,
09/30/1991,869.203979,79.818001,75.061996,,118.649002,,,,518.770996,,,71.992996,,,,0.0,590.763977,-10.45,580.314026,1.27,,,,,,,0.0,14.090954,,209.350998,581.598007,392.052002,189.546005,0.0,790.948975,0.0,,,,,0.0,,,,,,,,,,15.39,806.338975,0.0,42.326,,,0.0,,20.539,62.865,0.0,62.865,869.203975,
12/31/1991,869.458984,90.983002,37.160999,,143.414993,,,,508.322998,,,84.988998,,,,0.0,593.312012,-11.4,581.911987,1.231,,,,,,,0.0,14.757003,,261.627014,537.25,409.585999,127.664001,0.0,798.877014,0.0,,,,,0.0,,,,,,,,,,4.187,803.064014,0.0,42.543999,,,0.0,,23.851,66.394999,0.0,66.394999,869.459013,
03/31/1992,899.841003,109.619003,17.658001,,153.789001,,,,524.046021,,,82.377998,,,,0.0,606.424011,-12.0,594.424011,1.137,,,,,,,0.0,23.213987,,290.721985,528.410011,417.514008,110.896004,0.0,819.132019,0.0,,,,,0.0,,,,,,,,,,9.799,828.931019,0.0,43.873001,,,0.0,,27.037001,70.910002,0.0,70.910002,899.841021,
06/30/1992,915.914001,96.473999,22.261999,,131.268997,,,,564.427979,,,82.782997,,,,0.0,647.210999,-13.2,634.010986,1.068,,,,,,,0.0,30.83002,,262.059998,573.656998,466.707001,106.949997,0.0,835.71698,0.0,,,,,0.0,,,,,,,,,,5.605,841.32198,0.0,48.480999,,,0.0,,26.111,74.591999,0.0,74.591999,915.913979,
09/30/1992,1025.738037,86.843002,136.472,,125.337997,,,,565.432007,,,85.674004,,,,0.0,651.106018,-27.799999,623.30603,1.015,,,,,,,0.0,52.764007,,341.51001,613.783997,481.019989,132.764008,0.0,955.294006,0.0,,,,,0.0,,,,,,,,,,5.281,960.575006,0.0,48.491001,,,0.0,,16.672001,65.163002,0.0,65.163002,1025.738008,
12/31/1992,959.312012,98.458,85.490997,,135.266006,,,,516.322021,,,86.448997,,,,0.866,603.637024,-22.0,581.637024,0.971,,,,,,,0.0,57.488984,,329.281006,558.787987,442.15799,116.629997,0.0,888.06897,0.0,,,,,0.0,,,,,,,,,,5.256,893.32497,0.0,48.951,,,0.0,,17.035999,65.987,0.0,65.987,959.311969,
03/31/1993,935.007996,120.346001,90.0,,116.249001,,,,484.944,,,80.531998,,,,1.414,566.890015,-20.0,546.890015,1.051,,,,,,,0.0,60.47198,,314.941986,547.91201,458.234009,89.678001,0.0,862.854004,0.0,,,,,0.0,,,,,,,,,,4.983,867.837004,0.0,49.132999,,,0.0,,18.038,67.171,0.0,67.171,935.008003,
06/30/1993,926.015991,93.289001,130.0,,120.117996,,,,464.192993,,,83.079002,,,,0.0,547.271973,-20.0,527.271973,1.844,,,,,,,0.0,53.493021,,322.592987,532.755013,447.127014,85.627998,0.0,855.348022,0.0,,,,,0.0,,,,,,,,,,3.218,858.566022,0.0,49.287998,,,0.0,,18.162001,67.449999,0.0,67.449999,926.016021,
09/30/1993,963.252014,104.853996,170.0,,129.315002,,,,452.5,,,76.272003,,,,0.0,528.771973,-24.0,504.772003,2.176,,,,,,,0.0,52.135012,,342.584015,548.210999,461.171997,87.039001,0.0,890.794983,0.0,,,,,0.0,,,,,,,,,,4.583,895.377983,0.0,49.41,,,0.0,,18.464001,67.874001,0.0,67.874001,963.251984,
12/31/1993,992.288025,64.975998,90.0,,262.006012,,,,471.730011,,,76.613998,,,,2.386,550.72998,-25.0,525.72998,2.533,,,,,,,0.0,47.043035,,356.815002,558.144012,486.69101,71.453003,0.0,914.958984,0.0,,,,,0.0,,,,,,,,,,6.993,921.951984,0.0,52.18,,,0.0,,18.156,70.336,0.0,70.336,992.287985,
03/31/1994,990.263,88.125,80.0,,256.753998,,,,472.721985,,,73.767998,,,,0.0,546.48999,-25.0,521.48999,2.76,,,,,,,0.0,41.134012,,344.973999,566.883003,502.056,64.827003,0.0,911.856995,0.0,,,,,0.0,,,,,,,,,,6.646,918.502995,0.0,52.636002,,,0.0,,19.124001,71.760002,0.0,71.760002,990.262997,
06/30/1994,924.588989,93.656998,37.700001,,189.990997,,,,507.506989,,,80.024002,,,,0.0,587.531006,-25.0,562.531006,2.512,,,,,,,0.0,38.197988,,325.031006,519.972015,454.769012,65.203003,0.0,845.002991,0.0,,,,,0.0,,,,,,,,,,8.017,853.019991,0.0,52.763,,,0.0,,18.806,71.569,0.0,71.569,924.588991,
09/30/1994,981.257996,108.058998,30.0,,175.738998,,,,570.61499,,,84.489998,,,,0.0,655.10498,-25.0,630.10498,2.479,,,,,,,0.0,34.876019,,354.695007,544.021004,483.828003,60.193001,0.0,898.716003,0.0,,,,,0.0,,,,,,,,,,8.268,906.984003,0.0,53.18,,,0.0,,21.094,74.274,0.0,74.274,981.258003,
12/31/1994,1161.53894,139.792007,150.057007,,156.489003,,,,622.604004,,,79.828003,,,,0.0,702.432007,-20.0,682.432007,2.221,,,,,,,0.0,30.547917,,401.454987,673.918022,585.171021,88.747002,0.0,1075.373047,0.0,,,,,0.0,,,,,,,,,,8.91,1084.283047,0.0,54.068001,,,0.0,,23.188,77.256001,0.0,77.256001,1161.539047,
03/31/1995,1119.347046,153.526993,105.061996,,155.559,,,,614.200012,,,82.402,,,,0.0,696.60199,-21.5,675.10199,2.437,,,,,,,0.0,27.660067,,378.593994,645.051003,579.263,65.788002,0.0,1023.64502,0.0,,,,,0.0,,,,,,,,,,11.723,1035.368019,0.0,55.599998,,,0.0,,28.379,83.978998,0.0,83.978998,1119.347017,
