Date,Level 2 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
10/31/2007,453.0,453.0,,,0.691455,0.691455,0.273453,0.273453,
04/30/2008,160.0,160.0,,,0.245749,0.245749,0.095532,0.095532,
07/31/2008,209.0,209.0,137.0,137.0,0.303479,0.303479,0.125228,0.125228,
10/31/2008,463.0,463.0,10.0,10.0,0.685185,0.685185,0.275853,0.275853,
01/31/2009,847.0,847.0,17.0,17.0,1.26269,1.26269,0.518268,0.518268,
04/30/2009,750.0,750.0,14.0,14.0,1.173452,1.173452,0.462706,0.462706,
07/31/2009,704.0,704.0,17.0,17.0,1.027602,1.027602,0.417534,0.417534,
10/31/2009,650.0,650.0,15.0,,0.938845,0.938845,0.376807,0.376807,
01/31/2010,735.0,735.0,20.0,20.0,1.011728,1.011728,0.43132,0.43132,
04/30/2010,741.0,,20.0,,1.084983,1.084983,0.425757,0.425757,
07/31/2010,702.0,702.0,20.0,20.0,1.04939,1.04939,0.396736,0.396736,
10/31/2010,752.0,752.0,23.0,23.0,1.105557,1.105557,0.402376,0.402376,
01/31/2011,500.0,500.0,18.0,18.0,0.701784,0.701784,0.276576,0.276576,
04/30/2011,,,,,0.963349,0.963349,0.351725,0.351725,
07/31/2011,685.0,685.0,20.0,20.0,0.940314,0.940314,0.353326,0.353326,
10/31/2011,545.0,545.0,17.0,17.0,0.763402,0.763402,0.279138,0.279138,
01/31/2012,499.0,499.0,19.0,19.0,0.65865,0.65865,0.258006,0.258006,
04/30/2012,431.0,431.0,83.0,83.0,0.582944,0.582944,0.218671,0.218671,
07/31/2012,456.0,456.0,242.0,242.0,0.610434,0.610434,0.233056,0.233056,
10/31/2012,360.0,360.0,237.0,237.0,0.458009,0.458009,0.174912,0.174912,
01/31/2013,523.0,523.0,8.0,8.0,0.639849,0.639849,0.257502,0.257502,
04/30/2013,449.0,449.0,66.0,66.0,0.592028,0.592028,0.222072,0.222072,
07/31/2013,748.0,748.0,2.0,2.0,0.975406,0.975406,0.372197,0.372197,
10/31/2013,727.0,727.0,2.0,2.0,0.925855,0.925855,0.346395,0.346395,
01/31/2014,721.0,721.0,2.0,2.0,0.886414,0.886414,0.352135,0.352135,
04/30/2014,,,,,0.763437,0.763437,0.29479,0.29479,
07/31/2014,595.0,595.0,1.0,1.0,0.718399,0.718399,0.292007,0.292007,
10/31/2014,,,216.0,,0.164182,0.164182,0.066452,0.066452,
01/31/2015,219.0,219.0,318.0,318.0,0.254838,0.254838,0.107622,0.107622,
04/30/2015,359.0,359.0,1.0,1.0,0.448806,0.448806,0.178832,0.178832,
07/31/2015,154.0,154.0,282.0,282.0,0.187521,0.187521,0.077535,0.077535,
10/31/2015,283.0,283.0,370.0,370.0,0.342491,0.342491,0.137952,0.137952,
01/31/2016,492.0,492.0,609.0,609.0,0.588439,0.588439,0.246516,0.246516,
04/30/2016,476.0,476.0,355.0,355.0,0.612156,0.612156,0.239551,0.239551,
07/31/2016,657.0,657.0,557.0,557.0,0.830132,0.830132,0.332009,0.332009,
10/31/2016,704.0,704.0,837.0,837.0,0.874806,0.874806,0.340332,0.340332,
01/31/2017,471.0,471.0,622.0,622.0,0.584839,0.584839,0.236892,0.236892,
04/30/2017,411.0,411.0,524.0,524.0,0.53998,0.53998,0.20579,0.20579,
07/31/2017,417.0,417.0,269.0,269.0,0.527541,0.527541,0.20688,0.20688,
10/31/2017,399.0,399.0,260.0,260.0,0.505665,0.505665,0.190532,0.190532,
01/31/2018,413.0,413.0,91.0,91.0,0.510999,0.510999,0.201934,0.201934,
04/30/2018,348.0,348.0,145.0,145.0,0.444308,0.444308,0.169817,0.169817,
07/31/2018,318.0,318.0,247.0,247.0,0.430824,0.430824,0.154322,0.154322,
10/31/2018,353.0,353.0,397.0,397.0,0.444198,0.444198,0.155793,0.155793,
01/31/2019,334.0,334.0,350.0,350.0,0.419419,0.419419,0.152306,0.152306,
04/30/2019,392.0,392.0,450.0,450.0,0.523295,0.523295,0.167133,0.167133,
07/31/2019,503.0,503.0,617.0,617.0,0.652137,0.652137,0.214169,0.214169,
10/31/2019,67.0,67.0,1.0,1.0,0.085561,0.085561,0.027936,0.027936,
01/31/2020,455.0,455.0,793.0,793.0,0.557926,0.557926,0.192393,0.192393,
04/30/2020,593.0,593.0,1356.0,1356.0,0.800162,0.800162,0.254624,0.254624,
07/31/2020,471.0,471.0,953.0,953.0,0.580071,0.580071,0.198414,0.198414,
