Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2014,8583,0,0,0,960,960,0.0,1960,524,976,460,0,173,0.0,172,3093,4192,5733.0,-1541.0,0.0,1298,1024.0,565.0,459.0,43.0,231,5490,,1637,484,430,723,1,0.0,1.0,1.0,,2,0.0,0.0,0,1640,550,275,275.0,275.0,646,0.0,177,72.0,397,1196,2836,0,0.0,,,0,0.0,5747,5747,0,5747,8583,
03/31/2015,9020,0,0,0,928,928,0.0,1918,491,943,484,0,387,,386,3233,4261,,,0.0,1526,,,,,1526,5787,,1177,376,140,661,0,0.0,,,,57,,,0,1234,317,0,317.0,317.0,1105,,159,408.0,538,1422,2656,0,0.0,0.0,0.0,0,,6364,6364,0,6364,9020,
06/30/2015,11804,2091,2091,0,1083,1083,,2114,498,1045,571,0,381,1.0,376,5669,4531,,,,1604,1244.0,636.0,608.0,,359,6135,,1357,397,241,719,0,,,,,5,,14.0,0,1362,5245,5245,,,1471,,504,405.0,548,6716,8078,0,,,,0,,3726,3726,0,3726,11804,
09/30/2015,12906,1328,1328,0,927,927,0.0,2184,587,1018,579,0,858,25.0,844,5297,4809,,,0.0,2800,2177.0,856.0,1321.0,,598,7609,,2018,492,166,1360,2,0.0,,,2.0,5,,1.0,0,2025,5277,5277,,,1620,,513,553.0,553,6897,8922,0,4100.0,7.0,4093.0,0,262.0,-378,3984,0,3984,12906,
12/31/2015,12329,1001,1001,0,914,914,0.0,2173,589,1021,563,0,620,4.0,597,4708,5034,6567.0,-1533.0,0.0,2587,2124.0,829.0,1295.0,,459,7621,,1906,706,174,1026,3,0.0,,,3.0,2,0.0,0.0,0,1911,5265,5265,,,1229,0.0,505,181.0,543,6494,8405,0,4110.0,7.0,4103.0,0,309.0,-495,3924,0,3924,12329,
03/31/2016,12824,911,911,0,1127,1127,0.0,2237,589,1029,619,0,601,41.0,587,4876,5208,,,0.0,2740,2203.0,883.0,1320.0,,496,7948,,1664,427,123,1114,307,302.0,,,5.0,7,,,0,1978,5317,5317,,,1309,,524,,785,6626,8604,0,4174.0,7.0,4167.0,0,404.0,-358,4220,0,4220,12824,
