Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
12/31/1989,152.099991,,,,,,,,,,,,,-58.399998,,-58.399998,,,-0.39,-0.39,163.488983,,,,,
03/31/1990,179.964005,-143.751007,36.212997,-56.478001,-20.264999,-76.311996,,1163.17395,1066.596954,-370.25,696.346985,157.770004,-2.251,851.866028,,851.866028,694.095954,,4.05,4.97,171.544006,,,,,
06/30/1990,242.423004,-173.184006,69.238998,-58.014999,11.224,-119.691002,,37.729,-70.738002,21.563,-49.174999,,-11.566,-60.741001,,-60.741001,-60.741002,,-0.34,-0.34,177.996002,,,,,
09/30/1990,280.528992,-185.475006,95.053986,-68.572998,26.481001,-143.347,,23.275,-93.591,41.387001,-52.203999,,-27.785999,-79.989998,,-79.989998,-79.989998,,-0.45,-0.45,178.542999,,,,,
12/31/1990,334.536987,-212.878006,121.658981,-90.719002,30.940001,-157.251999,,-5.539,-131.850998,-7.205,-139.056,33.148998,-42.91,-148.817001,,-148.817001,-181.965998,-1.02,-1.02,-0.83,178.755997,-1.02,-1.02,-0.83,178.755997,
03/31/1991,293.377991,-199.042999,94.334991,-93.550003,0.785,-152.031006,,14.597,-136.649006,3.575,-133.074005,,-36.005001,-169.078995,,-169.078995,-169.079007,,-0.97,-0.97,179.574005,,,,,
06/30/1991,342.355011,-215.783005,126.572006,-87.278999,39.292999,-146.705994,,11.896,-95.516994,-1.592,-97.109001,,-36.566002,-133.675003,,-133.675003,-133.674996,,-0.77,-0.77,182.003006,,,,,
09/30/1991,350.671997,-223.811996,126.860001,-86.401001,40.459,-146.485992,,278.315002,172.28801,-57.506001,114.781998,,-37.785,76.997002,,76.997002,76.997009,,0.39,0.39,189.378998,,,,,
12/31/1991,379.165985,-249.781006,129.384979,-93.890999,35.493999,-132.768997,,3.858,-93.416998,6.037,-87.379997,0.0,-37.944,-125.323997,0.0,-125.323997,-125.323998,-0.69,-0.69,-0.69,182.210999,-0.69,-0.69,-0.69,182.210999,
03/31/1992,374.747009,-246.429001,128.318008,-94.981003,33.337002,-129.300995,0.0,17.653999,-78.309994,17.017,-61.292999,0.0,-37.766998,-99.059998,0.0,-99.059998,-99.059992,,-0.55,-0.55,182.406998,,,,,
06/30/1992,426.394012,-255.634995,170.759018,-101.936996,68.821999,-125.380997,0.0,18.156,-38.402998,11.367,-27.035999,0.0,-38.785,-65.820999,0.0,-65.820999,-65.820998,,-0.37,-0.37,182.526001,,,,,
09/30/1992,447.960999,-265.61499,182.346008,-104.060997,78.285004,-123.273003,0.0,19.016001,-25.971998,8.605,-17.367001,0.0,-40.612,-57.979,0.0,-57.979,-57.978998,,-0.33,-0.33,182.563004,,,,,
12/31/1992,494.234009,-311.437012,182.796997,-103.749001,79.047997,-112.084999,0.0,5.773,-27.264002,-1.997,-29.261,0.0,-33.485001,-62.745998,0.0,-62.745998,-62.746003,-0.35,-0.35,-0.35,183.200989,-0.35,-0.35,-0.35,183.200989,
03/31/1993,479.967987,-298.828003,181.139984,-102.084999,79.055,-108.728996,0.0,77.642998,47.969002,-25.004,22.965,0.0,-36.973999,-14.009,0.0,-14.009,-14.008997,,-0.08,-0.08,192.098007,,,,,
06/30/1993,540.47699,-325.102997,215.373993,-100.462997,114.911003,-96.239998,0.0,-22.461,-3.789995,2.27,-1.52,0.0,-20.576,-22.096001,0.0,-22.096001,-22.095995,,-0.11,-0.11,205.612,,,,,
09/30/1993,562.616028,-348.080994,214.535034,-105.918999,108.615997,-96.223,0.0,114.091003,126.484001,-99.407997,27.076,0.0,-55.779999,-28.704,0.0,-28.704,-28.703995,,-0.15,-0.15,206.337997,,,,,
12/31/1993,611.749023,-413.218994,198.530029,-241.033997,-42.504002,-92.995003,0.0,-11.607,-147.106005,24.223,-122.883003,-45.034,-39.59,-207.507004,0.0,-207.507004,-162.473005,,-0.78,-1.0,207.539001,,,,,
03/31/1994,630.802002,-435.278015,195.523987,-115.686996,79.836998,-67.25,0.0,38.678001,51.264999,-20.089001,31.176001,0.0,-39.487999,-8.312,0.0,-8.312,-8.312,,-0.04,-0.04,208.763,,,,,
06/30/1994,682.684998,-454.203003,228.481995,-114.672997,113.808998,-75.982002,0.0,61.043999,98.870995,44.195,143.065994,0.0,-6.113,136.953003,0.0,136.953003,136.952994,,0.65,0.65,209.229004,,,,,
