Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Adjustments,Enterprise Value,EV/Sales,Price/Earnings per Share,EV/Market Cap,Total Debt/EV,EV/Cash Flow,EV/Free Cash Flow,EV/Net Income,EV/Book Value,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
12/31/2000,,,,,,,,,,,,,,,,,,,,
03/31/2001,,,,,,,,,,,,,,,,,,,,
06/30/2001,,,,,,,,,,,,,,,,,,,,
09/30/2001,,,,,,,,,,,,,,,,,,,,
12/31/2001,19459.647051,-18536.0,0.0,690.0,25885.0,,27498.647051,1.015422,25.14394,1.413111,0.941319,,,,1.34448,19373.003,27412.003,46.959435,,
03/31/2002,18211.539468,-13360.0,0.0,690.0,48774.0,,54315.539468,2.008117,26.092437,2.982479,0.897975,,,,2.710492,18229.745628,54333.745628,92.638837,,
06/30/2002,19421.899204,-11337.0,0.0,690.0,38656.0,,47430.899204,1.793636,28.69512,2.442135,0.814996,,,,2.247803,19590.270989,47599.270989,81.081509,,
09/30/2002,16225.74936,-12579.0,0.0,690.0,35250.0,,39586.74936,1.483483,17.178255,2.439749,0.890449,,,,1.812497,16473.17952,39834.17952,69.397598,,
12/31/2002,17670.582458,-9898.0,0.0,0.0,25814.0,,33586.582458,1.276911,21.408828,1.900706,0.768581,3.365052,,173.126714,1.574617,17926.6338,33842.6338,59.954628,,
03/31/2003,16211.49115,-10691.0,0.0,690.0,35157.0,,41367.49115,1.568495,18.708015,2.551739,0.84987,5.503924,,174.546376,1.892556,16278.35625,41434.35625,74.638362,,
06/30/2003,19736.795047,-10090.0,0.0,690.0,28573.0,,38909.795047,1.433987,19.050725,1.971434,0.73434,8.851182,,77.664262,1.714314,18487.31,37660.31,70.879624,,
09/30/2003,20276.766035,-8642.0,0.0,0.0,22830.0,,34464.766035,1.263371,21.271544,1.699717,0.662416,6.371745,6.371745,69.485415,1.603684,20393.44168,34581.44168,63.50143,,
12/31/2003,22171.056591,-7949.0,0.0,0.0,27387.0,,41609.056591,1.487259,17.430763,1.876729,0.658198,,,32.918557,1.954211,22635.163,42073.163,77.505493,,
03/31/2004,23768.731486,-8058.0,0.0,0.0,28800.0,,44510.731486,1.592912,17.249342,1.872659,0.647035,,,30.300021,2.036825,24266.282,45008.282,83.857833,,
