Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2001,619.0,0.0,0.0,0.0,196.0,,,,160.0,26.0,12.0,122.0,0.0,81.0,,,,437.0,122.0,324.0,-202.0,0.0,60.0,0.0,0.0,0.0,,60.0,182.0,,63.0,63.0,,,,190.0,190.0,0.0,0.0,,,154.0,,,154.0,407.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,407.0,0.0,0.0,,,0.0,,212.0,212.0,0.0,212.0,619.0,
06/30/2001,644.400024,0.0,0.0,0.0,196.899994,,,,168.699997,27.4,13.5,127.800003,0.0,86.5,,,,452.100006,131.5,334.5,-203.0,0.0,60.799999,0.0,0.0,0.0,,60.799999,192.299999,,67.0,67.0,,,,155.399994,155.399994,0.0,0.0,,,175.700012,,,175.700012,398.100006,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,398.100006,0.0,0.0,,,0.0,,246.300003,246.300003,0.0,246.300003,644.400009,
09/30/2001,738.099976,23.4,23.4,0.0,191.100006,,,,187.600006,26.799999,14.6,146.199997,0.0,99.199997,,,,501.299988,138.300003,346.100006,-207.800003,0.0,98.5,0.0,0.0,0.0,,98.5,236.800003,,48.599998,48.599998,,,,150.0,150.0,0.0,0.0,,,190.000008,,,190.000008,388.600006,258.299988,258.299988,0.0,0.0,,67.699997,,,,67.699997,325.999985,714.599991,0.0,1.9,,,0.0,,21.6,23.5,0.0,23.5,738.099991,
12/31/2001,745.0,18.4,18.4,0.0,181.699997,,,,200.0,41.599998,,158.399994,0.0,108.5,,,,508.600006,148.199997,356.100006,-207.899994,0.0,88.199997,0.0,0.0,0.0,,88.199997,236.399994,,67.400002,67.400002,,,,150.0,150.0,0.0,0.0,,,155.700004,,,155.700004,373.100006,213.899994,213.899994,0.0,0.0,,79.300003,,,,79.300003,293.199997,666.300003,0.0,6.3,,,0.0,,72.400002,78.700002,0.0,78.700002,745.000005,
03/31/2002,790.200012,20.799999,20.799999,0.0,196.199997,,,,219.800003,46.200001,,173.600006,0.0,117.099998,,,,553.900024,149.5,353.200012,-203.699997,0.0,86.800003,0.0,0.0,0.0,,86.800003,236.300003,,61.200001,61.200001,,,,150.0,150.0,0.0,0.0,,,169.099987,,,169.099987,380.299988,192.199997,192.199997,0.0,0.0,,83.800003,,,,83.800003,276.0,656.299988,0.0,11.3,,,0.0,,122.599998,133.899998,0.0,133.899998,790.199986,
06/30/2002,855.099976,26.4,26.4,0.0,218.899994,,,,241.100006,54.200001,,186.899994,0.0,123.5,,,,609.900024,153.300003,360.799988,-207.5,0.0,91.900002,0.0,0.0,0.0,,91.900002,245.200005,,65.599998,65.599998,,,,150.0,150.0,0.0,0.0,,,183.299995,,,183.299995,398.899994,162.800003,162.800003,0.0,0.0,,88.099998,,,,88.099998,250.900002,649.799995,0.0,16.200001,,,0.0,,189.100006,205.300007,0.0,205.300007,855.100002,
09/30/2002,863.400024,20.799999,20.799999,0.0,204.699997,,,,253.199997,47.099998,,206.100006,0.0,133.800003,,,,612.5,154.899994,367.899994,-213.0,0.0,96.0,0.0,0.0,0.0,,96.0,250.899994,,57.299999,57.299999,,,,150.0,150.0,0.0,0.0,,,185.400013,,,185.400013,392.700012,98.900002,98.900002,0.0,0.0,,85.400002,,,,85.400002,184.300003,577.000015,0.0,31.0,,,0.0,,255.399994,286.399994,0.0,286.399994,863.400009,
12/31/2002,858.9,15.7,15.7,0.0,214.8,214.8,,,257.6,50.9,,206.7,0.0,124.3,,,,612.4,157.8,375.9,-218.1,0.0,88.7,0.0,0.0,0.0,,88.7,246.5,,59.8,59.8,,,,156.7,156.7,0.0,0.0,,,184.3,,,184.3,400.8,0.0,0.0,0.0,0.0,,91.8,,,,91.8,91.8,492.6,0.0,38.9,,,0.0,313.4,14.0,366.3,0.0,366.3,858.9,
03/31/2003,978.799988,33.400002,33.400002,0.0,237.399994,,,,265.899994,53.0,,212.899994,0.0,38.0,,,,574.700012,311.0,656.700012,-345.700012,0.0,93.099998,0.0,0.0,0.0,,93.099998,404.099998,,64.800003,64.800003,,,,76.900002,76.900002,0.0,0.0,,,201.000008,,,201.000008,342.700012,0.0,0.0,0.0,0.0,,93.400002,,,,93.400002,93.400002,436.100014,0.0,77.800003,,,0.0,,464.899994,542.699997,0.0,542.699997,978.800011,
06/30/2003,1142.800049,115.0,115.0,0.0,259.100006,,,,280.799988,55.5,,225.300003,0.0,99.900002,,,,754.799988,319.899994,690.099976,-370.200012,0.0,68.099998,0.0,11.9,-11.9,,68.099998,387.999992,,67.900002,67.900002,,,,76.0,76.0,0.0,0.0,,,254.300011,,,254.300011,398.200012,0.0,0.0,0.0,0.0,,96.400002,,,,96.400002,96.400002,494.600014,0.0,88.699997,,,0.0,537.700012,21.799988,648.199997,0.0,648.199997,1142.800011,
