Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2005,203.687,62.977,62.977,0.0,53.132,53.132,,53.607,0.881,0.095,57.518,-4.887,12.074,,,,181.79,20.865,31.133,-10.268,0.0,,1.032,0.0,0.0,0.0,1.032,21.897,,31.699,31.699,,,,3.808,1.967,1.841,1.841,,,12.165,,,12.165,47.672,4.583,2.868,1.715,1.715,,0.602,,,,,0.602,5.185,52.857,0.0,124.818,,,0,28.067,-2.055,150.83,0.0,150.83,203.687,
03/31/2006,211.231,58.292,58.292,0.0,63.217,63.217,,53.475,0.904,0.094,57.364,-4.887,11.496,,,,186.48,23.659,,,0.0,,1.092,0.0,0.0,0.0,1.092,24.751,,24.761,24.761,,,,3.845,2.273,1.572,1.572,,,17.044,,,17.044,45.65,4.605,3.18,1.425,1.425,,0.276,,,,,0.276,4.881,50.531,0.0,125.555,,,0,36.132,-0.987,160.7,0.0,160.7,211.231,
06/30/2006,229.083,41.918,41.918,0.0,63.244,63.244,,80.22,1.433,0.049,83.625,-4.887,17.252,,,,202.634,25.287,,,0.0,,1.162,0.0,0.0,0.0,1.162,26.449,,38.89,38.89,,,,3.815,2.59,1.225,1.225,,,13.932,,,13.932,56.637,4.437,3.225,1.212,1.212,,0.327,,,,,0.327,4.764,61.401,0.0,129.958,,,0,38.556,-0.832,167.682,0.0,167.682,229.083,
09/30/2006,264.969,44.257,44.257,0.0,89.667,89.667,,74.972,1.718,0.157,78.464,-5.367,20.879,,,,229.775,25.804,,,0.0,,9.39,8.25,0.0,8.25,1.14,35.194,,38.302,38.302,,,,3.626,2.631,0.995,0.995,,,22.639,,,22.639,64.567,3.593,2.552,1.041,1.041,,0.396,,,,,0.396,3.989,68.556,0.0,142.552,,,0,54.525,-0.664,196.413,0.0,196.413,264.969,
12/31/2006,289.368,70.655,70.655,0.0,71.867,71.867,,81.031,1.321,0.133,83.618,-4.041,21.399,,,,244.952,29.923,49.216,-19.293,0.0,,14.493,7.875,0.0,7.875,6.618,44.416,,42.718,42.718,,,,3.442,2.648,0.794,0.794,,,25.403,,,25.403,71.563,2.815,1.893,0.922,0.922,,0.602,,,,,0.602,3.417,74.98,0.0,148.578,,,0,66.376,-0.566,214.388,0.0,214.388,289.368,
03/31/2007,289.318,57.202,57.202,0.0,84.553,84.553,,80.068,1.319,0.073,82.791,-4.115,17.046,,,,238.869,35.423,,,0.0,,15.026,7.5,0.0,7.5,7.526,50.449,,35.964,35.964,,,,3.469,2.847,0.622,0.622,,,17.855,,,17.855,57.288,2.961,2.158,0.803,0.803,,2.446,,,,,2.446,5.407,62.695,0.0,151.863,,,0,75.165,-0.405,226.623,0.0,226.623,289.318,
06/30/2007,317.862,25.676,25.676,0.0,83.088,83.088,,128.76,1.273,0.197,130.7,-3.41,24.019,,,,261.543,40.948,,,0.0,,15.371,7.242,0.0,7.242,8.129,56.319,,54.273,54.273,,,,3.048,2.522,0.526,0.526,,,20.279,,,20.279,77.6,2.458,1.772,0.686,0.686,,2.533,,,,,2.533,4.991,82.591,0.0,154.631,,,0,80.877,-0.237,235.271,,235.271,317.862,
09/30/2007,384.27,14.473,14.473,0.0,128.334,128.334,,151.76,1.082,0.139,156.458,-5.919,25.408,,,,319.975,47.624,,,0.0,,16.671,6.856,0.0,6.856,9.815,64.295,,67.022,67.022,,,,12.612,12.137,0.475,0.475,,,38.554,,,38.554,118.188,2.003,1.436,0.567,0.567,,3.3,,,,,3.3,5.303,123.491,0.0,159.743,,,0,100.907,0.129,260.779,0.0,260.779,384.27,
12/31/2007,390.613,40.588,40.588,,93.515,93.515,,166.082,1.18,0.208,169.56,-4.866,22.06,,,,322.245,52.332,83.687,-31.355,,,16.036,6.47,,,9.566,68.368,,55.012,55.012,,,,4.576,4.111,0.465,0.465,,,36.111,,,36.111,95.699,9.756,9.298,0.458,0.458,,4.673,,,,,4.673,14.429,110.128,,162.378,,,0,117.782,0.325,280.485,,280.485,390.613,
03/31/2008,388.529,17.591,17.591,0.0,101.991,101.991,,167.949,0.892,0.032,172.666,-5.641,23.776,,,,311.307,57.403,,,0.0,,19.819,6.083,0.0,6.083,13.736,77.222,,48.236,48.236,,,,6.008,5.553,0.455,0.455,,,27.178,,,27.178,81.422,12.807,12.458,0.349,0.349,,8.495,,,,,8.495,21.302,102.724,0.0,164.631,,,0,120.652,0.522,285.805,0.0,285.805,388.529,
