Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/30/1990,155.910004,42.322001,30.437,11.885,31.062,,,27.964001,,,,,2.06,,,,103.407997,45.486,75.847,-30.361,0.0,7.016,,,,7.016,52.502,,8.529,8.529,,,,0.384,,,,13.829,,,13.829,22.742001,4.416,,,,6.045,,,,6.045,10.461,33.203001,0,18.313,,,0.0,,104.393997,122.706997,0,122.706997,155.909997,
06/29/1990,160.382996,36.095,26.735001,9.36,33.278999,,,29.254999,,,,,3.759,,,,102.388,48.130001,80.240997,-32.111,0.0,9.865,,,,9.865,57.995001,,9.62,9.62,,,,0.524,,,,14.650001,,,14.650001,24.794001,4.256,,,,6.305,,,,6.305,10.561,35.355,0,18.427,,,0.0,,106.600998,125.027998,0,125.027998,160.382998,
09/28/1990,161.563995,38.255,25.018,13.237,30.069,,,30.164,,,,,3.917,,,,102.404999,49.264999,83.279999,-34.014999,0.0,9.894,,,,9.894,59.158999,,8.27,8.27,,,,0.524,,,,16.365999,,,16.365999,25.16,4.196,,,,6.078,,,,6.078,10.274,35.434,0,18.462999,,,0.0,,107.667,126.129999,0,126.129999,161.563999,
12/28/1990,171.537994,38.467998,18.212999,20.254999,37.351002,,,30.693001,,,,,4.243,,,,110.754997,50.051998,86.329002,-36.277,0.0,10.731,,,,10.731,60.782998,,11.198,11.198,,,,0.612,,,,20.689001,,,20.689001,32.499001,4.184,,,,4.444,,,,4.444,8.628,41.127001,0,20.271,,,0.0,,110.139999,130.410999,0,130.410999,171.538,
03/29/1991,163.184006,34.950001,18.594,16.356001,30.704,,,33.097,,,,,4.212,,,,102.962997,49.622002,87.660004,-38.037998,0.0,10.599,,,,10.599,60.221002,,6.451,6.451,,,,0.685,,,,15.277,,,15.277,22.413,4.009,,,,4.75,,,,4.75,8.759,31.172,0,23.059,,,0.0,,108.953003,132.012003,0,132.012003,163.184003,
06/28/1991,165.156006,40.638,26.837999,13.8,27.599001,,,32.966,,,,,4.758,,,,105.960999,48.706001,88.755997,-40.049999,0.0,10.489,,,,10.489,59.195002,,7.976,7.976,,,,0.552,,,,17.344,,,17.344,25.872,4.034,,,,4.763,,,,4.763,8.797,34.669,0,23.377001,,,0.0,,107.110001,130.487001,0,130.487001,165.156001,
09/27/1991,170.347,38.311999,25.539,12.773,33.951,,,35.209,,,,,4.775,,,,112.247002,48.664001,90.310997,-41.646999,0.0,9.436,,,,9.436,58.100001,,8.434,8.434,,,,0.648,,,,17.99,,,17.99,27.072001,4.004,,,,5.25,,,,5.25,9.254,36.326001,0,23.867001,,,0.0,,110.153999,134.021,0,134.021,170.347001,
12/27/1991,185.964005,44.253,25.507,18.746,46.035,,,32.067001,,,,,5.258,,,,127.612999,46.827999,90.245003,-43.417,0.0,11.523,,,,11.523,58.350999,,13.612,13.612,,,,0.695,,,,17.280999,,,17.280999,31.587999,3.992,,,,5.341,,,,5.341,9.333,40.921,0,28.33,,,0.0,,116.712997,145.042997,0,145.042997,185.963997,
03/27/1992,188.306,52.223001,24.082001,28.141001,39.654999,,,33.528,,,,,6.069,,,,131.475006,46.738998,91.947998,-45.209,0.0,10.092,,,,10.092,56.830998,,12.092,12.092,,,,0.732,,,,14.649,,,14.649,27.473,3.925,,,,5.443,,,,5.443,9.368,36.840999,0,32.025002,,,0.0,,119.440002,151.465004,0,151.465004,188.306003,
06/26/1992,189.087997,53.531998,20.320999,33.210999,36.897999,,,34.037998,,,,,7.371,,,,131.839005,47.819,94.934998,-47.116001,0.0,9.43,,,,9.43,57.249001,,11.007,11.007,,,,0.007,,,,14.232,,,14.232,25.246,3.996,,,,5.002,,,,5.002,8.998,34.244,0,33.041,,,0.0,,121.803001,154.844002,0,154.844002,189.088002,
