Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Net Revenue,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
03/31/1990,73.187561,,73.206001,,10.212195,4.70512,0.668729,0.55,0.55,,,,,0.0,3.69385,55.661017,18.852233,
06/30/1990,73.302841,,73.267998,,9.051496,3.908937,0.459464,0.4,0.4,,,,,0.0,-0.963518,54.051164,18.966931,
09/30/1990,73.445114,,73.402,,9.326776,4.080284,0.235716,0.15,0.15,,,,,0.0,-0.076946,46.436391,18.820803,
12/31/1990,73.677689,73.561401,73.561401,,8.142844,3.375085,-3.72376,-2.94,-2.94,-2.94,-2.94,-2.94,-2.94,0.0,0.904768,41.578448,15.699597,
03/31/1991,73.654228,,73.682999,,8.808151,4.767382,-1.579957,-1.59,-1.59,,,,,0.0,-0.700338,30.71009,14.205471,
06/30/1991,73.701462,,73.683998,,7.587346,3.812863,-0.793917,-0.81,-0.81,,,,,0.0,0.4039,30.775088,13.544779,
09/30/1991,73.753113,,73.730003,,7.57979,4.008233,0.038532,0.02,0.02,,,,,0.0,-2.581595,33.037968,13.621269,
12/31/1991,73.765289,73.759201,73.759201,,6.848447,3.629608,-0.92924,0.02,0.02,0.02,0.02,0.02,0.02,0.0,1.633003,29.489006,13.622098,
03/31/1992,73.977097,,73.906998,,7.664822,4.914731,0.600904,0.58,0.44,,,,,0.0,-1.120652,26.755984,14.256061,
06/30/1992,91.311394,,88.806999,,5.554506,3.472148,0.099857,0.09,0.07,,,,,0.0,1.737408,26.497099,13.90349,
09/30/1992,91.614487,,91.320999,,5.26558,3.426715,0.149593,0.14,0.1,,,,,0.0,-7.914522,22.125355,14.105837,
12/31/1992,92.527924,92.071205,92.071205,,5.248514,3.463678,0.114868,0.14,0.11,0.11,0.14,0.11,0.11,,26.049175,22.496484,14.089272,
03/31/1993,93.146584,,111.693001,,4.932843,3.204041,-0.105808,0.29,-0.13,,,,,0.0,6.598641,17.950341,14.450976,
06/30/1993,93.636002,,112.141998,,5.037809,3.335378,0.788447,0.54,0.54,,,,,0.0,-1.560459,16.189446,14.9857,
09/30/1993,94.32,,114.702003,,4.896314,3.25677,0.874658,0.69,0.69,,,,,0.0,-4.789062,18.54455,15.768681,
12/31/1993,117.444,117.099998,117.099998,,4.784799,3.219035,1.271307,1.22,1.22,1.22,1.22,1.22,1.22,0.0,2.595141,13.83163,16.249498,
03/31/1994,95.927002,,117.819,,4.609426,3.065881,0.987863,0.62,0.62,,,,,0.0,1.645312,17.473755,17.215038,
06/30/1994,118.619003,,118.445,,4.774773,3.036422,0.691249,-0.19,-0.19,,,,,0.0,3.896838,17.239211,15.934529,
09/30/1994,119.581001,,119.264999,,4.875705,2.998239,1.099962,0.68,0.68,,,,,0.0,2.001895,16.344059,16.315969,
12/31/1994,120.771004,,120.300003,,5.206018,3.05581,0.681239,0.74,0.74,,,,,0.0,2.094214,22.644657,16.717489,
03/31/1995,122.055,,121.638,,5.563113,3.00564,1.125742,0.47,0.47,,,,,0.0,-0.284409,14.940806,17.057064,
06/30/1995,126.702003,,123.748001,,5.864499,3.071177,1.066474,0.61,0.61,,,,,0.0,-1.630168,16.975857,17.951776,
09/30/1995,122.696999,,124.169998,,5.677555,2.971741,1.173504,0.68,0.68,,,,,0.0,2.164154,12.910968,17.935711,
