Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1990,5.848423,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.780613,,,-5.780613,-5.780613,,55.114925,-0.105,-0.105,,55.114925,-0.105,-0.105,-0.105,
12/31/1990,7.06574,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41441,,,1.41441,1.41441,,72.703201,0.019375,0.019375,,72.703201,0.019375,0.019375,0.019375,
03/31/1991,6.246,,-2.759,,3.487,,-3.295,,,,,,0.192,0.144,,0.0,,0.0,-0.144,0.336,0.0,0.336,0.0,,,0.336,0.0,0.336,0.0,,0.336,0.336,,73.311996,0.004312,0.004312,,73.311996,0.004312,0.004312,0.004312,
06/30/1991,7.436,,-3.196,,4.24,,-3.681,,,,,,0.559,0.111,,0.0,,0.0,-0.111,0.67,-0.06,0.61,0.0,,,0.61,0.0,0.61,0.0,,0.61,0.61,,71.440002,0.00875,0.00875,,71.440002,0.00875,0.00875,0.00875,
09/30/1991,7.512,,-3.092,,4.42,,-3.734,,,,,,0.686,0.316,,0.0,,0.0,-0.316,1.002,0.0,1.002,0.0,,,1.002,0.0,1.002,0.0,,1.002,1.002,,87.424004,0.01125,0.01125,,87.424004,0.01125,0.01125,0.01125,
12/31/1991,9.26,,-3.739,,5.521,,-4.352,,,,,,1.169,0.275,,0.0,,0.0,-0.275,1.444,-0.24,1.204,0.0,,,1.204,0.0,1.204,0.0,,1.204,1.204,,78.695999,0.01375,0.01375,,78.695999,0.01375,0.01375,0.01375,
03/31/1992,11.834,,-5.707,,6.127,,-5.588,,,,,,0.539,0.105,,0.0,,0.0,-0.105,0.644,-0.161,0.483,0.0,,,0.483,0.0,0.483,0.0,,0.483,0.483,,92.704002,0.00375,0.00375,,92.704002,0.00375,0.00375,0.00375,
06/30/1992,15.547997,,-6.796799,,8.751198,,-7.382394,,,,,,1.368804,0.312671,,0.0,,0.0,-0.312671,1.681475,-0.390929,1.290546,0.0,,,1.290546,0.0,1.290546,0.0,,1.290546,1.290546,,128.848007,0.01,0.01,,128.848007,0.01,0.01,0.01,
09/30/1992,15.755795,,-6.392629,,9.363165,,-7.504605,,,,,,1.858561,0.311623,,0.0,,0.0,-0.311623,2.170184,-0.475334,1.69485,0.0,,,1.69485,0.0,1.69485,0.0,,1.69485,1.69485,,129.455994,0.0125,0.0125,,129.455994,0.0125,0.0125,0.0125,
12/31/1992,18.31621,,-7.569572,,10.746638,,-8.495001,,,,,,2.251635,0.242706,,0.0,,0.0,-0.242706,2.494341,-0.533737,1.959604,0.0,,,1.960604,0.0,1.959604,0.0,,1.959604,1.959604,,118.863327,0.014375,0.014375,,118.863327,0.014375,0.014375,0.014375,
03/31/1993,19.45026,,-8.251,,11.19926,,-8.71,,,,,,2.48926,-0.478,,,,0.0,0.478,2.01126,-0.657,1.35426,0.0,,,1.35426,0.0,1.35426,0.0,,1.35426,1.35426,,131.223038,0.0105,0.0105,,131.223038,0.0105,0.0105,0.0105,
