Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Other Share Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
11/30/1989,209.195999,11.075,8.768,2.307,0.28,,,,4.409,,,,,2.067,,,,,,17.830999,180.867004,,,10.498,,,,,,,,,191.365005,,5.186,5.186,,,,0.494,,,,,,17.447001,,,17.447001,23.127001,2.666,,,,,16.400999,,,,,,16.400999,19.066999,42.194,0.0,32.283001,,,,0.0,,134.718994,167.001995,0.0,167.001995,209.195995,
02/28/1990,210.535004,6.771,6.771,0.0,0.172,,,,3.269,,,,,2.024,,,,,,12.236,188.503006,,,9.796,,,,,,,,,198.299006,,4.96,4.96,,,,0.444,,,,,,14.885,,,14.885,20.289,2.551,,,,,16.613001,,,,,,16.613001,19.164001,39.453001,0.0,32.34,,,,0.0,,138.742004,171.082005,0.0,171.082005,210.535005,
05/31/1990,221.860992,9.628,9.628,0.0,0.152,,,,3.265,,,,,2.584,,,,,,15.629,195.785995,,,10.446,,,,,,,,,206.231996,,5.286,5.286,,,,0.448,,,,,,19.588001,,,19.588001,25.322001,2.441,,,,,16.948,,,,,,16.948,19.389,44.711,0.0,32.34,,,,0.0,,144.809998,177.149998,0.0,177.149998,221.860998,
08/31/1990,235.343994,12.327,12.327,0.0,0.157,,,,3.732,,,,,2.231,,,,,,18.447001,203.951996,269.23999,-65.287994,11.213,,,,1.732,,,,1.732,216.896996,,8.925,8.925,,,,0.455,,,,,,23.166001,,,23.166001,32.546001,2.328,,,,,17.502001,,,,,,17.502001,19.830001,52.376002,0.0,35.319,,,,0.0,,147.649002,182.968002,0.0,182.968002,235.344004,
11/30/1990,235.671997,10.302,10.302,0.0,0.198,,,,3.356,,,,,2.172,,,,,,16.028,207.167999,,,12.476,,,,,,,,,219.643999,,5.803,5.803,,,,0.459,,,,,,21.912,,,21.912,28.174,2.213,,,,,17.657,,,,,,17.657,19.87,48.043999,0.0,35.400002,,,,0.0,,152.227997,187.627998,0.0,187.627998,235.671998,
02/28/1991,236.981995,6.663,6.663,0.0,0.216,,,,3.056,,,,,2.292,,,,,,12.227,211.912003,,,12.843,,,,,,,,,224.755003,,5.108,5.108,,,,0.464,,,,,,19.811,,,19.811,25.382999,2.096,,,,,17.584,,,,,,17.584,19.68,45.062999,0.0,35.662998,,,,0.0,,156.255997,191.918995,0.0,191.918995,236.981994,
05/31/1991,247.447998,8.363,8.363,0.0,0.174,,,,5.921,,,,,2.931,,,,,,17.389,215.807999,,,14.251,,,,,,,,,230.058999,,5.622,5.622,,,,0.469,,,,,,23.839,,,23.839,29.93,1.976,,,,,17.728001,,,,,,17.728001,19.704001,49.634001,0.0,35.662998,,,,0.0,,162.151001,197.813999,0.0,197.813999,247.448,
08/31/1991,260.70401,14.2,14.2,0.0,0.19,,,,4.267,,,,,2.568,,,,,,21.225,226.807999,304.372986,-77.565002,10.682,,,,1.989,,,,1.989,239.478999,,8.157,8.157,,,,0.48,,,,,,31.763002,,,31.763002,40.400002,1.851,,,,,15.671,,,,,,15.671,17.522,57.922002,0.0,35.662998,,,,0.0,,167.119003,202.782001,0.0,202.782001,260.704003,
11/30/1991,258.723999,9.088,9.088,0.0,0.251,,,,3.594,,,,,2.671,,,,,,15.604,230.470993,,,12.649,,,,,,,,,243.119993,,6.539,6.539,,,,0.487,,,,,,28.395001,,,28.395001,35.421001,1.721,,,,,15.578,,,,,,15.578,17.299,52.720001,0.0,35.714001,,,,0.0,,170.289993,206.003994,0.0,206.003994,258.723995,
02/29/1992,259.673004,3.373,3.373,0.0,0.335,,,,3.39,,,,,2.639,,,,,,9.737,234.791,,,15.145,,,,,,,,,249.936001,,6.181,6.181,,,,5.493,,,,,,21.149002,,,21.149002,32.823002,1.592,,,,,15.472,,,,,,15.472,17.064,49.887002,0.0,35.714001,,,,0.0,,174.072006,209.786007,0.0,209.786007,259.673009,
