Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/2000,,769.0,769.0,,3.343303,0.557867,0.35,0.35,0.4,0.35,0.35,0.4,,,,,,
06/30/2000,,769.0,769.0,,3.518856,0.591678,0.43,0.43,0.43,0.43,0.43,0.43,,,,,,
09/30/2000,,769.0,769.0,,3.724317,0.663199,0.48,0.48,0.45,0.48,0.48,0.45,,,,,,
12/31/2000,,769.0,769.0,,3.808843,0.611183,0.45,0.45,0.39,0.45,0.45,0.39,,,,,,
03/31/2001,,769.0,769.0,,3.976593,0.954486,0.62,0.61,0.45,0.62,0.61,0.45,0.0,0.353706,,,,
06/30/2001,,769.0,769.0,,3.879064,0.681404,0.45,0.45,0.41,0.45,0.45,0.41,0.0,-0.027308,,,,
09/30/2001,,769.0,769.0,,3.916775,-0.139142,-0.08,-0.08,-0.16,-0.08,-0.08,-0.16,0.0,0.451235,,,,
12/31/2001,769.0,769.0,769.0,,4.13264,0.580892,0.39,0.39,0.41,0.39,0.39,0.41,0.0,0.807542,0.308192,13.895969,10.544863,
03/31/2002,1000.0,794.700012,794.700012,,4.067824,0.616711,0.13,0.43,0.41,0.13,0.43,0.41,0.0,0.320498,0.195,9.632,7.22,
06/30/2002,1000.0,1000.0,1000.0,,3.3198,0.475,0.33,0.33,0.36,0.33,0.33,0.36,0.0,0.8542,0.228,10.264,7.852,
09/30/2002,1003.299988,1002.0,1000.0,,3.5639,0.38,0.33,0.33,0.36,0.33,0.33,0.36,0.0,1.0823,0.232034,11.123592,8.720024,
12/31/2002,1003.900024,1005.299988,1000.400024,,4.151439,-1.445922,-0.79,-0.79,-0.92,-0.79,-0.79,-0.92,0.0,0.734106,0.091842,10.097918,7.695787,
03/31/2003,1006.200012,1007.599976,1002.5,,3.594015,0.457855,0.34,0.34,0.34,0.34,0.34,0.34,0.06,0.890474,0.149175,10.495627,8.098986,
06/30/2003,1006.799988,1007.700012,1002.299988,,3.740098,0.639529,0.44,0.44,0.43,0.44,0.44,0.43,0.06,0.936546,0.207688,11.239372,8.844159,
09/30/2003,1009.0,1007.599976,1002.099976,,3.737651,0.597545,0.43,0.43,0.44,0.42,0.42,0.44,0.08,1.052091,0.207136,11.369971,8.97998,
12/31/2003,1005.5,1006.5,1001.0,,4.037962,0.696304,0.49,0.49,0.46,0.49,0.49,0.46,0.08,0.946753,0.350174,11.921133,9.522824,
