Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2000,4076,217,217,0.0,1588,,,736,,232.0,504.0,0.0,222,,,2763,727,1481.0,-754.0,0.0,586,267,,,319,1313,,383,383,,0,,,,,1150,,1150,1533,0,,,,747,,,747,747,2280,0.0,1844,,,,-48,1796,0.0,1796,4076,
09/30/2000,5037,271,271,0.0,1758,,,639,,167.0,472.0,0.0,694,,,3362,966,1745.0,-779.0,0.0,709,204,204.0,0.0,505,1675,,763,763,,80,,,,,1746,,1746,2589,713,,,,971,,,971,1684,4273,0.0,828,,0.0,,-64,764,0.0,764,5037,
12/31/2000,5271,560,560,0.0,1647,,,688,,212.0,476.0,0.0,649,,,3544,1013,,,0.0,714,200,200.0,0.0,514,1727,,744,744,,14,,,,,1673,,1673,2431,700,,,,913,,,913,1613,4044,375.0,868,,0.0,,-16,1227,0.0,1227,5271,
03/31/2001,4954,312,312,0.0,1444,,,747,,220.0,527.0,0.0,678,,,3181,1035,,,0.0,738,282,282.0,0.0,456,1773,,569,569,,23,,,,,1500,,1500,2092,700,,,,1014,,,1014,1714,3806,381.0,881,,0.0,,-114,1148,0.0,1148,4954,
06/30/2001,4716,243,243,0.0,1203,,,685,,213.0,472.0,0.0,825,,,2956,961,,,0.0,799,277,277.0,0.0,522,1760,,485,485,,15,,,,,1366,,1366,1866,638,,,,1021,,,1021,1659,3525,388.0,895,,0.0,,-92,1191,0.0,1191,4716,
09/30/2001,4648,250,250,0.0,1185,,,649,0.0,0.229,0.42,0.0,685,,,2769,988,1793.0,-805.0,0.0,891,255,255.0,0.0,636,1879,,624,624,,145,,,,,1249,,1249,2018,500,,,,1254,,,1254,1754,3772,395.0,908,,-2.0,,-425,876,0.0,876,4648,
12/31/2001,4421,252,252,0.0,906,,,627,,207.0,420.0,0.0,718,,,2503,965,,,0.0,953,243,174.0,69.0,710,1918,,447,447,,276,,,,,1106,,1106,1829,500,,,,1238,,,1238,1738,3567,402.0,919,,-2.0,,-465,854,0.0,854,4421,
03/31/2002,4656,559,559,0.0,975,,,586,0.0,186.0,400.0,0.0,639,,,2759,932,,,0.0,965,232,172.0,60.0,733,1897,,403,403,,23,,,,,1101,,1101,1527,902,,,,1229,,,1229,2131,3658,0.0,1671,,,,-673,998,0.0,998,4656,
06/30/2002,4472,406,406,0.0,1116,,,527,,141.0,386.0,0.0,470,,,2519,941,,,0.0,1012,240,187.0,53.0,772,1953,,375,375,,0,0.0,0.0,0.0,,1014,,1014,1389,914,914.0,0.0,0.0,1154,,,1154,2068,3457,0.0,1688,,-3.0,,-670,1015,0.0,1015,4472,
09/30/2002,3897,597,597,0.0,876,876.0,,467,0.0,120.0,347.0,0.0,363,,,2303,887,1698.0,-811.0,0.0,707,144,144.0,0.0,563,1594,,374,374,,0,0.0,0.0,0.0,,950,,950,1324,933,933.0,0.0,0.0,1640,,,1640,2573,3897,0.0,1697,,-3.0,-1182.0,-512,0,0.0,0,3897,
12/31/2002,3660,651,651,0.0,750,,,432,,108.0,324.0,0.0,371,,,2204,866,,,0.0,590,145,145.0,0.0,445,1456,,290,290,,0,0.0,0.0,0.0,,909,,909,1199,934,934.0,0.0,0.0,1609,,,1609,2543,3742,0.0,1712,,-4.0,,-1790,-82,0.0,-82,3660,
03/31/2003,3686,724,724,0.0,726,,,412,0.0,110.0,302.0,0.0,382,,,2244,840,,,0.0,602,144,144.0,0.0,458,1442,,380,380,,0,0.0,0.0,0.0,,860,,860,1240,886,886.0,0.0,0.0,1610,,,1610,2496,3736,0.0,1778,,,,-1828,-50,0.0,-50,3686,
06/30/2003,3750,843,843,0.0,703,,,394,,96.0,298.0,0.0,372,,,2312,823,,,0.0,615,146,146.0,0.0,469,1438,,346,346,,0,0.0,0.0,0.0,,822,,822,1168,993,993.0,0.0,0.0,1588,,,1588,2581,3749,0.0,1790,,-4.0,-1336.0,-449,1,0.0,1,3750,
09/30/2003,4057,1192,1192,0.0,710,,,406,0.0,106.0,300.0,0.0,261,,,2569,783,1672.0,-889.0,0.0,705,146,146.0,0.0,559,1488,,359,359,,0,0.0,0.0,0.0,,809,,809,1168,953,953.0,0.0,0.0,1736,,,1736,2689,3857,0.0,2155,,-4.0,-1270.0,-681,200,0.0,200,4057,
12/31/2003,4101,1044,1044,0.0,627,,,295,,74.0,221.0,0.0,477,,,2443,609,,,0.0,1049,213,213.0,0.0,836,1658,,320,320,,289,289.0,0.0,0.0,,830,,830,1439,665,665.0,0.0,0.0,1745,,,1745,2410,3849,0.0,2168,,-26.0,-1260.0,-630,252,0.0,252,4101,
03/31/2004,4088,1516,1516,0.0,619,,,265,0.0,54.0,211.0,0.0,234,,,2634,578,,,0.0,876,234,234.0,0.0,642,1454,,313,313,,292,292.0,0.0,0.0,,755,,755,1360,437,437.0,0.0,0.0,1610,,,1610,2047,3407,0.0,2465,,-27.0,-1135.0,-622,681,0.0,681,4088,
06/30/2004,3993,1523,1523,0.0,617,,,227,0.0,44.0,183.0,0.0,225,,,2592,577,,,0.0,824,247,247.0,0.0,577,1401,,347,347,,295,295.0,0.0,0.0,,745,,745,1387,289,289.0,0.0,0.0,1459,,,1459,1748,3135,0.0,2570,,0.0,-1074.0,-638,858,0.0,858,3993,
