Date,Total Interest Income,Total Interest Expense,Net Interest Income,Trading Account Profit,Commissions & Fees Earned,Other Operating Income,Net Revenue,Provisions for Loan Losses,Net Revenue After Provisions,Non-Interest Expense,Operating Income or Losses,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,674.014977,-375.264008,298.750969,-0.125,106.254997,31.754,436.634966,-52.116001,384.518965,-255.964996,128.554001,10.674,139.228001,-37.41,101.818001,,,101.818001,-0.687,,101.131001,,,101.131001,,0.382488,0.382488,264.193188,0.382488,0.382488,0.382488,264.193188,
06/30/1990,685.589966,-390.841003,294.748962,0.67,122.061996,34.007,451.487959,-61.201,390.286959,-268.477997,121.808998,12.488,134.296998,-30.333,103.963997,,,103.963997,-0.685,,103.278997,,,103.278998,,0.382488,0.382488,269.62316,0.382488,0.382488,0.382488,269.62316,
09/30/1990,704.12101,-392.285004,311.836006,-0.584,140.184006,30.530001,481.966013,-76.167999,405.798013,-275.226013,130.572006,14.925,145.497006,-36.429001,109.068001,,,109.068001,-0.677,,108.391001,,,108.391006,,0.371559,0.371559,289.593489,0.371559,0.371559,0.371559,289.593489,
12/31/1990,737.826019,-402.256012,335.570007,-1.35,158.839005,35.962002,529.021014,-110.847,418.174014,-303.001007,115.172997,9.066,124.238997,-15.716,108.523003,,,108.523003,-0.668,,107.855003,,,107.854997,0.371559,0.371559,0.371559,290.32187,0.371559,0.371559,0.371559,290.32187,
03/31/1991,834.221024,-413.29599,420.925034,-0.792,138.557007,36.150002,594.840042,-98.972,495.868042,-333.944,161.923996,12.891,174.814996,-45.264999,129.550003,,,129.550003,-0.658,,128.892003,,,128.891996,,0.366095,0.366095,349.599617,0.366095,0.366095,0.366095,349.599617,
06/30/1991,802.205978,-393.713989,408.491989,0.966,148.320007,40.846001,598.623997,-89.151001,509.472996,-348.877014,160.595993,24.278999,184.874992,-45.632,139.242996,,,139.242996,-4.527,,134.715996,,,134.715992,,0.382488,0.382488,350.295073,0.382488,0.382488,0.382488,350.295073,
09/30/1991,843.220978,-399.528015,443.692963,0.699,159.996002,46.473,650.860964,-94.644997,556.215968,-385.949005,170.266998,19.841999,190.108997,-49.705002,140.404007,,,140.404007,-4.94,,135.464007,,,135.463995,,0.377023,0.377023,361.198972,0.377023,0.377023,0.377023,361.198972,
12/31/1991,1825.715942,-887.051025,938.664917,0.741,307.571014,102.232002,1349.208933,-219.960999,1129.247934,-893.752991,235.494995,0.0,235.494995,-52.808998,182.686005,,,182.686005,-4.935,,177.751005,,,177.750997,0.480841,0.480841,0.480841,370.252947,0.480841,0.480841,0.480841,370.252947,
03/31/1992,1559.209961,-609.190979,950.018982,14.342,263.755005,70.971001,1299.086987,-225.153,1073.933988,-794.820984,279.113007,0.0,279.113007,-96.763,182.350006,0.0,0.0,182.350006,-4.864,,177.486006,,,177.486006,,0.396694,0.398197,445.38752,0.396694,0.396694,0.398197,445.38752,
06/30/1992,1469.517029,-538.138977,931.378052,6.614,263.36499,85.136002,1286.493043,-122.547997,1163.945047,-809.250977,354.694,0.0,354.694,-111.792,242.901993,0.0,0.0,242.901993,-4.777,,238.124993,,,238.125,,0.52592,0.52592,451.473856,0.52592,0.52592,0.52592,451.473856,
