Date,Revenue,Sales & Services Revenue,Other Revenue,Other Operating Income,Operating Expenses,Selling & Marketing,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1998,17.829,,,,-13.319,,,,,4.51,-0.536,,0.493,,0.0,,0.043,3.974,-0.467,3.507,0.0,,,3.507,-2.807,0.7,0.0,,0.7,0.7,,14.509501,0.046667,0.046667,0.046667,15.5205,0.046667,0.046667,0.046667,
06/30/1998,20.120001,,,,-14.791,,,,,5.329,-6.051,,0.63,,0.0,,5.421,-0.722,1.227,0.505,0.0,,,0.505,-3.155,-2.65,0.0,,-2.65,-2.65,,15.9345,-0.166667,-0.166667,0.053333,15.9345,-0.166667,-0.166667,0.053333,
09/30/1998,20.125999,,,,-14.463,,,,,5.663,-0.173,,0.173,,0.0,,0.0,5.49,-0.792,4.698,0.0,,,4.698,-3.51,1.188,0.0,,1.188,1.188,,21.453,0.053333,0.053333,0.053333,21.988501,0.053333,0.053333,0.053333,
12/31/1998,22.247,,,,-15.335,,,,,6.912,-0.201,,0.328,,0.0,,-0.127,6.711,-1.015,5.696,0.0,,,5.696,-4.173,1.523,0.0,,1.523,1.523,,21.477,0.073333,0.073333,0.073333,22.013999,0.066667,0.066667,0.066667,
03/31/1999,23.393999,,,,-16.408001,,,,,6.986,-0.233,,,,0.0,,0.233,6.753,-0.98,5.773,0.126,,,5.647,-4.208,1.439,0.0,,1.439,1.439,,21.4845,0.066667,0.073333,0.073333,22.0785,0.066667,0.073333,0.073333,
06/30/1999,24.677,,,,-16.747,,,,,7.93,-0.169,,,,0.0,,0.169,7.761,-1.086,6.675,0.0,,,6.675,-4.942,1.733,0.0,0.0,1.733,1.733,,21.5385,0.08,0.08,0.08,22.05,0.08,0.08,0.08,
09/30/1999,25.386,,,,-17.367001,,,,,8.019,-0.232,,,,0.0,,0.232,7.787,-1.121,6.666,0.0,,,6.666,-4.874,1.792,0.0,0.0,1.792,1.792,,21.751501,0.08,0.08,0.08,22.266,0.08,0.08,0.08,
12/31/1999,27.988285,,,,-18.930958,,,,,9.057327,-0.463028,,,,,,0.463028,8.594299,-1.227585,7.366714,-0.000267,,,7.366981,-5.405702,1.961279,,0.0,1.961279,1.961279,,21.800202,0.089966,0.089954,0.089954,22.272835,0.088057,0.088057,0.088057,
03/31/2000,31.632999,,,,-21.474001,,,,,10.159,-0.711,,,,0.0,,0.711,9.448,-1.267,8.181,0.0,,,8.181,-6.158,2.023,0.0,0.0,2.023,2.023,,21.8205,0.093333,0.093333,0.093333,22.300499,0.093333,0.093333,0.093333,
06/30/2000,34.59,,,,-23.106001,,,,,11.484,-0.914,,,,0.0,,0.914,10.57,-1.38,9.19,0.0,,,9.19,-6.985,2.205,0.0,0.0,2.205,2.205,,21.8415,0.1,0.1,0.1,22.284,0.1,0.1,0.1,
