Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Funds From Operations - Basic,Funds From Operations - Diluted,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/1994,17.238566,17.235245,17.235245,,1.072744,0.750439,0.82633,0.298116,0.298116,0.298116,0.298116,0.298116,0.298116,0.216812,0.481513,,0.505894,0.505894,0.027961,11.307147,,
06/30/1994,17.239673,17.238566,17.238566,,1.150096,0.832204,0.918812,0.30715,0.30715,0.30715,0.30715,0.30715,0.30715,0.216812,0.554222,,0.542029,0.542029,0.023028,11.180142,,
09/30/1994,17.794257,17.709021,17.709021,,1.188152,0.862216,0.943587,0.298116,0.298116,0.298116,0.298116,0.298116,0.298116,0.216812,0.600937,,0.542029,0.542029,0.005226,11.559347,,
12/31/1994,17.797576,17.79647,17.79647,,1.270926,0.934062,1.01065,0.30715,0.316183,0.316183,0.30715,0.316183,0.316183,0.216812,0.596579,,0.578164,0.578164,0.051636,11.434591,,
03/31/1995,20.985599,20.205198,20.205198,,1.250421,0.923376,1.00103,0.30715,0.316183,0.316183,0.30715,0.316183,0.316183,0.243913,0.437858,,0.596232,0.596232,0.177979,13.155259,,
06/30/1995,20.991133,20.987812,20.987812,,1.253728,0.937592,1.018877,0.180676,0.334251,0.334251,0.180676,0.334251,0.334251,0.243913,0.694308,,0.587198,0.587198,0.042494,12.850617,,
09/30/1995,20.993348,20.992242,20.992242,,1.297575,0.953971,1.029428,0.343285,0.343285,0.343285,0.343285,0.343285,0.343285,0.243913,0.798533,,0.596232,0.596232,0.000572,12.703262,,
12/31/1995,20.997775,20.995561,20.995561,,1.380673,1.018072,1.090421,0.334251,0.334251,0.334251,0.334251,0.334251,0.334251,0.243913,0.421851,,0.632367,0.632367,0.000571,12.324448,,
03/31/1996,23.894851,21.812492,21.812492,,1.40447,1.029318,1.108722,0.352319,0.352319,0.352319,0.352319,0.352319,0.352319,0.271014,0.644585,-0.42604,0.668502,0.668502,0.786529,13.766271,,
06/30/1996,23.902418,23.900204,23.900204,,1.334884,0.997983,1.08179,0.397488,0.397488,0.397488,0.397488,0.397488,0.397488,0.271014,0.667986,-0.011088,0.695604,0.695604,0.215167,13.627031,,
09/30/1996,23.940805,23.931198,23.931198,,1.443054,1.057406,1.152512,0.388454,0.388454,0.388454,0.388454,0.388454,0.388454,0.271014,0.96347,-3.91443,0.713671,0.713671,0.022681,13.471895,,
12/31/1996,24.001951,23.956659,23.956659,,1.4123,1.009114,1.110297,0.370386,0.370386,0.370386,0.370386,0.370386,0.370386,0.271014,0.949131,-0.275998,0.68657,0.68657,0.000542,13.315,,
