Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Real Estate Investments,Other Investments,Net Receivables,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,34948,7176,,,,,,0.0,,7273.0,,,,,,,,19434,-113.0,19321,,,,,,,0.0,20499,,0.0,16793.0,,,,,9359,,,,,,,,,6893,33045,0.0,255.0,,,0.0,,1648.0,1903,0,1903,34948,
06/30/1990,40751,8826,,,,,,0.0,,10146.0,,,,,,,,19597,-114.0,19483,,,,,,,0.0,21779,,0.0,21351.0,,,,,9698,,,,,,,,,7704,38753,0.0,256.0,,,0.0,,1742.0,1998,0,1998,40751,
09/30/1990,38424,5897,,,,,,0.0,,9849.0,,,,,,,,20137,-110.0,20027,,,,,,,0.0,22678,,0.0,17386.0,,,,,10599,,,,,,,,,8342,36327,0.0,256.0,,,0.0,,1841.0,2097,0,2097,38424,
12/31/1990,40579,4859,,,,,,0.0,,11262.0,,,,,,,,20020,-125.0,19895,,,,,,,0.0,24458,,0.0,19959.0,,,,,10982,,,,,,,,,7502,38443,0.0,257.0,,,0.0,,1879.0,2136,0,2136,40579,
03/31/1991,42227,7064,,,,,,0.0,,8813.0,,,,,,,,22916,-127.0,22789,,,,,,,0.0,26350,,0.0,20424.0,,,,,11001,,,,,,,,,8569,39994,0.0,257.0,,,0.0,,1976.0,2233,0,2233,42227,
06/30/1991,42701,8198,,,,,,0.0,,7648.0,,,,,,,,23338,-128.0,23210,,,,,,,0.0,26855,,0.0,16986.0,,,,,11850,,,,,,,,,11532,40368,0.0,254.0,,,0.0,,2079.0,2333,0,2333,42701,
09/30/1991,43762,7859,,,,,,0.0,,6524.0,,,,,,,,23652,-128.0,23524,,,,,,,0.0,29379,,0.0,18426.0,,,,,13075,,,,,,,,,9809,41310,0.0,254.0,,,0.0,,2198.0,2452,0,2452,43762,
12/31/1991,46860,7987,,,,,,0.0,,5716.0,,,,,,,,21967,-130.0,21837,,,,,,,0.0,33157,,0.0,17839.0,,,,,12423,,,,,,,,,14032,44294,0.0,257.0,,,-5.0,,2314.0,2566,0,2566,46860,
03/31/1992,50420,10521,,,,,,0.0,,4452.0,,,,,,,,28592,-139.0,28453,,,,,,,0.0,35447,,0.0,12764.0,,,,,12390,,,,,,,,,22592,47746,0.0,253.0,,,,,2421.0,2674,0,2674,50420,
06/30/1992,54817,12690,,,,,,0.0,,6608.0,,,,,,,,28486,-130.0,28356,,,,,,,0.0,35519,,0.0,18910.0,,,,,13570,,,,,,,,,18997,51477,562.0,234.0,,,,,2544.0,3340,0,3340,54817,
09/30/1992,62739,14723,,,,,,0.0,,6231.0,,,,,,,,31657,-122.0,31535,,,,,,,0.0,41785,,0.0,21085.0,,,,,15665,,,,,,,,,22531,59281,562.0,236.0,,,,,2660.0,3458,0,3458,62739,
12/31/1992,59502,6453,,,,,,0.0,,9562.0,,,,,,,,26529,-106.0,26423,,,,,,,,43487,,0.0,12854.0,,,,,16777,,,,,,,,,26301,55932,562.0,241.0,,,-2.0,,2769.0,3570,0,3570,59502,
03/31/1993,62569,11293,,,,,,0.0,,8298.0,,,,,,,,35556,-142.0,35414,,,,,,,0.0,42978,,0.0,20513.0,,,,,20670,,,,,,,,,17668,58851,562.0,236.0,,,,,2920.0,3718,0,3718,62569,
06/30/1993,66864,10141,,,,,,0.0,,6786.0,,,,,,,,42721,-165.0,42556,,,,,,,0.0,49937,,0.0,13162.0,,,,,22410,,,,,,,,,27435,63007,562.0,246.0,,,,,3049.0,3857,0,3857,66864,
09/30/1993,82505,10906,,,,,,0.0,,10587.0,,,,,,,,47241,-181.0,47060,,,,,,,0.0,61012,,0.0,25907.0,,,,,26795,,,,,,,,,25516,78218,862.0,229.0,,,,,3196.0,4287,0,4287,82505,
12/31/1993,83880,3216,,,,,,0.0,,9249.0,,,,,,,,49338,-206.0,49132,,,,,,,,71415,,0.0,17999.0,,,,,31994,,,,,,,,,29450,79443,862.0,201.0,,,-5.0,,3344.0,4402,0,4402,83845,
03/31/1994,85286,9884,,,,,,0.0,,3881.0,,,,,,,,58914,-222.0,58692,0.0,,,,,,0.0,71521,,0.0,25093.0,,,,,37815,,,,,,,,,17772,80680,862.0,230.0,,,,,3514.0,4606,0,4606,85286,
06/30/1994,89696,8162,,,,,,0.0,,3631.0,,,,,,,,62439,-236.0,62203,0.0,,,,,,0.0,77903,,0.0,32526.0,,,,,40814,,,,,,,,,11551,84891,862.0,243.0,,,,,3700.0,4805,0,4805,89696,
09/30/1994,97707,11688,,,,,,0.0,,2999.0,,,,,,,,66541,-243.0,66298,0.0,,,,,,0.0,83020,,0.0,39388.0,,,,,44559,,,,,,,,,8781,92728,862.0,231.0,,,,,3886.0,4979,0,4979,97707,
12/31/1994,106199,11442,,,,,,0.0,,9033.0,,,,,,,,72185,-290.0,71895,,,,,,,,85724,,0.0,47307.0,,,,,45972,,,,,,,,,7758,101037,862.0,238.0,,,-5.0,,4067.0,5162,0,5162,106199,
03/31/1995,113625,17158,,,,,,0.0,,3467.0,,,,,,,,77615,-292.0,77323,,,,,,,0.0,93000,,0.0,51093.0,,,,,50580,,,,,,,,,6601,108274,862.0,227.0,,,,,4262.0,5351,0,5351,113625,
06/30/1995,123274,15134,,,,,,0.0,,3897.0,,,,,,,,85745,-287.0,85458,,,,,,,0.0,104243,,0.0,55040.0,,,,,53444,,,,,,,,,9247,117731,862.0,226.0,,,,,4455.0,5543,0,5543,123274,
09/30/1995,128653,8252,,,,,,0.0,,4041.0,,,,,,,,95169,-294.0,94875,,,,,,,0.0,116360,,0.0,53189.0,,,,,67711,,,,,,,,,2050,122950,862.0,178.0,,,,,4663.0,5703,0,5703,128653,
12/31/1995,137181,7483,,,,,,0.0,,7525.0,,,,,,,,107706,-295.0,107411,,,,,,,,122173,,0.0,62141.0,,,,,57820,,,,,,,,,11357,131318,862.5,306.5,,,-157.0,,4851.0,5863,0,5863,137181,
03/31/1996,143792,5423,,,,,,0.0,,7979.0,,,,,,,,117644,-303.0,117341,,,,,,,0.0,130390,,0.0,67053.0,,,,,57225,,,,,,,,,13502,137780,862.5,,,,,,5149.5,6012,0,6012,143792,
06/30/1996,160750,9756,,,,,,0.0,,10032.0,,,,,,,,123929,-314.0,123615,,,,,,,0.0,140962,,0.0,77073.0,,,,,66290,,,,,,,,,10980,154343,1112.5,,,,,,5294.5,6407,0,6407,160750,
09/30/1996,162984,7911,,,,,,0.0,,9716.0,,,,,,,,129518,-322.0,129196,,,,,,,0.0,145357,,0.0,74220.0,,,,,72734,,,,,,,,,9530,156484,1112.5,,,,,,5387.5,6500,0,6500,162984,
12/31/1996,173866,9141,,,,,,0.0,,8369.0,,,,,,,,137826,-306.0,137520,,,,,,,,156356,,0.0,80105.0,,,,,76876,,,,,,,,,10154,167135,1400.0,227.0,,,-688.0,,5792.0,6731,0,6731,173866,
03/31/1997,174442,7665,,,,,,0.0,,5154.0,,,,,,,,144672,-305.0,144367,,,,,,,0.0,161623,,0.0,68262.0,,,,,89291,,,,,,,,,10078,167631,1400.0,,,,,,5411.0,6811,0,6811,174442,
06/30/1997,184003,367,,,,,,0.0,,6255.0,,,,,,,,149397,-305.0,149092,,,,,,,0.0,177381,,0.0,75897.0,,,,,89873,,,,,,,,,10726,176496,2000.0,,,,,,5507.0,7507,0,7507,184003,
09/30/1997,184275,186,,,,,,0.0,,7991.0,,,,,,,,157263,-291.0,156972,,,,,,,0.0,176098,,0.0,74420.0,,,,,89440,,,,,,,,,13267,177127,1437.0,,,,,,5711.0,7148,0,7148,184275,
12/31/1997,194597,438,,,,,,0.0,,6989.0,,,,,,,,164543,-293.0,164250,0.0,,,,,,,187170,,0.0,85128.0,,,,,87714,,,,,,,,,14234,187076,1587.0,203.0,,,-1245.0,,6976.0,7521,0,7521,194597,
03/31/1998,226571,557,,,,,,0.0,,6940.0,,,,,,,,186357,-304.0,186053,0.0,,,,,,0.0,219074,,0.0,111911.0,,,,,85071,,,,,,,,,21385,218367,1987.0,,,,,,6217.0,8204,0,8204,226571,
06/30/1998,229991,287,,,,,,0.0,,9633.0,,,,,,,,197126,-302.0,196824,0.0,,,,,,0.0,220071,,0.0,111451.0,,,,,92482,,,,,,,,,17645,221578,1987.0,,,,,,6426.0,8413,0,8413,229991,
09/30/1998,263256,1286,,,,,,0.0,,12271.0,,,,,,,,216946,-299.0,216647,0.0,,,,,,0.0,249699,,0.0,148413.0,,,,,88134,,,,,,,,,17421,253968,2607.0,,,,,,6681.0,9288,0,9288,263256,
12/31/1998,321421,2565,,,,,,0.0,,14580.0,,,,,,,,255670,-322.0,255348,0.0,,,,,,0.0,304276,,0.0,193871.0,,,,,93525,,,,,,,,,23190,310586,2807.0,646.0,,,-821.0,,8203.0,10835,0,10835,321421,
03/31/1999,327766,2168,,,,,,0.0,,16562.0,,,,,,,,277931,-324.0,277607,0.0,,,,,,0.0,309036,,0.0,176653.0,,,,,122543,,,,,,,,,17684,316880,2657.0,638.0,,,-810.0,,8401.0,10886,0,10886,327766,
06/30/1999,341540,1214,,,,,,0.0,,14846.0,,,,,,,,298223,-346.0,297877,0.0,,,,,,0.0,325480,,0.0,165941.0,,,,,148471,,,,,,,,,16573,330985,2657.0,633.0,,,-800.0,,8065.0,10555,0,10555,341540,
09/30/1999,364885,1992,,,,,,0.0,,18643.0,,,,,,,,314859,-345.0,314514,0.0,,,,,,0.0,344250,,0.0,173556.0,,,,,167590,,,,,,,,,12599,353745,2907.0,633.0,,,-782.0,,8382.0,11140,0,11140,364885,
12/31/1999,386684,5144,,,,,,0.0,,18635.0,,,,,,,,322914,-345.0,322569,0.0,,,,,,0.0,362905,,0.0,175525.0,,,,,185186,,,,,,,,,14448,375159,3195.0,626.0,,,-866.0,,8570.0,11525,0,11525,386684,
03/31/2000,406068,31,,,,,,0.0,,20492.0,,,,,,,,334009,-339.0,333670,0.0,,,,,,0.0,385545,,0.0,181323.0,,,,,196751,,,,,,,,,16102,394176,3195.0,615.0,,,-852.0,,8934.0,11892,0,11892,406068,
06/30/2000,412701,518,,,,,,0.0,,22412.0,,,,,,,,348255,-335.0,347920,0.0,,,,,,0.0,389771,,0.0,177775.0,,,,,206511,,,,,,,,,16167,400453,3195.0,589.0,,,-1063.0,,9527.0,12248,0,12248,412701,
09/30/2000,433346,224,,,,,,0.0,,22107.0,,,,,,,,359638,-334.0,359304,0.0,,,,,,0.0,411015,,0.0,180652.0,,,,,226284,,,,,,,,,13218,420154,3195.0,590.0,,,-1048.0,,10455.0,13192,0,13192,433346,
12/31/2000,459297,366,,,,,,0.0,,21102.0,,,,,,,,385451,-334.0,385117,0.0,,,,,,0.0,437829,,0.0,183576.0,,,,,243323,,,,,,,,,17561,444460,3195.0,581.0,,,-1024.0,,12085.0,14837,0,14837,459297,
03/31/2001,508776,608,,,,,,0.0,,,,,,,,,,431005,,431005,0.0,,,,,,0.0,508168,,0.0,195735.0,,,,,267116,,,,,,,,,22342,485193,3922.0,567.0,,,-998.0,,17000.0,20491,2865,23356,508549,
06/30/2001,550889,973,,,,,,0.0,,,,,,,,,,452831,,452831,0.0,,,,,,0.0,549916,,0.0,223509.0,,,,,278019,,,,,,,,,25380,526908,4296.0,564.0,,,-991.0,,17112.0,20981,2784,23765,550673,
09/30/2001,593140,583,,,,,,0.0,,,,,,,,,,485157,,485157,0.0,,,,,,0.0,592557,,0.0,244639.0,,,,,297956,,,,,,,,,21454,564049,4296.0,564.0,,,-955.0,,22203.0,26108,2702,28810,592859,
12/31/2001,641100,3464,,,,,,0.0,,8714.0,,,,,,,,503769,-103.0,503666,0.0,,,,,,0.0,628922,,0.0,264227.0,,,,,314141,,,,,,,,,40489,618857,4596.0,823.0,,,-948.0,15710.0,-557.0,19624,2619,22243,641100,
03/31/2002,672126,2054,,,,,,0.0,,,,,,,,,,539993,,539993,0.0,,,,,,0.0,670072,,0.0,251051.0,,,,,369094,,,,,,,,,25468,645613,4609.0,693.0,,,-934.0,,19612.0,23980,2533,26513,672126,
06/30/2002,674341,3534,,,,,,0.0,,,,,,,,,,541368,,541368,0.0,,,,,,0.0,670807,,0.0,222004.0,,,,,397108,,,,,,,,,25599,644711,4609.0,690.0,,,-956.0,,22832.0,27175,2455,29630,674341,
09/30/2002,719371,7116,,,,,,0.0,,,,,,,,,,555910,,555910,0.0,,,,,,0.0,712255,,0.0,222178.0,,,,,418137,,,,,,,,,40738,681053,4609.0,717.0,,,-1101.0,,31693.0,35918,2400,38318,719371,
12/31/2002,752249,10792,,,,,,0.0,,10611.0,,,,,,,,57483,-177.0,57306,0.0,,,,,,0.0,730846,,0.0,244429.0,,,,,421267,,,,,,,,,52914,718610,4609.0,896.0,,,-1470.0,24955.0,2340.0,31330,2309,33639,752249,
12/31/2003,803449,23142,,,,,,0.0,,8373.0,,,,,,,,57804,-174.0,57630,0.0,,,,,,0.0,771934,,0.0,295262.0,,,,,444351,,,,,,,,,30420,770033,4609.0,966.0,,,-1427.0,28912.0,-1573.0,31487,1929,33416,803449,
12/31/2004,795284,35253,,,,,,0.0,,7286.0,,,,,,,,58852,-114.0,58738,0.0,,,,,,0.0,752745,,0.0,282303.0,,,,,449394,,,,,,,,,30662,762359,4609.0,1025.0,,,-1353.0,30728.0,-3593.0,31416,1509,32925,795284,
03/31/2005,775661,19745,,,,,,0.0,,6820.0,,,,,,,,59652,-113.0,59539,0.0,,,,,,0.0,749096,,0.0,289518.0,,,,,428174,,,,,,,,,28479,746171,4609.0,1043.0,,,-1343.0,31309.0,-7527.0,28091,1399,29490,775661,
06/30/2005,779995,9236,,,,,,0.0,,6978.0,,,,,,,,59010,-107.0,58903,0.0,,,,,,0.0,763781,,0.0,286789.0,,,,,429213,,,,,,,,,30739,746741,4609.0,1062.0,,,-1303.0,31773.0,-4178.0,31963,1291,33254,779995,
09/30/2005,782200,10400,,,,,,0.0,,,,,,,,,,61100,,61100,0.0,,,,,,0.0,771800,,0.0,,,,,,723000,,,,,,,,,30300,753300,4600.0,1070.0,,,,,22030.0,27700,1200,28900,782200,
12/31/2005,806222,10468,,,,,,0.0,,6373.0,,,,,,,,60128,-119.0,60009,0.0,,,,,,0.0,789381,,0.0,288532.0,,,,,460260,,,,,,,,,29290,778082,4609.0,1076.0,,,-1280.0,31559.0,-8773.0,27191,949,28140,806222,
12/31/2006,804910,11359,,,,,,0.0,,5073.0,,,,,,,,63766,-69.0,63697,0.0,,,,,,,788478,,0.0,403143.0,,,,,341198,,,,,,,,,33139,777480,6109.0,1114.0,,,-3230.0,31372.0,-8451.0,26914,516,27430,804910,
09/30/2007,792873,12227,,,0.0,,,0.0,,6774.0,,,,,,,,71930,-250.0,71680,0.0,,,,,,,773872,,,261127.0,,,,,474135,,,,,,,,,31510,766772,8109.0,1113.0,,,-4186.0,29607.0,-8823.0,25820,281,26101,792873,
12/31/2007,794368,8574,,,,,,0.0,,5003.0,,,,,,,,76603,-256.0,76347,0.0,,,,,,,780791,,0.0,393183.0,,,,,345374,,,,,,,,,28911,767468,14109.0,1023.0,,,-4174.0,26909.0,-11143.0,26724,176,26900,794368,
03/31/2008,802992,8346,17232.0,,648312.0,,,0.0,,5265.0,,,,,,,,86817,-356.0,86461,0.0,,,,,,,141069,,0.0,290540.0,,,,,469229,,,,,,,,,27066,786835,14109.0,1009.0,,,-4143.0,27345.0,-22296.0,16024,133,16157,802992,
