Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1995,8.226,,,-1.229,,,6.997,,-7.821,,,,-0.824,-0.956,,0.995,,0.0,,-0.039,-1.78,0.595,-1.185,0.0,,,-1.185,0.0,-1.185,-0.102,,-1.287,-1.287,,49.116001,-0.0275,-0.0275,-0.0275,49.116001,-0.0275,-0.0275,-0.0275,
06/30/1995,9.338,,,-1.349,,,7.989,,-7.92,,,,0.069,-0.975,,1.021,,0.0,,-0.046,-0.906,0.302,-0.604,0.0,,,-0.604,0.0,-0.604,-0.119,,-0.723,-0.723,,49.096001,-0.015,-0.015,-0.015,49.096001,-0.015,-0.015,-0.015,
09/30/1995,10.523,,,-1.068,,,9.455,,-8.043,,,,1.412,-0.896,,0.978,,0.0,,-0.082,0.516,-0.173,0.343,0.0,,,0.343,0.0,0.343,-0.104,,0.239,0.239,,51.784,0.005,0.005,0.005,51.784,0.005,0.005,0.005,
12/31/1995,11.529,,,-1.257,,,10.272,,-9.569,,,,0.703,-0.906,,0.989,,0.0,,-0.083,-0.203,0.069,-0.134,0.0,,,-0.134,0.0,-0.134,-0.12,,-0.254,-0.254,,51.784,-0.005,-0.005,-0.005,51.784,-0.005,-0.005,-0.005,
03/31/1996,10.733,,,-1.195,,,9.538,,-9.068,,,,0.47,-0.797,,0.888,,0.0,,-0.091,-0.327,0.126,-0.201,0.0,,,-0.201,0.0,-0.201,-0.101,,-0.302,-0.302,,49.827999,-0.0075,-0.0075,-0.0075,52.0,-0.005,-0.005,-0.005,
06/30/1996,11.34,,,-1.54,,,9.8,,-9.148,,,,0.652,-0.717,,0.781,,0.0,,-0.064,-0.065,0.024,-0.041,0.343,,,-0.384,0.0,-0.384,-0.135,,-0.519,-0.519,,54.855999,-0.01,-0.00375,-0.00375,54.855999,-0.01,-0.00375,-0.00375,
09/30/1996,12.661,,,-1.403,,,11.258,,-9.963,,,,1.295,0.406,,0.0,,0.0,,-0.406,1.701,-0.635,1.066,0.0,,,1.066,0.0,1.066,0.0,,1.066,1.066,,66.800003,0.0175,0.0175,0.0175,66.800003,0.0175,0.0175,0.0175,
12/31/1996,12.332,,,-1.25,,,11.082,,-9.825,,,,1.257,0.05,,0.0,,0.0,,-0.05,1.307,-0.484,0.823,0.0,,,0.823,0.0,0.823,0.0,,0.823,0.823,,66.888,0.0125,0.0125,0.0125,66.888,0.0125,0.0125,0.0125,
03/31/1997,12.013,,,-1.191,,,10.822,,-9.924,,,,0.898,0.147,,0.0,,0.0,,-0.147,1.045,-0.386,0.659,0.0,,,0.659,0.0,0.659,0.0,,0.659,0.659,,62.52,0.01,0.01,0.01,66.283997,0.01,0.01,0.01,
06/30/1997,12.557,,,-1.326,,,11.231,,-7.897,,,,3.334,0.274,,0.0,,0.0,,-0.274,3.608,-1.334,2.274,0.0,,,2.274,0.0,2.274,0.0,,2.274,2.274,,62.556,0.0375,0.0375,0.0375,66.540001,0.035,0.035,0.035,
09/30/1997,11.489,,,-1.264,,,10.225,,-7.721,,,,2.504,0.225,,0.0,,0.0,,-0.225,2.729,-1.01,1.719,0.0,,,1.719,0.0,1.719,0.0,,1.719,1.719,,62.972,0.0275,0.0275,0.0275,67.351997,0.025,0.025,0.025,
12/31/1997,14.488,,,-1.417,,,13.071,,-9.076,,,,3.995,0.265,,0.001,,0.0,,-0.266,4.26,-1.512,2.748,0.0,,,2.748,0.0,2.748,0.0,,2.748,2.748,,63.355999,0.0425,0.0425,0.0425,63.355999,0.0425,0.0425,0.0425,
03/31/1998,14.227,,,-1.541,,,12.686,,-8.851,,,,3.835,0.357,,0.0,,0.0,,-0.357,4.192,-1.425,2.767,0.0,,,2.767,0.0,2.767,0.0,,2.767,2.767,,63.683998,0.0425,0.0425,0.0425,66.804001,0.0425,0.0425,0.0425,
06/30/1998,13.562,,,-1.483,,,12.079,,-8.527,,,,3.552,0.508,,0.0,,0.0,,-0.508,4.06,-1.34,2.72,0.0,,,2.72,0.0,2.72,0.0,,2.72,2.72,,63.944,0.0425,0.0425,0.0425,67.171997,0.04,0.04,0.04,
09/30/1998,13.507,,,-1.515,,,11.992,,-8.415,,,,3.577,0.533,,0.0,,0.0,,-0.533,4.11,-1.4,2.71,0.0,,,2.71,0.0,2.71,0.0,,2.71,2.71,,64.32,0.0425,0.0425,0.0425,66.688004,0.04,0.04,0.04,
12/31/1998,15.257,,,-1.526,,,13.731,,-9.489,,,,4.242,0.533,,0.0,,0.0,,-0.533,4.775,-1.623,3.152,0.0,,,3.152,0.0,3.152,0.0,,3.152,3.152,,64.744003,0.05,0.05,0.05,66.912003,0.0475,0.0475,0.0475,
03/31/1999,15.868,,,-1.625,,,14.243,,-9.669,,,,4.574,0.55,,,,0.0,,-0.55,5.124,-1.407,3.717,0.0,,,3.717,0.0,3.717,0.0,,3.717,3.717,,65.084,0.0575,0.0575,0.0575,67.223999,0.055,0.055,0.055,
06/30/1999,15.394,,,-1.649,,,13.745,,-9.862,,,,3.883,0.602,,,,0.0,,-0.602,4.485,-0.942,3.543,0.0,,,3.543,0.0,3.543,0.0,,3.543,3.543,,65.463997,0.055,0.055,0.055,67.220001,0.0525,0.0525,0.0525,
09/30/1999,14.279,,,-1.58,,,12.699,,-8.771,,,,3.928,0.682,,,,0.0,,-0.682,4.61,-1.244,3.366,0.0,,,3.366,0.0,3.366,0.0,,3.366,3.366,,66.015999,0.05,0.05,0.05,67.867996,0.05,0.05,0.05,
12/31/1999,17.598,,,-1.764,,,15.834,,-10.976,,,,4.858,0.792,,,,0.0,,-0.792,5.65,-1.525,4.125,0.0,,,4.125,0.0,4.125,0.0,,4.125,4.125,,65.272004,0.0625,0.0625,0.0625,66.828004,0.0625,0.0625,0.0625,
03/31/2000,17.379999,,,-2.003,,,15.376999,,-10.143,,,,5.234,0.997,,,,0.0,,-0.997,6.231,-1.744,4.487,0.0,,,4.487,0.0,4.487,0.0,0.0,4.487,4.487,,65.012001,0.07,0.07,0.07,67.379997,0.0675,0.0675,0.0675,
06/30/2000,16.253,,,-1.794,,,14.459,,-9.67,,,,4.789,0.895,,,,0.0,,-0.895,5.684,-1.592,4.092,0.0,,,4.092,0.0,4.092,0.0,0.0,4.092,4.092,,63.259998,0.065,0.065,0.065,65.087997,0.0625,0.0625,0.0625,
