Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1997,72.693001,,,-54.327999,,18.365002,,-31.009001,,,,,,-12.644,5.41,,0.984,,0.0,-6.394,-7.234,2.458,-4.776,0.0,,,-4.776,0.0,-4.776,0.0,,-4.776,-4.776,,346.0,-0.0075,-0.0075,-0.0075,346.0,-0.0075,-0.0075,-0.0075,
06/30/1997,228.699997,,,-163.0,,65.699997,,-72.800003,,,,,,-7.1,-0.9,,3.7,,0.0,-2.8,-8.0,2.4,-5.6,0.0,,,-5.6,0.0,-5.6,0.0,,-5.6,-5.6,,351.459991,-0.015,-0.015,0.13225,351.459991,-0.015,-0.015,0.1325,
09/30/1997,188.955002,,,-132.576996,,56.378006,,-36.518002,,,,,,19.860001,-0.218,,4.159,,0.0,-3.941,19.642001,-6.991,12.651,0.0,,,12.651,0.0,12.651,0.0,,12.651,12.651,,423.247986,0.03,0.03,0.035,423.247986,0.03,0.03,0.035,
12/31/1997,206.354996,,,-138.414001,,67.940995,,-10.648,,,,,,57.292999,-38.121,,10.052,,0.0,28.069,19.171999,-6.924,12.248,0.0,,,12.247999,0.0,12.248,0.0,,12.248,12.248,,431.032012,0.03,0.03,0.035,431.032012,0.03,0.03,0.035,
03/31/1998,177.046997,,,-125.811996,,51.235001,,-54.759998,,,,,,-3.525,-6.302,,14.376,,0.0,-8.074,-9.827,3.178,-6.649,0.0,,,-6.649,0.0,-6.649,0.0,,-6.649,-6.649,,413.444,-0.02,-0.02,-0.02,413.444,-0.02,-0.02,-0.02,
06/30/1998,393.700012,,,-261.700012,,132.0,,-139.899994,,,,,,-7.9,-824.999975,,18.9,,0.0,806.099976,-832.899975,24.0,-808.900024,0.0,,,-808.899975,0.0,-808.900024,0.0,,-808.900024,-808.900024,,484.799988,-1.67,-1.67,-0.025,484.799988,-1.67,-1.67,-0.025,
09/30/1998,806.799988,,,-499.799988,,307.0,,-269.299988,,,,,,37.700001,-31.9,,29.0,,0.0,2.9,5.800001,-12.7,-6.9,0.0,,,-6.899999,0.0,-6.9,0.0,,-6.9,-6.9,,661.400024,-0.01,-0.01,-0.01,661.400024,-0.01,-0.01,-0.01,
12/31/1998,865.099976,,,-518.900024,,346.199951,,-279.700012,,,,,,66.5,-79.400002,,35.0,,0.0,44.400002,-12.900002,-8.7,-21.6,0.0,,,-21.600001,0.0,-21.6,0.0,,-21.6,-21.6,,673.0,-0.03,-0.03,0.015,673.0,-0.03,-0.03,0.015,
03/31/1999,878.400024,,,-509.700012,,368.700012,,-309.200012,,,,,,59.5,-34.9,,32.0,,0.0,2.9,24.6,-19.799999,4.8,0.0,,,4.800001,0.0,4.8,0.0,,4.8,4.8,,698.200012,0.005,0.005,0.005,737.200012,0.005,0.005,0.005,
06/30/1999,3227.0,,,-1824.0,,1403.0,,-573.0,,,,,,830.0,-176.0,,163.0,,0.0,13.0,654.0,-248.0,406.0,0.0,,,406.0,0.0,406.0,0.0,,406.0,406.0,,871.0,0.47,0.47,0.47,879.0,0.46,0.46,0.46,
09/30/1999,3296.0,,,-1035.0,,2261.0,,-1389.0,,,,,,872.0,-481.0,,203.0,,0.0,278.0,391.0,-255.0,136.0,0.0,,,136.0,0.0,136.0,0.0,,136.0,136.0,,873.0,0.16,0.16,0.49,880.0,0.15,0.15,0.48,
12/31/1999,3491.0,,,-1048.0,,2443.0,,-1596.0,,,,,,847.0,-624.0,,217.0,,0.0,407.0,223.0,-57.0,166.0,0.0,,,166.0,0.0,166.0,0.0,,166.0,166.0,,873.679993,0.19,0.19,0.12,873.679993,0.19,0.19,0.11,
03/31/2000,3377.0,,,-986.0,,2391.0,,-1469.0,,,,,,922.0,-275.0,,211.0,,0.0,64.0,647.0,-243.0,404.0,0.0,,,404.0,0.0,404.0,0.0,0.0,404.0,404.0,,877.0,0.46,0.46,0.15,889.0,0.45,0.45,0.14,
06/30/2000,3450.0,,,-1891.0,,1559.0,,-600.0,,,,,,959.0,-1152.0,,207.0,,0.0,945.0,-193.0,72.0,-121.0,0.0,,,-121.0,0.0,-121.0,0.0,0.0,-121.0,-121.0,,887.0,-0.14,-0.14,0.05,887.0,-0.14,-0.14,0.05,
09/30/2000,4765.0,,,-1703.0,,3062.0,,-2242.0,,,,,,820.0,-1078.0,,314.0,,0.0,764.0,-258.0,10.0,-248.0,0.0,,,-248.0,0.0,-248.0,0.0,,-248.0,-248.0,,1662.0,-0.15,-0.15,0.14,1662.0,-0.15,-0.15,0.14,
12/31/2000,5018.0,,,-1783.0,,3235.0,,-2361.0,,,,,,874.0,-943.0,,309.0,,0.0,634.0,-69.0,-47.0,-116.0,0.0,,,-116.0,0.0,-116.0,0.0,,-116.0,-116.0,,1670.0,-0.07,-0.07,0.16,1695.0,-0.07,-0.07,0.16,
03/31/2001,4110.0,,,,,,,,,,,,,-267.0,,,,,,,,,-609.0,-148.0,,,,,-461.0,0.0,0.0,-461.0,-461.0,,1656.0,-0.28,-0.37,-0.24,1656.0,-0.28,-0.37,-0.24,
06/30/2001,4070.0,,,,,,,,,,,,,-767.0,,,,,,,,,-3835.0,-124.0,,,,,-3711.0,0.0,0.0,-3711.0,-3711.0,,1661.0,-2.23,-2.31,-0.26,1661.0,-2.23,-2.31,-0.26,
09/30/2001,4212.0,,,,,,,,,,,,,-90.0,,,,,,,,,-474.0,-136.0,,,,,-338.0,0.0,0.0,-338.0,-338.0,,1664.0,-0.2,-0.29,-0.29,1664.0,-0.2,-0.29,-0.29,
12/31/2001,4132.0,,,,,,,,,,,,,-1250.0,,,,,,,,,-1220.0,-127.0,,,,,-645.0,0.0,0.0,-645.0,-645.0,,1665.0,-0.66,-0.73,-0.31,1665.0,-0.66,-0.73,-0.31,
03/31/2002,3983.0,,,-1469.0,,2514.0,,-2563.0,,,,,,-49.0,-1115.0,,424.0,,0.0,691.0,-1164.0,189.0,-975.0,22675.0,,,-23650.0,0.0,-23650.0,0.0,0.0,-23650.0,-23650.0,,1666.641968,-14.19,-0.59,-0.2,1666.641968,-14.19,-0.59,-0.2,
06/30/2002,3911.0,,,-1598.0,,2313.0,,-2598.0,,,,,,-285.0,-20029.0,,450.0,,0.0,19579.0,-20314.0,2856.0,-17458.0,-28.0,,,-17430.0,0.0,-17430.0,0.0,0.0,-17430.0,-17430.0,,1677.796021,-10.39,-10.41,1.24,1677.796021,-10.39,-10.41,1.24,
09/30/2002,3772.0,,,-1452.0,,2320.0,,-2109.0,,,,,,211.0,-583.0,,451.0,,0.0,132.0,-372.0,134.0,-238.0,-115.0,,,-123.0,0.0,-123.0,0.0,0.0,-123.0,-123.0,,1687.744995,-0.07,-0.14,-0.08,1687.744995,-0.07,-0.14,-0.08,
12/31/2002,3705.0,,,-1513.0,,2192.0,,-1796.0,,,,,,396.0,1342.0,,464.0,,0.0,-1806.0,1738.0,-682.0,1056.0,-1682.0,,,2738.0,0.0,2735.0,0.0,0.0,2735.0,2735.0,,1696.0,1.61,0.62,-0.04,1699.0,1.61,0.62,-0.04,
03/31/2003,3624.0,,,-1438.0,,2186.0,,-1990.0,,,,,,196.0,-392.0,,440.0,,0.0,-48.0,-196.0,76.0,-120.0,-272.0,,,152.0,0.0,152.0,0.0,0.0,152.0,152.0,,1706.834961,0.09,-0.07,-0.06,1706.834961,0.09,-0.07,-0.06,
06/30/2003,3596.0,,,-1449.0,,2147.0,,-1953.0,,,,,,194.0,-398.0,,444.0,0.0,0.0,-46.0,-204.0,79.0,-125.0,-61.0,,,-64.0,0.0,-64.0,0.0,0.0,-64.0,-64.0,,1733.921997,-0.04,-0.07,-0.06,1733.921997,-0.04,-0.07,-0.06,
09/30/2003,3570.0,,,-1925.0,,1645.0,,-1901.0,,,,,,-256.0,-686.0,,437.0,,0.0,249.0,-942.0,256.0,-686.0,-2517.0,,,1831.0,0.0,1831.0,0.0,0.0,1831.0,1831.0,,1747.011963,1.05,-0.39,-0.12,1747.011963,1.05,-0.39,-0.12,
12/31/2003,3498.0,,,-1517.0,,1981.0,,-1926.0,,,,,,55.0,-445.0,,436.0,,0.0,9.0,-390.0,108.0,-282.0,125.0,,,-407.0,0.0,-407.0,0.0,0.0,-407.0,-407.0,,1805.880005,-0.23,-0.22,-0.2,1805.880005,-0.23,-0.22,-0.2,
03/31/2004,3481.0,,,-1454.0,,2027.0,,-1916.0,,,,,,111.0,-424.0,,397.0,,0.0,27.0,-313.0,3.0,-310.0,0.0,,,-310.0,0.0,-310.0,0.0,0.0,-310.0,-310.0,,1773.267944,-0.17,-0.17,-0.16,1773.267944,-0.17,-0.17,-0.16,
06/30/2004,3442.0,,,-1487.0,,1955.0,,-2142.0,,,,,,-187.0,-453.0,,394.0,0.0,0.0,59.0,-640.0,-136.0,-776.0,0.0,,,-776.0,0.0,-776.0,0.0,0.0,-776.0,-776.0,,1801.302002,-0.43,-0.43,-0.16,1801.302002,-0.43,-0.43,-0.16,
09/30/2004,3449.0,,,-1548.0,,1901.0,,-2038.0,,,,,,-137.0,-450.0,,374.0,,0.0,76.0,-587.0,18.0,-569.0,0.0,,,-569.0,0.0,-569.0,0.0,0.0,-569.0,-569.0,,1815.109009,-0.31,-0.31,-0.15,1815.109009,-0.31,-0.31,-0.15,
12/31/2004,3437.0,,,-1401.0,,2036.0,,-1998.0,,,,,,38.0,-1735.0,,366.0,,0.0,1369.0,-1697.0,27.0,-139.0,0.0,,,-1670.0,0.0,-139.0,0.0,0.0,-139.0,-139.0,,1816.0,-0.09,-0.09,-0.38,1816.0,-0.09,-0.09,-0.38,
03/31/2005,3449.0,,,-1439.0,,2010.0,,-1810.0,,,,,,200.0,-139.0,381.0,381.0,,0.0,-242.0,61.0,-4.0,57.0,0.0,,,57.0,0.0,57.0,0.0,0.0,57.0,57.0,,1816.758,0.03,0.03,-0.11,1822.377,0.03,0.03,-0.11,
06/30/2005,3470.0,,,-1434.0,,2036.0,,-1810.0,,,,,,226.0,-393.0,380.0,380.0,,0.0,13.0,-167.0,3.0,-164.0,0.0,,,-164.0,0.0,-164.0,0.0,0.0,-164.0,-164.0,,1823.338,-0.09,-0.09,-0.07,1823.338,-0.09,-0.09,-0.07,
