Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
08/31/2000,87.191002,,-45.881001,,41.310001,,-24.728001,,,16.582001,-1.091,,1.791,,0.0,-0.7,15.491001,-5.415,,10.076,0.0,,,10.076001,-1.427,8.649,0.0,,8.649,8.649,,105.236,0.0825,0.0825,0.0825,105.236,0.0825,0.0825,0.0825,
11/30/2000,82.630997,,-43.25,,39.380997,,-23.409,,,15.972,-1.069,,1.599,-0.53,0.0,0.0,14.903,-5.263,,9.64,0.0,,,9.64,-1.233,8.407,0.0,,8.407,8.407,,105.244003,0.08,0.08,0.08,105.244003,0.08,0.08,0.08,
02/28/2001,80.674004,,-44.606998,,36.067005,,-24.101,,,11.966,-1.165,,1.425,-0.26,0.0,0.0,10.801,-3.66,,7.141,0.0,,,7.141,-1.295,5.846,0.0,,5.846,5.846,,105.900002,0.055,0.055,0.055,105.900002,0.055,0.055,0.055,
05/31/2001,102.698997,,-58.651001,,44.047997,,-30.639999,,,13.408,-10.689,,1.356,-1.249,0.0,10.582,2.719,-0.478,,2.241,0.0,,,2.241,-1.475,0.766,0.0,,0.766,0.766,,137.356003,0.005,0.005,0.0625,140.895996,0.005,0.005,0.0625,
08/31/2001,110.955,,-61.493,,49.462,,-26.775,,,22.687,-0.62,0.62,1.085,-0.465,0.0,0.0,22.067,-7.958,,14.109,15.999,,,-1.89,-1.235,-3.125,0.0,0.0,-3.125,-3.125,,146.024,-0.0225,0.0875,0.0875,151.492,-0.02,0.085,0.085,
11/30/2001,115.616997,,-60.717999,,54.898998,,-34.117001,,,20.782,-0.842,,1.152,-0.31,0.0,0.0,19.94,-7.196,,12.744,0.0,,,12.744,-1.101,11.643,0.0,0.0,11.643,11.643,,145.832001,0.08,0.08,0.08,151.188004,0.0775,0.0775,0.0775,
02/28/2002,115.282997,,-64.140999,,51.141998,,-33.146999,,,17.995001,-0.329,,0.882,-0.553,0.0,0.0,17.666001,-6.351,,11.315,0.0,,,11.315001,-1.04,10.275,0.0,0.0,10.275,10.275,,145.992004,0.07,0.07,0.07,152.024004,0.0675,0.0675,0.0675,
05/31/2002,120.971001,,-65.774002,,55.196999,,-34.25,,,20.947001,-11.676,,0.955,-0.272,0.0,10.993,9.271001,-3.12,,6.151,0.0,,,6.151001,-1.105,5.046,0.0,0.0,5.046,5.046,,146.912003,0.035,0.035,0.08,152.751999,0.0325,0.0325,0.0775,
08/31/2002,127.728,,-66.886,,60.842,,-35.525,,,25.317,-0.738,0.738,1.008,-0.27,0.0,0.0,24.579,-8.73,,15.849,0.0,,,15.849,-1.236,14.613,0.0,0.0,14.613,14.613,,147.352,0.1,0.1,0.1,151.104,0.0975,0.0975,0.0975,
11/30/2002,129.460999,,-64.394997,,65.066002,,-41.311001,,,23.754999,-0.956,,1.199,-0.243,0.0,0.0,22.798999,-8.116,,14.683,0.0,,,14.682999,-1.101,13.582,0.0,0.0,13.582,13.582,,147.647995,0.0925,0.0925,0.0925,150.556,0.09,0.09,0.09,
02/28/2003,124.572998,,-62.681999,,61.890999,,-40.108002,,,21.783001,-2.458,,1.172,-0.219,0.0,1.505,19.325001,-7.228,,12.097,0.0,,,12.097001,0.0,12.097,0.0,0.0,12.097,12.097,,147.972,0.0825,0.0825,0.0825,151.576004,0.08,0.08,0.08,
05/31/2003,134.322006,,-66.327003,,67.995003,,-44.327999,,,23.667,-3.597,,,-0.451,0.0,4.048,20.07,-7.77,,15.679,0.0,,,12.3,-2.671,13.008,0.0,0.0,13.008,13.008,,148.339996,0.0875,0.0875,0.0925,151.944,0.085,0.085,0.09,
08/31/2003,136.464005,,-62.161999,,74.302006,,-45.541,,,28.761,-1.831,,0.575,-0.324,0.0,1.58,26.93,-9.455,,17.475,0.0,,,17.475,-1.65,15.825,0.0,0.0,15.825,15.825,,148.580002,0.1075,0.1075,0.1125,153.240005,0.1025,0.1025,0.11,
11/30/2003,148.447006,,-67.274002,,81.173004,,-51.946999,,,29.226,-3.753,,1.059,-0.429,0.0,3.123,25.473,-8.885,,16.587999,0.0,,,16.588,-1.716,14.872,0.0,0.0,14.872,14.872,,149.863998,0.1,0.1,0.1125,155.444,0.095,0.095,0.1075,
02/29/2004,162.559998,,-71.773003,,90.786995,,-60.355,,,30.431999,-1.871,,2.337,-0.466,0.0,0.0,28.560999,-9.86,,18.701,0.0,,,18.701,-2.198,16.503,0.0,0.0,16.503,16.503,,150.899994,0.11,0.11,0.11,157.315994,0.105,0.105,0.105,
05/31/2004,181.848007,,-88.143997,,93.70401,,-59.575001,,,34.129002,-6.36,,2.554,-1.139,0.0,4.945,27.769002,-9.106,,18.663,0.0,,,18.663002,-3.421,15.242,0.0,0.0,15.242,15.242,,151.199997,0.1,0.1,0.12,157.279999,0.0975,0.0975,0.115,
08/31/2004,192.591003,,-80.440002,,112.151001,,-70.537003,,,41.613998,-1.323,,1.642,0.319,0.0,-0.638,40.290998,-14.212,,26.079,0.0,,,26.078999,-1.881,24.198,0.0,0.0,24.198,24.198,,152.647995,0.1575,0.1575,0.1575,156.880005,0.155,0.155,0.155,
11/30/2004,188.548996,,-79.349998,,109.198997,,-68.420998,,,40.778,-1.438,,1.835,-0.397,0.0,0.0,39.34,-13.847,,25.493,0.0,,,25.493,-1.915,23.577999,0.0,0.0,23.577999,23.577999,,153.923996,0.1525,0.1525,0.1525,159.203995,0.1475,0.1475,0.1475,
02/28/2005,195.526,,-87.378,,108.148,,-69.929,,,38.219,-2.176,2.176,2.969,-0.793,0.0,0.0,36.043,-12.7,,23.343,0.0,,,23.343,-1.72,21.623,0.0,0.0,21.623,21.623,,154.824,0.14,0.14,0.14,160.412,0.135,0.135,0.135,
05/31/2005,207.665,,-90.104,,117.561,,-74.345,,,43.216,-4.973,,1.932,,0.0,3.041,38.243,-12.592,,25.651,0.0,,,25.651,-2.154,23.497,0.0,0.0,23.497,23.497,,155.532,0.1525,0.1525,0.1675,155.532,0.145,0.145,0.16,
08/31/2005,224.456,,-93.183,,131.273,,-79.876,,,51.397,-1.479,0.606,1.52,-0.914,0.0,0.873,49.918,-17.022,,32.896,0.0,,,32.896,-2.158,30.738,0.0,0.0,30.738,30.738,,156.048,0.1975,0.1975,0.2,162.028,0.19,0.19,0.1925,
11/30/2005,219.673,,-86.912,,132.761,,-81.728,81.728,0.0,51.033,-1.287,0.282,1.802,-1.52,0.0,1.005,49.746,-16.963,,32.783,0.0,,,32.783,-2.17,30.613,0.0,0.0,30.613,30.613,,157.496,0.195,0.195,0.2,163.812,0.185,0.185,0.19,
02/28/2006,225.159,,-88.863,,136.296,,-88.161,,,48.135,0.477,-0.477,1.695,-2.172,0.0,0.0,48.612,-16.577,,32.035,0.0,,,32.035,-1.924,30.111,0.0,0.0,30.111,30.111,,158.438,0.19,0.19,0.19,165.542,0.18,0.18,0.18,
05/31/2006,238.768,,-89.062,,149.706,,-97.305,,,52.401,0.843,,2.127,-2.97,0.0,0.0,53.244,-16.96,,36.284,0.0,,,36.284,-2.222,34.062,0.0,0.0,34.062,34.062,,159.022,0.215,0.215,0.215,165.824,0.205,0.205,0.205,
08/31/2006,260.308,,-98.19,,162.118,,-98.591,,,63.527,1.434,-1.434,2.162,-3.596,0.0,0.0,64.961,-20.909,,44.052,0.0,,,44.052,-2.543,41.509,0.0,0.0,41.509,41.509,,159.468,0.26,0.26,0.26,163.152,0.255,0.255,0.255,
11/30/2006,260.697,,-105.766,,154.931,,-102.628,,,52.303,1.991,,1.737,-3.728,,0.0,54.294,-17.692,,36.602,,,,36.602,-2.6,34.002,,,34.002,34.002,,160.294,0.21,0.21,0.21,163.458,0.21,0.21,0.21,
02/28/2007,260.418,,-103.555,,156.863,,-105.67,,,51.193,2.329,,2.399,-4.728,0.0,0.0,53.522,-17.148,,36.374,0.0,,,36.374,-2.078,34.296,0.0,0.0,34.296,34.296,,160.842,0.215,0.215,0.215,163.944,0.21,0.21,0.21,
05/31/2007,280.1,,-107.326,,172.774,,-118.62,,,54.154,-0.6,-2.488,2.166,-4.654,0.0,3.088,53.554,-17.687,,35.867,0.0,,,35.867,-2.689,33.178,0.0,0.0,33.178,33.178,2.086,161.234,0.205,0.205,0.22,164.03,0.2,0.2,0.215,
08/31/2007,310.98,,-116.309,,194.671,,-127.436,,,67.235,2.261,-3.264,1.873,-5.137,0.0,1.003,69.496,-23.783,,45.713,0.0,,,45.713,-2.138,43.575,0.0,0.0,43.575,43.575,,161.002,0.27,0.27,0.275,163.814,0.265,0.265,0.27,
