Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
03/31/1993,,,112.199997,,0.191934,0.060312,0.026488,0.16,-0.02,,,,,0.0,0.223503,,,,
06/30/1993,,,112.199997,,0.312692,0.125998,0.073476,1.14,0.04,,,,,0.0,0.092371,,,,
09/30/1993,,,112.199997,,0.741132,,0.170526,0.08,0.08,,,,,0.0,,,,,
12/31/1993,,,,,,,,,-0.14,,,,,0.0,,,,,
03/31/1994,,,112.199997,,0.751159,0.339037,0.192264,0.12,0.12,,,,,0.0,0.088298,,,,
06/30/1994,131.356003,,115.454002,,0.80969,0.344631,0.180817,0.12,0.12,,,,,0.0,0.101001,,0.383378,3.750167,
09/30/1994,131.399994,,131.356003,,0.730351,0.300024,0.15091,0.1,0.1,,,,,0.0,0.409201,,0.142215,3.848843,
12/31/1994,112.199997,131.356003,131.356003,,0.7758,0.32571,0.16147,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.299453,,0.061275,2.106123,
03/31/1995,131.399994,,131.356003,,0.644904,0.270372,0.141372,0.09,0.09,,,,,0.0,0.12374,-0.19709,0.096362,4.062329,
06/30/1995,131.356003,,131.356003,,0.64989,0.254537,0.128102,0.09,0.09,,,,,0.05,0.193687,-0.043135,0.124326,4.100026,
09/30/1995,131.449005,,131.449005,,0.669347,0.247221,0.118031,0.07,0.07,,,,,0.0,0.222733,-0.031526,0.495804,4.164566,
12/31/1995,131.468002,131.449005,131.449005,,0.702249,0.236464,0.100092,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.258975,-0.165463,0.272705,4.221993,
03/31/1996,131.468002,,131.455994,,0.633725,0.215411,0.088585,0.05,0.05,0.05,,,,0.0,0.062721,-0.268227,0.279992,4.271321,
06/30/1996,131.470001,,131.468002,,0.617991,0.19566,0.071135,0.04,0.04,0.04,,,,0.05,0.314829,-0.234087,0.166867,4.265437,
09/30/1996,131.466003,,131.468994,,0.588519,0.171409,0.062806,0.03,0.03,0.03,,,,0.0,0.152013,-0.423606,0.295057,4.293696,
12/31/1996,131.550995,,131.462006,,0.770291,0.288555,0.143973,0.04,0.04,0.08,,,,0.0,-0.033569,-0.534246,0.314494,4.333209,
