Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1997,466,642,164.0,,-273,,,-273,-67,,,,,-821.0,0,0.0,0,-510.0,7152.0,,,,-7662.0,-206.0,,,,,,,,-105,263.0,-117.0,664.0,,,,,-339.0,0.0,-339.0,71.0,-16.0,,-92.0,172.0,613.0,
06/30/1997,-610,1908,,,1001,,,1001,-3519,,,,,,-352,,-352,,,,,,,,,,,,,,,352,,,,,,,,,,,,,,,,,
09/30/1997,2346,1544,,,2585,,,2585,-1783,,,,,,-352,,-352,,,,,,,,,,,,,,,352,,,,,,,,,,,,,,,,,
12/31/1997,3250,1438,,,-1630,,,-1630,3442,,,,,-460.0,-460,,-460,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,2790.0,,,
03/31/1998,-13223,2161,854.0,,992,,,992,-17230,,,,,,-397,,-397,,,,,,,,,,,,,,,397,,,,,,,,,,,,,,,639.0,6192.0,
06/30/1998,8183,2240,1104.0,,-924,,,-924,5763,,,,,,-436,,-436,,,,,,,,,,,,,,,436,,,,,,,,,,,,,,,816.0,6644.0,
09/30/1998,4234,729,1244.0,,-384,,,-384,2645,,,,,,-406,,-406,,,,,,,,,,,,,,,406,,,,,,,,,,,,,,,705.0,6889.0,
12/31/1998,5651,677,1019.0,,-9106,,,-9106,13061,,,,,,-566,,-566,,,,,,,,,,,,,,,566,,,,,,,,,,,,,,,700.0,6567.0,
03/31/1999,-1770,2362,1143.0,,1795,,,1795,-7070,,,,,-8707.0,-260,139.0,-399,-2499.0,20902.0,,,,-23401.0,-4601.0,,,,,,,,-1347,8339.0,-447.0,-380.0,,,,,-1368.0,137.0,-1505.0,10754.0,-220.0,,-2138.0,445.0,6192.0,
06/30/1999,8811,2448,1199.0,,770,,,770,4394,,,,,-9233.0,-159,197.0,-356,-1521.0,22031.0,,,,-23552.0,-6750.0,,,,,,,,-803,3411.0,-512.0,-1420.0,,,,,-658.0,384.0,-1042.0,6072.0,-71.0,,2989.0,1232.0,5835.0,
09/30/1999,5733,2435,1089.0,,-299,,,-299,2508,,,,,-8622.0,-214,127.0,-341,-2570.0,19598.0,,,,-22168.0,-5838.0,,,,,,,,0,-100.0,-512.0,-2002.0,,,,,-867.0,54.0,-921.0,3256.0,25.0,,-2989.0,879.0,5751.0,
12/31/1999,-1551,3998,3555.0,,-4168,,,-4168,-4936,,,,,-9553.0,2320,2974.0,-654,1402.0,25349.0,,,,-23947.0,-9104.0,,,,,,,,-4171,14820.0,-668.0,2924.0,,,,,-691.0,183.0,-874.0,12983.0,272.0,,3716.0,1758.0,9724.0,
03/31/2000,657,3856,1905.0,,-2918,,,-2918,-2186,,,,,-11182.0,-153,223.0,-376,-3226.0,25862.0,,,,-29088.0,-7196.0,,,,,,,,-607,7693.0,-622.0,2465.0,,,,,-1374.0,291.0,-1665.0,7367.0,-143.0,,-2832.0,401.0,7230.0,
